Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མ་ལུས་པར་སྡུག་བསྔལ་བ་ཡིན་ཏེ། དེ་,ལས་,ལ་,ལ་,ལ་,ཡིད་དུ་འོང་བ་རྣམས་ནི་འགྱུར་བའི་སྡུག་བསྔལ་གྱིས་སྡུག་,K,g,,,,,,,,c=d=n p 4.20%,c ལ(33965), དེ་ལ(763), ལ་ཡིད(2425), དེ་ལ་ཡིད(214); p ལས(5885), དེ་ལས(5447), ལས་ཡིད(89); d ལ(33965), དེ་ལ(763), ལ་ཡིད(2425), དེ་ལ་ཡིད(214); n ལ(33965), དེ་ལ(763), ལ་ཡིད(2425), དེ་ལ་ཡིད(214); ,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B),15
ཉིད་དང་། འདུ་བྱེད་རྣམ་པར་འགྱུར་བ་ཉིད་,ལས་,ལ་,ལ་,ལས་,དགོངས་ནས་གསུངས་སོ་ཞེས་དོན་ངེས་པར་མཛད་པ་,K,g,,,,,,,,c=d p=n 90.26%,c ལ(33965), ཉིད་ལ(379), ལ་དགོངས(495); p ལས(5885), ཉིད་ལས(2755), ལས་དགོངས(125); d ལ(33965), ཉིད་ལ(379), ལ་དགོངས(495); n ལས(5885), ཉིད་ལས(2755), ལས་དགོངས(125); ,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B),42
། །དེ་ལུས་ཀྱི་གནས་སྐབས་གང་ཞིག་དང་ཕྲད་,ནས་,ན་,ན་,ནས་,བདེ་བའི་རྒྱུ་ཡིན་པ་དེ་ནི་དེ་དང་ཕྲད་,K,g,,,,,,,,c=d p=n 90.26%,c ན(73509), ཕྲད་ན(91), ན་བདེ་བ(212); p ནས(35333), ཕྲད་ནས(94), ནས་བདེ་བ(133); d ན(73509), ཕྲད་ན(91), ན་བདེ་བ(212); n ནས(35333), ཕྲད་ནས(94), ནས་བདེ་བ(133); ,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B),64
བདེ་བའི་རྒྱུ་ཡིན་པ་དེ་ནི་དེ་དང་ཕྲད་,ནས་,ན་,ན་,ནས་,མ་ཡིན་པ་ནི་ནམ་ཡང་མ་ཡིན་པས་,K,g,,,,,,,,c=d p=n 90.26%,c ན(73509), ན་མ(3338), ཕྲད་ན(91); p ནས(35333), ནས་མ(937), ཕྲད་ནས(94); d ན(73509), ན་མ(3338), ཕྲད་ན(91); n ནས(35333), ནས་མ(937), ཕྲད་ནས(94); ,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B),65
གིས་བུམ་པ་དང་ཆུ་ཡོད་དོ་ཞེས་བརྗོད་པ་,ན་,ནི་,ནི་,ན་,བདེན་པ་ཁོ་ན་སྨྲས་པ་ཡིན་གྱི། བརྫུན་,K,g,,,,,,,,c=d p=n 90.26%,c ནི(44237), ནི་བདེན་པ(148), བརྗོད་པ་ནི(68); p ན(73509), ན་བདེན་པ(55), བརྗོད་པ་ན(78); d ནི(44237), ནི་བདེན་པ(148), བརྗོད་པ་ནི(68); n ན(73509), ན་བདེན་པ(55), བརྗོད་པ་ན(78); ,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B),83
པ་ཡིན་ནོ། །ཇི་ལྟར་གཞན་གྱིས་འཛིན་པ་,དེ་ལྟར་ན་,དེ་ལྟར་ ནི་,དེ་ལྟར་ ནི་,དེ་ལྟར་ན་,ཀུན་རྫོབ་ཀྱི་བདེན་པ་ཡིན་ནོ་ཞེས་ཟེར་རོ,K,g,,,,,,,,c=d p=n 90.26%,c དེ་ལྟར་ནི(42); p དེ་ལྟར་ན(149); d དེ་ལྟར་ནི(42); n དེ་ལྟར་ན(149); ,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B),87
བསམ་པ་ལས་བྱུང་བ་ནི་རིགས་པས་ངེས་པར་བརྟགས་པ་,ལས་,ལ་,ལ་,ལས་,སྐྱེས་པ་ཡིན་ནོ། །བསྒོམ་པ་ལས་བྱུང་བའི་ཏིང་,K,g,,,,,,,,c=d p=n 90.26%,c ལ(33965), ལ་སྐྱེས་པ(144); p ལས(5885), ལས་སྐྱེས་པ(99); d ལ(33965), ལ་སྐྱེས་པ(144); n ལས(5885), ལས་སྐྱེས་པ(99); ,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B),98
ཞེས་ཟེར་རོ། །དབུགས་རྔུབ་དབུགས་འབྱུང་དྲན་པ་,འདི,ནི,ནི,འདི,། །བགྲང་དང་རྗེས་འགྲོ་འཇོག་པ་དང་། །རྟོག་,K,g,,,,,,,,c=d p=n 90.26%,c ནི(44237), དྲན་པ་ནི(85); p འདི(1651); d ནི(44237), དྲན་པ་ནི(85); n འདི(1651); ,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B),141
། རྐྱེན་དང་རྣམ་པ་བཞིར་ལྟའོ། །འགོག་པ་,ལས་,ལ་,ལ་,ལས་,འགོག་པ་དང་། ཞི་བ་དང་། གྱ་ནོམ་,K,g,,,,,,,,c=d p=n 90.26%,c ལ(33965), འགོག་པ་ལ(238); p ལས(5885), འགོག་པ་ལས(58); d ལ(33965), འགོག་པ་ལ(238); n ལས(5885), འགོག་པ་ལས(58); ,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B),159
ལ་རྗེས་སུ་ཤེས་པའི་མཇུག་ཐོགས་སུ་འདོད་པ་,ན་,ནི་,ནི་,ན་,སྤྱོད་པའི་ཀུན་འབྱུང་ལ་ཆོས་ཤེས་པའི་བཟོད་པ་,K,g,,,,,,,,c=d p=n 90.26%,c ནི(44237), འདོད་པ་ནི(127), ནི་སྤྱོད་པ(159); p ན(73509), འདོད་པ་ན(327), ན་སྤྱོད་པ(228), འདོད་པ་ན་སྤྱོད་པ(132), འདོད་པ་ན་སྤྱོད་པའི(158); d ནི(44237), འདོད་པ་ནི(127), ནི་སྤྱོད་པ(159); n ན(73509), འདོད་པ་ན(327), ན་སྤྱོད་པ(228), འདོད་པ་ན་སྤྱོད་པ(132), འདོད་པ་ན་སྤྱོད་པའི(158); ,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B),214
