Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །སེམས་ཅན་རྣམས་ཀྱིས་ལོངས་སྤྱད་ཕྱིར། །ལུས་,ལ་སོགས་པ་,ལ་སོགས་པ ས་,ལ་སོགས་པ ས་,ལ་སོགས་པ་,བསྲུང་བར་བྱ། །མ་བསྲུངས་ལོངས་སྤྱོད་གང་ལས་,K,p,,,,,,,,c=d p=n 76.19%,c ལ་སོགས་པས(101); p ལ་སོགས་པ(403); d ལ་སོགས་པས(101); n ལ་སོགས་པ(403); ,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,4
ཐུབ་པས་གསུངས། །ཕྱི་རོལ་གཡོ་བ་བཟློག་པ་,ཡིས,ཡི,ཡིས,ཡིས,། །སེམས་ནི་ཞི་ལས་མི་གཡོ་ཞིང། །ཀུན་,K,p,,,,,,,,c p=d=n 9.52%,c ཡི(8322), ཡི།_།(8252); p ཡིས(7433), ཡིས།_།(7321); d ཡིས(7433), ཡིས།_།(7321); n ཡིས(7433), ཡིས།_།(7321); ,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,8
སྟེ། །འབྲས་ཆན་ལེགས་པར་ཚོས་པ་དང། །,གཟུགས་,#གཟེགས་,#གཟེགས་,#གཟེགས་,མེད་ལུས་ཅན་ཕན་པ་འདྲ། །ཇི་ལྟར་ལོ་,K,,,nw✓,,,,,,c=d=n p 9.52%,c གཟེགས(30); p གཟུགས(768), །_།གཟུགས(3586), གཟུགས་མེད(2363), །_།གཟུགས་མེད(283); d གཟེགས(30); n གཟེགས(30); ,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,11
སེམས་ཅན་ལོངས་སྤྱོད་ཕྱིར། །དགེ་བའི་བཤེས་གཉེན་མི་,བཏང་,གཏོང་,གཏོང་,བཏང་,ཞིང་། །མདོ་སྡེ་དག་ལ་རྟག་བལྟ་བས། །,K,,,,,⟶,,,,c=d p=n 76.19%,c གཏོང(1), མི་གཏོང(1061), གཏོང་ཞིང(351), མི་གཏོང་ཞིང(49); p བཏང(4), བཏང་ཞིང(67); d གཏོང(1), མི་གཏོང(1061), གཏོང་ཞིང(351), མི་གཏོང་ཞིང(49); n བཏང(4), བཏང་ཞིང(67); ,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,6
། །ཤེས་པར་གྱུར་ནས་བརྟུན་པས་སྐྱེད། །མཉམ་,གཞག་,བཞག་,གཞག་,གཞག་,ཡང་དག་ཇི་བཞིན་དུ། །ཤེས་པར་འགྱུར་ཞེས་,K,,,,,⟶,,,,c p=d=n 9.52%,c བཞག(491), མཉམ་བཞག(335); p གཞག(599), མཉམ་གཞག(209); d གཞག(599), མཉམ་གཞག(209); n གཞག(599), མཉམ་གཞག(209); ,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,7
ཅན་མ་དད་འགྱུར། །དེ་ནི་བསྒྲིམས་ཏེ་རྣམ་,སྤངས་,སྤང་,སྤང་,སྤངས་,ཞེས། །དཀོན་མཆོག་སྤྲིན་ལས་བཀའ་སྩལ་ཏོ། །,K,,,,,⟶,,,,c=d p=n 76.19%,c སྤང(5); p སྤངས(803), རྣམ་སྤངས(317); d སྤང(5); n སྤངས(803), རྣམ་སྤངས(317); ,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,10
དེ་ནས་ནགས་སུ་གནས་པར་བྱ། །མཉམ་པར་,བཞག་,གཞག་,གཞག་,བཞག་,ལ་བརྩོན་བྱ་ཞིང་། །མི་སྡུག་ལ་སོགས་བསྒོམ་,K,,,,,⟶,,,,c=d p=n 76.19%,c གཞག(599), གཞག་ལ(56); p བཞག(491), བཞག་ལ(174); d གཞག(599), གཞག་ལ(56); n བཞག(491), བཞག་ལ(174); ,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,13
སྤྱོད་པ་ཅི་ཞིག་སྦྱིན། །དེ་བས་སེམས་ཅན་,ལོངས་ སྤྱད་,ལོངས་སྤྱོད་,ལོངས་སྤྱོད་,ལོངས་ སྤྱད་,ཕྱིར། །དགེ་བའི་བཤེས་གཉེན་མི་གཏོང་ཞིང་། །,K,,,,,≠,,,,c=d p=n 76.19%,c ལོངས་སྤྱོད(5209); p ལོངས་སྤྱད(516); d ལོངས་སྤྱོད(5209); n ལོངས་སྤྱད(516); ,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,5
བྱ། །སྟོང་པ་སྙིང་རྗེའི་སྙིང་པོ་ཅན། །,བསྐྱོད་པ ས་,བསྐྱེད་པ ས་,བསྐྱེད་པ ས་,བསྐྱོད་པ ས་,བསོད་ནམས་དག་པར་འགྱུར། །གཟུང་བར་བྱ་བ་,K,,,,,≠,,,,c=d p=n 76.19%,c བསྐྱེད་པས(189); p བསྐྱོད་པས(94); d བསྐྱེད་པས(189); n བསྐྱོད་པས(94); ,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,14
ལོངས་སྤྱོད་འཕེལ་བར་འགྱུར། །བརྩོན་དང་བསམ་པ་,བསྟན་པ ར་,བརྟན་པ ར་,བརྟན་པ ར་,བརྟན་པ ར་,ཡང་། །དང་པོ་ནན་ཏན་བྱས་ནས་ནི། །,K,,,,,≠,,,,c=d=n p 9.52%,c བརྟན་པར(900); p བསྟན་པར(3125); d བརྟན་པར(900); n བརྟན་པར(900); ,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,17
