Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གི་འཛིན་པ། སྐུ་མདོག་དམར་བ་ལ་དུར་,ཀྱི་,,,ཀྱི་,ཆས་ཀྱིས་བརྒྱན་པ་ཞབས་གཡས་བསྐུམ་པ། གཡོན་,K,p,,,,,,,,p=n d 91.30%,p ཀྱི(5256), དུར་ཁྲོད་ཀྱི(365); d (1), ཆས(26), དུར་ཁྲོད(1981); n ཀྱི(5256), དུར་ཁྲོད་ཀྱི(365); ,8-14_རྡོ་རྗེ་ཕག་མོའི་སྒྲབ་ཐབས།,14
མའི་ཞལ་ལས་ཤེས་པར་བྱའོ། །མར་གྱུར་ཐུགས་,ཀྱིས་,,ཀྱི་,ཀྱིས་,དཔལ་བེའུ་ལས། །ཟབ་མོ་བཅུད་ཀྱི་ཐིགས་པ་,K,p,,,,,,,,p=n d 91.30%,p ཀྱིས(6156), ཐུགས་ཀྱིས(311); d ཀྱི(5256), ཀྱི་དཔལ(41), ཐུགས་ཀྱི(1314); n ཀྱིས(6156), ཐུགས་ཀྱིས(311); ,8-14_རྡོ་རྗེ་ཕག་མོའི་སྒྲབ་ཐབས།,20
གྱུར་ཐུགས་ཀྱི་དཔལ་བེའུ་ལས། །ཟབ་མོ་བཅུད་,ཀྱིས་,,ཀྱི་,ཀྱིས་,ཐིགས་པ་བྱུང་། །སྐལ་ལྡན་རིན་ཆེན་ལྟ་བུ་,K,p,,,,,,,,p=n d 91.30%,p ཀྱིས(6156), བཅུད་ཀྱིས(207); d ཀྱི(5256), བཅུད་ཀྱི(84); n ཀྱིས(6156), བཅུད་ཀྱིས(207); ,8-14_རྡོ་རྗེ་ཕག་མོའི་སྒྲབ་ཐབས།,21
,#ཧི་ #སྭ་,,#ཧཱི་ #སཱ་,#ཧི་ #སྭ་,དྷ་ནཾ། བོད་སྐད་དུ། རྡོ་རྗེ་ཕག་,K,,,,✓,,,,,p=n d 91.30%,p ; d ; n ; ,8-14_རྡོ་རྗེ་ཕག་མོའི་སྒྲབ་ཐབས།,1
གྱིས་བརླབ་ཅིང་། ཨོཾ་བཾ། ཧཾ་ཡོཾ། ,#ཧྲེ་ #མོཾ །_ #ཧྲི་ #ཧྲི,,#ཧྲིཾ་ #མོཾ །_ #ཧྲིཾ་ #ཧྲཱིཾ,#ཧྲི་ #མོཾ །_ #ཧྲིཾ་ #ཧྲིཾ, །ཧཱུཾ་ཧཱུཾ། ཕཊ་ཕཊ། ཅེས་པས་ལག་,K,,,,✓,,,,,p d n 4.35%,p ; d ; n ; ,8-14_རྡོ་རྗེ་ཕག་མོའི་སྒྲབ་ཐབས།,4
ཧྲིཾ་གྷ་གྷ་གྷཱ་ཏ་ཡ་གྷཱ་ཏ་ཡ་སརྦ་,#དུཤྚཾ་,,#དུཥྚཱཾ་,#དུཤྚཾ་,ཕཊ་སྲཱ་ཧཱ། དེ་ནས་མཆོག་དང་ཐུན་མོང་,K,,,,✓,,,,,p=n d 91.30%,p ; d དུཥྚཱཾ(12); n ; ,8-14_རྡོ་རྗེ་ཕག་མོའི་སྒྲབ་ཐབས།,5
ཐབས་ལ་མཁས་པར་བྱ་སྟེ། ཨོཾ་སྭ་བྷཱ་,སརྦ་ #དྷཱརྨཱསརྦ་,,ཝ་ #ཤུདྡྷཿསརྦ་,སརྦ་ #དྷཱརྨཱསརྦ་,སརྦ་དྷརྨཱཿསྭ་བྷཱ་ཝ་ཤུདྡྷོ྅ཧཾ་ཞེས་བརྗོད་པས་ལུས་རྣམ་,K,,,,✓,,,,,p=n d 91.30%,p ; d ; n ; ,8-14_རྡོ་རྗེ་ཕག་མོའི་སྒྲབ་ཐབས།,6
ཁང་ཆོས་འབྱུང་གི་དཀྱིལ་དུ་བསམ། ཨོཾ་བཛྲ་,#ཤུདྷཿསརྦ་ #དྷརྨཿ་,,#ཤུདྡྷཿསརྦ་ #དྷརྨཱ་,#ཤུདྷཿསརྦ་ #དྷརྨཿ་,བཛྲ་ཤུདྡྷོ྅ཧཾ་ཞེས་བརྗོད་པས་ངག་རྣམ་པར་དག་པ་,K,,,,✓,,,,,p=n d 91.30%,p ; d ; n ; ,8-14_རྡོ་རྗེ་ཕག་མོའི་སྒྲབ་ཐབས།,8
པར་དག་པ་སྔགས་ཀྱི་འཁོར་ལོ་ལ་ཨོཾ་ཨོཾ་,#ཨོྃ་ ཨོཾ་,,,#ཨོྃ་ ཨོཾ་,ཨོཾ་སརྦ་བུདྡྷ་ཌཱ་ཀི་ནཱི་ཡེ། ཨོཾ་བཛྲ་,K,,,,✓,,,,,p=n d 91.30%,p ; d (1), ཨོཾ(71); n ; ,8-14_རྡོ་རྗེ་ཕག་མོའི་སྒྲབ་ཐབས།,9
ནཱི་ཡེ། ཧཱུཾ་ཧཱུཾ་ཧཱུཾ་ཕཊ་ཕཊ་ཕཊ་སྭཱ་,#ཧཱ་ #སྭཱ་,,,#ཧཱ་ #སྭཱ་,། ཞེས་བཟླས་སོ། །ཨོཾ་ཡོ་ག་ཤུདྡྷཿསརྦ་དྷརྨཱ་,K,,,,✓,,,,,p=n d 91.30%,p ; d (1), ཧཱ(6451), སྭཱ(1), སྭཱ་ཧཱ(268), སྭཱ་ཧཱ།_(7724), ཕཊ་སྭཱ་ཧཱ(797), ཕཊ་སྭཱ་ཧཱ།_(768), ཕཊ་ཕཊ་སྭཱ་ཧཱ།_(225); n ; ,8-14_རྡོ་རྗེ་ཕག་མོའི་སྒྲབ་ཐབས།,10
