Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གང་ཞིག་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས།།,འདི་སྐད་,དེ་ སྐད་,དེ་ སྐད་,དེ་ སྐད་,དུ་འཆད་པ་དེ་ཉིད་སངས་རྒྱས་ཡིན་ནོ།།,K,g,,,,,,,,c=d=n p 4.50%,c དེ་སྐད(6506), དེ་སྐད་དུ(388); p འདི་སྐད(20593), འདི་སྐད་དུ(429); d དེ་སྐད(6506), དེ་སྐད་དུ(388); n དེ་སྐད(6506), དེ་སྐད་དུ(388); ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,33
བྱ་བ་ནི་གཞན་རང་གི་དོན་ལ་སྦྱོར་བ་,ན་,ན་,ན་,ནི་,རང་གི་དོན་ཁོ་ན་ལ་རབ་ཏུ་སྦྱོར་བ་,K,g,,,,,,,,c=p=d n 27.29%,c ན(73509), ན་རང(600); p ན(73509), ན་རང(600); d ན(73509), ན་རང(600); n ནི(44237), ནི་རང(2307), སྦྱོར་བ་ནི(74); ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,40
བྱ་བ་ནི་འདི་དག་མདོ་དེ་དང་དེ་དག་,ལས་,ལ་,ལ་,ལས་,རྣམ་གྲངས་མང་པོ་དག་གིས་ཡང་དང་ཡང་དུ་,K,g,,,,,,,,c=d p=n 64.93%,c ལ(33965), ལ་རྣམ(3902), དེ་དག་ལ(229); p ལས(5885), ལས་རྣམ(1935), དེ་དག་ལས(54); d ལ(33965), ལ་རྣམ(3902), དེ་དག་ལ(229); n ལས(5885), ལས་རྣམ(1935), དེ་དག་ལས(54); ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,63
ཡུལ་ཉིད་ཡིན་པར་ཚིགས་སུ་བཅད་པ།འདི་,ན་,ནི་,ནི་,ན་,དང་པོར་ཐོས་ལ་བརྟེན་ནས་ཡིད་ལ་བྱེད་པ་,K,g,,,,,,,,c=d p=n 64.93%,c ནི(44237), འདི་ནི(23970), ནི་དང་པོ(198); p ན(73509), འདི་ན(1776); d ནི(44237), འདི་ནི(23970), ནི་དང་པོ(198); n ན(73509), འདི་ན(1776); ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,64
མོ་སྟོན་པར་འགྱུར་ཞེས་སྐྲག་པའི་གནས་ཡིན་ནོ་,ཞེ་ན,ཞེ་ན,ཞེ་ན,ཞེས་ ན,།དེ་ཡང་རིགས་པ་མ་ཡིན་ནོ།།འོན་,K,g,,,,,,,,c=p=d n 27.29%,c ཞེ་ན(629), ཞེ་ན།(419); p ཞེ་ན(629), ཞེ་ན།(419); d ཞེ་ན(629), ཞེ་ན།(419); n ; ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,70
ཟབ་ཅིང་རྒྱ་ཆེ་བ་ལེགས་པར་བཤད་པ་འདི་,ན་,ནི་,ནི་,ན་,མོས་པ་མེད་པ་ན།དེ་ཉིད་ཀྱིས་ཐེག་པ་,K,g,,,,,,,,c=d p=n 64.93%,c ནི(44237), འདི་ནི(23970); p ན(73509), འདི་ན(1776); d ནི(44237), འདི་ནི(23970); n ན(73509), འདི་ན(1776); ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,73
དགེ་བའི་ཚོགས་སོ།།དེ་ལྟ་བུའི་སྐུ་དེ་,དང ་།,ལ །,ལ །,དང ་།,བག་ཆགས་བཟློག་པ་དང་།འཁོར་བ་དང་མྱ་,K,g,,,,,,,,c=d p=n 64.93%,c ལ།(535); p དང་།(6355); d ལ།(535); n དང་།(6355); ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,125
མྱུར་དུ་ཐར་པ་དང་།དེ་དག་ཏུ་སྐྱེས་,ནས་,ན་,ན་,ནས་,ཡང་སྡུག་བསྔལ་ཆུང་དུ་ངུ་མྱོང་བ་དང་།,K,g,,,,,,,,c=d p=n 64.93%,c ན(73509), ན་ཡང(7917), སྐྱེས་ན(333), སྐྱེས་ན་ཡང(136); p ནས(35333), ནས་ཡང(2960), སྐྱེས་ནས(1473); d ན(73509), ན་ཡང(7917), སྐྱེས་ན(333), སྐྱེས་ན་ཡང(136); n ནས(35333), ནས་ཡང(2960), སྐྱེས་ནས(1473); ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,151
དང་ཡུན་རིང་པོར་དཀའ་བ་སྤྱད་པ་སྒྲུབ་པ་,ལས་,ལ་,ལ་,ལས་,སྤྲོ་བའི་ཕྱིར་རོ།།རྩོམ་པ་ཆེན་པོ་ནི་གོ་,K,g,,,,,,,,c=d p=n 64.93%,c ལ(33965), ལ་སྤྲོ་བ(82), སྒྲུབ་པ་ལ(182); p ལས(5885); d ལ(33965), ལ་སྤྲོ་བ(82), སྒྲུབ་པ་ལ(182); n ལས(5885); ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,172
ཉི་ཤུ་རྩ་གཉིས་དང་ལྡན་པའི་སེམས་བསྐྱེད་པ་,འདི་,དེ་,དེ་,འདི་,ནི།འཕགས་པ་བློ་གྲོས་མི་ཟད་པས་བསྟན་,K,g,,,,,,,,c=d p=n 64.93%,c དེ(1), དེ་ནི(35963), བསྐྱེད་པ་དེ(406), བསྐྱེད་པ་དེ་ནི(45); p འདི(1651), འདི་ནི(23970), བསྐྱེད་པ་འདི(60); d དེ(1), དེ་ནི(35963), བསྐྱེད་པ་དེ(406), བསྐྱེད་པ་དེ་ནི(45); n འདི(1651), འདི་ནི(23970), བསྐྱེད་པ་འདི(60); ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,215
པར་བྱེད་པར་ནུས་པ་ཉིད།།སངས་རྒྱས་,ལས་,ལས་,ལས་,ལ་,ནི་ཤིན་ཏུ་བསྔགས་པ་ཐོབ།།སྐྱེ་དགུ་རྣམས་,K,g,,,,,,,,c=p=d n 27.29%,c ལས(5885), ལས་ནི(2987), སངས་རྒྱས་ལས(97); p ལས(5885), ལས་ནི(2987), སངས་རྒྱས་ལས(97); d ལས(5885), ལས་ནི(2987), སངས་རྒྱས་ལས(97); n ལ(33965), ལ་ནི(13387), སངས་རྒྱས་ལ(79), སངས་རྒྱས་ལ་ནི(102); ,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།,331
