Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སྟེ། ཚུལ་ཁྲིམས་དང་ལྡན་པ་ནི་འགྱོད་པ་,ལ་,ལས་,ལས་,ལ་,རབ་ཏུ་འདའ་བས་ཏིང་ངེ་འཛིན་འཐོབ་པའི་ཕྱིར་,K,g,,,,,,,,c=d p=n 77.63%,c ལས(5885), ལས་རབ་ཏུ(761); p ལ(33965), ལ་རབ་ཏུ(4593); d ལས(5885), ལས་རབ་ཏུ(761); n ལ(33965), ལ་རབ་ཏུ(4593); ,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,22
ནི་མངོན་པར་རྟོགས་པ་ལ་རབ་ཏུ་སྦྱོར་བ་,ན,ནི,ནི,ན,། རྗེས་སུ་མཐུན་པར་གནས་པ་སྟེ། ཇི་,K,g,,,,,,,,c=d p=n 77.63%,c ནི(44237), ནི།_(15867), སྦྱོར་བ་ནི(74); p ན(73509), ན།_(60485); d ནི(44237), ནི།_(15867), སྦྱོར་བ་ནི(74); n ན(73509), ན།_(60485); ,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,53
སྤངས་པ་ནི་མཁས་པ་ཡིན་ནོ། །དེ་ནས་,དེ་ནས་,དེ་ ན་,དེ་ ན་,དེ་ནས་,ནི་འདི་ལྟར་རྣམ་པར་ཤེས་པ་ཙམ་ཉིད་ཀྱི་,K,g,,,,,,,,c=d p=n 77.63%,c དེ་ན(5593), །_།དེ་ན(909); p དེ་ནས(48227), །_།དེ་ནས(35076); d དེ་ན(5593), །_།དེ་ན(909); n དེ་ནས(48227), །_།དེ་ནས(35076); ,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,56
པ་འགལ་བ་མེད་པར་གནས་པས་སོ། །དེ་,ནི་,ལ་,ལ་,ནི་,ཉིད་ཀྱི་ལུང་ནི་བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་མངོན་,K,g,,,,,,,,c=d p=n 77.63%,c ལ(33965), དེ་ལ(763), ལ་ཀུན(1274), དེ་ལ་ཀུན(162), །_།དེ་ལ་ཀུན(64); p ནི(44237), དེ་ནི(35963), ནི་ཀུན(1613), དེ་ནི་ཀུན(174), །_།དེ་ནི་ཀུན(56); d ལ(33965), དེ་ལ(763), ལ་ཀུན(1274), དེ་ལ་ཀུན(162), །_།དེ་ལ་ཀུན(64); n ནི(44237), དེ་ནི(35963), ནི་ཀུན(1613), དེ་ནི་ཀུན(174), །_།དེ་ནི་ཀུན(56); ,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,73
ལྟ་སྟེ་དཔེར་ན་ཆུའི་ཀླུང་ཆེན་པོ་འབབ་པ་,ལ་,ལས་,ལས་,ལ་,གལ་ཏེ་རླབས་གཅིག་འབྱུང་བའི་རྐྱེན་ཉེ་བར་གནས་,K,g,,,,,,,,c=d p=n 77.63%,c ལས(5885), ལས་གལ་ཏེ(46); p ལ(33965), ལ་གལ་ཏེ(238); d ལས(5885), ལས་གལ་ཏེ(46); n ལ(33965), ལ་གལ་ཏེ(238); ,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,86
བཤད་པ་ནི། ཉིང་མཚམས་སྦྱོར་བ་སྦྲེལ་བ་,ན་,ནི་,ན་,ན་,ཡང་དེ་དག་མངོན་པར་འགྲུབ་པར་ཉེ་བར་འཛིན་པ་,K,g,,,,,,,,c p=d=n 3.89%,c ནི(44237), ནི་ཡང(2555); p ན(73509), ན་ཡང(7917); d ན(73509), ན་ཡང(7917); n ན(73509), ན་ཡང(7917); ,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,96
ཕྱིར་གང་ན་གཉེན་པོ་འབྱུང་བ་ཡོད་པ་དེ་,ན་,ནི་,ནི་,ན་,མི་མཐུན་པའི་ཕྱོགས་ཀྱང་འབྱུང་བ་ཡིན་ནོ་ཞེས་,K,g,,,,,,,,c=d p=n 77.63%,c ནི(44237), ནི་མི(4953), དེ་ནི(35963), དེ་ནི་མི(568); p ན(73509), དེ་ན(5593), ན་མི(2653), དེ་ན་མི(76); d ནི(44237), ནི་མི(4953), དེ་ནི(35963), དེ་ནི་མི(568); n ན(73509), དེ་ན(5593), ན་མི(2653), དེ་ན་མི(76); ,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,115
པར་འཇུག་པ་དགེ་བའི་སེམས་ཡོད་ན། དེ་,ལ་,དང་,དང་,ལ་,དེས་དྲངས་པའི་གཉེན་པོའི་ཕྱོགས་སྐྱེས་པ་ན་ཅིག་,K,g,,,,,,,,c=d p=n 77.63%,c དང(18517), དང་དེ(3465), དེ་དང(64), དེ་དང་དེ(1417), དེ་དང་དེས(60), །_དེ་དང་དེ(53); p ལ(33965), ལ་དེ(5093), དེ་ལ(763), དེ་ལ་དེ(1089), དེ་ལ་དེས(50), །_དེ་ལ་དེ(153); d དང(18517), དང་དེ(3465), དེ་དང(64), དེ་དང་དེ(1417), དེ་དང་དེས(60), །_དེ་དང་དེ(53); n ལ(33965), ལ་དེ(5093), དེ་ལ(763), དེ་ལ་དེ(1089), དེ་ལ་དེས(50), །_དེ་ལ་དེ(153); ,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,116
སྟེ། བསྒོ་བར་འོས་པ་ལའོ། །འབྲེལ་པ་,ལས་,ལ་,ལ་,ལ་,སྒོ་བྱེད་ཅེས་བྱ་བ་ནི་འབྲེལ་པ་མེད་པ་,K,g,,,,,,,,c=d=n p 4.60%,c ལ(33965), ལ་སྒོ(192); p ལས(5885); d ལ(33965), ལ་སྒོ(192); n ལ(33965), ལ་སྒོ(192); ,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,182
མཐོང་ངོ་། །ཡང་གལ་ཏེ་རྟོག་པ་སྐྱེས་པ་,ན་,ནི་,ན་,ན་,དེ་ཡང་འབྱུང་བས་དེ་ལས་དགོངས་ནས་མ་འདས་,K,g,,,,,,,,c p=d=n 3.89%,c ནི(44237), སྐྱེས་པ་ནི(333); p ན(73509), ན་དེ་ཡང(191), སྐྱེས་པ་ན(80); d ན(73509), ན་དེ་ཡང(191), སྐྱེས་པ་ན(80); n ན(73509), ན་དེ་ཡང(191), སྐྱེས་པ་ན(80); ,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,281
