Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རབ་ཀྱི་བྱེ་བྲག་ཞིག་ཡིན་ན་ནི། དེས་,ནི་,ན་,ན་,ནི་,འདུས་པའི་ཆ་ཤས་རེ་རེ་ལ་རིང་པོ་ཉིད་,K,g,,,,,,,,c=d p=n 76.97%,c ན(73509), ས་ན(194); p ནི(44237), ས་ནི(617), ནི་འདུས་པ(44); d ན(73509), ས་ན(194); n ནི(44237), ས་ནི(617), ནི་འདུས་པ(44); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,12
། །འོན་ཏེ་ཁ་དོག་ལ་སོགས་པ་འདུས་པ་,ལས་,ལ་,ལ་,ལས་,ཁྱབ་པའི་རྫས་གཅིག་པུ་ཞིག་ཡིན་ན་ནི། ,K,g,,,,,,,,c=d p=n 76.97%,c ལ(33965), ལ་ཁྱབ་པ(45), འདུས་པ་ལ(106); p ལས(5885), འདུས་པ་ལས(262); d ལ(33965), ལ་ཁྱབ་པ(45), འདུས་པ་ལ(106); n ལས(5885), འདུས་པ་ལས(262); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,13
ཞེས་བྱ་བ་ཅི་དགོས་ཤེ་ན། སྨྲ་བ་,ན་,ནི་,ནི་,ན་,མཆུ་ལ་སོགས་པ་འགུལ་བ་ཡང་འགྱུར་དུ་འོངས་,K,g,,,,,,,,c=d p=n 76.97%,c ནི(44237), སྨྲ་བ་ནི(50); p ན(73509), སྨྲ་བ་ན(61); d ནི(44237), སྨྲ་བ་ནི(50); n ན(73509), སྨྲ་བ་ན(61); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,22
ན། ལུས་བོར་ན་གང་ལས་ཚེ་ཕྱི་མ་,ལས་,ལ་,ལ་,ལས་,འབྲས་བུ་ཡིད་དུ་འོང་བའམ། མི་འོང་བ་,K,g,,,,,,,,c=d p=n 76.97%,c ལ(33965), ཕྱི་མ་ལ(223), ལ་འབྲས་བུ(130); p ལས(5885), ཕྱི་མ་ལས(46), ལས་འབྲས་བུ(78); d ལ(33965), ཕྱི་མ་ལ(223), ལ་འབྲས་བུ(130); n ལས(5885), ཕྱི་མ་ལས(46), ལས་འབྲས་བུ(78); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,46
མི་ཟ་བ་ཞེས་ཟེར་བ་གང་ལས་ཚེ་ཕྱི་མ་,ལས་,ལ་,ལ་,ལས་,འབྲས་བུ་ཡིད་དུ་འོང་བའམ་མི་འོང་བ་མངོན་,K,g,,,,,,,,c=d p=n 76.97%,c ལ(33965), ཕྱི་མ་ལ(223), ལ་འབྲས་བུ(130); p ལས(5885), ཕྱི་མ་ལས(46), ལས་འབྲས་བུ(78); d ལ(33965), ཕྱི་མ་ལ(223), ལ་འབྲས་བུ(130); n ལས(5885), ཕྱི་མ་ལས(46), ལས་འབྲས་བུ(78); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,59
སྐྱེ། དེ་ཁ་ཅིག་ཏུ་ཡིད་ཀྱི་ས་བོན་,ལས་,ལ་,ལ་,ལས་,ཡང་ཡིད་ཅེས་བྱ་བར་རྒྱུ་ལ་འབྲས་བུ་བཏགས་,K,g,,,,,,,,c=d p=n 76.97%,c ལ(33965), ལ་ཡང(17091), ས་བོན་ལ(110); p ལས(5885), ལས་ཡང(1332), ས་བོན་ལས(132); d ལ(33965), ལ་ཡང(17091), ས་བོན་ལ(110); n ལས(5885), ལས་ཡང(1332), ས་བོན་ལས(132); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,72
ཀྱི་ས་བོན་ལ་ཡང་ཡིད་ཅེས་བྱ་བར་རྒྱུ་,ལས་,ལ་,ལ་,ལས་,འབྲས་བུ་བཏགས་པ་ཡིན་པར་རིག་པར་བྱ་སྟེ,K,g,,,,,,,,c=d p=n 76.97%,c ལ(33965), རྒྱུ་ལ(339), ལ་འབྲས་བུ(130); p ལས(5885), རྒྱུ་ལས(790), ལས་འབྲས་བུ(78); d ལ(33965), རྒྱུ་ལ(339), ལ་འབྲས་བུ(130); n ལས(5885), རྒྱུ་ལས(790), ལས་འབྲས་བུ(78); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,73
ན། གལ་ཏེ་འགོག་པའི་སྙོམས་པར་ཞུགས་པ་རྣམས་,ལ་,ལས་,ལས་,ལ་,ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་དེ་ཡོད་ན་དེའི་,K,g,,,,,,,,c=d p=n 76.97%,c ལས(5885), ལས་ཡིད(89), རྣམས་ལས(2222); p ལ(33965), ལ་ཡིད(2425), རྣམས་ལ(895), རྣམས་ལ་ཡིད(92); d ལས(5885), ལས་ཡིད(89), རྣམས་ལས(2222); n ལ(33965), ལ་ཡིད(2425), རྣམས་ལ(895), རྣམས་ལ་ཡིད(92); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,97
པས་དེ་ནི་བསམས་པའི་ལས་ཞེས་བྱའོ། །ངག་,ནི་,གི་,གི་,ནི་,ཚིག་སྟེ། དབྱངས་ཀྱི་ཁྱད་པར་གང་གིས་དོན་,K,g,,,,,,,,c=d p=n 76.97%,c གི(1276), ངག་གི(1192), གི་ཚིག(380); p ནི(44237), ངག་ནི(100), ནི་ཚིག(422); d གི(1276), ངག་གི(1192), གི་ཚིག(380); n ནི(44237), ངག་ནི(100), ནི་ཚིག(422); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,158
པའི་ཉ་ནི་རབ་གབ་ཀྱང་། །ཆུ་ཡི་རླབས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,འགྱུར་བ་རྣམས་ཀྱིས་སྟོན། །འོ་ན་དབྱིབས་ཞེས་,K,p,,,,,,,,c=d p=n 76.97%,c ཀྱིས(6156), རླབས་ཀྱིས(67); p ཀྱི(5256), རླབས་ཀྱི(361); d ཀྱིས(6156), རླབས་ཀྱིས(67); n ཀྱི(5256), རླབས་ཀྱི(361); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,8
འགྱུར་རོ། །གཟེགས་ཟན་པའི་གཞུང་གིས་ཡན་ལག་ཅན་,གྱི་,གྱི་,གྱི་,གྱིས་,རྫས་སུ་སྨྲ་བ་ཡང་སྤེལ་བར་འགྱུར་རོ། །,K,p,,,,,,,,c=p=d n 12.12%,c གྱི(3024), ཅན་གྱི(115), གྱི་རྫས(77); p གྱི(3024), ཅན་གྱི(115), གྱི་རྫས(77); d གྱི(3024), ཅན་གྱི(115), གྱི་རྫས(77); n གྱིས(7492), ཅན་གྱིས(91); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,16
རླུང་གི་ཁམས་ལས་སོ། །ཡང་ན་གང་ལས་,འགྲོ་བ་,འགྲོ་བ ར་,འགྲོ་བ ར་,འགྲོ་བ་,འབྱུང་བར་འདོད་པ་དེ་ཉིད་ལས་ཡུལ་གཞན་དུ་,K,p,,,,,,,,c=d p=n 76.97%,c འགྲོ་བར(3772); p འགྲོ་བ(327); d འགྲོ་བར(3772); n འགྲོ་བ(327); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,34
སོ་སོར་བརྟགས་པ་མ་ཡིན་པས་འགོག་པས་གང་,གིས་,གི་,གི་,གིས་,འབྲས་བུ་འགགས་པ་ཞེས་བྱ་བ། ཐོག་མ་,K,p,,,,,,,,c=d p=n 76.97%,c གི(1276), གང་གི(8014), གི་འབྲས་བུ(232); p གིས(2588), གང་གིས(183), གིས་འབྲས་བུ(43); d གི(1276), གང་གི(8014), གི་འབྲས་བུ(232); n གིས(2588), གང་གིས(183), གིས་འབྲས་བུ(43); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,52
འཇུག་པ་ལ་སོགས་པའི་སེམས་ཀྱིས་ཀྱང་གང་,གི་,གིས་,གིས་,གི་,ན་ཕྱིས་ལྡང་བའི་སེམས་འབྱུང་བར་འགྱུར་བ་དང་,K,p,,,,,,,,c=d p=n 76.97%,c གིས(2588), གིས་ན(149), གང་གིས(183), གང་གིས་ན(114); p གི(1276), གང་གི(8014); d གིས(2588), གིས་ན(149), གང་གིས(183), གང་གིས་ན(114); n གི(1276), གང་གི(8014); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,63
ཇི་ལྟར་ན་སེམས་དང་སེམས་ལས་བྱུང་བ་རྣམས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,སོ་སོའི་ས་བོན་གྱི་རྒྱུད་གཉིས་སུ་འགྱུར། ,K,p,,,,,,,,c=d p=n 76.97%,c ཀྱི(5256), རྣམས་ཀྱི(571); p ཀྱིས(6156), རྣམས་ཀྱིས(952), ཀྱིས་སོ་སོ(42); d ཀྱི(5256), རྣམས་ཀྱི(571); n ཀྱིས(6156), རྣམས་ཀྱིས(952), ཀྱིས་སོ་སོ(42); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,74
དབྱིག་བཤེས་ཀྱིས་ཡོངས་སུ་དྲིས་པ་ལས། གང་,གིས་,གི་,གི་,གིས་,ལྟར་ན་འགོག་པའི་སྙོམས་པར་འཇུག་པ་སེམས་མེད་,K,p,,,,,,,,c=d p=n 76.97%,c གི(1276), གང་གི(8014); p གིས(2588), གང་གིས(183); d གི(1276), གང་གི(8014); n གིས(2588), གང་གིས(183); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,78
རེག་པ་མེད། རེག་པ་ཡོད་ན་ཡང་གང་,གིས་,གི་,གི་,གིས་,ན་འདུ་ཤེས་དང་། ཚོར་བ་འགོག་པ་ཞེས་,K,p,,,,,,,,c=d p=n 76.97%,c གི(1276), གང་གི(8014); p གིས(2588), གིས་ན(149), གང་གིས(183), གང་གིས་ན(114); d གི(1276), གང་གི(8014); n གིས(2588), གིས་ན(149), གང་གིས(183), གང་གིས་ན(114); ,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།,82
