Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གི །འབྲས་བུ་ཕུན་ཚོགས་ལྟ་བུ་ཡིན། །,ཇི་ལྟར་,དེ་ལྟར་,དེ་ལྟར་,ཇི་ལྟར་,ཇི་སྐད་བཤད་ཡོན་ཏན། །ཡན་ལག་རེ་རེ་,K,g,,,,,,,,c=d p=n 64.29%,c དེ་ལྟར(32495), །_།དེ་ལྟར(6569); p ཇི་ལྟར(160), །_།ཇི་ལྟར(5260); d དེ་ལྟར(32495), །_།དེ་ལྟར(6569); n ཇི་ལྟར(160), །_།ཇི་ལྟར(5260); ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,8
ཀྱིས། །འཚེ་བ་མེད་ལས་ནད་མེད་ཡིན། །,ཁྲོ་བ་,ཁྲོ་བོ་,ཁྲོ་བོ་,ཁྲོ་བ་,མེད་ལ་བརྟེན་པ་དང་། །བརྒྱ་བྱིན་པས་ནི་,K,,≠,,,,,,,c=d p=n 64.29%,c ཁྲོ་བོ(2102), །_།ཁྲོ་བོ(621); p ཁྲོ་བ(993), །_།ཁྲོ་བ(76), ཁྲོ་བ་མེད(167); d ཁྲོ་བོ(2102), །_།ཁྲོ་བོ(621); n ཁྲོ་བ(993), །_།ཁྲོ་བ(76), ཁྲོ་བ་མེད(167); ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,10
ཡོན་ཏན་ཕུན་སུམ་ཚོགས། །སྐལ་བ་ངན་པས་,མདངས་ ཕྲོགས་པ,#མདོངས་ འབྲོག་པ,#མདོངས་ འབྲོག་པ,མདངས་ ཕྲོགས་པ,། །སྡང་བའི་གནས་སུ་གྱུར་པའི་ཕྱིར། །དྲང་,K,,,nw✓,,,,,,c=d p=n 64.29%,c ; p ; d ; n ; ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,6
དགེ་དང་སྡིག་པ་གང་ཡིན་ཞེས། །ཡང་དག་,འདྲི་ ལ་ བརྩོན་པ་,དྲི་ ལ་ #བཙོན་པ་,དྲི་ ལ་ #བཙོན་པ་,འདྲི་ ལ་ བརྩོན་པ་,དང་། །ཆོས་ཀྱི་བསྟན་བཅོས་བྱིན་པ་ཡིས། །,K,,,nw✓,,,,,,c=d p=n 64.29%,c ; p ; d ; n ; ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,12
སྐད་དུ། །སཔྟ་གུ་ཎ་པ་རི་བ་ད་,རི་ #བརྣ་,རི་བ་ ད་ #ནཱ་,རི་བ་ ད་ #ནཱ་,རི་ #བརྣ་,ཀ་ཐཱ། བོད་སྐད་དུ། །ཡོན་ཏན་བདུན་,K,,,,✓,,,,,c=d p=n 64.29%,c ; p ; d ; n ; ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,1
མཛད་པ་རྫོགས་སོ།། །།རྒྱ་གར་གྱི་མཁན་པོ་,གང་ #གོཏྟ་,གངྒཱ་ ཏ་,གངྒཱ་ ཏ་,གང་ #གོཏྟ་,གངྒཱ་ཏ་ར་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙཱ་,K,,,,✓,,,,,c=d p=n 64.29%,c ; p ; d ; n ; ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,13
ང་རྒྱལ་སྤངས་པས་རིགས་མཐོར་འགྱུར། །སྦྱིན་བྱེད་,བརྐུ་བ་,རྐུ་བ་,རྐུ་བ་,བརྐུ་བ་,ལས་ལྡོག་པས། །ལོངས་སྤྱོད་ཕུན་སུམ་ཚོགས་ཐོབ་,K,,,,,≠,,,,c=d p=n 64.29%,c རྐུ་བ(115); p ; d རྐུ་བ(115); n ; ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,11
ཚེ་རིང་དེ་བཞིན་ནད་མེད་དང་། །གཟུགས་དང་,སྐལ་བ་,སྐལ་བ་,སྐལ་བ་,བསྐལ་པ་,བཟང་དང་རིགས། །ནོར་དང་ཤེས་རབ་དག་དང་,K,,,,,,≡,,,c=p=d n 21.43%,c སྐལ་བ(1669), དང་སྐལ་བ(480), སྐལ་བ་བཟང(204); p སྐལ་བ(1669), དང་སྐལ་བ(480), སྐལ་བ་བཟང(204); d སྐལ་བ(1669), དང་སྐལ་བ(480), སྐལ་བ་བཟང(204); n བསྐལ་པ(7212), བསྐལ་པ་བཟང(431); ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,2
ད་ནི་བཤད་པར་བྱ། །ནད་མེད་གཟུགས་དང་,སྐལ་བ་,སྐལ་བ་,སྐལ་བ་,བསྐལ་པ་,བཟང་། །རིགས་ནོར་ཤེས་རབ་ཕུན་སུམ་ཚོགས། །,K,,,,,,≡,,,c=p=d n 21.43%,c སྐལ་བ(1669), དང་སྐལ་བ(480), སྐལ་བ་བཟང(204); p སྐལ་བ(1669), དང་སྐལ་བ(480), སྐལ་བ་བཟང(204); d སྐལ་བ(1669), དང་སྐལ་བ(480), སྐལ་བ་བཟང(204); n བསྐལ་པ(7212), བསྐལ་པ་བཟང(431); ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,3
ཚོགས། །ཚེ་རིང་བ་ནི་མེད་གྱུར་ན། །,གསད་ ས ར་,གསད་པ ར་,གསད་པ ར་,གསད་ ས ར་,ཕྱིན་པའི་རྒྱན་དང་འདྲ། །ཚེ་དང་གཟུགས་སོགས་,K,,,,,,≡,,,c=d p=n 64.29%,c གསད་པར(352); p ; d གསད་པར(352); n ; ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,4
པ་བདག་ཉིད་བརླག་དོན་འགྱུར། །འོད་མ་སྨྱུག་,མ་,མ འི་,མ འི་,མ་,ཆུ་ཤིང་གི །འབྲས་བུ་ཕུན་ཚོགས་ལྟ་བུ་,K,,,,,,≡,,,c=d p=n 64.29%,c མའི(69), མའི་ཆུ(55); p མ(4286), མ་ཆུ(65); d མའི(69), མའི་ཆུ(55); n མ(4286), མ་ཆུ(65); ,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,7
