Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ལ་ཕྱག་འཚལ་ལོ། །གཟུངས་འདི་ནི་དོན་དྲུག་,ལས་,ལ་,ལ་,ལ་,བརྩམས་ནས་གསུངས་པར་མངོན་ཏེ། ཤེས་རབ་ཡོངས་,K,g,,,,,,,,c=d=n p 62.50%,c ལ(33965), དྲུག་ལ(1063), ལ་བརྩམས(92); p ལས(5885), དྲུག་ལས(176), ལས་བརྩམས(334); d ལ(33965), དྲུག་ལ(1063), ལ་བརྩམས(92); n ལ(33965), དྲུག་ལ(1063), ལ་བརྩམས(92); ,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,1
ཡིན་པར་རིག་པར་བྱའོ། །རྣམ་པ་གཅིག་ཏུ་,ན་,ན་,ན་,ནི་,རྣམ་གྲངས་གཞན་ཡང་བསམ་པ་ཡོངས་སུ་དག་པ་,K,g,,,,,,,,c=p=d n 12.50%,c ན(73509), ཏུ་ན(248), ན་རྣམ(1579); p ན(73509), ཏུ་ན(248), ན་རྣམ(1579); d ན(73509), ཏུ་ན(248), ན་རྣམ(1579); n ནི(44237), ཏུ་ནི(1878), ནི་རྣམ(5239); ,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,8
ཁམས་འཛིན་པ་དང་། བདག་དང་གཞན་ལ་ཚོགས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱི་,བར་ཆད་ཡོངས་སུ་སྤོང་བ་དང་། ཚོགས་ཀྱི་,K,p,,,,,,,,c=d=n p 62.50%,c ཀྱི(5256), ཚོགས་ཀྱི(2855), ཀྱི་བར་ཆད(97); p ཀྱིས(6156), ཚོགས་ཀྱིས(179); d ཀྱི(5256), ཚོགས་ཀྱི(2855), ཀྱི་བར་ཆད(97); n ཀྱི(5256), ཚོགས་ཀྱི(2855), ཀྱི་བར་ཆད(97); ,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,2
དྲུག་པོ་དག་རིག་པར་བྱའོ། །དང་པོ་དང་,གཉིས་པ་,གཉིས་པ ས་,གཉིས་པ ས་,གཉིས་པ ས་,ནི་སྡུག་བསྔལ་བ་དང་བདེ་བའི་གནས་སྐབས་ན,K,p,,,,,,,,c=d=n p 62.50%,c གཉིས་པས(234); p གཉིས་པ(438), གཉིས་པ་ནི(255), དང་གཉིས་པ(88); d གཉིས་པས(234); n གཉིས་པས(234); ,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,5
ཡོངས་སུ་ཟིན་པ་སྟེ། རྣམ་པ་དེ་ཉིད་,,ཀྱིས་,ཀྱིས་,ཀྱིས་,ཡང་དག་པར་བསྒྲུབས་པའི་ཕྱིར་རོ། །ཡོན་ཏན་,K,p,,,,,,,,c=d=n p 62.50%,c ཀྱིས(6156), དེ་ཉིད་ཀྱིས(118), ཀྱིས་ཡང་དག་པར(373); p (1), དེ་ཉིད(70), ཡང་དག་པར(52698); d ཀྱིས(6156), དེ་ཉིད་ཀྱིས(118), ཀྱིས་ཡང་དག་པར(373); n ཀྱིས(6156), དེ་ཉིད་ཀྱིས(118), ཀྱིས་ཡང་དག་པར(373); ,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,20
རྣམ་པ་དྲུག་པོ་བདག་གིས་བསྒོམས་པ་དེ་དག་,གིས་,གི་,གི་,གི་,ཕན་ཡོན་རྣམ་པ་དྲུག་ཁོང་དུ་ཆུད་པར་བྱ་,K,p,,,,,,,,c=d=n p 62.50%,c གི(1276), དེ་དག་གི(105); p གིས(2588), དེ་དག་གིས(272); d གི(1276), དེ་དག་གི(105); n གི(1276), དེ་དག་གི(105); ,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,22
རྣམ་གྲངས་གཞན་ཡང་བསམ་པ་ཡོངས་སུ་དག་པ་,རྣམ་,རྣམ་པ་,རྣམ་པ་,རྣམ་པ་,བཞིས་ཡོངས་སུ་བསྟན་ཏེ། ཆོས་ལ་བདག་མེད་,K,,པ་བ་,,,,s,,,c=d=n p 62.50%,c རྣམ་པ(33423), རྣམ་པ་བཞི(112), དག་པ་རྣམ་པ(40); p རྣམ(1), རྣམ་བཞི(229), དག་པ་རྣམ(71); d རྣམ་པ(33423), རྣམ་པ་བཞི(112), དག་པ་རྣམ་པ(40); n རྣམ་པ(33423), རྣམ་པ་བཞི(112), དག་པ་རྣམ་པ(40); ,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,9
ཕ་རོལ་ཏུ་ཕྱིན་པ་དང་ལྡན་པའི་དགེ་བའི་,རྩ་,རྩ་བ་,རྩ་བ་,རྩ་བ་,ལ་སྦྱོར་བར་བྱེད་པའོ། །བསམ་པ་རྣམ་པར་,K,,པ་བ་,,,,s,,,c=d=n p 62.50%,c རྩ་བ(9990), རྩ་བ་ལ(193), དགེ་བའི་རྩ་བ་ལ(119); p རྩ(197), རྩ་ལ(72); d རྩ་བ(9990), རྩ་བ་ལ(193), དགེ་བའི་རྩ་བ་ལ(119); n རྩ་བ(9990), རྩ་བ་ལ(193), དགེ་བའི་རྩ་བ་ལ(119); ,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,13
ཀ་སྟེ་བསམ་པ་དང་སྦྱོར་བ་གཅིག་ལ་གཅིག་,ལྟོས་པ་,ལྟོས་པ་,ལྟོས་པ་,#བལྟོས་པ་,གཉིས་ཤིན་ཏུ་མཐར་ཐུག་པའི་ཕྱིར་རོ། །ཆོས་,K,,,nw✓,,,,,,c=p=d n 12.50%,c ལྟོས་པ(162); p ལྟོས་པ(162); d ལྟོས་པ(162); n ; ,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,18
། ཕུན་སུམ་ཚོགས་པའི་དུས་ན་སེམས་ཅན་ལ་,ལྟ་བ་,བལྟ་བ་,བལྟ་བ་,ལྟ་བ་,དང་བཅས་པ་ལ་ཀུན་དུ་རྨོངས་པ་མི་,K,,,,,⟶,,,,c=d p=n 20.83%,c བལྟ་བ(834), ལ་བལྟ་བ(329), བལྟ་བ་དང(559), ལ་བལྟ་བ་དང(264); p ལྟ་བ(239), ལ་ལྟ་བ(512), ལྟ་བ་དང(64), ལ་ལྟ་བ་དང(114); d བལྟ་བ(834), ལ་བལྟ་བ(329), བལྟ་བ་དང(559), ལ་བལྟ་བ་དང(264); n ལྟ་བ(239), ལ་ལྟ་བ(512), ལྟ་བ་དང(64), ལ་ལྟ་བ་དང(114); ,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།,10
