Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རྟག་ཏུ་རྣམ་པར་རྒྱུ་བ་ཡིན། །རོ་མྱང་བ་ལ་ཆགས་པ་,ཡི,,ཡི,ཡིས,། །ཉ་ནི་ལྕགས་ཀྱུས་རླག་པར་བྱེད། །རྟག་,K,p,,,,,,,,p=d n 11.76%,p ཡི(8322), ཡི།_།(8252); d ཡི(8322), ཡི།_།(8252); n ཡིས(7433), ཡིས།_།(7321); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,9
ཞིང་། །ཉིན་མཚན་དུ་ནི་རབ་འཇོམས་ན། །,བདེ་བ་,,བདེ་བ་,བདེ་,གནས་ཇི་ཐོབ་པར་འགྱུར། །འདོད་པའི་ཡོན་ཏན་,K,,པ་བ་,,,,s,,,p=d n 11.76%,p བདེ་བ(150), །_།བདེ་བ(1194); d བདེ་བ(150), །_།བདེ་བ(1194); n བདེ(366), །_།བདེ(4807), བདེ་གནས(43); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,13
ལམ་འགྲོ་ཞིང་། །རྟག་ཏུ་རྣམ་པར་རྒྱུ་བ་,ཡི །_། རོ་ མྱག་པ་,,ཡིན །_། རོ་ མྱང་བ་,ཡི །_། རོ་ མྱག་པ་,ལ་ཆགས་པ་ཡི། །ཉ་ནི་ལྕགས་ཀྱུས་རླག་,K,,,nw✘,,,,,,p=n d 82.35%,p ; d ; n ; ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,8
སྟེ། །འདི་དག་རྒྱུ་ནི་རེ་རེ་ཡིས། །,རེ་རེ་ ཡིས །_། སྐྱེས་བུ་ དག་ ནི་,,,རེ་རེ་ ཡིས །_། སྐྱེས་བུ་ དག་ ནི་,གཅིག་ལ་ཡང་། །ལྔ་པོ་འདི་དག་རྟག་ལྡན་,K,,,nw✘,,,,,,p=n d 82.35%,p ; d (1), ནི(44237), གཅིག(620), ནི་གཅིག(878); n ; ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,12
པ་ཚོལ་བར་འགྱུར། །ས་སྲུང་དང་ནི་རབ་,འགྲན་,,#འགྲེན་,འགྲན་,ཅིང་། །རི་ཡི་རྒྱལ་པོ་རྒྱུན་ཤེས་བྱའི །།བན་,K,,,nw✓,,,,,,p=n d 82.35%,p འགྲན(1); d འགྲེན(1); n འགྲན(1); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,3
། །ངེས་པར་གསོད་པ་ཚོལ་བར་འགྱུར། །ས་,སྲུངས་,,སྲུང་,སྲུངས་,དང་ནི་རབ་འགྲེན་ཅིང་། །རི་ཡི་རྒྱལ་པོ་,K,,,,,⟶,,,,p=n d 82.35%,p སྲུངས(44); d སྲུང(2), ས་སྲུང(148), སྲུང་དང(317); n སྲུངས(44); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,2
བཅོམ་ན་གང་ཞིག་ལྔ་རྣམས་ནི། །རྟག་ཏུ་,བརྟེན་པ་,,བསྟན་པ་,བརྟེན་པ་,ཅི་ཕྱིར་བཅོམ་མི་འགྱུར། །རྩྭ་ཡི་མྱུ་གུ་,K,,,,,≠,,,,p=n d 82.35%,p བརྟེན་པ(61); d བསྟན་པ(590), ཏུ་བསྟན་པ(382); n བརྟེན་པ(61); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,1
ནི་རབ་འགྲེན་ཅིང་། །རི་ཡི་རྒྱལ་པོ་རྒྱུན་,ཤེས་ འདྲ འི,,ཤེས་བྱ འི,ཤེས་ འདྲ འི, །།བན་གླང་མོ་ཡི་ཉེ་རེག་གིས། །ངེས་,K,,,,,≠,,,,p=n d 82.35%,p ; d ཤེས་བྱའི(141); n ; ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,4
ཕྱེ་ལེབ་སྟེ། །རོ་ཡིས་ཉ་ནི་རྣམ་པར་,བརླག,,རླག,བརླག,།བུང་བ་དྲི་ལ་ཆགས་པ་སྟེ། །འདི་,K,,,,,≠,,,,p=n d 82.35%,p བརླག(63); d རླག(15); n བརླག(63); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,11
རྒྱལ་པོ་རྒྱུན་ཤེས་བྱའི །།བན་གླང་མོ་ཡི་ཉེ་,རིག་,,རེག་,རིག་,གིས། །ངེས་པར་གླང་པོ་བསད་སར་སོང་། །འབར་,K,,,,,?,,,,p=n d 82.35%,p རིག(265); d རེག(122), ཉེ་རེག(97); n རིག(265); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,5
མོ་ཡི་ཉེ་རེག་གིས། །ངེས་པར་གླང་པོ་,གསད་པ ར་,,བསད་ ས ར་,གསད་པ ར་,སོང་། །འབར་བ་ཆེན་པོའི་ཚོགས་དག་གི །,K,,,,,,≡,,,p=n d 82.35%,p གསད་པར(352); d ; n གསད་པར(352); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,6
སོང་། །འབར་བ་ཆེན་པོའི་ཚོགས་དག་གི །,མི་,,མེ་,མི་,ཆེན་དག་ནི་མཐོང་ནས་ཀྱང་། །གཟུགས་ལ་ཆགས་,K,,,,,,≡,,,p=n d 82.35%,p མི(406), _།མི(580), མི་ཆེན(98); d མེ(828), _།མེ(132), མེ་ཆེན(122); n མི(406), _།མི(580), མི་ཆེན(98); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,7
ཞིང་། །གཟུགས་ནི་ཤིན་ཏུ་ཡིད་འོང་བའི། །,བུང་བ་ དྲི་ ཡི་,,བུམ་པ་ དྲི་ ཡིས་,བུང་བ་ དྲི་ ཡི་,ཉེས་པ་ཡིས། །ངེས་པར་འཆི་བར་འགྱུར་བ་,K,,,,,,≡,,,p=n d 82.35%,p ; d ; n ; ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,10
ཉིན་མཚན་དུ་ནི་རབ་འཇོམས་ན། །བདེ་བ་གནས་,ཇི་ལྟར་,,ཇི་,ཇི་ལྟར་,ཐོབ་པར་འགྱུར། །འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་,K,,,,,,s,,,p=n d 82.35%,p ཇི་ལྟར(160); d ཇི(1), གནས་ཇི(113); n ཇི་ལྟར(160); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,14
བྷ་དྲ་དང་། །ཞུ་ཆེན་གྱི་ལོ་ཙཱ་བ་,དགེ་སློང་,,,དགེ་སློང་,རིན་ཆེན་བཟང་པོས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་,K,,,,,,s,,,p=n d 82.35%,p དགེ་སློང(45182); d (1), རིན་ཆེན(6412), ལོ་ཙཱ་བ(58); n དགེ་སློང(45182); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,15
ཆེན་གྱི་ལོ་ཙཱ་བ་རིན་ཆེན་བཟང་པོས་,,,བསྒྱུར་ ཅིང་,,ཞུས་ཏེ་གཏན་ལ་ཕབ་པའོ།།,K,,,,,,s,,,p=n d 82.35%,p (1), ས(542), ཞུས(108); d བསྒྱུར་ཅིང(582), བསྒྱུར་ཅིང་ཞུས(372); n (1), ས(542), ཞུས(108); ,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།,16
