Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པའི་གནས་ཀྱི་ཁྱད་པར་གྱི་བདག་པོར་གྱུར་པ་,ན་,ནི་,ནི་,ན་,འཇིག་རྟེན་རྣམས་ཀྱི་ནང་ན་ཁྱད་པར་དུ་འཕགས་,K,g,,,,,,,,c=d p=n 72.31%,c ནི(44237), གྱུར་པ་ནི(181), ནི་འཇིག་རྟེན(1579); p ན(73509), གྱུར་པ་ན(570), ན་འཇིག་རྟེན(1514); d ནི(44237), གྱུར་པ་ནི(181), ནི་འཇིག་རྟེན(1579); n ན(73509), གྱུར་པ་ན(570), ན་འཇིག་རྟེན(1514); ,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ།,4
རྡོ་རྗེ་དབང་བྱེད་པ་ཡིན་ཏེ། དེ་དག་,ན་,ནི་,ནི་,ན་,སྙིང་རྗེ་དང་། སྤངས་པ་དང་། ཡེ་ཤེས་,K,g,,,,,,,,c=d p=n 72.31%,c ནི(44237), དེ་དག་ནི(569), ནི་སྙིང་རྗེ(236); p ན(73509), དེ་དག་ན(105), ན་སྙིང་རྗེ(92); d ནི(44237), དེ་དག་ནི(569), ནི་སྙིང་རྗེ(236); n ན(73509), དེ་དག་ན(105), ན་སྙིང་རྗེ(92); ,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ།,7
ཡིན་ཏེ། དེ་རྣམས་ཀྱིས་གོ་རིམས་བཞིན་ཁོང་དུ་ཆུད་,ནས་,ན་,ན་,ནས་,ལྟ་བ་ལ་སོགས་པ་རྣམ་པར་དག་པར་ཡིད་,K,g,,,,,,,,c=d p=n 72.31%,c ན(73509); p ནས(35333), ཆུད་ནས(309); d ན(73509); n ནས(35333), ཆུད་ནས(309); ,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ།,41
དད་པ་མི་ཕྱེད་པའོ། །རྣམ་པ་གཅིག་ཏུ་,ན་,ན་,ན་,ནི་,གསུམ་ནི་ཚོགས་ཀྱི་ལམ་མོ། །བཞི་པ་ནི་,K,g,,,,,,,,c=p=d n 16.39%,c ན(73509), ཏུ་ན(248), ན་གསུམ(43); p ན(73509), ཏུ་ན(248), ན་གསུམ(43); d ན(73509), ཏུ་ན(248), ན་གསུམ(43); n ནི(44237), ཏུ་ནི(1878), ནི་གསུམ(452); ,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ།,79
རྟེན་ནི་ལས་ཀྱི་དབང་གིས་ཅི་རིགས་པར་དེ་,ནི་,ན་,ན་,ན་,གནས་པའི་སེམས་ཅན་རྣམས་དང་། གཟུགས་མེད་པ་,K,g,,,,,,,,c=d=n p 5.37%,c ན(73509), དེ་ན(5593), ན་གནས་པ(1603), དེ་ན་གནས་པ(55), དེ་ན་གནས་པའི(127); p ནི(44237), དེ་ནི(35963), ནི་གནས་པ(476); d ན(73509), དེ་ན(5593), ན་གནས་པ(1603), དེ་ན་གནས་པ(55), དེ་ན་གནས་པའི(127); n ན(73509), དེ་ན(5593), ན་གནས་པ(1603), དེ་ན་གནས་པ(55), དེ་ན་གནས་པའི(127); ,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ།,99
སོ། །དེ་ལ་ཐམས་ཅད་རབ་ཏུ་འགུལ་བ་,ན་,ནི་,ནི་,ན་,འཇིག་པའི་མི་རྟག་པ་ཉིད་ཀྱིས་ཏེ། འདི་ལྟར་དེ་,K,g,,,,,,,,c=d p=n 72.31%,c ནི(44237), ནི་འཇིག་པ(69); p ན(73509); d ནི(44237), ནི་འཇིག་པ(69); n ན(73509); ,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ།,111
པས་གཉི་གའི་དབང་དུ་བྱས་ནས་གསུངས་ཏེ། རྒྱུ་,ལ་,ལས་,ལས་,ལ་,འབྲས་བུ་བཏགས་པའི་ཕྱིར་རོ། །ཚིགས་སུ་བཅད་,K,g,,,,,,,,c=d p=n 72.31%,c ལས(5885), རྒྱུ་ལས(790), ལས་འབྲས་བུ(78); p ལ(33965), རྒྱུ་ལ(339), ལ་འབྲས་བུ(130); d ལས(5885), རྒྱུ་ལས(790), ལས་འབྲས་བུ(78); n ལ(33965), རྒྱུ་ལ(339), ལ་འབྲས་བུ(130); ,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ།,120
ཀྱིས་སྐྱོན་མེད་པའི་ཕྱིར་རྒྱལ་བའོ། །གཞན་དག་,ནི་,གི་,གི་,ནི་,ཉོན་མོངས་པ་དང་འགྱོད་པ་སེལ་བས་རྣམ་འདྲེན་,K,g,,,,,,,,c=d p=n 72.31%,c གི(1276), གཞན་དག་གི(313), གི་ཉོན་མོངས་པ(55); p ནི(44237), གཞན་དག་ནི(78), ནི་ཉོན་མོངས་པ(334); d གི(1276), གཞན་དག་གི(313), གི་ཉོན་མོངས་པ(55); n ནི(44237), གཞན་དག་ནི(78), ནི་ཉོན་མོངས་པ(334); ,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ།,130
། བསོད་ནམས་དང་ཡེ་ཤེས་ཀྱི་ཚོགས་ཐམས་ཅད་,ལས་,ལ་,ལ་,ལས་,གོམས་པ་དང་། ཡུན་རིང་པོར་གོམས་པ་དང་,K,g,,,,,,,,c=d p=n 72.31%,c ལ(33965), ལ་གོམས་པ(42), ཐམས་ཅད་ལ(486); p ལས(5885), ཐམས་ཅད་ལས(59); d ལ(33965), ལ་གོམས་པ(42), ཐམས་ཅད་ལ(486); n ལས(5885), ཐམས་ཅད་ལས(59); ,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ།,139
། ཁ་ན་མ་ཐོ་བ་མེད་པའི་རེག་པ་,ལས་,ལ་,ལ་,ལས་,གནས་སོ་ཞེས་སོ་སོར་རྟོག་པར་བྱེད་དོ། །,K,g,,,,,,,,c=d p=n 72.31%,c ལ(33965), ལ་གནས(1161), རེག་པ་ལ(626), རེག་པ་ལ་གནས(147); p ལས(5885), ལས་གནས(68), རེག་པ་ལས(1481); d ལ(33965), ལ་གནས(1161), རེག་པ་ལ(626), རེག་པ་ལ་གནས(147); n ལས(5885), ལས་གནས(68), རེག་པ་ལས(1481); ,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ།,179
