Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པ་འདི་སྙམ་དུ་ངས་སེམས་ཅན་རྣམས་བཀྲོལ་ལོ་,ཞེས་བྱ་བ་,ཞེས་བྱ་བ ར་,ཞེས་བྱ་བ་,ཞེས་བྱ་བ་,དེ་ལྟ་བུ་ལ་སོགས་པ་གསུངས་སོ། །ཆོས་,K,p,,,,,,,,c p=d=n 94.44%,c ཞེས་བྱ་བར(13889), ལོ་ཞེས་བྱ་བར(329); p ཞེས་བྱ་བ(535), ལོ་ཞེས་བྱ་བ(83), ཞེས་བྱ་བ་དེ་ལྟ་བུ(93); d ཞེས་བྱ་བ(535), ལོ་ཞེས་བྱ་བ(83), ཞེས་བྱ་བ་དེ་ལྟ་བུ(93); n ཞེས་བྱ་བ(535), ལོ་ཞེས་བྱ་བ(83), ཞེས་བྱ་བ་དེ་ལྟ་བུ(93); ,10-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།,2
བགྱིའོ་ཞེས་གསུངས་པ་ཡིན་ཏེ། འདིར་འཇིག་རྟེན་,གྱི་,,གྱི་,གྱི་,ཁམས་ནི་སེམས་ཅན་གྱི་འཇིག་རྟེན་དུ་དགོངས་ཏེ,K,p,,,,,,,,c p=d=n 94.44%,c (1), ཁམས(224), འཇིག་རྟེན(42680), འཇིག་རྟེན་ཁམས(48), འཇིག་རྟེན་ཁམས་ནི(104); p གྱི(3024), གྱི་ཁམས(14578), འཇིག་རྟེན་གྱི(40), འཇིག་རྟེན་གྱི་ཁམས(13473), འཇིག་རྟེན་གྱི་ཁམས་ནི(43); d གྱི(3024), གྱི་ཁམས(14578), འཇིག་རྟེན་གྱི(40), འཇིག་རྟེན་གྱི་ཁམས(13473), འཇིག་རྟེན་གྱི་ཁམས་ནི(43); n གྱི(3024), གྱི་ཁམས(14578), འཇིག་རྟེན་གྱི(40), འཇིག་རྟེན་གྱི་ཁམས(13473), འཇིག་རྟེན་གྱི་ཁམས་ནི(43); ,10-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།,6
བར་བསྟན་ཏོ། །སྡུག་བསྔལ་མི་བཟོད་པ་ཉིད་,ཀྱིས་,ཀྱི་,ཀྱིས་,ཀྱིས་,དབེན་པའི་དབང་དུ་བྱས་ནས། ཡང་རབ་འབྱོར་,K,p,,,,,,,,c p=d=n 94.44%,c ཀྱི(5256), ཉིད་ཀྱི(171); p ཀྱིས(6156), ཉིད་ཀྱིས(603); d ཀྱིས(6156), ཉིད་ཀྱིས(603); n ཀྱིས(6156), ཉིད་ཀྱིས(603); ,10-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།,9
ལྟ་སྟེ་དཔེར་ན། མི་ཞིག་མུན་པར་ཞུགས་,ཞེས་བྱ་བ་,ཞེས་བྱ་བ ར་,ཞེས་བྱ་བ་,ཞེས་བྱ་བ་,རྒྱས་པས་ལོངས་སྤྱོད་མ་ཚང་བའི་སྡུག་བསྔལ་ལ་,K,p,,,,,,,,c p=d=n 94.44%,c ཞེས་བྱ་བར(13889); p ཞེས་བྱ་བ(535); d ཞེས་བྱ་བ(535); n ཞེས་བྱ་བ(535); ,10-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།,10
རྣམ་པ་སྣ་ཚོགས་པའི་ཤེས་བྱ་ཡང་དག་པ་,ཇི་ལྟ་,ཇི་ལྟ་བ་,ཇི་ལྟ་,ཇི་ལྟ་,བཞིན་དུ་མཐོང་བ་སྐྱེད་པར་བྱེད་དོ། །གཞན་,K,,པ་བ་,,,,s,,,c p=d=n 94.44%,c ཇི་ལྟ་བ(6654), ཇི་ལྟ་བ་བཞིན(5299), ཡང་དག་པ་ཇི་ལྟ་བ(3029), ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན(2954), ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ(1644); p ཇི་ལྟ(11033), ཇི་ལྟ་བཞིན(50), ཡང་དག་པ་ཇི་ལྟ(3080); d ཇི་ལྟ(11033), ཇི་ལྟ་བཞིན(50), ཡང་དག་པ་ཇི་ལྟ(3080); n ཇི་ལྟ(11033), ཇི་ལྟ་བཞིན(50), ཡང་དག་པ་ཇི་ལྟ(3080); ,10-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།,11
ཤེས་པར་བྱའོ། །ཡང་རབ་འབྱོར། ས་མཿས་,#དྷརྨཿཆོས་,#དྷརྨ་ ཆོས་,#དྷརྨཿཆོས་,#དྷརྨཿཆོས་,ཆོས་དེ་ནི་མཉམ་པ། ཞེས་པས་ནི་ཡང་,K,,,,✓,,,,,c p=d=n 94.44%,c ; p ; d ; n ; ,10-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།,14
དང་། མངོན་པའི་ང་རྒྱལ་མེད་པ་གསལ་བར་,བསྟན་,སྟོན་,བསྟན་,བསྟན་,ཏོ། །ཅི་ལྟར་ཡེ་ཤེས་ཐོབ་པས་ཤེ་ན,K,,,,,⟶,,,,c p=d=n 94.44%,c སྟོན(1845), སྟོན་ཏོ(146); p བསྟན(2152), བསྟན་ཏོ(211); d བསྟན(2152), བསྟན་ཏོ(211); n བསྟན(2152), བསྟན་ཏོ(211); ,10-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།,12
གསུངས་སོ། །དོན་ཆེན་པོ་གདམས་ངག་རྣམ་པར་,བཞག་པ འི་,གཞག་པ འི་,བཞག་པ འི་,བཞག་པ འི་,དབང་དུ་བྱས་ནས། དེ་བཞིན་གཤེགས་པས་འདི་,K,,,,,⟶,,,,c p=d=n 94.44%,c གཞག་པའི(578), རྣམ་པར་གཞག་པའི(231); p བཞག་པའི(343); d བཞག་པའི(343); n བཞག་པའི(343); ,10-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།,15
ལ་སོགས་པ་གསུངས་སོ། །བསྒོམས་པས་ཁྱད་པར་,རྟོགས་པ་,གཏོགས་པ་,རྟོགས་པ་,རྟོགས་པ་,ལ་མངོན་པའི་ང་རྒྱལ་མེད་པའི་དབང་དུ་བྱས་,K,,,,,≠,,,,c p=d=n 94.44%,c གཏོགས་པ(79); p རྟོགས་པ(218), རྟོགས་པ་ལ(76); d རྟོགས་པ(218), རྟོགས་པ་ལ(76); n རྟོགས་པ(218), རྟོགས་པ་ལ(76); ,10-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།,1
གཟུགས་ཀྱི་སྐུའི་གཟུགས་བརྙན་གྱི་མཚན་མ་ཟིལ་གྱིས་,གནོན་པ འི་,མནན་པ འི་,གནོན་པ འི་,གནོན་པ འི་,དོན་དུ་ཐབས་རྣམ་པ་གཉིས་བསྟན་ཏེ། ཕྲ་,K,,,,,≠,,,,c p=d=n 94.44%,c མནན་པའི(64); p གནོན་པའི(311), གྱིས་གནོན་པའི(130); d གནོན་པའི(311), གྱིས་གནོན་པའི(130); n གནོན་པའི(311), གྱིས་གནོན་པའི(130); ,10-4_ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།,4
