Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
དང་འབྲེལ་མ་ཡིན། །རྟགས་ཀྱི་མི་འཁྲུལ་བ་,ཡང་ ནི,,ཡང་ ནི,ཡང་ན, །།ཆོས་དང་གཞན་དུ་བསྟན་པར་བྱ། །དེ་,K,g,,,,,,,,p=d n 96.67%,p ཡང་ནི(1248); d ཡང་ནི(1248); n ཡང་ན(2863); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,5
རྣམ་པར་བརྟགས། །དོན་དུ་མེད་ཀྱང་གོམ་པ་,ནི,,ནི,ན,། །ཇི་ལྟ་བ་བཞིན་ངག་རྣམས་ལས། །རང་,K,g,,,,,,,,p=d n 96.67%,p ནི(44237), ནི།_།(28227); d ནི(44237), ནི།_།(28227); n ན(73509), ན།_།(11932); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,21
ལས་གཞན་མིན། །གང་ཞིག་ངག་ལས་རྟོག་པ་,ནི,,ནི,ན,། །སྣ་ཚོགས་རྟོག་པར་སྐྱེ་འགྱུར་བ། །རང་,K,g,,,,,,,,p=d n 96.67%,p ནི(44237), ནི།_།(28227), རྟོག་པ་ནི(187); d ནི(44237), ནི།_།(28227), རྟོག་པ་ནི(187); n ན(73509), ན།_།(11932), རྟོག་པ་ན(75); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,23
ཐལ་བར་འགྱུར། །མ་ངེས་དེ་ནི་གཞན་དུ་,བརྗོད,,བརྗོད,བརྗོད་ དོ, །།ཐམས་ཅད་བསྒྲུབ་བྱར་བརྗོད་མ་ཡིན། །དབང་པོ་,K,p,,,,,,,,p=d n 96.67%,p བརྗོད(1943), དུ་བརྗོད(95); d བརྗོད(1943), དུ་བརྗོད(95); n བརྗོད་དོ(1573), དུ་བརྗོད་དོ(364); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,1
རིག་རྣམ་པས་འདོད་ཅེ་ན། །དེ་རིག་བརྗོད་,མིན་,,མིན་,མིན་པ་,གཞན་གྱིས་ནི། །གལ་ཏེ་བརྗོད་ན་ཇི་ལྟར་,K,,པ་བ་,,,,s,,,p=d n 96.67%,p མིན(2164); d མིན(2164); n མིན་པ(75); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,7
གཞན་ལས་རྟོགས་ཕྱིར་དེ་དོན་མེད། །དེ་ལྟར་,འདོད་པ་,,འདོད་པ་,འདོད་,མངོན་སུམ་ནི། །རང་འདོད་ལྟ་ཙམ་ཡིན་པའི་,K,,པ་བ་,,,,s,,,p=d n 96.67%,p འདོད་པ(696); d འདོད་པ(696); n འདོད(802), དེ་ལྟར་འདོད(77); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,8
འཁྲུལ་པ་དང་། །རྟག་པར་ཐལ་ཕྱིར་དེར་སྣང་,,,,#ཏན་,ཉིད། །སྤྱི་ཡིས་ཀྱང་ཡིན་མེད་ལ་ཡོན་,K,,,nw✓,,,,,,p=d n 96.67%,p (1), སྣང(3), ཉིད(4415); d (1), སྣང(3), ཉིད(4415); n ཏན(35); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,28
ཕྱིར་དེར་སྣང་ཉིད། །སྤྱི་ཡིས་ཀྱང་ཡིན་,,,,#ཏན་,མེད་ལ་ཡོན་ཏན་དུ། །ཤེས་པའི་འཇིག་རྟེན་,K,,,nw✓,,,,,,p=d n 96.67%,p (1), མེད(12565), ཡིན(32960), ཡིན་མེད(47); d (1), མེད(12565), ཡིན(32960), ཡིན་མེད(47); n ཏན(35), ཏན་མེད(68); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,29
དེ་ཆོས་མཐུན་དང་ཅིག་ཤོས་གཉིས། །བསྒྲུབ་བྱ་,སྒྲུབ་,,སྒྲུབ་,བསྒྲུབ་,ལ་སྒྲུབ་པ་ཡིས། །བསྟན་བྱ་བསྒྲུབ་བྱ་མེད་,K,,,,,⟶,,,,p=d n 96.67%,p སྒྲུབ(176), སྒྲུབ་ལ(45); d སྒྲུབ(176), སྒྲུབ་ལ(45); n བསྒྲུབ(271); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,14
རྟགས་ནི་གྲུབ་ཅེ་ན། །གཞན་དེས་ཅི་ཞིག་,དཔོག་པ ར་,,དཔོག་པ ར་,དཔག་པ ར་,བྱེད། །ཅི་སྟེ་ཆོས་ཅན་ལ་དེ་ཉིད། །,K,,,,,≠,,,,p=d n 96.67%,p ; d ; n དཔག་པར(81); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,4
འབྲེལ་པ་སྒྲུབ་དོན་དུ། །གལ་ཏེ་དཔེ་གཉིས་,བརྗོད་,,བརྗོད་,རྗོད་,བྱེད་ན། །དཔེ་ནི་ཐ་དད་ཉིད་ཡིན་ནོ,K,,,,,≠,,,,p=d n 96.67%,p བརྗོད(1943), བརྗོད་བྱེད(100); d བརྗོད(1943), བརྗོད་བྱེད(100); n རྗོད(65), རྗོད་བྱེད(157); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,15
དང་ནི་ཚོགས་པ་ཡི། །ཆུ་ཚོགས་རྣམས་ལ་,བརྗོད་,,བརྗོད་,རྗོད་,བྱེད་ནི། །གྲངས་དང་ཚད་དང་དབྱིབས་རྣམས་ལ,K,,,,,≠,,,,p=d n 96.67%,p བརྗོད(1943), ལ་བརྗོད(279), བརྗོད་བྱེད(100); d བརྗོད(1943), ལ་བརྗོད(279), བརྗོད་བྱེད(100); n རྗོད(65), ལ་རྗོད(79), རྗོད་བྱེད(157); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,24
མ་ངེས་དེ་ནི་གཞན་དུ་བརྗོད །།ཐམས་ཅད་,བསྒྲུབ་ བྱ ར་,,བསྒྲུབ་ བྱ ར་,བསྒྲུབ་པ ར་,བརྗོད་མ་ཡིན། །དབང་པོ་ཐ་དད་མེད་ཀྱང་,K,,,,,,≡,,,p=d n 96.67%,p ; d ; n བསྒྲུབ་པར(3518), ཐམས་ཅད་བསྒྲུབ་པར(80); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,2
མ་ཡིན་ལའང་མཐོང་བའི་ཕྱིར། །དེ་མིན་སྤྱི་,ནི་ མཚོན་པ འི་,,ནི་ མཚོན་པ འི་,མི་ ཡིན་པ འི་,ཕྱིར། །ཡིད་ཆེས་མིང་ནི་བསྒྲུབས་པ་ཡིས། །,K,,,,,,≡,,,p=d n 96.67%,p ; d ; n ; ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,3
བསྟན་པར་བྱ། །དོན་གྱི་ཆོས་རྣམས་དུ་མ་,ནི,,ནི,ཡིན, །།ཐམས་ཅད་རྟགས་ལས་རྟོག་མ་ཡིན། །གང་,K,,,,,,≡,,,p=d n 96.67%,p ནི(44237), དུ་མ་ནི(47); d ནི(44237), དུ་མ་ནི(47); n ཡིན(32960), དུ་མ་ཡིན(94); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,6
འདིར། །གྲུབ་པ་མེད་ལ་དོན་བྱས་ཉིད། །,དེ་ལྟ་ན་,,དེ་ལྟ་ན་,དེ་ལྟར་ན་,ཡང་དཔེ་དང་རྟགས། །མ་གྲུབ་བརྗོད་པ་ཐལ་,K,,,,,,≡,,,p=d n 96.67%,p དེ་ལྟ་ན(978), །_།དེ་ལྟ་ན(60), དེ་ལྟ་ན་ཡང(80); d དེ་ལྟ་ན(978), །_།དེ་ལྟ་ན(60), དེ་ལྟ་ན་ཡང(80); n དེ་ལྟར་ན(149), དེ་ལྟར་ན་ཡང(67), །_།དེ་ལྟར་ན(456); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,10
ཚིགས་སྒོ་ནས་ནི། །གང་ཞིག་མི་འདོད་ཐལ་,,,,བར་,འགྱུར་བའི། །དེ་སྒོ་ཉིད་ནས་ཐལ་བའི་ཕྱིར,K,,,,,,≡,,,p=d n 96.67%,p (1), ཐལ(7), འགྱུར་བ(1037); d (1), ཐལ(7), འགྱུར་བ(1037); n བར(1385), ཐལ་བར(206), བར་འགྱུར་བ(91); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,11
། །རྟགས་མེད་པར་ནི་ཐལ་བ་གང་། །གསལ་,ཏེ་,,ཏེ་,བསལ་,འོངས་པས་བརྗོད་ན་ནི། །དེ་ནི་དཔེ་གཉིས་,K,,,,,,≡,,,p=d n 96.67%,p ཏེ(80365), གསལ་ཏེ(40), ཏེ་འོངས་པ(61); d ཏེ(80365), གསལ་ཏེ(40), ཏེ་འོངས་པ(61); n བསལ(105); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,12
ཡིན། །གང་ཡང་ཕྱོགས་ཆོས་མཐོང་བ་ལས། །,ཤེས་པ ར་,,ཤེས་པ ར་,ཤེས་ རང་,འདོད་ལ་བཟློག་པ་ཡིས། །གནོད་པ་བྱེད་དང་,K,,,,,,≡,,,p=d n 96.67%,p ཤེས་པར(7650), །_།ཤེས་པར(46), ཤེས་པར་འདོད(97); d ཤེས་པར(7650), །_།ཤེས་པར(46), ཤེས་པར་འདོད(97); n ཤེས་རང(111); ,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།,13
