Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མཛོད་ཅེས་བྱ་ཅེས་བྱ་བའོ།།ཆོས་མངོན་པ་ཞེས་བྱ་བ་,འདི་,ནི་,ནི་,འདི་,གང་ཞེ་ན།ཆོས་མངོན་ཤེས་རབ་དྲི་མེད་,K,g,,,,,,,,c=d p=n 68.80%,c ནི(44237), ནི་གང(5165), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་གང(182); p འདི(1651), འདི་གང(366), ཞེས་བྱ་བ་འདི(771); d ནི(44237), ནི་གང(5165), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་གང(182); n འདི(1651), འདི་གང(366), ཞེས་བྱ་བ་འདི(771); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,10
འོ་ན་ཅི་ཞེ་ན།རྐྱེན་མ་ཚང་བ་,ལས་,ལས་,ལས་,ལ་,ཐོབ་བའོ།།ཡང་།ལམ་མ་གཏོགས་པའི་འདུས་,K,g,,,,,,,,c=p=d n 14.65%,c ལས(5885); p ལས(5885); d ལས(5885); n ལ(33965); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,32
གང་དག་ཟག་བཅས་ཉེར་ལེན་པའི།།ཕུང་པོའང་,དེ་ དང ་།_,དེ་དག །_,དེ་དག །_,དེ་ དང ་།_,།དེ་དག་ཉེ་བར་ལེན་པ་དག་ནི་ཉོན་,K,g,,,,,,,,c=d p=n 68.80%,c ; p དེ་དང་།_(734); d ; n དེ་དང་།_(734); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,35
ཟིན་པའི་འབྱུང་བ་ཆེན་པོའི་རྒྱུ་ལས་བྱུང་བ་,ནི་,འདི་,ནི་,ནི་,ལག་པ་དང་ངག་གི་སྒྲའོ།།མ་ཟིན་པའི་,K,g,,,,,,,,c p=d=n 2.08%,c འདི(1651), བྱུང་བ་འདི(484); p ནི(44237), ནི་ལག་པ(130), བྱུང་བ་ནི(169); d ནི(44237), ནི་ལག་པ(130), བྱུང་བ་ནི(169); n ནི(44237), ནི་ལག་པ(130), བྱུང་བ་ནི(169); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,43
དབྱིབས་ལས་ཞེས་བརྗོད།།འདི་ལྟར་ས་སྟོན་པ་,ནི་,ན་,ན་,ནི་,ཁ་དོག་དང་དབྱིབས་སྟོན་པར་བྱེད་དོ།།ས་,K,g,,,,,,,,c=d p=n 68.80%,c ན(73509), སྟོན་པ་ན(57); p ནི(44237), ནི་ཁ་དོག(233), སྟོན་པ་ནི(75); d ན(73509), སྟོན་པ་ན(57); n ནི(44237), ནི་ཁ་དོག(233), སྟོན་པ་ནི(75); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,57
ཤེས་སོ་སོར་རྣམ་རིག་པ།ཡུལ་དང་ཡུལ་,ལ་,ལས་,ལས་,ལ་,སོ་སོར་རྣམ་པར་རིག་ཅིང་དམིགས་པ་ནི་རྣམ་,K,g,,,,,,,,c=d p=n 68.80%,c ལས(5885), ཡུལ་ལས(297); p ལ(33965), ཡུལ་ལ(1105), ལ་སོ་སོ(87); d ལས(5885), ཡུལ་ལས(297); n ལ(33965), ཡུལ་ལ(1105), ལ་སོ་སོ(87); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,59
བཞིན་ཡིན་པ་དེ་དག་གི་ལྟར་ན་དེ་དག་,གི་,ནི་,ནི་,གི་,གཟུགས་ཀྱི་ཕུང་པོས་བསྡུས་སོ།།གང་དག་གི་,K,g,,,,,,,,c=d p=n 68.80%,c ནི(44237), དེ་དག་ནི(569), ནི་གཟུགས(1395); p གི(1276), དེ་དག་གི(105), གི་གཟུགས(722); d ནི(44237), དེ་དག་ནི(569), ནི་གཟུགས(1395); n གི(1276), དེ་དག་གི(105), གི་གཟུགས(722); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,105
བ་དང་།འབྱུང་བ་ལས་གྱུར་པའོ།།དེ་,ལ་,ལ་,ལ་,ལས་,འབྱུང་བ་དག་ནི་བཞིའོ།།འབྱུང་བ་ལས་གྱུར་,K,g,,,,,,,,c=p=d n 14.65%,c ལ(33965), དེ་ལ(763), ལ་འབྱུང་བ(106); p ལ(33965), དེ་ལ(763), ལ་འབྱུང་བ(106); d ལ(33965), དེ་ལ(763), ལ་འབྱུང་བ(106); n ལས(5885), དེ་ལས(5447), ལས་འབྱུང་བ(181); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,123
པ་དང་བཅས་པ་ཡིན་ནོ།།ལྷག་མ་ནི་,དེ་ དང་,དེ་དག་,དེ་དག་,དེ་ དང་,མཚུངས་པ་དག་ཀྱང་ཡིན།།ཀྱང་ཞེས་བྱ་བའི་,K,g,,,,,,,,c=d p=n 68.80%,c དེ་དག(179), ནི་དེ་དག(590); p དེ་དང(64), ནི་དེ་དང(94); d དེ་དག(179), ནི་དེ་དག(590); n དེ་དང(64), ནི་དེ་དང(94); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,147
བརྟེན་པ་དང་བཅས་པ་ནི་དངོས་པོའི་བྱེད་པ་,ལས་,ལ་,ལ་,ལས་,བརྟེན་པ་སྟེ།དེ་འདི་དག་ལ་ཡོད་པས་,K,g,,,,,,,,c=d p=n 68.80%,c ལ(33965), བྱེད་པ་ལ(65), ལ་བརྟེན་པ(145); p ལས(5885), བྱེད་པ་ལས(211); d ལ(33965), བྱེད་པ་ལ(65), ལ་བརྟེན་པ(145); n ལས(5885), བྱེད་པ་ལས(211); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,153
དང་།དགེ་བ་ཟག་པ་དང་བཅས་པ་རྣམས་,ནི་,ནི་,ནི་,ན་,རྣམ་པར་སྨིན་པ་དང་བཅས་པ་དག་ཡིན་ནོ,K,g,,,,,,,,c=p=d n 14.65%,c ནི(44237), རྣམས་ནི(8962), ནི་རྣམ་པར(3262), རྣམས་ནི་རྣམ་པར(192), རྣམས་ནི་རྣམ་པར་སྨིན་པ(129); p ནི(44237), རྣམས་ནི(8962), ནི་རྣམ་པར(3262), རྣམས་ནི་རྣམ་པར(192), རྣམས་ནི་རྣམ་པར་སྨིན་པ(129); d ནི(44237), རྣམས་ནི(8962), ནི་རྣམ་པར(3262), རྣམས་ནི་རྣམ་པར(192), རྣམས་ནི་རྣམ་པར་སྨིན་པ(129); n ན(73509), རྣམས་ན(300), ན་རྣམ་པར(1044); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,219
དག་ནི་ཉོན་མོངས་པ་ཅན་གྱི་སེམས་ཐམས་ཅད་,ལས་,ལ་,ལ་,ལས་,འབྱུང་ངོ་།།མི་དགེ་ལ་ནི་ཁྲེལ་མེད་དང་,K,g,,,,,,,,c=d p=n 68.80%,c ལ(33965), ལ་འབྱུང(368), ཐམས་ཅད་ལ(486); p ལས(5885), ལས་འབྱུང(713), ཐམས་ཅད་ལས(59); d ལ(33965), ལ་འབྱུང(368), ཐམས་ཅད་ལ(486); n ལས(5885), ལས་འབྱུང(713), ཐམས་ཅད་ལས(59); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,267
།མ་ཐོབ་པ་དང་།རྣམ་པར་ཉམས་པ་,ལ་,ལས་,ལས་,ལ་,རྙེད་པ་དང་།ཐོབ་ནས་ལྡན་པའོ།།བཟློག་,K,g,,,,,,,,c=d p=n 68.80%,c ལས(5885); p ལ(33965), ཉམས་པ་ལ(67), ལ་རྙེད་པ(82); d ལས(5885); n ལ(33965), ཉམས་པ་ལ(67), ལ་རྙེད་པ(82); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,283
།།སླར་ཡང་ཐོབ་པ་དང་མ་ཐོབ་པ་དག་,ནི,ནི,ནི,གི,།འགོག་གཉིས་ཀྱི།སོ་སོར་བརྟགས་པ་མ་,K,g,,,,,,,,c=p=d n 14.65%,c ནི(44237), ནི།_(15867), དག་ནི(15855), དག་ནི།_(420); p ནི(44237), ནི།_(15867), དག་ནི(15855), དག་ནི།_(420); d ནི(44237), ནི།_(15867), དག་ནི(15855), དག་ནི།_(420); n གི(1276), གི།_(186), དག་གི(341); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,286
ཏེ་སྐྱེ་བའི་དབང་གིས་སོ།།དེ་ནི་བསྡུས་,ན་,ནས་,ནས་,ན་,རྣམ་པ་བཞིར་འགྱུར་རོ།།སློབ་པ་རྣམས་ཀྱི་,K,g,,,,,,,,c=d p=n 68.80%,c ནས(35333), བསྡུས་ནས(421), ནས་རྣམ་པ(122); p ན(73509), བསྡུས་ན(49), ན་རྣམ་པ(427); d ནས(35333), བསྡུས་ནས(421), ནས་རྣམ་པ(122); n ན(73509), བསྡུས་ན(49), ན་རྣམ་པ(427); ,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།,293
