Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རྟོག་པའོ། །བྱང་ཆུབ་ཀྱི་སྨོན་ལམ་དེའི་རྒྱུ་,ཡང་,,,ཡང་,བཞི་སྟེ། རིགས་དང་དགེ་བཤེས་སྙིང་རྗེ་དང་,K,p,,,,,,,,p=n d 59.09%,p ཡང(82), ཡང་བཞི(100), རྒྱུ་ཡང(234); d (1), བཞི(541), རྒྱུ(523); n ཡང(82), ཡང་བཞི(100), རྒྱུ་ཡང(234); ,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,3
བཞི་སྟེ། རེ་ཞིག་དེ་ལ་སྡུག་བསྔལ་རྣམས་,ཀྱི་,,ཀྱིས་,ཀྱི་,སྨས་པའི་སེམས་ཅན་ལ་ཞེས་བྱ་བ་འདི་དག་,K,p,,,,,,,,p=n d 59.09%,p ཀྱི(5256), རྣམས་ཀྱི(571); d ཀྱིས(6156), རྣམས་ཀྱིས(952); n ཀྱི(5256), རྣམས་ཀྱི(571); ,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,4
དབང་མཛད་པའོ། །ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་,ཀྱི་,,ཀྱིས་,ཀྱི་,ནི་ཡུལ་ཅན་ཕྲ་རྒྱས་རྣམས་བཅོམ་ནས། །ཞེས་,K,p,,,,,,,,p=n d 59.09%,p ཀྱི(5256), ཀྱི་ནི(1448), སྐྱེ་མཆེད་ཀྱི(704); d ཀྱིས(6156), ཀྱིས་ནི(2449), སྐྱེ་མཆེད་ཀྱིས(45); n ཀྱི(5256), ཀྱི་ནི(1448), སྐྱེ་མཆེད་ཀྱི(704); ,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,12
མཛད་པའི་གནས་སྐབས་ཀྱི་ལེའུ་སྟེ་དྲུག་པའོ།། །།,ཐ་མ་,,ཐ་མ ས་,ཐ་མ་,ནི་ཡོངས་སུ་བསྔོ་བ་བསྟན་ཏོ། །དེ་ལྟར་,K,p,,,,,,,,p=n d 59.09%,p ཐ་མ(130), ཐ་མ་ནི(120); d ཐ་མས(60); n ཐ་མ(130), ཐ་མ་ནི(120); ,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,20
སུ་སྨིན་པར་མཛད་པ་དག་གོ། །དེ་ལ་,ཉོན་མོངས་བ ས་པ ས་,,ཉོན་མོངས་བ ས་པ ས་,ཉོན་མོངས་པ ས་པ ས་,བྱང་ཆུབ་ཅེས་བྱ་བ་འདི་དག་གིས་ནི་ཉོན་,K,,པ་བ་,,,,≡,,,p=d n 18.18%,p ; d ; n ; ,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,11
གིས་ནི་རྒྱུ་ཡོངས་སུ་རྫོགས་པའོ། །མངའ་དབང་,མཛད་,,མཛད་པ་,མཛད་,བསྟན་པའི་རྒྱུའི་གནས་སྐབས་བསྟན་པའི་ལེའུ་སྟེ་བཞི་,K,,པ་བ་,,,,s,,,p=n d 59.09%,p མཛད(2928), དབང་མཛད(43); d མཛད་པ(1162); n མཛད(2928), དབང་མཛད(43); ,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,16
བསྐྱེད་པ་ལ་སོ་སོར་རྟོག་པའོ། །མ་རིག་,#མདོངས་པ ས་,,ལྡོངས་པ ས་,#མདོངས་པ ས་,ཞེས་བྱ་བ་འདི་དག་ནི་ཕན་བཏགས་པ་ལ་,K,,,nw✓,,,,,,p=n d 59.09%,p ; d ; n ; ,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,5
པའི་ལེའུ་སྟེ་བཞི་པའོ།། །།འཇིག་རྟེན་མ་རིག་,#མདོངས་,,ལྡོངས་,#མདོངས་,གྱུར་ལ། ཞེས་བྱ་བ་འདི་དག་གིས་ནི་,K,,,nw✓,,,,,,p=n d 59.09%,p མདོངས(2); d ལྡོངས(5); n མདོངས(2); ,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,17
,#བརྱན་,,#པརྱནྟ་,#བརྱན་,སྟོ་ཏྲ་ཊཱི་ཀཱ། བོད་སྐད་དུ། ཡོན་,K,,,,✓,,,,,p=n d 59.09%,p ; d ; n ; ,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,1
ཆེན་པོ་ཕྱོགས་ཀྱི་གླང་པོས་མཛད་པ་རྫོགས་སོ,།།་  རྒྱ་གར་ གྱི་ མཁན་པོ་ སརྦ་ #ཛྙཱ་ དེ་བ་ དང ་།_ ལོ་ཙཱ་བ་ བན་དེ་ རིན་ཆེན་ མཆོག་ གིས་ བསྒྱུར་བ འོ,,,།།་  རྒྱ་གར་ གྱི་ མཁན་པོ་ སརྦ་ #ཛྙཱ་ དེ་བ་ དང ་།_ ལོ་ཙཱ་བ་ བན་དེ་ རིན་ཆེན་ མཆོག་ གིས་ བསྒྱུར་བ འོ,ནི་ཡོངས་སུ་བསྔོ་བ་བསྟན་ཏོ། །དེ་ལྟར་,K,,,,✓,,,,,p=n d 59.09%,p ; d (1), །།(216), སོ(40406); n ; ,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།,21
