Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གྱིས་ཀྱང་ལྡོག་པ་མ་ཡིན་ཏེ། བསྐལ་པ་,རྣམས་,དག་,དག་,རྣམས་,ལ་ཐམས་ཅད་གཟིགས་པ་མ་ཡིན་པའི་མ་མཐོང་,K,g,,,,,,,,c=d p=n 87.73%,c དག(5192), དག་ལ(672); p རྣམས(5469), རྣམས་ལ(895); d དག(5192), དག་ལ(672); n རྣམས(5469), རྣམས་ལ(895); ,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,20
དད་པ་ཡིན་ལ། དེ་ལས་བཟློག་པ་དག་,གི་,ནི་,ནི་,གི་,ཐ་དད་པ་ཡིན་ཏེ། དཔེར་ན་བུམ་པ་,K,g,,,,,,,,c=d p=n 87.73%,c ནི(44237), དག་ནི(15855); p གི(1276), དག་གི(341); d ནི(44237), དག་ནི(15855); n གི(1276), དག་གི(341); ,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,148
དེའི་བདག་ཉིད་མ་ཡིན་པ་དེའི་རྒྱུ་ཉིད་མ་,ཡིན་པ་པ འི་,ཡིན་པ་ དེ འི་,ཡིན་པ་ དེ འི་,ཡིན་པ་པ འི་,ཕྱིར་དང་། རྫས་ལས་ཆོས་ཀྱང་དོན་གཞན་ཉིད་,K,g,≠,,,,,,,c=d p=n 87.73%,c ཡིན་པ་དེའི(271); p ; d ཡིན་པ་དེའི(271); n ; ,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,160
བའི་ཐ་སྙད་ཁས་ལེན་པའི་ཕྱིར་རོ། །ཆོས་,དང་,ལ་,ལ་,དང་,རྫས་དེ་ཉིད་དང་གཞན་དག་ལས་གཞན་རྣམ་པར་,K,g,,,,,,,,c=d p=n 87.73%,c ལ(33965), ཆོས་ལ(5130), ལ་རྫས(50); p དང(18517), ཆོས་དང(49), དང་རྫས(95); d ལ(33965), ཆོས་ལ(5130), ལ་རྫས(50); n དང(18517), ཆོས་དང(49), དང་རྫས(95); ,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,162
ལྟར་སྐྱེ་བར་འགྱུར། སྐྱེ་ན་ཡང་ཐམས་ཅད་,ལ་,ལས་,ལས་,ལ་,ཐམས་ཅད་སྐྱེ་བར་འགྱུར་བའི་ཕྱིར་བརྒལ་ཞིང་བརྟག་,K,g,,,,,,,,c=d p=n 87.73%,c ལས(5885), ཐམས་ཅད་ལས(59), ལས་ཐམས་ཅད(1336); p ལ(33965), ཐམས་ཅད་ལ(486), ལ་ཐམས་ཅད(383); d ལས(5885), ཐམས་ཅད་ལས(59), ལས་ཐམས་ཅད(1336); n ལ(33965), ཐམས་ཅད་ལ(486), ལ་ཐམས་ཅད(383); ,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,170
པ་དམ་བཅའ་བ་དང་། ཉེ་བར་སྦྱར་བ་,དང,དང,དང,དག,། མཇུག་བསྡུ་བ་ལ་སོགས་པ་སྒྲུབ་པར་བྱེད་,K,g,,,,,,,,c=p=d n 6.14%,c དང(18517), དང་།_(394717), སྦྱར་བ་དང(145), སྦྱར་བ་དང་།_(91); p དང(18517), དང་།_(394717), སྦྱར་བ་དང(145), སྦྱར་བ་དང་།_(91); d དང(18517), དང་།_(394717), སྦྱར་བ་དང(145), སྦྱར་བ་དང་།_(91); n དག(5192); ,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,193
ལ། །ཤེས་པར་འདོད་པའི་དོན་བཀོད་ནས་ཞར་,ལ་,ལ་,ལ་,ལས་,བྱུང་བ་གཞན་དང་གཞན་བརྗོད་པ་དག་ནི་ཕྱིར་,K,g,,,,,,,,c=p=d n 6.14%,c ལ(33965); p ལ(33965); d ལ(33965); n ལས(5885), ལས་བྱུང་བ(441); ,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,211
སྐྱོན་དེ་དག་མི་བརྗོད་པ་སྟེ། མི་སྟོན་,ཅིག་,ཅིང་,ཅིང་,ཅིང་,གཞན་རྣམས་ལ་གོ་བར་མི་བྱེད་པའི་ཕྱིར་རྒོལ་,K,g,≠,,,,,,,c=d=n p 1.99%,c ཅིང(291), ཅིང་གཞན(199), སྟོན་ཅིང(1883); p ཅིག(11520), སྟོན་ཅིག(367); d ཅིང(291), ཅིང་གཞན(199), སྟོན་ཅིང(1883); n ཅིང(291), ཅིང་གཞན(199), སྟོན་ཅིང(1883); ,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,232
ཉིད་ཀྱང་དབང་པོས་གཟུང་བར་བྱ་བ་ཉིད་དེ་,ལ,ནི,ནི,ལ,། བུམ་པ་མི་རྟག་པ་ཉིད་ལ་ཡང་མཐོང་,K,g,,,,,,,,c=d p=n 87.73%,c ནི(44237), ནི།_(15867), དེ་ནི(35963), དེ་ནི།_(5849); p ལ(33965), ལ།_(19029), དེ་ལ(763), དེ་ལ།_(281), ཉིད་དེ་ལ།_(78); d ནི(44237), ནི།_(15867), དེ་ནི(35963), དེ་ནི།_(5849); n ལ(33965), ལ།_(19029), དེ་ལ(763), དེ་ལ།_(281), ཉིད་དེ་ལ།_(78); ,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,272
གྱི་ཕྱོགས་ལ་རང་ལ་གྲུབ་པའི་བ་ལང་ཉིད་,ལས་ སོགས་པ ས་,ལ་སོགས་པ ས་,ལ་སོགས་པ ས་,ལས་ སོགས་པ ས་,འཁྲུལ་པར་བརྗོད་པ་གང་ཡིན་པ་དེ་ནི་,K,g,,,,,,,,c=d p=n 87.73%,c ལ་སོགས་པས(101); p ; d ལ་སོགས་པས(101); n ; ,12-11_རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,295
