Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སྒྱུར་བཟང་མཆོག །ཀྱི་ཧུད་དེད་དཔོན་ཞི་བའི་,ལས་,,ལམ་,ལས་,གྱུར་སྟོན་པ་པོ། །ཀྱི་ཧུད་སྡུག་དང་མི་,K,,≠,,,,,,,p=n d 83.33%,p ལས(5885), ལས་གྱུར(53); d ལམ(1229); n ལས(5885), ལས་གྱུར(53); ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,7
ཆུད། །གང་གིས་ཝཱ་རཱ་ཎ་སཱིར་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར། །,ས་ ལ འི་,,སཱ་ལ འི་,ས་ ལ འི་,ཚལ་དུ་མྱ་ངན་འདས་གྱུར་དེ་བསྟོད་པ། །,K,,,nw✘,,,,,,p=n d 83.33%,p ས་ལའི(414); d སཱ་ལའི(262), སཱ་ལའི་ཚལ(40), །_།སཱ་ལའི(43); n ས་ལའི(414); ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,4
ཉེ་བར་བསྟེན། །ཀྱི་ཧུད་བདེ་འགྲོའི་འབབ་སྟེགས་,#སྐམས་,,སྐམ་,#སྐམས་,ལ་བདག་ཕྱག་འཚལ། །སྤྱོད་པའི་རྩ་བ་བརྟན་,K,,,nw✓,,,,,,p=n d 83.33%,p སྐམས(20); d སྐམ(6), སྐམ་ལ(112); n སྐམས(20); ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,9
,ནི་ #བཱ་ ན་ #སྟོ་ #ཏྲ,,#ནིརྦཱ་ #ཎ་ #སྟོ་ #ཏྲཾ,ནི་ #བཱ་ ན་ #སྟོ་ #ཏྲ, །བོད་སྐད་དུ། སངས་རྒྱས་ཡོངས་སུ་མྱ་,K,,,,✓,,,,,p=n d 83.33%,p ; d ; n ; ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,1
དགར་བྱང་ཆུབ་དམ་པ་ཐུགས་སུ་ཆུད། །གང་,གིས་བ་ ར་ #ཎཱ་ #སིར་,,གིས་ #ཝཱ་ #རཱ་ #ཎ་ #སཱིར་,གིས་བ་ ར་ #ཎཱ་ #སིར་,ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར། །སཱ་ལའི་ཚལ་དུ་མྱ་,K,,,,✓,,,,,p=n d 83.33%,p ; d ; n ; ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,3
པོས་མཛེས། །བྱང་ཆུབ་ཡན་ལག་མེ་ཏོག་ཁ་,ཕྱེ་,,བྱེ་,ཕྱེ་,བཟོད་ཡལ་ག །ངོ་ཚའི་འདབ་རྒྱས་བདུད་རྩི་,K,,,,,≠,,,,p=n d 83.33%,p ཕྱེ(183), ཁ་ཕྱེ(110); d བྱེ(27), ཁ་བྱེ(121); n ཕྱེ(183), ཁ་ཕྱེ(110); ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,10
གཞིར་ནི་ཤཱཀྱའི་རིགས་སུ་འཁྲུངས། །གང་གིས་མཉམ་,དཀ ར་,,དགར་,དཀ ར་,བྱང་ཆུབ་དམ་པ་ཐུགས་སུ་ཆུད། །གང་གིས་ཝཱ་རཱ་ཎ་སཱིར་,K,,,,,,≡,,,p=n d 83.33%,p དཀར(133); d དགར(6); n དཀར(133); ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,2
རྒྱལ་བའི་སྡིག་པ་ཞི། །ཀྱི་ཧུད་སེམས་ཅན་,མཉེན་,,མཉེས་,མཉེན་,གཤིན་ཁ་ལོས་སྒྱུར་བཟང་མཆོག །ཀྱི་ཧུད་དེད་,K,,,,,,≡,,,p=n d 83.33%,p མཉེན(4); d མཉེས(42), མཉེས་གཤིན(60); n མཉེན(4); ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,5
པ་ཞི། །ཀྱི་ཧུད་སེམས་ཅན་མཉེས་གཤིན་ཁ་,ལོ་,,ལོས་,ལོ་,སྒྱུར་བཟང་མཆོག །ཀྱི་ཧུད་དེད་དཔོན་ཞི་བའི་,K,,,,,,≡,,,p=n d 83.33%,p ལོ(14961), ཁ་ལོ(985), ལོ་སྒྱུར(934), ཁ་ལོ་སྒྱུར(913); d ལོས(2), ལོས་སྒྱུར(2244); n ལོ(14961), ཁ་ལོ(985), ལོ་སྒྱུར(934), ཁ་ལོ་སྒྱུར(913); ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,6
མ་མཐོང་བས་སྡུག་བསྔལ་ལོ། །སྔོན་ཚེ་རྒྱ་,ཆེ་,,ཆེན་,ཆེ་,ལམ་གྱི་རང་བཞིན་གཟིངས་བཅས་ཏེ། །ཉིད་ཀྱི་,K,,,,,,≡,,,p=n d 83.33%,p ཆེ(4063), རྒྱ་ཆེ(144); d ཆེན(29), རྒྱ་ཆེན(3348); n ཆེ(4063), རྒྱ་ཆེ(144); ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,8
ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ་,སློབ་དཔོན་པོ་,,སློབ་དཔོན་ ཆེན་པོ་,སློབ་དཔོན་ ཆེན་པོ་,དཔལ་ལྡན་ཆོས་ཀྱི་གྲགས་པས་མཛད་པ་རྫོགས་སོ,K,,,,,,s,,,p d=n 8.33%,p ; d ; n ; ,12-1_སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,11
