Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གང་ལ་བདེ་བར་གཤེགས་པའི་སྲས་རྣམས་འཇུག་པ་,དེ་ཉིད་,དེ་ ནི་,དེ་ ནི་,དེ་ཉིད་,དེ་དག་གི་ཐུན་མོང་མ་ཡིན་པའི་ལམ་ཡིན་,K,g,,,,,,,,c=d p=n 93.19%,c དེ་ནི(35963), དེ་ནི་དེ་དག(80), འཇུག་པ་དེ་ནི(79); p དེ་ཉིད(70); d དེ་ནི(35963), དེ་ནི་དེ་དག(80), འཇུག་པ་དེ་ནི(79); n དེ་ཉིད(70); ,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,35
ཀྱང་སེམས་ཅན་ལ་སོགས་པར་ལྟ་བ་མ་བསལ་,ནས་,ན་,ན་,ནས་,བླ་ན་མེད་པའི་བྱང་ཆུབ་མངོན་དུ་བྱ་མི་,K,g,,,,,,,,c=d p=n 93.19%,c ན(73509), ན་བླ(328); p ནས(35333), ནས་བླ(659), བསལ་ནས(147); d ན(73509), ན་བླ(328); n ནས(35333), ནས་བླ(659), བསལ་ནས(147); ,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,66
མའི་ངོ་བོ་ཉིད་དུ་སྣང་བའི་ཕྱིར་དང་དེ་,ལ་,ལས་,ལས་,ལ་,མ་གཏོགས་པའི་ཡན་ལག་ཅན་ལ་སོགས་པ་གཅིག་,K,g,,,,,,,,c=d p=n 93.19%,c ལས(5885), ལས་མ(1189), དེ་ལས(5447); p ལ(33965), ལ་མ(3490), དེ་ལ(763), དེ་ལ་མ(204); d ལས(5885), ལས་མ(1189), དེ་ལས(5447); n ལ(33965), ལ་མ(3490), དེ་ལ(763), དེ་ལ་མ(204); ,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,122
ཏེ་དམིགས་པ་ན་ནི་ཡན་ལག་དུ་མ་,ལ་,ལས་,ལས་,ལ་,མ་གཏོགས་པའི་གཅིག་པུ་རང་གི་བདག་ཉིད་ཙམ་,K,g,,,,,,,,c=d p=n 93.19%,c ལས(5885), ལས་མ(1189), དུ་མ་ལས(56); p ལ(33965), ལ་མ(3490), དུ་མ་ལ(130); d ལས(5885), ལས་མ(1189), དུ་མ་ལས(56); n ལ(33965), ལ་མ(3490), དུ་མ་ལ(130); ,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,124
བ་ལྷན་ཅིག་སྐྱེས་པ་ནི་ཕུང་པོར་དམིགས་པ་,ལ་,ལས་,ལས་,ལ་,མ་གཏོགས་པ་གཞན་ལས་འབྱུང་བར་མི་དམིགས་སོ,K,g,,,,,,,,c=d p=n 93.19%,c ལས(5885), ལས་མ(1189), དམིགས་པ་ལས(49); p ལ(33965), ལ་མ(3490), དམིགས་པ་ལ(304); d ལས(5885), ལས་མ(1189), དམིགས་པ་ལས(49); n ལ(33965), ལ་མ(3490), དམིགས་པ་ལ(304); ,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,146
མཚན་ཉིད་ཡིན་པའི་ཕྱིར་རོ། །འདི་ལས་ལངས་,ནས་,ན་,ན་,ནས་,ཡང་མངོན་པར་ཞེན་པ་མེད་པའི་ཕྱིར་གཏན་མེད་,K,g,,,,,,,,c=d p=n 93.19%,c ན(73509), ན་ཡང(7917); p ནས(35333), ནས་ཡང(2960), ལངས་ནས(761); d ན(73509), ན་ཡང(7917); n ནས(35333), ནས་ཡང(2960), ལངས་ནས(761); ,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,173
མེད་པའི་ཕྱིར་རོ་ཞེས་བཤད་ཟིན་ཏོ། །དེ་,ལ་,ལས་,ལས་,ལ་,མ་གཏོགས་པ་མི་དམིགས་པའི་ཡང་ཕྱིར་རོ་ཞེས་,K,g,,,,,,,,c=d p=n 93.19%,c ལས(5885), ལས་མ(1189), དེ་ལས(5447); p ལ(33965), ལ་མ(3490), དེ་ལ(763), དེ་ལ་མ(204), །_།དེ་ལ་མ(56); d ལས(5885), ལས་མ(1189), དེ་ལས(5447); n ལ(33965), ལ་མ(3490), དེ་ལ(763), དེ་ལ་མ(204), །_།དེ་ལ་མ(56); ,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,237
རྟེན་ལ་མཆོད་པ་བས་ཕུལ་དུ་བྱུང་བ་ཚད་,ལ་,ལས་,ལས་,ལ་,འདས་པའི་བསོད་ནམས་ཉེ་བར་སོགས་པའི་རྒྱུ་ཤེས་,K,g,,,,,,,,c=d p=n 93.19%,c ལས(5885), ཚད་ལས(115), ལས་འདས་པ(90); p ལ(33965), ཚད་ལ(84), ལ་འདས་པ(58); d ལས(5885), ཚད་ལས(115), ལས་འདས་པ(90); n ལ(33965), ཚད་ལ(84), ལ་འདས་པ(58); ,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,293
འབའ་ཞིག་གིས་རང་གི་བྱ་བ་བྱེད་པས་འདི་,ལ་,ནི་,ནི་,ལ་,ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ། དེ་,K,g,,,,,,,,c=d p=n 93.19%,c ནི(44237), འདི་ནི(23970), ནི་ཞེས་བྱ་བ(45); p ལ(33965), འདི་ལ(173), ལ་ཞེས་བྱ་བ(278); d ནི(44237), འདི་ནི(23970), ནི་ཞེས་བྱ་བ(45); n ལ(33965), འདི་ལ(173), ལ་ཞེས་བྱ་བ(278); ,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,320
རྒྱས་ལ་ལྷག་པར་བྱ་བ་བྱས་པ། དེ་,ལ་,ལས་,ལས་,ལ་,དགེ་བའི་རྩ་བ་བསྐྲུན་པ་བཤེས་གཉེན་དམ་པ་,K,g,,,,,,,,c=d p=n 93.19%,c ལས(5885), དེ་ལས(5447), ལས་དགེ་བ(179); p ལ(33965), དེ་ལ(763), ལ་དགེ་བ(67); d ལས(5885), དེ་ལས(5447), ལས་དགེ་བ(179); n ལ(33965), དེ་ལ(763), ལ་དགེ་བ(67); ,14-9_སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,396
