Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པར་བྱ་བའམ་མི་སྦྱིན་ཞེས་སེམས་དང་འཐབ་མོ་བྱས་,ནས་,ན་,ན་,ནས་,སྦྱིན་པ་མ་ཡིན།དེ་བཞིན་སེར་སྣའི་ཕྱོགས་,K,g,,,,,,,,c=d p=n 88.86%,c ན(73509), བྱས་ན(3388), ན་སྦྱིན་པ(107); p ནས(35333), བྱས་ནས(6811), ནས་སྦྱིན་པ(137); d ན(73509), བྱས་ན(3388), ན་སྦྱིན་པ(107); n ནས(35333), བྱས་ནས(6811), ནས་སྦྱིན་པ(137); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,30
བའི་ཚུལ་ཁྲིམས་ནི་ཇི་ལྟར་རྟགས་དང་མཚན་མ་,ལས་,ལ་,ལ་,ལས་,ལྟོས་ལ་སྦྱར་བར་བྱ་སྟེ།བདག་གིས་ནི་,K,g,,,,,,,,c=d p=n 88.86%,c ལ(33965), ལ་ལྟོས(367), མཚན་མ་ལ(1421); p ལས(5885), མཚན་མ་ལས(42); d ལ(33965), ལ་ལྟོས(367), མཚན་མ་ལ(1421); n ལས(5885), མཚན་མ་ལས(42); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,45
པོ་གསུམ་ནི་རྐྱེན་ནོ།།ཐ་མའི་བཞི་པ་,ན་,ནི་,ནི་,ན་,རྒྱུ་སྟེ།དད་པ་དང་འདུན་པ་དང་སྐྱེད་,K,g,,,,,,,,c=d p=n 88.86%,c ནི(44237), ནི་རྒྱུ(596), བཞི་པ་ནི(162); p ན(73509), ན་རྒྱུ(294); d ནི(44237), ནི་རྒྱུ(596), བཞི་པ་ནི(162); n ན(73509), ན་རྒྱུ(294); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,71
པ་ཉིད་དེ།རྒྱུའི་ངོ་བོ་དང་ལྡན་པ་,ན་,ནི་,ནི་,ན་,ཡིན་གྱི།གཞན་དང་ལྡན་ན་ནི་མ་ཡིན་,K,g,,,,,,,,c=d p=n 88.86%,c ནི(44237), ནི་ཡིན(81), ལྡན་པ་ནི(137); p ན(73509), ན་ཡིན(263); d ནི(44237), ནི་ཡིན(81), ལྡན་པ་ནི(137); n ན(73509), ན་ཡིན(263); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,82
སའི་རིགས་གསུམ་གྱིས་བསྡུས་པ་ཉིད་དེ།དེ་,ལས་,ལ་,ལ་,ལས་,འཇུག་པས་བསྡུས་པ་བསྟན་པ་ནི།སེམས་བསྐྱེད་,K,g,,,,,,,,c=d p=n 88.86%,c ལ(33965), དེ་ལ(763), ལ་འཇུག་པ(92), དེ་ལ་འཇུག་པ(47); p ལས(5885), དེ་ལས(5447); d ལ(33965), དེ་ལ(763), ལ་འཇུག་པ(92), དེ་ལ་འཇུག་པ(47); n ལས(5885), དེ་ལས(5447); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,91
དང་།ཕྱི་རོལ་གྱི་གཞན་གྱི་སྒྲའི་མཚན་མ་,ལ་,ལས་,ལས་,ལ་,དང་།ནང་གི་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པས་,K,g,,,,,,,,c=d p=n 88.86%,c ལས(5885), ལས་དང(2283), མཚན་མ་ལས(42); p ལ(33965), ལ་དང(1145), མཚན་མ་ལ(1421); d ལས(5885), ལས་དང(2283), མཚན་མ་ལས(42); n ལ(33965), ལ་དང(1145), མཚན་མ་ལ(1421); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,101
མི་འཇིགས་པའི་ངང་ཚུལ་ཉིད་ཀྱིས་ཡང་དག་པར་སྦྱོར་བ་,ལ་,ལས་,ལས་,ལ་,མི་བསྐྱོད་པ་ནི་རང་བཞིན་གྱིས་སྙིང་སྟོབས་ཆེ་,K,g,,,,,,,,c=d p=n 88.86%,c ལས(5885), ལས་མི(1612), སྦྱོར་བ་ལས(109); p ལ(33965), ལ་མི(7899), སྦྱོར་བ་ལ(339); d ལས(5885), ལས་མི(1612), སྦྱོར་བ་ལས(109); n ལ(33965), ལ་མི(7899), སྦྱོར་བ་ལ(339); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,108
རྙེད་པ་འདོད་པ་ཞེས་བྱ་བ་ནི་གཞན་དག་,ལ་,ལས་,ལས་,ལ་,མཆོག་ཏུ་རྙེད་པ་འདོད་པའོ།།རྙེད་པའི་རྒྱུ་,K,g,,,,,,,,c=d p=n 88.86%,c ལས(5885), ལས་མཆོག(141), གཞན་དག་ལས(44); p ལ(33965), ལ་མཆོག(323), གཞན་དག་ལ(1038); d ལས(5885), ལས་མཆོག(141), གཞན་དག་ལས(44); n ལ(33965), ལ་མཆོག(323), གཞན་དག་ལ(1038); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,141
ནི།དེའི་བྱ་བ་ལ་ནུས་པ་དང་སྟོབས་,ལས་,ལ་,ལ་,ལས་,ལྟོས་པས་སོ།།ཆོས་དང་མཐུན་པ་ཞེས་བྱ་བ་,K,g,,,,,,,,c=d p=n 88.86%,c ལ(33965), སྟོབས་ལ(510), ལ་ལྟོས་པ(77); p ལས(5885), སྟོབས་ལས(76); d ལ(33965), སྟོབས་ལ(510), ལ་ལྟོས་པ(77); n ལས(5885), སྟོབས་ལས(76); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,192
སྔར་བསྟན་པའི་ཁ་དོག་ཕུན་སུམ་ཚོགས་པ་ཉིད་,དེ །,དང ་།,དང ་།,དེ །,གཟུགས་བཟང་བ་ཉིད་དང་།བལྟ་ན་སྡུག་པ་,K,g,,,,,,,,c=d p=n 88.86%,c དང་།(6355), ཉིད་དང་།(207), དང་།གཟུགས(108); p དེ།(294); d དང་།(6355), ཉིད་དང་།(207), དང་།གཟུགས(108); n དེ།(294); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,207
ཉིད་དེ།དེ་ལ་ལྟོས་ནས་དེ་དག་ཉིད་,ལ་,ལས་,ལས་,ལ་,གཞན་ཞེས་བརྗོད་ཀྱི་གཞན་ཐམས་ཅད་ཀྱི་ནི་མ་,K,g,,,,,,,,c=d p=n 88.86%,c ལས(5885), ལས་གཞན(2196), ཉིད་ལས(2755), ཉིད་ལས་གཞན(262); p ལ(33965), ཉིད་ལ(379), ལ་གཞན(623); d ལས(5885), ལས་གཞན(2196), ཉིད་ལས(2755), ཉིད་ལས་གཞན(262); n ལ(33965), ཉིད་ལ(379), ལ་གཞན(623); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,240
ལ་བྱེད་པ་དང་།།སྔ་མའི་འཕེན་པས་ཡོངས་བཟུང་,ནས །།,ནས །།,ནས །།,དང ་།།,རྟོག་གེ་ལ་ནི་འདྲིས་པ་སྟེ།།རྣམ་ལྔས་,K,g,,,,,,,,c=p=d n 7.55%,c ; p ; d ; n ; ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,278
རྟོག་པ་དང་།མི་རྟག་པ་ལ་སོགས་པ་དག་,ནི་,གི་,གི་,ནི་,རྣམ་པའི་རྣམ་པར་རྟོག་པས་རྣམ་པར་བརྟགས་པའི་ཐ་,K,g,,,,,,,,c=d p=n 88.86%,c གི(1276), དག་གི(341), གི་རྣམ་པ(259); p ནི(44237), དག་ནི(15855), ནི་རྣམ་པ(1152), དག་ནི་རྣམ་པ(50); d གི(1276), དག་གི(341), གི་རྣམ་པ(259); n ནི(44237), དག་ནི(15855), ནི་རྣམ་པ(1152), དག་ནི་རྣམ་པ(50); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,298
བསྟན་པས་ཤེས་པར་བྱ་བ་སྟེ།ཕུང་པོ་,ལ་,ལས་,ལས་,ལ་,མ་གཏོགས་པའི་གང་ཟག་མེད་པར་ལྟ་བ་གོམས་,K,g,,,,,,,,c=d p=n 88.86%,c ལས(5885), ལས་མ(1189), ཕུང་པོ་ལས(50); p ལ(33965), ལ་མ(3490), ཕུང་པོ་ལ(476); d ལས(5885), ལས་མ(1189), ཕུང་པོ་ལས(50); n ལ(33965), ལ་མ(3490), ཕུང་པོ་ལ(476); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,355
བྱེད་པའོ།།ད་ནི་སེམས་ཅན་དུ་བརྗོད་པ་,ལ་,ལས་,ལས་,ལ་,གཞན་དུ་བྱ་བ་ལས་བརྩམས་ནས་སེམས་ཅན་ནམ་,K,g,,,,,,,,c=d p=n 88.86%,c ལས(5885), ལས་གཞན(2196), བརྗོད་པ་ལས(125); p ལ(33965), ལ་གཞན(623), བརྗོད་པ་ལ(192); d ལས(5885), ལས་གཞན(2196), བརྗོད་པ་ལས(125); n ལ(33965), ལ་གཞན(623), བརྗོད་པ་ལ(192); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,402
པོའི་འབྲས་བུ་དང་།འདི་ལྟར་མ་འོངས་པ་,ན་,ནི་,ནི་,ན་,འབྲས་བུ་སྦྱིན་པའི་འབྲས་བུ་རྣམ་པ་གཉིས་པོ་,K,g,,,,,,,,c=d p=n 88.86%,c ནི(44237), ནི་འབྲས་བུ(336); p ན(73509), ན་འབྲས་བུ(122), མ་འོངས་པ་ན(120); d ནི(44237), ནི་འབྲས་བུ(336); n ན(73509), ན་འབྲས་བུ(122), མ་འོངས་པ་ན(120); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,445
།དེ་ལ་འདི་ཡོངས་སུ་སྨིན་པར་བྱ་བས་,ན,ནི,ནི,ན,།ཡོངས་སུ་སྨིན་པའམ།འདི་དག་ལ་ཡོངས་,K,g,,,,,,,,c=d p=n 88.86%,c ནི(44237), ནི།(110), ས་ནི(617); p ན(73509), ན།(974), ས་ན(194); d ནི(44237), ནི།(110), ས་ནི(617); n ན(73509), ན།(974), ས་ན(194); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,465
ཀྱི་བསམ་པའི་རྒྱུན་ཉིད་དང་།སྦྱོར་བ་ཉིད་,དང ་།,དང ་།,དང ་།,དག །,ཆོས་ཚོལ་བ་ལ་སྦྱོར་བ་ཉིད་ལའོ།།དད་,K,g,,,,,,,,c=p=d n 7.55%,c དང་།(6355), དང་།ཆོས(166), ཉིད་དང་།(207); p དང་།(6355), དང་།ཆོས(166), ཉིད་དང་།(207); d དང་།(6355), དང་།ཆོས(166), ཉིད་དང་།(207); n ; ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,574
ཕན་ཡོན་ཏེ།དེས་སྟོན་པའི་རྣམ་པའོ།།,དེ་ལྟ་བུ་,འདི་ལྟ་བུ་,འདི་ལྟ་བུ་,དེ་ལྟ་བུ་,སྨྲ་བ་ལས་ཞེས་བྱ་བ་ལ།གཞན་ལས་,K,g,,,,,,,,c=d p=n 88.86%,c འདི་ལྟ་བུ(70); p དེ་ལྟ་བུ(5151); d འདི་ལྟ་བུ(70); n དེ་ལྟ་བུ(5151); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,597
།རྗེས་སུ་ནི་ཉེ་བར་སྒྱུར་བའམ།གོམས་པ་,ལ་,ལས་,ལས་,ལ་,རྗེས་སུ་ཐ་སྙད་བྱེད་པ་སྟེ།གོམས་པ་,K,g,,,,,,,,c=d p=n 88.86%,c ལས(5885), ལས་རྗེས་སུ(69); p ལ(33965), ལ་རྗེས་སུ(1233); d ལས(5885), ལས་རྗེས་སུ(69); n ལ(33965), ལ་རྗེས་སུ(1233); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,614
ཉིད་ལས་ཐ་སྙད་དུ་བྱེད་པའོ།།ལག་པ་,ལས་,ལ་,ལ་,ལས་,ལྟོས་ནས་ནི་ལེན་པ་ཡོད་པ་ཉིད་དོ།།,K,g,,,,,,,,c=d p=n 88.86%,c ལ(33965), ལག་པ་ལ(203), ལ་ལྟོས(367); p ལས(5885); d ལ(33965), ལག་པ་ལ(203), ལ་ལྟོས(367); n ལས(5885); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,615
ཡོད་པ་ཉིད་དོ།།བཀྲེས་པ་དང་སྐོམ་པ་,ལས་,ལ་,ལ་,ལས་,ལྟོས་ནས་ནི་ཟས་དང་སྐོམ་ལེན་ཏོ།།རང་,K,g,,,,,,,,c=d p=n 88.86%,c ལ(33965), ལ་ལྟོས(367); p ལས(5885); d ལ(33965), ལ་ལྟོས(367); n ལས(5885); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,616
ཞེས་བྱ་བ་ནི་སྔོན་མ་ཞུགས་པར་སེམས་པ་,ལ་,ལས་,ལས་,ལ་,འཇུག་པ་ནི་ཐོག་མ་འཇུག་པའོ།།རྨོངས་པར་,K,g,,,,,,,,c=d p=n 88.86%,c ལས(5885); p ལ(33965), སེམས་པ་ལ(74), ལ་འཇུག་པ(92); d ལས(5885); n ལ(33965), སེམས་པ་ལ(74), ལ་འཇུག་པ(92); ,15-1_བྱང་ཆུབ་སེམས་དཔའི་སའི་འགྲེལ་པ།,657
