Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པའི་ཆོས་གོས་ལས་ནི་ཆུང་ལ་རང་གི་ལུས་,ལ་,ལས་,ལས་,ལ་,ནི་ཆེ་བའི་ཆོས་གོས་བྱེད་དམ་བྱེད་དུ་བཅུག་,K,g,,,,,,,,c=d p=n 83.36%,c ལས(5885), ལས་ནི(2987), ལུས་ལས(614); p ལ(33965), ལ་ནི(13387), ལུས་ལ(49); d ལས(5885), ལས་ནི(2987), ལུས་ལས(614); n ལ(33965), ལ་ནི(13387), ལུས་ལ(49); ,15-7_འདུལ་བའི་མདོའི་འགྲེལ།,17
གཏམ་གྱི་གཞི་ལས་ཚད་དང་ལྡན་པར་བགྱིད་པ་,ལས་,ལ་,ལ་,ལས་,ལྟུང་བར་འགྱུར་བ་དང་། ཚད་དང་ལྡན་པར་,K,g,,,,,,,,c=d p=n 83.36%,c ལ(33965), ལ་ལྟུང་བ(405), བགྱིད་པ་ལ(59); p ལས(5885), བགྱིད་པ་ལས(52); d ལ(33965), ལ་ལྟུང་བ(405), བགྱིད་པ་ལ(59); n ལས(5885), བགྱིད་པ་ལས(52); ,15-7_འདུལ་བའི་མདོའི་འགྲེལ།,18
གས། དགེ་སློང་དག་ཁ་ཅིག་ནི་འོག་ཁང་,ནས་,ན་,ན་,ནས་,ཟ་བར་བྱེད་ལ། ཁ་ཅིག་ནི་སྒོ་ཁང་,K,g,,,,,,,,c=d p=n 83.36%,c ན(73509), ཁང་ན(206); p ནས(35333), ནས་ཟ(72), ཁང་ནས(132); d ན(73509), ཁང་ན(206); n ནས(35333), ནས་ཟ(72), ཁང་ནས(132); ,15-7_འདུལ་བའི་མདོའི་འགྲེལ།,52
བྱ་བའི་ཁྱད་པར་མ་བརྗོད་པས་ཐལ་ཆེས་པ་,ལས་,ལ་,ལ་,ལས་,རིལ་པོ་མ་ཡིན་པ་ཞེས་བྱ་བ་སྨོས་སོ། །,K,g,,,,,,,,c=d p=n 83.36%,c ལ(33965); p ལས(5885); d ལ(33965); n ལས(5885); ,15-7_འདུལ་བའི་མདོའི་འགྲེལ།,65
མིག་གིས་ཞེས་བྱ་བའི་དོན་ཏོ། །འདིར་མིག་,གི་,ནི་,ནི་,གི་,ཡིད་ཡིན་ཏེ། དེ་བས་ན་དེ་དང་འབྲེལ་,K,g,,,,,,,,c=d p=n 83.36%,c ནི(44237), ནི་ཡིད(1015), མིག་ནི(462); p གི(1276), མིག་གི(2628), གི་ཡིད(224); d ནི(44237), ནི་ཡིད(1015), མིག་ནི(462); n གི(1276), མིག་གི(2628), གི་ཡིད(224); ,15-7_འདུལ་བའི་མདོའི་འགྲེལ།,139
ཕྱོགས་ཀྱིས་བདག་གིར་བྱེད་པ་ལ་གསུངས་པ་དེ་,ལས་,ལ་,ལ་,ལས་,བསམ་པ་གང་གིས་ཤེ་ན། དེའི་ཕྱིར་འཁྲིག་,K,g,,,,,,,,c=d p=n 83.36%,c ལ(33965), དེ་ལ(763), ལ་བསམ་པ(402); p ལས(5885), དེ་ལས(5447); d ལ(33965), དེ་ལ(763), ལ་བསམ་པ(402); n ལས(5885), དེ་ལས(5447); ,15-7_འདུལ་བའི་མདོའི་འགྲེལ།,171
ཞེ་ན། དེའི་ཕྱིར་གལ་ཏེ་དེའི་ཚེ་དེ་,ལ་,ལས་,ལས་,ལ་,སྐྱེས་པའི་དེས་ཤེས་པ་ནའོ་ཞེས་བྱ་བ་སྨོས་,K,g,,,,,,,,c=d p=n 83.36%,c ལས(5885), དེ་ལས(5447), ལས་སྐྱེས་པ(99), དེ་ལས་སྐྱེས་པ(73); p ལ(33965), དེ་ལ(763), ལ་སྐྱེས་པ(144); d ལས(5885), དེ་ལས(5447), ལས་སྐྱེས་པ(99), དེ་ལས་སྐྱེས་པ(73); n ལ(33965), དེ་ལ(763), ལ་སྐྱེས་པ(144); ,15-7_འདུལ་བའི་མདོའི་འགྲེལ།,180
ཉེ་བར་གནས་པའི་དགོས་པ་དང་བཅས་པའི་ཚིག་,ལ་,ལས་,ལས་,ལ་,འདི་ལ་རུང་བ་ཉིད་ཡོད་པ་ལ་ལྟུང་བ་,K,g,,,,,,,,c=d p=n 83.36%,c ལས(5885), ཚིག་ལས(152), ལས་འདི(645); p ལ(33965), ཚིག་ལ(511), ལ་འདི(11585); d ལས(5885), ཚིག་ལས(152), ལས་འདི(645); n ལ(33965), ཚིག་ལ(511), ལ་འདི(11585); ,15-7_འདུལ་བའི་མདོའི་འགྲེལ།,188
མ་ཡིན་པའི་སྡོམ་པ་བྱིན་པར་ཤེས་བཞིན་དུ་དེ་,ལ་,ལས་,ལས་,ལ་,བཟློག་པ་ཉིད་མི་གཏོང་ནའོ་ཞེས་བྱ་བ་སྨོས་,K,g,,,,,,,,c=d p=n 83.36%,c ལས(5885), དེ་ལས(5447), ལས་བཟློག་པ(67); p ལ(33965), དེ་ལ(763); d ལས(5885), དེ་ལས(5447), ལས་བཟློག་པ(67); n ལ(33965), དེ་ལ(763); ,15-7_འདུལ་བའི་མདོའི་འགྲེལ།,213
མོས་དོན་དེ་ཤེས་བཞིན་དུ་ཕྱིར་བཟློག་པ་དེ་,ལས་,ལ་,ལ་,ལས་,་དགེ་སློང་མའི་དགེ་འདུན་གྱིས་བཞམས་ཏེ་བསྒོ་,K,g,,,,,,,,c=d p=n 83.36%,c ལ(33965), དེ་ལ(763), ལ་དགེ་སློང(1738), དེ་ལ་དགེ་སློང(327), དེ་ལ་དགེ་སློང་མ(97); p ལས(5885), དེ་ལས(5447), ལས་དགེ་སློང(126); d ལ(33965), དེ་ལ(763), ལ་དགེ་སློང(1738), དེ་ལ་དགེ་སློང(327), དེ་ལ་དགེ་སློང་མ(97); n ལས(5885), དེ་ལས(5447), ལས་དགེ་སློང(126); ,15-7_འདུལ་བའི་མདོའི་འགྲེལ།,215
