Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བྱ། །གང་ཚེ་ཉེས་པའི་གཞི་དག་བྱེད་པ་,དག །_།,དང ་།_།,དང ་།_།,དག །_།,ནད་ཀྱིས་གཞན་གྱི་ཁྲི་དང་ཁྲིའུ་ལ་འདུག །,K,g,,,,,,,,c=d p=n 79.43%,c དང་།_།(32216), དང་།_།ནད(71), བྱེད་པ་དང་།_།(246); p ; d དང་།_།(32216), དང་།_།ནད(71), བྱེད་པ་དང་།_།(246); n ; ,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,49
རྒྱལ་བའི་རིང་བསྲེལ་རྐུ་དེ་མིན། །རྐུ་བ་,ལས་,ལ་,ལ་,ལས་,ནི་རྐུ་སེམས་གཙོ་བོ་སྟེ། །དེ་བས་དེ་,K,g,,,,,,,,c=d p=n 79.43%,c ལ(33965), ལ་ནི(13387); p ལས(5885), ལས་ནི(2987); d ལ(33965), ལ་ནི(13387); n ལས(5885), ལས་ནི(2987); ,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,54
ཞིག །གཙུག་ལག་ཁང་དུ་རྒྱུག་ཅིང་ཕྱིན་པ་,ནི,ན,ན,ནི,། །སྐྱབས་སུ་འོངས་པ་དེ་ལ་བསྲུང་བར་བྱ,K,g,,,,,,,,c=d p=n 79.43%,c ན(73509), ན།_།(11932); p ནི(44237), ནི།_།(28227), ཕྱིན་པ་ནི(278); d ན(73509), ན།_།(11932); n ནི(44237), ནི།_།(28227), ཕྱིན་པ་ནི(278); ,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,90
བྱ། །དེ་ལྟར་དེ་སྐད་སྨྲས་ནས་དེ་བོར་,ན,ན,ན,ནས,། །དེ་ཚེ་རིན་ནི་ཐེ་ཚོམ་མེད་པར་གཞལ,K,g,,,,,,,,c=p=d n 10.76%,c ན(73509), ན།_།(11932), བོར་ན(96); p ན(73509), ན།_།(11932), བོར་ན(96); d ན(73509), ན།_།(11932), བོར་ན(96); n ནས(35333), ནས།_།(9174), བོར་ནས(345); ,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,110
ནས། །ཡིད་ལ་གཅགས་པའི་མེ་ནི་འབར་བྱེད་,ནི,ན,ན,ནི,། །བསྡམ་བྱ་ལས་ཐར་བྱ་ཕྱིར་དེ་ལ་ནི,K,g,,,,,,,,c=d p=n 79.43%,c ན(73509), ན།_།(11932), བྱེད་ན(2727), བྱེད་ན།_།(478); p ནི(44237), ནི།_།(28227), བྱེད་ནི(217); d ན(73509), ན།_།(11932), བྱེད་ན(2727), བྱེད་ན།_།(478); n ནི(44237), ནི།_།(28227), བྱེད་ནི(217); ,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,127
ལེན། །གཞན་གྱིས་ཟག་པ་ཟད་དམ་ཞེས་དྲིས་,ནས,ན,ན,ནས,། །མི་སྨྲའི་རྣམ་པས་དང་དུ་ལེན་བྱེད་ཡིན,K,g,,,,,,,,c=d p=n 79.43%,c ན(73509), ན།_།(11932), དྲིས་ན(103); p ནས(35333), ནས།_།(9174), དྲིས་ནས(67); d ན(73509), ན།_།(11932), དྲིས་ན(103); n ནས(35333), ནས།_།(9174), དྲིས་ནས(67); ,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,162
ལ་སོགས་པ་ཉེས་བྱས་ཡིན། །ནད་པས་དབེན་པར་འདུག་,ན་,ནས་,ནས་,ན་,བསྐུ་བྱ་སྟེ། །འཇིག་རྟེན་མ་དད་འགྱུར་བ་,K,g,,,,,,,,c=d p=n 79.43%,c ནས(35333), འདུག་ནས(1297); p ན(73509), འདུག་ན(262); d ནས(35333), འདུག་ནས(1297); n ན(73509), འདུག་ན(262); ,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,203
པའི་སྐུད་པ་ལ་སོགས་བཅང་། །རིམས་དང་བྲལ་,ནས་,ན་,ནས་,ནས་,སྐུད་པ་བཀྲོལ་ནས་ནི། །བུ་ག་གཙང་མའི་,K,g,,,,,,,,c p=d=n 2.85%,c ན(73509), བྲལ་ན(124); p ནས(35333), བྲལ་ནས(395); d ནས(35333), བྲལ་ནས(395); n ནས(35333), བྲལ་ནས(395); ,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,206
ཏུ་ཐག་རིང་སྤང་། །སྐྲ་རྣམས་བྲེག་པར་བྱས་,ན་,ནས་,ནས་,ན་,ཁྲུས་དག་བྱ། །ཡང་ན་ཡན་ལག་ལྔ་པོ་,K,g,,,,,,,,c=d p=n 79.43%,c ནས(35333), བྱས་ནས(6811), ནས་ཁྲུས(72); p ན(73509), བྱས་ན(3388); d ནས(35333), བྱས་ནས(6811), ནས་ཁྲུས(72); n ན(73509), བྱས་ན(3388); ,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,266
སྤྱོད་ལམ་ལྟ་བུར་ནི། །བྱ་ཡིན་འདིར་ནི་,འདི་དག་,དེ་དག་,དེ་དག་,འདི་དག་,དཔེ་ཙམ་ཡིན། །ཁྱིམ་པའི་རྟགས་སྤོང་བའི་ཕྱོགས་,K,g,,,,,,,,c=d p=n 79.43%,c དེ་དག(179), ནི་དེ་དག(590); p འདི་དག(113), ནི་འདི་དག(420); d དེ་དག(179), ནི་དེ་དག(590); n འདི་དག(113), ནི་འདི་དག(420); ,16-1_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,271
