Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ནི་འགྲོ་བའི་གཙོ་བོ་ཡིན་ནོ། །དེས་,ནས་,ན་,ན་,ནས་,འདིར་བུད་མེད་དང་། མ་ནིང་དང་མེར་མེར་,K,g,,,,,,,,c=d p=n 80.49%,c ན(73509), ས་ན(194), ན་འདི(1777), དེས་ན་འདི(60); p ནས(35333), ས་ནས(147), ནས་འདི(2153); d ན(73509), ས་ན(194), ན་འདི(1777), དེས་ན་འདི(60); n ནས(35333), ས་ནས(147), ནས་འདི(2153); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,79
མི་རུང་ངོ་། །བཙུན་པ་མ་བཙགས་པ་བརྟགས་,ནས་,ན་,ན་,ནས་,འཚལ་དུ་རུང་ངམ། ཉེ་བ་འཁོར་རུང་ངོ་ཞེས་,K,g,,,,,,,,c=d p=n 80.49%,c ན(73509), ན་འཚལ(60), བརྟགས་ན(305); p ནས(35333), བརྟགས་ནས(313); d ན(73509), ན་འཚལ(60), བརྟགས་ན(305); n ནས(35333), བརྟགས་ནས(313); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,214
།གཞན་དུ་འཇུག་ངོགས་རེ་རེ་ཁོ་ནར་རོ། །འདི་,ནི་,ནི་,ནི་,ན་,ཆུ་ཚགས་མེད་འགྲོའི་ཚུལ་ཡིན་ནོ། །འབབ་པར་,K,g,,,,,,,,c=p=d n 11.16%,c ནི(44237), ནི་ཆུ(658), འདི་ནི(23970); p ནི(44237), ནི་ཆུ(658), འདི་ནི(23970); d ནི(44237), ནི་ཆུ(658), འདི་ནི(23970); n ན(73509), ན་ཆུ(471), འདི་ན(1776); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,251
བཏོད་དེ་ལུ་གུ་རྒྱུད་ཀྱིས་བུ་ག་ལ་གདགས་པར་བྱའོ། །ས་,ལ་,ལས་,ལས་,ལ་,བྱས་པ་ལ་བུ་ག་བཏོང་དེ་སྲད་བུས་གདགས་,K,g,,,,,,,,c=d p=n 80.49%,c ལས(5885), ས་ལས(518), ལས་བྱས་པ(137); p ལ(33965), ས་ལ(3916), ལ་བྱས་པ(149); d ལས(5885), ས་ལས(518), ལས་བྱས་པ(137); n ལ(33965), ས་ལ(3916), ལ་བྱས་པ(149); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,292
གཞུག་པར་བྱ་ཞིང་གང་བ་ནི་གཞུག་ལ། ,སྟོང་པ་ ནི་,སྟོང་པ་ཉིད་,སྟོང་པ་ ནི་,སྟོང་པ་ ནི་,སླར་དབྱུང་བ་དེ་ལྟ་བུར་བྱའོ་ཞེས་གསུངས་པ་,K,g,,,,,,,,c p=d=n 1.16%,c སྟོང་པ་ཉིད(200), །_སྟོང་པ་ཉིད(4132); p སྟོང་པ་ནི(44); d སྟོང་པ་ནི(44); n སྟོང་པ་ནི(44); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,296
བཟུང་གཏང་མཐུན་གཙོར་ད་ནི་མཐུན་པ་འཕྲོད་དེ་བདག་,ནས,ན,ན,ནས,གིས་ཏེ་ལས་སྟེ་ཀྱང་གཞག་པར་གཞག་པར་དགག་པར་བཞེད་པའི་འབྲལ་བར་,K,g,,,,,,,,c=d p=n 80.49%,c ན(73509), ན།_(60485), སྨྲས་པ་ན(61), སྨྲས་པ་ན།_(65); p ནས(35333), ནས།_(25825); d ན(73509), ན།_(60485), སྨྲས་པ་ན(61), སྨྲས་པ་ན།_(65); n ནས(35333), ནས།_(25825); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,334
གཞག་པར་གཞག་པར་དགག་པར་བཞེད་པའི་འབྲལ་བར་གྲང་ངེས་པའི་བརྟས་པར་རིངས་ཤིག་གནས་པ་,ལས་,ལ་,ལ་,ལས་,གྱི་ཤིགཤིག།ཤིག་གི་ཤིགདེ་སྦོམ་པ་པོར་སྐྱེད་པར་,K,g,,,,,,,,c=d p=n 80.49%,c ལ(33965), རྒྱུད་ལ(326); p ལས(5885), རྒྱུད་ལས(569); d ལ(33965), རྒྱུད་ལ(326); n ལས(5885), རྒྱུད་ལས(569); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,351
ཁོ་ན་དེ་ཡང་གཙེ་བ་གཙེ་བ་གསོད་པའི་བསམ་པ་གསད་པའི་ཉེད་པར་ལ་བརྟོལ་བ་གསད་པ་,ནི་,ན་,ན་,ན་,གཙེ་བ་བསམ་པས་མེས་མཐུན་པ་མཐུན་པ་བརྐུ་བའི་མིའི་དེ་བསྙིལ་བྱས་,K,g,,,,,,,,c=d=n p 2.09%,c ན(73509), ན་གང(1973), འདི་ན(1776), འདི་ན་གང(52); p ནི(44237), ནི་གང(5165), འདི་ནི(23970), འདི་ནི་གང(179); d ན(73509), ན་གང(1973), འདི་ན(1776), འདི་ན་གང(52); n ན(73509), ན་གང(1973), འདི་ན(1776), འདི་ན་གང(52); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,405
བཟུང་བའི་ཡོ་བྱད་མིའི་གྱིས་ཆུང་བ་ཚང་བ་གིས་བརྐུ་བའི་སྲུང་བའི་སྦོམ་པོར་གིས་,ནི་,ནི་,ནི་,ན་,བླུན་པོ་སྦོམ་པོ་ཞེས་བྱ་བ་ལ་མ་བྱིན་པ་ས་ཚང་བ་ཞེས་བྱ་བ་ཥཱ་པ་,K,g,,,,,,,,c=p=d n 11.16%,c ནི(44237), ནི་བདག་ཉིད(338), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་བདག་ཉིད(67); p ནི(44237), ནི་བདག་ཉིད(338), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་བདག་ཉིད(67); d ནི(44237), ནི་བདག་ཉིད(338), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་བདག་ཉིད(67); n ན(73509), ན་བདག་ཉིད(129), ཞེས་བྱ་བ་ན(81); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,428
བླུན་པོ་སྦོམ་པོ་ཞེས་བྱ་བ་ལ་མ་བྱིན་པ་ས་ཚང་བ་ཞེས་བྱ་བ་ཥཱ་པ་,ནས་,ན་,ན་,ནས་,ཥཱ་པ་ཎ་ལྷག་པ་འགྱུར་བ་ཥཱ་པ་གིས་ཥཱ་པ་ལྷག་པ་ཥཱ་པ་,K,g,,,,,,,,c=d p=n 80.49%,c ན(73509), བརྐུས་ན(81); p ནས(35333); d ན(73509), བརྐུས་ན(81); n ནས(35333); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,436
ཥཱ་པ་ཥཱ་པ་ཥཱ་པ་ཎ་ཎ་ཤཱ་པ་བློས་གཟུང་བ་འདིར་གཞུང་ནི་བདག་པོ་ཤིག,ནས་,ན་,ན་,ནས་,བརྒྱུད་ཆུང་བའི་ཕྱིར་རོ། །འདིར་ལས་ཀྱི་ལམ་གིར་ཐུག་དག་སྒྲུབས་ཀྱིགསུམ་འོན་ཀྱང་ནོ་སོ་ཞེས་,K,g,,,,,,,,c=d p=n 80.49%,c ན(73509), ཚང་ན(171); p ནས(35333), ཚང་ནས(60); d ན(73509), ཚང་ན(171); n ནས(35333), ཚང་ནས(60); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,456
འདེགས་པ་གཅད་པའི་གསུམ་པོ་ལྟོས་ཤིག་འབྲངས་བཀར་བ་བཅིངས་བཀར་བཅིངས་པས་,ལ་,ལས་,ལས་,ལས་,རིབ་འབྱུང་བ་གཅིག་པུ་འབྲི་རེ་ལྡེ་ཕྲོགས་པའང་ཀྱིས་བརྐུ་ཞེས་,K,g,,,,,,,,c=d=n p 2.09%,c ལས(5885), བཅིངས་པ་ལས(73); p ལ(33965); d ལས(5885), བཅིངས་པ་ལས(73); n ལས(5885), བཅིངས་པ་ལས(73); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,610
བཅད་པར་ན་གཏམས་པ་བགྲངས་ནས་གཏམས་པ་སྟེ་གཏམས་པའོགཏམས་པ་སྟེ་བཅད་པ་ཡི་མཉམ་,ལས་,ལ་,ལ་,ལས་,སྔ་ལ་ཕྱིས་ཕམ་པ་གཞག་པ་གཏམས་པ་པ་སྤགས་ཤིང་ལསྤོག་པར་ཉེ་བ་གསུངས་པ་དེ་དག་ལས་,K,g,,,,,,,,c=d p=n 80.49%,c ལ(33965), ལ་ཕྱིས(143); p ལས(5885); d ལ(33965), ལ་ཕྱིས(143); n ལས(5885); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,798
གཏམས་པ་དང་བརྐུ་བྱའི་བརྐུ་རང་གཞན་བང་བཏང་བས་སམཆེན་རྟོགས་པར་བསྐོར་བརྙས་པ་,ལས་,ལ་,ལ་,ལས་,སྤོག་པར་གྱིས་བརྐུ་སྤེད་པར་ཁ་ཅིག་ཁ་ཅིག་ཏུ་ནི་རྐུ་བར་,K,g,,,,,,,,c=d p=n 80.49%,c ལ(33965), ལ་བསམས(247), སྙིང་ལ(296); p ལས(5885), ལས་བསམས(121), སྙིང་ལས(99); d ལ(33965), ལ་བསམས(247), སྙིང་ལ(296); n ལས(5885), ལས་བསམས(121), སྙིང་ལས(99); ,16-2_གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,823
