Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སྦར་མེ་ལྷ་བསྐྱེད་པ་ནི །།རཾ་ལས་མེ་,ལྷ་,,ལྷ ར་,ལྷ་,དྲང་སྲོང་ནི། །བགྲང་ཕྲེང་རིལ་བ་ཕྱག་ན་,K,p,,,,,,,,p=n d 89.47%,p ལྷ(477), མེ་ལྷ(131); d ལྷར(3); n ལྷ(477), མེ་ལྷ(131); ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,5
། །ཇི་ལྟར་གྲགས་པའི་བཀྲ་ཤིས་བརྗོད། །མེ་,ཡི་,,ཡིས་,ཡི་,སྦྱངས་པའི་ནོར་བུ་བཞིན། །རང་གི་སྤྱི་བོའི་,K,p,,,,,,,,p=n d 89.47%,p ཡི(8322), མེ་ཡི(726); d ཡིས(7433), མེ་ཡིས(291); n ཡི(8322), མེ་ཡི(726); ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,18
ཁྱོད་ཀྱིས་སེམས་ཅན་དོན་ཀུན་མཛད། །རྗེས་སུ་,#འཐུན་པ འི་,,མཐུན་པ འི་,#འཐུན་པ འི་,དངོས་གྲུབ་སྩོལ། །སངས་རྒྱས་ཡུལ་དུ་གཤེགས་ནས་,K,,,nw✓,,,,,,p=n d 89.47%,p འཐུན་པའི(1214), རྗེས་སུ་འཐུན་པའི(338); d མཐུན་པའི(1540), རྗེས་སུ་མཐུན་པའི(116); n འཐུན་པའི(1214), རྗེས་སུ་འཐུན་པའི(338); ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,13
,#དྷི །_,,#དྷིཿ _།,#དྷི །_,བོད་སྐད་དུ། སྦྱིན་སྲེག་གི་ཆོ་ག །,K,,,,✓,,,,,p=n d 89.47%,p ; d ; n ; ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,1
གདན་ལ་བཞུགས་སུ་གསོལ། །ཨོཾ་ཨགྣ་ཡེ་ཛྭ་,ལ་,,#ལཱ་,ལ་,ཡ་ཛཿཧཱུཾ་བཾ་ཧོཿ། གཉིས་སུ་མེད་པར་བསྟིམས་,K,,,,✓,,,,,p=n d 89.47%,p ལ(33965), ལ་ཡ(78), ཛྭ་ལ(128); d ལཱ(84), ལཱ་ཡ(55); n ལ(33965), ལ་ཡ(78), ཛྭ་ལ(128); ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,6
། །མཆོད་པས་བདག་ལ་དགྱེས་པར་མཛོད། །ཨོཾ་,#བགྷྣིན་ ཏ་ #ཀྲྀད་,,#བིགྷ་ #ནཱནྟ་ #ཀྲྀཏ་,#བགྷྣིན་ ཏ་ #ཀྲྀད་,ཧཱུཾ་ཕཊ། ཐལ་མོ་སྦྱར་ལ་མཛུབ་གཉིས་དགྱེད,K,,,,✓,,,,,p=n d 89.47%,p ; d ; n ; ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,8
མོ་སྦྱར་ལ་མཛུབ་གཉིས་དགྱེད། །ཨོཾ་ཏ་ཐཱ་,ག་ #ཏོངྦྷ་,,ག་ #ཏོངྦྷ་,#ཏོད་ #བྷཱ་,བཱ་ཡ་སྭཱ་ཧཱ། ཛཿཧཱུཾ་བཾ་ཧོཿ། །མཆོད་,K,,,,✓,,,,,p=d n 5.26%,p ; d ; n ; ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,10
ཡང་འབྱོན་པར་མཛད་དུ་གསོལ། །དམན་པ་བསྡུ་ཞིང་ཨ་,ཀ ར་,,#ཀཱར་,ཀ ར་,བཟླས། །ཇི་ལྟར་གྲགས་པའི་བཀྲ་ཤིས་བརྗོད། །,K,,,,✓,,,,,p=n d 89.47%,p ཀར(14); d ཀཱར(401); n ཀར(14); ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,17
པ་ཡང་རུང་། །བུད་ཤིང་བརྩིགས་ཏེ་སྲེག་རྫས་,གསོག,,བསོག,གསོག, །མཆོད་དང་གཏོར་མ་ལ་སོགས་དགྲམ། །བླ་,K,,,,,⟶,,,,p=n d 89.47%,p གསོག(24); d བསོག(2); n གསོག(24); ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,2
ལ་འདུག་སྟེ་བསྒོམ། །རབ་ཏུ་རྫས་ལ་བྲབ་,རྡེག་,,བརྡེག་,རྡེག་,བྱ། །མེ་སྦར་མེ་ལྷ་བསྐྱེད་པ་ནི །།,K,,,,,⟶,,,,p=n d 89.47%,p རྡེག(13); d བརྡེག(29); n རྡེག(13); ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,3
བསངས་ཏེ་མར་གྱི་དགང་བླུགས་དབུལ། །མཆོད་བསྟོད་,བསྲེག་,,སྲེག་,བསྲེག་,རྫས་རིམ་པར་དབུལ། །དེ་ནས་མཆོད་བསྟོད་མེ་,K,,,,,⟶,,,,p=n d 89.47%,p བསྲེག(120), བསྲེག་རྫས(40); d སྲེག(82); n བསྲེག(120), བསྲེག་རྫས(40); ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,7
ཀར་དག་ལ་ནི། །བརྒྱའམ་སྟོང་ངམ་ཁྲི་རུ་,སྲེག,,བསྲེག,སྲེག,།སྡིག་སྒྲིབ་སྦྱོང་བའི་ལས་སུ་བསྟན། །དེ་ནས་,K,,,,,⟶,,,,p=n d 89.47%,p སྲེག(82); d བསྲེག(120); n སྲེག(82); ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,11
། །བརྒྱའམ་སྟོང་ངམ་ཁྲི་རུ་བསྲེག།སྡིག་སྒྲིབ་,སྦྱང་བ འི་,,སྦྱོང་བ འི་,སྦྱང་བ འི་,ལས་སུ་བསྟན། །དེ་ནས་མཆོད་བསྟོད་གཏོར་མ་,K,,,,,⟶,,,,p=n d 89.47%,p སྦྱང་བའི(159); d སྦྱོང་བའི(183); n སྦྱང་བའི(159); ,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག,12
