Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སོའི་གནས་སུ་བཞག་གོ། །ཤིང་གདུག་པ་ཅན་,ལ་,,ལས་,ལ་,བྱས་པའི་ཕུར་བུ་བཞི་ལ་དར་མཐིང་ནག་གི་,K,g,,,,,,,,p=n d 95.04%,p ལ(33965), ཅན་ལ(190), ལ་བྱས་པ(149); d ལས(5885), ཅན་ལས(219), ལས་བྱས་པ(137); n ལ(33965), ཅན་ལ(190), ལ་བྱས་པ(149); ,17-104-17-116_བར་ཆ་ཚང་།,42
དུ་བུམ་པ་གསེར་རམ་དངུལ་ལམ་ཟངས་སམ་ལྕགས་,ལ་,,ལས་,ལ་,སྒྲུབ་པ་པོ་འབྱོར་པའི་ཁྱད་པར་གྱིས་བྱའོ། །,K,g,,,,,,,,p=n d 95.04%,p ལ(33965); d ལས(5885), ལྕགས་ལས(89); n ལ(33965); ,17-104-17-116_བར་ཆ་ཚང་།,231
འོད་འཕྲོས་པས་ལྷ་འོད་དུ་ཞུ། དེ་ཉིད་,ལ་,,ལས་,ལ་,སྔགས་ཀྱི་རང་སྒྲ་རང་སྒྲ་འབྱུང་བས་ཡེ་ཤེས་ཀྱི་བདུད་རྩི་,K,g,,,,,,,,p=n d 95.04%,p ལ(33965), ལ་སྔགས(452), དེ་ཉིད་ལ(97); d ལས(5885), ལས་སྔགས(55), དེ་ཉིད་ལས(411); n ལ(33965), ལ་སྔགས(452), དེ་ཉིད་ལ(97); ,17-104-17-116_བར་ཆ་ཚང་།,316
པདྨ་བཅས་པ་མུ་ཁྱུད་སེར་པོ་ལ། ཨ་,དཀར་པོ་,,དཀར་པོ ས་,དཀར་པོ་,བསྐོར་པ་ཁྱམས་དང་སྒོ་རིགས་དང་འདྲ་བ་བྲི་,K,p,,,,,,,,p=n d 95.04%,p དཀར་པོ(79); d དཀར་པོས(254); n དཀར་པོ(79); ,17-104-17-116_བར་ཆ་ཚང་།,2
ལ་ལས་ཐམས་ཅད་པའི་བུམ་པ་ལ་སྐུ་དཀར་,གྱི་,,གྱིས་,གྱི་,སྣ་ཚོགས་རྡོ་རྗེ་བྲིས་ལ་བྱང་དུ་བཞག །,K,p,,,,,,,,p=n d 95.04%,p གྱི(3024); d གྱིས(7492); n གྱི(3024); ,17-104-17-116_བར་ཆ་ཚང་།,14
ལག་སྦྱར་ཏེ་མཛུབ་མོ་ཕྱིས་ནས། ནས་གང་,གི་,,གིས་,གི་,མ་རེག་པ་བྱས་ལ་མཐེའུ་ཆུང་བླང་ལ། ,K,p,,,,,,,,p=n d 95.04%,p གི(1276), གི་མ(306), གང་གི(8014); d གིས(2588), གིས་མ(753), གང་གིས(183), གང་གིས་མ(48); n གི(1276), གི་མ(306), གང་གི(8014); ,17-104-17-116_བར་ཆ་ཚང་།,16
པ་རབ་ཏུ་མཉམ་པ་ལ། ཐིག་དང་ཚོན་,གྱི་,,གྱིས་,གྱི་,ལུགས་བཞིན་བྱས་ལ། དབུས་སུ་གྲུ་གསུམ་ནག་,K,p,,,,,,,,p=n d 95.04%,p གྱི(3024), ཚོན་གྱི(127); d གྱིས(7492), ཚོན་གྱིས(142); n གྱི(3024), ཚོན་གྱི(127); ,17-104-17-116_བར་ཆ་ཚང་།,39
། གཡས་པས་རྡོ་རྗེ་རྩེ་གསུམ་པ་གདེངས་པ་འཕྱར་བ། ,གཡོན་པ་,,གཡོན་པ ས་,གཡོན་པ་,འཁོར་ལོས་མཚན་པའི་ཐོད་པ་ཐུགས་ཀར་འཛིན་པ,K,p,,,,,,,,p=n d 95.04%,p གཡོན་པ(1041), །_གཡོན་པ(56); d གཡོན་པས(419); n གཡོན་པ(1041), །_གཡོན་པ(56); ,17-104-17-116_བར་ཆ་ཚང་།,52
དཀྱིལ་འཁོར་གྱི་སྟེང་དུ་རྡོ་རྗེ་ཁ་གྱེས་པའི་,བུམ་པ་,,བུམ་པ ར་,བུམ་པ་,ཧཱུཾ། དེ་ལ་སོ་སོའི་སྔགས་ཀྱིས་བསྐོར་བའི་,K,p,,,,,,,,p=n d 95.04%,p བུམ་པ(1742); d བུམ་པར(87); n བུམ་པ(1742); ,17-104-17-116_བར་ཆ་ཚང་།,66
དཀྱིལ་འཁོར་བསྡུ། བཀྲ་ཤིས་གསོལ། སྦྱིན་སྲེག་,ཐལ་བ ས་,,ཐལ་བ་,ཐལ་བ ས་,མནན་ལས་བྱས་ལ་སྦྱར། བླ་མ་ལ་ཡོན་,K,p,,,,,,,,p=n d 95.04%,p ཐལ་བས(176); d ཐལ་བ(546); n ཐལ་བས(176); ,17-104-17-116_བར་ཆ་ཚང་།,71
