Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཉིད་ཀྱི་ཤ་ཁྲག་དང་སྤུ་དང་དབང་པོ་ལྔ་,ལ་,,ལས་,ལ་,གཟུགས་བག་ཟན་དང་བསྲེས་ལ་ཇི་ལྟར་འདོད་པའི་,K,g,,,,,,,,p=n d 94.64%,p ལ(33965), ལྔ་ལ(54), ལ་གཟུགས(592); d ལས(5885), ལྔ་ལས(240), ལས་གཟུགས(102); n ལ(33965), ལྔ་ལ(54), ལ་གཟུགས(592); ,17-117-17-120_བར་ཆ་ཚང་།,36
བ་ལ་ལྟེ་བར་བོང་བུ་ནག་པོའི་ཁྲག་གིས་,ཆེ་གེ་མོ ས་པ་བ་,,ཆེ་གེ་མོ་པ་བ་,ཆེ་གེ་མོ ས་པ་བ་,སངས་ཀྱི་བྱང་དུ་ཆུག་ཅིག་ཅེས་བརྒྱད་ཀྱི་མིང་,K,p,,,,,,,,p=n d 94.64%,p ; d ; n ; ,17-117-17-120_བར་ཆ་ཚང་།,4
སངས་ཀྱི་བྱང་དུ་ཆུག་ཅིག་ཅེས་བརྒྱད་ཀྱི་མིང་,གི་,,གིས་,གི་,བཅས་པ་བྲི། མུ་ཁྱུད་ལ་ཨ་མུ་ཀ་,K,p,,,,,,,,p=n d 94.64%,p གི(1276), མིང་གི(430); d གིས(2588), མིང་གིས(254); n གི(1276), མིང་གི(430); ,17-117-17-120_བར་ཆ་ཚང་།,6
མིང་ཤོག་བུ་ལ་བྲིས་པ་དང་། དེ་ཉིད་,,,ཀྱི་,,དཀྱིལ་འཁོར་དང་བཅས་པ་བསྒྲུབ་བྱའི་ཁང་པའི་འགྲམ་,K,p,,,,,,,,p=n d 94.64%,p (1), དེ་ཉིད(70), དཀྱིལ་འཁོར(79); d ཀྱི(5256), དེ་ཉིད་ཀྱི(1080), ཀྱི་དཀྱིལ་འཁོར(1614); n (1), དེ་ཉིད(70), དཀྱིལ་འཁོར(79); ,17-117-17-120_བར་ཆ་ཚང་།,15
པའི་ངོས་སུ་ཁ་བསྟན་ཏེ། སྔགས་འདི་གཞན་,གྱིས་,,གྱི་,གྱིས་,ཚིག་གིས་བར་མ་ཆོད་པར་བཟླས་སོ། །མ་,K,p,,,,,,,,p=n d 94.64%,p གྱིས(7492), གཞན་གྱིས(1902), གྱིས་ཚིག(40); d གྱི(3024), གཞན་གྱི(3364), གྱི་ཚིག(513); n གྱིས(7492), གཞན་གྱིས(1902), གྱིས་ཚིག(40); ,17-117-17-120_བར་ཆ་ཚང་།,48
ཆོ་ག་ལ་སོགས་པ་སྔོན་དུ་སོང་བས་གཟའ་,འཁྲུག་པ ར་,,འཁྲུག་པ ར་,#ཁྲུག་པ ར་,བྱེད་པའི་དཀྱིལ་འཁོར་བཞེངས། དབུས་ཨེའི་དབྱིབས་ཁ་,K,,,nw✓,,,,,,p=d n 1.79%,p འཁྲུག་པར(766); d འཁྲུག་པར(766); n ; ,17-117-17-120_བར་ཆ་ཚང་།,11
སྔགས་འདི་ལན་འབུམ་ཕྲག་བདུན་བཟླས་སོ། །ཨོཾ་,#ཏྲི་,,#ཏྲིག་,#ཏྲི་,ཏྲིག་སེར་སེར་ཀྲཾ་ཀྲཾ་ཀྲུཾ་ཀྲུཾ་བྷྱོ་བྷྱོ་ཞེས་,K,,,nw✓,,,,,,p=n d 94.64%,p ཏྲི(37); d ཏྲིག(4); n ཏྲི(37); ,17-117-17-120_བར་ཆ་ཚང་།,14
ཏེ་ཁྲག་སྣ་ཚོགས་ལ་བཟླས་ལ་དེ་དག་ལ་,#ཏིག་,,གཏིག་,#ཏིག་,གོ། །ཨོཾ་ན་མཤྩཎྜ་བཛྲ་པཱ་ཎ་ཡེ་ཤོ་དྷ་པྲ་,K,,,nw✓,,,,,,p=n d 94.64%,p ཏིག(3); d ; n ཏིག(3); ,17-117-17-120_བར་ཆ་ཚང་།,39
སྭཱ་ཧཱ་ཞེས་བཟླས་ཏེ་འགུལ་ནུས་པའི་དུས་ན་,གྲི་ སྔོན་ དམར་ #བཏུབས་,,གྲི ས་ སྔོན་ དམར་ གཏུབས་,གྲི་ སྔོན་ དམར་ #བཏུབས་,ཏེ། གཟའ་ཆེན་པོ་རྒྱུ་བའི་དུས་སུ་བསྒྲུབ་,K,,,nw✓,,,,,,p=n d 94.64%,p ; d ; n ; ,17-117-17-120_བར་ཆ་ཚང་།,44
སུ་བསྒྲུབ་བྱའི་ཁྱིམ་དུ་བཏང་ན། ངེས་པར་,#བཀྲག་,,སྐྲག་,#བཀྲག་,ཅིང་མ་རུངས་པར་ངེས་སོ། །གཤོག་པ་ཅན་,K,,,nw✓,,,,,,p=n d 94.64%,p བཀྲག(14); d སྐྲག(56), སྐྲག་ཅིང(155); n བཀྲག(14); ,17-117-17-120_བར་ཆ་ཚང་།,45
དོང་གྲུ་གསུམ་པའི་ནང་དུ་བཅུག་ལ། ཁ་,#སྤྲི་,,སྲི་,#སྤྲི་,ཤིང་གིས་བཅད་ལ་སྐེ་ནས་རྒྱུ་ཞགས་ཀྱིས་བཏབ་,K,,,nw✓,,,,,,p=n d 94.64%,p སྤྲི(14); d སྲི(266); n སྤྲི(14); ,17-117-17-120_བར་ཆ་ཚང་།,53
བཟླས་སོ། །ཨོཾ་མ་ཡ་སྙིང་ཡ་མ་ཁྲག་,ར་ #ཧུ་ ལ་ ར་ #ཧཱུ་,,#རཱ་ #ཧུ་ ལ་ #རཱ་ #ཧུ་,ར་ #ཧུ་ ལ་ ར་ #ཧཱུ་,ཧྲིལ་ཤག་ཤག་སེན་སེན་བྷྱོ་བྷྱོ། །རང་རང་,K,,,,✓,,,,,p=n d 94.64%,p ; d ; n ; ,17-117-17-120_བར་ཆ་ཚང་།,23
སྟེ། སྔགས་ནི། ཨོཾ་བཛྲ་པཱ་ཎི་ཕུ་,ན་ ག་ #ཧེ་ དུ་,,#ནཱ་ ག་ #ཧེ་ ཏུ་,ན་ ག་ #ཧེ་ དུ་,པྲ་ཤག་སྭཱ་ཧཱ་ཞེས་པས་སྒྲུབ་པ་པོ་དེ་,K,,,,✓,,,,,p=n d 94.64%,p ; d ; n ; ,17-117-17-120_བར་ཆ་ཚང་།,33
བཟླས་ལ་དེ་དག་ལ་གཏིག་གོ། །ཨོཾ་ན་,#མཿཙཎྜ་,,#མཤྩཎྜ་,#མཿཙཎྜ་,བཛྲ་པཱ་ཎ་ཡེ་ཤོ་དྷ་པྲ་ཝ་པི་ཏི་གྷ་ཊ་,K,,,,✓,,,,,p=n d 94.64%,p མཿཙཎྜ(3); d མཤྩཎྜ(28); n མཿཙཎྜ(3); ,17-117-17-120_བར་ཆ་ཚང་།,40
དག་ལ་གཏིག་གོ། །ཨོཾ་ན་མཤྩཎྜ་བཛྲ་པཱ་,ན་ ཡེ་ ཤོད་,,#ཎ་ ཡེ་ ཤོ་,ན་ ཡེ་ ཤོད་,དྷ་པྲ་ཝ་པི་ཏི་གྷ་ཊ་ཡ་ཤྭ་ར་,K,,,,✓,,,,,p=n d 94.64%,p ; d ; n ; ,17-117-17-120_བར་ཆ་ཚང་།,41
དྷ་པྲ་ཝ་པི་ཏི་གྷ་ཊ་ཡ་ཤྭ་ར་,ན་,,#ཎ་,ན་,ཧཱུཾ་ཕཊ་སྭཱ་ཧཱ་ཞེས་བཟླས་ཏེ་འགུལ་ནུས་པའི་,K,,,,✓,,,,,p=n d 94.64%,p ན(73509), ར་ན(173); d ཎ(386), ར་ཎ(103); n ན(73509), ར་ན(173); ,17-117-17-120_བར་ཆ་ཚང་།,42
འདི་ལ་ཞག་དགུ་བཟླས་སོ། །ཨོཾ་བཛྲ་བི་,ད་,,#དཱ་,ད་,ར་ཏི་ར་ཏི་སྭཱ་ལཾ་སྐེ་མཾ་སྐེ་མཾ་,K,,,,✓,,,,,p=n d 94.64%,p ད(194), ད་ར(71), བི་ད(73); d དཱ(29), དཱ་ར(500), བི་དཱ(56); n ད(194), ད་ར(71), བི་ད(73); ,17-117-17-120_བར་ཆ་ཚང་།,54
དགུ་ནས་བསྒྲུབ་བྱ་གཟས་ཟིན་པར་འགྱུར་རོ། །,སྒྲུབ་,,བསྒྲུབ་,སྒྲུབ་,བྱ་གཟའི་བྱེད་དུ་གཞུག་པའི་འཁོར་ལོ་ཅན་དཔལ་,K,,,,,⟶,,,,p=n d 94.64%,p སྒྲུབ(176), །_།སྒྲུབ(1055); d བསྒྲུབ(271), །_།བསྒྲུབ(576), བསྒྲུབ་བྱ(368), །_།བསྒྲུབ་བྱ(141); n སྒྲུབ(176), །_།སྒྲུབ(1055); ,17-117-17-120_བར་ཆ་ཚང་།,8
སྦྱར་རོ། །ཐེ་ཚོམ་མེད་པར་འགྲུབ་པ་ལས་,སྒྲུབ་,,བསྒྲུབ་,སྒྲུབ་,བྱ་ཐོག་གིས་བསད་པའི་ཆོ་ག་དྲག་ཤུལ་ཞེས་,K,,,,,⟶,,,,p=n d 94.64%,p སྒྲུབ(176), ལས་སྒྲུབ(69); d བསྒྲུབ(271), ལས་བསྒྲུབ(48), བསྒྲུབ་བྱ(368); n སྒྲུབ(176), ལས་སྒྲུབ(69); ,17-117-17-120_བར་ཆ་ཚང་།,18
འཇུག་པའི་དུས་སུ་ཐབ་གསུམ་གྱི་ལས་སྦྱར་ན་,སྒྲུབ་,,བསྒྲུབ་,སྒྲུབ་,བྱའི་ལོ་ཐོག་ངེས་པར་བརླག་པར་འགྱུར་རོ། །,K,,,,,⟶,,,,p=n d 94.64%,p སྒྲུབ(176); d བསྒྲུབ(271), བསྒྲུབ་བྱ(368); n སྒྲུབ(176); ,17-117-17-120_བར་ཆ་ཚང་།,26
དང་ཁྲག་བསྲེས་པ་ལ་སྔགས་འདི་ཞག་བདུན་དུ་,བསྒྲུབ་པ་,,སྒྲུབ་པ་,བསྒྲུབ་པ་,བྱས་ན། དེ་འགུལ་ནུས་པའི་དུས་ན་དགྲའི་,K,,,,,⟶,,,,p=n d 94.64%,p བསྒྲུབ་པ(54); d སྒྲུབ་པ(166), དུ་སྒྲུབ་པ(88); n བསྒྲུབ་པ(54); ,17-117-17-120_བར་ཆ་ཚང་།,30
པར་འགྲུབ་བོ། །གཅན་གཟན་སྡེར་མོ་ཅན་གྱི་ཚོགས་,སྒྲུབ་,,བསྒྲུབ་,སྒྲུབ་,ན་དེ་ཉིད་ཀྱི་ཤ་ཁྲག་དང་སྤུ་དང་དབང་,K,,,,,⟶,,,,p=n d 94.64%,p སྒྲུབ(176); d བསྒྲུབ(271); n སྒྲུབ(176); ,17-117-17-120_བར་ཆ་ཚང་།,35
། །གཤོག་པ་ཅན་གྱི་ཚོགས་སྒྲུབ་པ་སྟེ། ,སྒྲུབ་,,བསྒྲུབ་,སྒྲུབ་,བྱ་སྐྲག་པར་འདོད་ན་གང་འདོད་པའི་ཤ་ཁྲག་,K,,,,,⟶,,,,p=n d 94.64%,p སྒྲུབ(176), །_སྒྲུབ(293); d བསྒྲུབ(271), །_བསྒྲུབ(146), བསྒྲུབ་བྱ(368); n སྒྲུབ(176), །_སྒྲུབ(293); ,17-117-17-120_བར་ཆ་ཚང་།,46
བསྒྲུབ་བྱའི་སེམས་ལུས་ངག་སྐྲག་པར་འདོད་ན་གང་,སྒྲུབ་པ འི་,,བསྒྲུབ་པ འི་,སྒྲུབ་པ འི་,མིག་གཡས་པ་དང་རྨིག་པའི་རྩེ་མོ་དང་སྤུ་,K,,,,,⟶,,,,p=n d 94.64%,p སྒྲུབ་པའི(1063); d བསྒྲུབ་པའི(1015); n སྒྲུབ་པའི(1063); ,17-117-17-120_བར་ཆ་ཚང་།,51
བར་འགྱུར་རོ། །དུས་ནི་ཁྱབ་འཇུག་ཁྱིམ་ནས་,འཐོན་པ འི་,,ཐོན་པ འི་,འཐོན་པ འི་,ཚེ་ལས་ལ་སྦྱར་རོ། །ཐེ་ཚོམ་མེད་པར་,K,,,,,≠,,,,p=n d 94.64%,p ; d ; n ; ,17-117-17-120_བར་ཆ་ཚང་།,17
ཚོན་སྣ་ཚོགས་པས་ཇི་ལྟར་འདོད་པ་བཞིན་དུ་,སྒྱུར་,,བསྒྱུར་,སྒྱུར་,ལ་འོ་མ་དང་ཁྲག་བསྲེས་པ་ལ་སྔགས་འདི་,K,,,,,≠,,,,p=n d 94.64%,p སྒྱུར(104); d བསྒྱུར(187), དུ་བསྒྱུར(117); n སྒྱུར(104); ,17-117-17-120_བར་ཆ་ཚང་།,29
ཁ་ཤིང་ལེབ་ཀྱིས་བཅད་ལ། སྔོན་དམར་གྱིས་,བཅིང་,,བཅིངས་,བཅིང་,ལ་ཞག་བདུན་སྔགས་འདི་བཟླས་ཏེ་ཁྲག་སྣ་ཚོགས་,K,,,,,≠,,,,p=n d 94.64%,p བཅིང(1973); d བཅིངས(141), བཅིངས་ལ(85), གྱིས་བཅིངས(52); n བཅིང(1973); ,17-117-17-120_བར་ཆ་ཚང་།,38
རས་དང་རུས་པ་བསྲེགས་པའི་ཐལ་བ་དང་། ,རྨེ་,,དམེ་,རྨེ་,ཁྲག་སྣ་ཚོགས་པའི་ཐོད་པའི་སྤྱི་བོར་བསྒྲུབ་བྱའི་མིང་དང་,K,,,,,?,,,,p=n d 94.64%,p རྨེ(3); d དམེ(2); n རྨེ(3); ,17-117-17-120_བར་ཆ་ཚང་།,19
ན་དགྲའི་ཁྱིམ་དུ་བཏང་ན་རབ་ཏུ་སྐྲག་ཅིང་,རྒྱལ་,,བརྒྱལ་,རྒྱལ་,བར་འོང་སྟེ། སྔགས་ནི། ཨོཾ་བཛྲ་པཱ་,K,,,,,?,,,,p=n d 94.64%,p རྒྱལ(454), རྒྱལ་བར(736), ཅིང་རྒྱལ(86); d བརྒྱལ(14), བརྒྱལ་བར(104); n རྒྱལ(454), རྒྱལ་བར(736), ཅིང་རྒྱལ(86); ,17-117-17-120_བར་ཆ་ཚང་།,32
