Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མནར་སེམས་ཅན་ཁྱོད། །ཐོས་བསམ་བྲལ་བས་སེམས་,ལས་,,ལ་,ལས་,ལོག་པར་མཐོང་། །རྨུགས་པ་མ་མཐོང་བག་ཆགས་,K,g,,,,,,,,p=n d 100.00%,p ལས(5885), སེམས་ལས(750); d ལ(33965), སེམས་ལ(101), ལ་ལོག་པར(247); n ལས(5885), སེམས་ལས(750); ,17-125-17-126བར་ཆ་ཚང།,9
། །དེ་མེ་ལ་འདེབས་ན་རཾ་གྱི་ས་བོན་,ལ་,,ལས་,ལ་,བསྐྱེད་ལ། ཆུ་ལ་བཾ། རླུང་ལ་ཡཾ,K,g,,,,,,,,p=n d 100.00%,p ལ(33965), ས་བོན་ལ(110), ལ་བསྐྱེད(69); d ལས(5885), ས་བོན་ལས(132), ལས་བསྐྱེད(95); n ལ(33965), ས་བོན་ལ(110), ལ་བསྐྱེད(69); ,17-125-17-126བར་ཆ་ཚང།,23
ཚེ་ནག་པོར་བཞག་སྟེ། ཧཱུཾ་མནར་མེད་ལས་,ཀྱི་,,ཀྱིས་,ཀྱི་,མནར་བའི་སེམས་ཅན་ཁྱོད། །སྔོན་ནས་སྦྱངས་པ་,K,p,,,,,,,,p=n d 100.00%,p ཀྱི(5256), ལས་ཀྱི(7315); d ཀྱིས(6156), ལས་ཀྱིས(1492); n ཀྱི(5256), ལས་ཀྱི(7315); ,17-125-17-126བར་ཆ་ཚང།,4
། །དེ་ནི་ས་ལ་འདེབས་པའི་ལུགས་སོ། །,,,དེ་,,མེ་ལ་འདེབས་ན་རཾ་གྱི་ས་བོན་ལས་བསྐྱེད་,K,,✘,,,,,,,p=n d 100.00%,p (1), མེ(828), །_།(997103), །_།མེ(3192), སོ།_།མེ(71), །_།མེ་ལ(67); d དེ(1), །_།དེ(137195), དེ་མེ(75); n (1), མེ(828), །_།(997103), །_།མེ(3192), སོ།_།མེ(71), །_།མེ་ལ(67); ,17-125-17-126བར་ཆ་ཚང།,22
ཡེ་ཤེས་ཀྱི་ཆུ་རྒྱུན་དབབ། དེ་ནས་ཡཾ་,ཞེས་པ་,,ཞེས་,ཞེས་པ་,གྱུར་པ་ལས། ཡེ་ཤེས་ཀྱི་རླུང་གིས་བསྐྱོད,K,,པ་བ་,,,,s,,,p=n d 100.00%,p ཞེས་པ(107); d ཞེས(1047); n ཞེས་པ(107); ,17-125-17-126བར་ཆ་ཚང།,20
འགྲོའི་གནས་སུ་དྲང་བ་ནི། ཧཱུཾ་ཤེས་རབ་,མ་རིག་པ ར་,,མ་རིག་པ ས་,མ་རིག་པ ར་,མནར་སེམས་ཅན་ཁྱོད། །ཐོས་བསམ་བྲལ་བས་སེམས་,K,,≠,,,,,,,p=n d 100.00%,p མ་རིག་པར(47); d མ་རིག་པས(84); n མ་རིག་པར(47); ,17-125-17-126བར་ཆ་ཚང།,8
ར་ཀ་ས་མནྟ་ཧཱུཾ། དེ་ནས་ཡང་། ,,,#ཧཱུཾ་,,འདོད་པ་རང་རྒྱུད་གཅད་པའི་སེམས་ཅན་ཁྱོད། །རྐུ་,K,,,,✓,,,,,p=n d 100.00%,p (1), །_(47), འདོད་པ(696), །_འདོད་པ(976); d ཧཱུཾ(241); n (1), །_(47), འདོད་པ(696), །_འདོད་པ(976); ,17-125-17-126བར་ཆ་ཚང།,6
སྤྱོན། །ཨོཾ་པྲ་བྷེ་ས་མ་ཡ་ལི་ན་,མ་ ས་,,#མཿས་,མ་ ས་,ས་མནྟ་ཧཱུཾ། དེ་ནས་ལྷའི་གནས་ནས་སྤྱན་,K,,,,✓,,,,,p=n d 100.00%,p མ་ས(333); d མཿས(557), ན་མཿས(557), མཿས་མནྟ(535), ན་མཿས་མནྟ(535); n མ་ས(333); ,17-125-17-126བར་ཆ་ཚང།,14
ཤར་སྒོར་སྤྱོན། །ཨོཾ་དེ་བཱ་པ་ཙ་སརྦ་,#ཨཏྨ་,,#ཨཱཏྨ་,#ཨཏྨ་,ཡ་ཧཱུཾ། དེ་ནས་སྐབས་འདིར་ཟས་གཏད་པའི་,K,,,,✓,,,,,p=n d 100.00%,p ཨཏྨ(7); d ཨཱཏྨ(210); n ཨཏྨ(7); ,17-125-17-126བར་ཆ་ཚང།,16
ནི། ཨོཾ་མ་ཧཱ་བ་ལེ་བེེ་ག་ར་,ན་,,#ཎ་,ན་,ཧཱུཾ་ཞེས་བརྗོད་ཅིང་། ཡེ་ཤེས་ཀྱི་གཞལ་ཡས་,K,,,,✓,,,,,p=n d 100.00%,p ན(73509), ར་ན(173); d ཎ(386), ར་ཎ(103); n ན(73509), ར་ན(173); ,17-125-17-126བར་ཆ་ཚང།,21
