Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གཡོན་པའི་ཕྱག་ན་ཞགས་པ་བསྣམས། །དེ་ལ་,བསྟོད་པ་,,བསྟོད་ དེ་,བསྟོད་པ་,གཏོར་མ་འབུལ། །བྱང་ཤར་སྨིན་དྲུག་དབང་ཕྱུག་,K,g,≠,,,,,,,p=n d 100.00%,p བསྟོད་པ(266), ལ་བསྟོད་པ(64); d བསྟོད་དེ(61); n བསྟོད་པ(266), ལ་བསྟོད་པ(64); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,13
དེ་ལ་བསྟོད་དེ་གཏོར་མ་འབུལ། །ལྷ་ཆེན་,བརྒྱད་པ་,,བརྒྱད་པོ་,བརྒྱད་པ་,འཁོར་དང་བཅས། །མཆོད་དང་གཏོར་མ་ཕུལ་བ་,K,,≠,,,,,,,p=n d 100.00%,p བརྒྱད་པ(247); d བརྒྱད་པོ(822); n བརྒྱད་པ(247); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,15
གཟུགས་བརྙན་བྱས་ལ། དེ་རེ་རེ་ལ་ངར་,བླུད་,,#གླུད་,བླུད་,སོར་བཞི་པ་བརྒྱ་རྩ་བརྒྱད་ཀྱིས་བསྐོར་ལ། ,K,,,nw✓,,,,,,p=n d 100.00%,p བླུད(14); d གླུད(1); n བླུད(14); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,1
ཁྲོད་འབར་བའི་རྒྱན་གྱིས་བརྒྱན། །གཡས་ན་ཏྲི་,ཤུལ་,,#ཤཱུལ་,ཤུལ་,རྩེ་གསུམ་བསྣམས། །གཡོན་ན་ཐོད་པ་ཁྲག་འདྲེན་,K,,,,✓,,,,,p=n d 100.00%,p ཤུལ(4); d ཤཱུལ(42), ཏྲི་ཤཱུལ(40); n ཤུལ(4); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,7
། །སྐུ་མདོག་སྔོ་སྐྱ་འཇིགས་བྱེད་པ། །སྐྲ་,རྫེས་,,བརྫེས་,རྫེས་,སྤྱན་ཡང་འབྲུ་ཚུགས་ལྟ། །དུར་ཁྲོད་འབར་བའི་,K,,,,,⟶,,,,p=n d 100.00%,p རྫེས(2); d བརྫེས(18); n རྫེས(2); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,6
གཙིགས་པ་ལ། །འཇིགས་པའི་ང་རོ་འབྲུག་ལྟར་,སྒྲོག,,སྒྲོགས,སྒྲོག,། །གཡས་པ་དུང་ཆེན་གཡས་འཁྱིལ་བསྣམས། །གཡོན་,K,,,,,⟶,,,,p=n d 100.00%,p སྒྲོག(76); d སྒྲོགས(169), སྒྲོགས།_།(144); n སྒྲོག(76); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,9
གཅིག་ཕྱག་གཉིས་སྐུ་མདོག་གནག །སྐྲ་གཡེངས་སོ་,མནན་,,གནན་,མནན་,ཁྲག་གིས་བརླན། །གཡས་པ་རྡོ་རྗེ་རྩེ་གསུམ་,K,,,,,⟶,,,,p=n d 100.00%,p མནན(228); d གནན(2); n མནན(228); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,12
ཞིང་རྫུ་འཕྲུལ་ལྡན། །དབང་ཕྱུག་གྲགས་པ་རྣམས་,བསྐྱེད་པ,,སྐྱེད་པ,བསྐྱེད་པ,། །ལེགས་པའི་ལམ་ཡང་སྟོན་པ་སྟེ། །ལྷ་,K,,,,,≠,,,,p=n d 100.00%,p བསྐྱེད་པ(320), བསྐྱེད་པ།_།(68); d སྐྱེད་པ(108), སྐྱེད་པ།_།(46); n བསྐྱེད་པ(320), བསྐྱེད་པ།_།(68); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,5
ཁྲག་འདྲེན་པ། །དེ་ལ་བསྟོད་དེ་གཏོར་མ་,འབུལ,,དབུལ,འབུལ,། །ལྷོ་ཕྱོགས་ལྷ་ཆེན་རྒྱལ་ཆེན་ནི། །སྐུ་,K,,,,,≠,,,,p=n d 100.00%,p འབུལ(125), འབུལ།_།(105); d དབུལ(442), མ་དབུལ(62), དབུལ།_།(423); n འབུལ(125), འབུལ།_།(105); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,8
གཉིས་སྐུ་མདོག་ལྗང་། །འཇིགས་བྱེད་ཆེན་པོའི་ཞལ་,གདེངས་,,གདངས་,གདེངས་,ནས། །རབ་ཏུ་རྔམ་པའི་ང་རོ་ཅན། །,K,,,,,≠,,,,p=n d 100.00%,p གདེངས(17); d གདངས(11), ཞལ་གདངས(46); n གདེངས(17); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,14
ནས། །འཇིག་རྟེན་སྟོབས་ལྡན་ལྷ་ཆེན་རྣམས། །,དྲག་ཤུལ་,,དྲལ་ ཤུལ་,དྲག་ཤུལ་,ལྡན་ཞིང་རྫུ་འཕྲུལ་ལྡན། །དབང་ཕྱུག་གྲགས་པ་,K,,,,,?,,,,p=n d 100.00%,p དྲག་ཤུལ(548), །_།དྲག་ཤུལ(112); d ; n དྲག་ཤུལ(548), །_།དྲག་ཤུལ(112); ,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།,4
