Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །དཀྱིལ་འཁོར་གྱི་ལྷའི་གནས་རྣམས་སུ་བག་ཟན་,ལ་,,ལས་,ལ་,གཟའི་གཟུགས་བྱས་ལ་ཚོན་གྱིས་བསྒྱུར་ལ་གཞག །,K,g,,,,,,,,p=n d 87.23%,p ལ(33965); d ལས(5885); n ལ(33965); ,17-129-133_བར་ཆ་ཚང་།,1
བྱད་བཀྲོལ་ཤོད་གཏོར་ཞེས་བརྗོད་ཅིང་ནད་པའི་ལུས་,ལས་,,ལ་,ལས་,གཟའི་སྒོའི་ངོས་སུ་བྱ་སྟེ། གཟུགས་ལ་བསྟིམ,K,g,,,,,,,,p=n d 87.23%,p ལས(5885), ལུས་ལས(614); d ལ(33965), ལུས་ལ(49); n ལས(5885), ལུས་ལས(614); ,17-129-133_བར་ཆ་ཚང་།,23
གཟའ་བརྒྱད་ཀྱི་གཟུགས་གཉིས་གཉིས་གཞག །བག་ཟན་,ལ་,,ལས་,ལ་,རྒྱུ་སྐར་རྣམས་ཀྱི་གཟུགས་བྱས་ཏེ། སོ་སོའི་,K,g,,,,,,,,p=n d 87.23%,p ལ(33965); d ལས(5885); n ལ(33965); ,17-129-133_བར་ཆ་ཚང་།,40
ཟིན་པའི་གཟུགས་བག་ཟན་ལ་ཞི་དཀར་སའི་ཕྱེ་,མ་,,མ ས་,མ་,བསྲེས་པ་ལ་ཁྲུ་གང་པ་ཚོན་སྣ་ཚོགས་པས་,K,p,,,,,,,,p=n d 87.23%,p མ(4286), ཕྱེ་མ(1771); d མས(76), ཕྱེ་མས(189); n མ(4286), ཕྱེ་མ(1771); ,17-129-133_བར་ཆ་ཚང་།,18
རྒྱུད་རྫོགས་པ་སུམ་བརྒྱ་ཀླག་སྟེ། བརྒྱ་ཚིགས་,ཀྱི་,,ཀྱིས་,ཀྱི་,མཆོད་བསྟོད་བྱ་ཞིང་། གཙོ་བོ་ཡབ་ཡུམ་ལ་,K,p,,,,,,,,p=n d 87.23%,p ཀྱི(5256), ཚིགས་ཀྱི(132), ཀྱི་མཆོད(492); d ཀྱིས(6156), ཀྱིས་མཆོད(73); n ཀྱི(5256), ཚིགས་ཀྱི(132), ཀྱི་མཆོད(492); ,17-129-133_བར་ཆ་ཚང་།,35
མཉམ་པར་བཤམ་པར་བྱའོ། །དཀྱིལ་འཁོར་གྱི་གྲུ་,བཞི ར་,,བཞི ར་,བཞི་,དར་དམར་པོའི་གདུགས་དབུབ། དེའི་ནང་དུ་གཟའ་,K,p,,,,,,,,p=d n 6.38%,p བཞིར(19), གྲུ་བཞིར(84); d བཞིར(19), གྲུ་བཞིར(84); n བཞི(541), གྲུ་བཞི(654); ,17-129-133_བར་ཆ་ཚང་།,39
གཉིས་གཉིས་གཞག །བག་ཟན་ལས་རྒྱུ་སྐར་རྣམས་,ཀྱི་,,ཀྱི་,ཀྱིས་,གཟུགས་བྱས་ཏེ། སོ་སོའི་སྐུ་མདོག་དང་མཐུན་,K,p,,,,,,,,p=d n 6.38%,p ཀྱི(5256), རྣམས་ཀྱི(571), ཀྱི་གཟུགས(892), རྣམས་ཀྱི་གཟུགས(49); d ཀྱི(5256), རྣམས་ཀྱི(571), ཀྱི་གཟུགས(892), རྣམས་ཀྱི་གཟུགས(49); n ཀྱིས(6156), རྣམས་ཀྱིས(952), ཀྱིས་གཟུགས(143); ,17-129-133_བར་ཆ་ཚང་།,41
རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་རྣལ་འབྱོར་སྔོན་དུ་,སོང་བ ས,,སོང་བ ས,སོང་བ,། ཞི་བའི་ལས་བྱེད་པར་འདོད་པས། མེ་,K,p,,,,,,,,p=d n 6.38%,p སོང་བས(170), དུ་སོང་བས(101); d སོང་བས(170), དུ་སོང་བས(101); n སོང་བ(150), སོང་བ།_(103), དུ་སོང་བ(758); ,17-129-133_བར་ཆ་ཚང་།,71
ཤིག །ཚོགས་ཁྱེ། ངར་རྟུལ། དམག་སོད། ཅེས་བརྗོད་,,,ཅིང་,,བྲབ་པོ། །དེ་ནས་འབྲུ་མར་དང་རྩི་མར་,K,,✘,,,,,,,p=n d 87.23%,p (1), བརྗོད(1943); d ཅིང(291), བརྗོད་ཅིང(740); n (1), བརྗོད(1943); ,17-129-133_བར་ཆ་ཚང་།,27
རེ་རེའི་མདུན་དུ་སྦྲང་རྩི་དང་། འོ་མ་,ལ་སོགས་,,ལ་སོགས་པ་,ལ་སོགས་,སྤྱན་གཟིགས་ཀྱིས་ཀྱང་འཁོར་བར་གཞག་གོ། །ཁྱམས་,K,,པ་བ་,,,,s,,,p=n d 87.23%,p ལ་སོགས(493), མ་ལ་སོགས(538); d ལ་སོགས་པ(403), མ་ལ་སོགས་པ(286); n ལ་སོགས(493), མ་ལ་སོགས(538); ,17-129-133_བར་ཆ་ཚང་།,2
