Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ནི་ཀླུ་ཆེན་པོ་བརྒྱད་ལ་སོགས་པ་བག་ཟན་,ལ་,ལས་,ལས་,ལ་,ཀླུའི་གཟུགས་སྣ་ཚོགས་པ་བྱས་ཏེ། བཙག་རམས་,K,g,,,,,,,,c=d p=n 95.70%,c ལས(5885); p ལ(33965), ལ་ཀླུ(68); d ལས(5885); n ལ(33965), ལ་ཀླུ(68); ,17-134-17-137_བར་ཆ་ཚང་།,21
ཚེ་རང་གི་སྙིང་གི་དཀྱིལ་དུ་ཡིག་འབྲུ་རྣམས་,ལ་,ལས་,ལས་,ལ་,འོད་ཟེར་ཞི་རྒྱས་ཀྱི་ཁ་དོག་ལྟར་དམིགས་ལ,K,g,,,,,,,,c=d p=n 95.70%,c ལས(5885), ལས་འོད(312), རྣམས་ལས(2222); p ལ(33965), ལ་འོད(374), རྣམས་ལ(895); d ལས(5885), ལས་འོད(312), རྣམས་ལས(2222); n ལ(33965), ལ་འོད(374), རྣམས་ལ(895); ,17-134-17-137_བར་ཆ་ཚང་།,80
དཀར་གསུམ་མངར་གསུམ་དང་། རྩི་སྨན་སྣ་ཚོགས་པ་དང་,ལྡན་པ་,ལྡན་པ ར་,ལྡན་པ ར་,ལྡན་པ་,ཡང་བཤམ་མོ །།དཀོན་མཆོག་དང་ཀླུ་རྣམས་མཆོད་པའི་,K,p,,,,,,,,c=d p=n 95.70%,c ལྡན་པར(5382), ལྡན་པར་ཡང(97), དང་ལྡན་པར(42), དང་ལྡན་པར་ཡང(86); p ལྡན་པ(4520), ལྡན་པ་ཡང(1659), དང་ལྡན་པ(3322), དང་ལྡན་པ་ཡང(809); d ལྡན་པར(5382), ལྡན་པར་ཡང(97), དང་ལྡན་པར(42), དང་ལྡན་པར་ཡང(86); n ལྡན་པ(4520), ལྡན་པ་ཡང(1659), དང་ལྡན་པ(3322), དང་ལྡན་པ་ཡང(809); ,17-134-17-137_བར་ཆ་ཚང་།,3
མངར་གསུམ་དང་། རྩི་སྨན་སྣ་ཚོགས་པ་དང་ལྡན་པར་ཡང་,བཤམ,བཤམ་ མོ,བཤམ་ མོ,བཤམ, །།དཀོན་མཆོག་དང་ཀླུ་རྣམས་མཆོད་པའི་ལྷ་བཤོས་,K,p,,,,,,,,c=d p=n 95.70%,c ; p བཤམ(21); d ; n བཤམ(21); ,17-134-17-137_བར་ཆ་ཚང་།,4
ཆེན་བརྒྱད་པོ་འཁོར་དང་བཅས། །བཙུན་མོ་རྣམས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,མགུལ་ནས་འཁྱུད། །ཡབ་ཡུམ་སྲས་དང་བཅས་པ་,K,p,,,,,,,,c=d p=n 95.70%,c ཀྱིས(6156), རྣམས་ཀྱིས(952); p ཀྱི(5256), རྣམས་ཀྱི(571); d ཀྱིས(6156), རྣམས་ཀྱིས(952); n ཀྱི(5256), རྣམས་ཀྱི(571); ,17-134-17-137_བར་ཆ་ཚང་།,6
། །ཇི་ལྟར་འདོད་པ་ཇི་བཞིན་དུ། །ཁྱེད་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,འདོད་དོན་གྲུབ་པར་མཛོད། །ཅེས་ཀླུ་བརྒྱད་ཀྱི་,K,p,,,,,,,,c=d p=n 95.70%,c ཀྱིས(6156), ཁྱེད་ཀྱིས(1234), ཀྱིས་འདོད(167); p ཀྱི(5256), ཀྱི་འདོད(340), ཁྱེད་ཀྱི(442); d ཀྱིས(6156), ཁྱེད་ཀྱིས(1234), ཀྱིས་འདོད(167); n ཀྱི(5256), ཀྱི་འདོད(340), ཁྱེད་ཀྱི(442); ,17-134-17-137_བར་ཆ་ཚང་།,15
རྒྱས་བསྡུས་གང་མོས་ལ་བརྒྱ་རྩ་བརྒྱད་ཟློས་སུ་,གཞུག _།,གཞུག་ གོ །_།,གཞུག་ གོ །_།,གཞུག _།,མི་ཤིགས་པ་ལུས་ཐམས་ཅད་རྡོ་རྗེར་བྱིན་གྱིས་བརླབས་,K,p,,,,,,,,c=d p=n 95.70%,c གཞུག་གོ།_།(327); p གཞུག_།(385); d གཞུག་གོ།_།(327); n གཞུག_།(385); ,17-134-17-137_བར་ཆ་ཚང་།,66
རིགས་ཀྱིས་ཟིན་པ་ལ་སྙིང་པོ་བསྡུས་པ་ལ་,འབད་པ་,འབད་པ ར་,འབད་པ ར་,འབད་པ་,བྱ་ཞིང་རྟག་ཏུ་སྦྱིན་སྲེག་བྱའོ། །དམངས་རིགས་,K,p,,,,,,,,c=d p=n 95.70%,c འབད་པར(168); p འབད་པ(333); d འབད་པར(168); n འབད་པ(333); ,17-134-17-137_བར་ཆ་ཚང་།,69
མེ་དེ་དག་ལ་སྔགས་ཀྱི་རང་སྒྲ་ཐོགས་པ་,མེད་པ་,མེད་པ ར་,མེད་པ ར་,མེད་པ་,གྲག་ལ་དམིགས་ཏེ་བཟླས་སོ། །སྔགས་བཟླས་པའི་,K,p,,,,,,,,c=d p=n 95.70%,c མེད་པར(15663), ཐོགས་པ་མེད་པར(327); p མེད་པ(5438), ཐོགས་པ་མེད་པ(107); d མེད་པར(15663), ཐོགས་པ་མེད་པར(327); n མེད་པ(5438), ཐོགས་པ་མེད་པ(107); ,17-134-17-137_བར་ཆ་ཚང་།,81
ལུས་ཐམས་ཅད་རྡོ་རྗེར་བྱིན་གྱིས་བརླབས་ནས་ཞེས་སྨོས་,ནས་ ཞེས,ནས,ནས,ནས་ ཞེས,། ཁྲོ་བོ་དེ་དག་གི་རྡོ་རྗེ་ཞེས་སྨོས་,K,,✘,,,,,,,c=d p=n 95.70%,c ནས(35333), ནས།_(25825); p ནས་ཞེས(245); d ནས(35333), ནས།_(25825); n ནས་ཞེས(245); ,17-134-17-137_བར་ཆ་ཚང་།,87
