Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བསྔོ་བར་བྱ། །བདག་གིས་སྒྲུབ་ཐབས་བྲིས་པ་,ལ,,ལས,ལ,། །དགེ་བ་གང་ཡོད་མདུན་བྱས་ཏེ། །འགྲོ་,K,g,,,,,,,,p=n d 76.92%,p ལ(33965), ལ།_།(14361); d ལས(5885), ལས།_།(3638); n ལ(33965), ལ།_།(14361); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,25
བས། །སྡིག་པ་བཤགས་པ་ལ་སོགས་བྱ། །,དེ ར་,,དེ་,དེ ར་,རྗེས་ཚངས་པའི་གནས་བཞི་བསྒོམ །།ཀུན་ཀྱང་སྟོང་,K,p,,,,,,,,p=n d 76.92%,p དེར(309), །_།དེར(1865); d དེ(1), །_།དེ(137195), དེ་རྗེས(260), །_།དེ་རྗེས(63); n དེར(309), །_།དེར(1865); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,5
པས་གྲི་གུག་ནམ་མཁར་གདེངས། །དེ་བཞིན་གཞན་,གྱི་,,གྱིས་,གྱི་,ཀ་པཱ་ལ། །ཁ་ཊྭཱཾ་གིས་བརྒྱན་རྣམ་པར་,K,p,,,,,,,,p=n d 76.92%,p གྱི(3024), གཞན་གྱི(3364); d གྱིས(7492), གཞན་གྱིས(1902); n གྱི(3024), གཞན་གྱི(3364); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,15
བདེ་མཆོག་ཐབས་ཀྱི་གཙོ། །གཉིས་མེད་ཤེས་རབ་,འཁོར་ལོ ས་,,འཁོར་ལོ ར་,འཁོར་ལོ ས་,བཅས། །གུས་བཏུད་དཔལ་ལྡན་རྣལ་འབྱོར་མའི། །,K,,≠,,,,,,,p=n d 76.92%,p འཁོར་ལོས(2448); d འཁོར་ལོར(299); n འཁོར་ལོས(2448); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,3
། །དེ་རྗེས་ཚངས་པའི་གནས་བཞི་བསྒོམ །།ཀུན་,གྱི་,,ཀྱང་,གྱི་,སྟོང་ཉིད་རང་བཞིན་བསམ། །སྔགས་འདིས་བརྟན་པ་,K,,≠,,,,,,,p=n d 76.92%,p གྱི(3024), ཀུན་གྱི(88), གྱི་སྟོང(2133); d ཀྱང(95), ཀུན་ཀྱང(1114), ཀྱང་སྟོང(791); n གྱི(3024), ཀུན་གྱི(88), གྱི་སྟོང(2133); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,7
པར་རྟོག་པ་རླུང་དྲོད་ཀྱི། །འབྱུང་བའི་དངས་,དང་,,#དངས་,དང་,ཕྱེད་འགྱུར་བས། །མར་མེ་ལ་སོགས་རྟགས་རྣམས་,K,,,nw✓,,,,,,p=n d 76.92%,p དང(18517); d དངས(7); n དང(18517); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,22
༄༅༅། །རྒྱ་གར་སྐད་དུ། ཤྲཱི་བཛྲ་ཡོ་གི་,,,#ནཱི་,,སཱ་དྷ་ན་ནཱ་མ། བོད་སྐད་དུ། ,K,,,,✓,,,,,p=n d 76.92%,p (1), སཱ(17), གི(1276); d ནཱི(97); n (1), སཱ(17), གི(1276); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,1
སྐད་དུ། ཤྲཱི་བཛྲ་ཡོ་གི་ནཱི་སཱ་དྷ་,#ནཾ་,,ན་,#ནཾ་,ནཱ་མ། བོད་སྐད་དུ། དཔལ་རྡོ་རྗེ་,K,,,,✓,,,,,p=n d 76.92%,p ནཾ(88); d ན(73509); n ནཾ(88); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,2
བ་ལ་འདུག་སེམས་བྱ། །ལྷག་པའི་ལྷར་བསམ་,#ཧྲཱིཿའོད་,,#ཧྲཱིཿའོད་,#ཧྲཱི་ འོད་,འོད་ལས། །བླ་མ་དཀྱིལ་འཁོར་སྤྱན་དྲངས་ལ,K,,,,✓,,,,,p=d n 7.69%,p ཧྲཱིཿའོད(1); d ཧྲཱིཿའོད(1); n ; ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,4
པ་ཉིད་དུ་བྱ། །ཨོཾ་སྭ་བྷཱ་བ་ཤུདྡྷཿསརྦྦ་,#དྷརྨསྭ་,,#དྷརྨྨཱཿསྭ་,#དྷརྨསྭ་,སྭ་བྷཱ་བ་ཤུངྔྷོ྅ཧཾ། སླར་ཡང་ཡེ་ཤེས་ངོ་བོར་བསྟན,K,,,,✓,,,,,p=n d 76.92%,p ; d དྷརྨྨཱཿསྭ(1); n ; ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,8
དུ་བྱ། །ཨོཾ་སྭ་བྷཱ་བ་ཤུདྡྷཿསརྦྦ་དྷརྨྨཱཿསྭ་སྭ་,#བྷཱ་ #ཤུདྡྷོ་ #ཧཾ,,#བྷཱ་བ་ #ཤུངྔྷོ྅ཧཾ,#བྷཱ་ #ཤུདྡྷ་ #ཧཾ,། སླར་ཡང་ཡེ་ཤེས་ངོ་བོར་བསྟན། །ཨོཾ་,K,,,,✓,,,,,p d n 15.38%,p ; d ; n ; ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,9
བསྟན། །ཨོཾ་ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་སྭ་,#བྷཱ་ #ཨཏྨ་ ཀོ་ #ཧཾ,,#བྷཱ་བ་ #ཨཱཏྨ་ #ཀོ྅ཧཾ,#བྷཱ་ #ཨཏྨ་ ཀོ་ #ཧཾ,། ཞེས་བྱ་རང་བཞིན་དག་པ་ལས། །པཾ་པདྨ་ཉི་,K,,,,✓,,,,,p=n d 76.92%,p ; d ; n ; ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,11
བཛྲ་སྭ་བྷཱ་བ་ཨཱཏྨ་ཀོ྅ཧཾ། ཞེས་བྱ་རང་བཞིན་དག་པ་,,,ལས །_། #པཾ་,,པདྨ་ཉི་དཀྱིལ་དུ། །ཨེ་ཡི་རྣམ་པའི་ཆ་,K,,,,✓,,,,,p=n d 76.92%,p (1), ལས(5885), དག་པ(6242), དག་པ་ལས(43); d ; n (1), ལས(5885), དག་པ(6242), དག་པ་ལས(43); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,12
པར་བྱ། །ཨོཾ་བཾ། ཧཾ་ཡོཾ། །ཧྲིཾ་,#མོཿཧྲིཾ་,,#མོཾ་ #ཧྲིཾ་,#མོཾཿཧྲིཾ་,ཧྲིཾ། ཧཱུཾ་ཧཱུཾ། ཕཊ་ཕཊ། གོ་ཆ་,K,,,,✓,,,,,p d n 15.38%,p ; d ; n ; ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,17
བྱ། །ཨོཾ་བཾ། ཧཾ་ཡོཾ། །ཧྲིཾ་མོཾ་ཧྲིཾ་,#ཧྲིཾ,,#ཧྲིཾ,#ཧྲི,། ཧཱུཾ་ཧཱུཾ། ཕཊ་ཕཊ། གོ་ཆ་བགོས་ཏེ་,K,,,,✓,,,,,p=d n 7.69%,p ཧྲིཾ(11); d ཧྲིཾ(11); n ཧྲི(17); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,18
ཨོཾ་ཨོཾ་ཨོཾ་སརྦ་བུདྡྷ་ཌཱ་ཀི་ནཱི་ཡེ་བཛྲ་,#ཝརྞ་,,#ཝཎྜི་,#ཝེརྞ་,བྷཱ་ཡེ་ཧཱུཾ་ཧཱུཾ་ཧཱུཾ་ཕཊ་ཕཊ་ཕཊ་སྭཱ་ཧཱ,K,,,,✓,,,,,p d n 15.38%,p ཝརྞ(4); d ; n ; ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,20
ཌཱ་ཀི་ནཱི་ཡེ་བཛྲ་ཝཎྜི་བྷཱ་ཡེ་ཧཱུཾ་ཧཱུཾ་,,,#ཧཱུཾ་,,ཕཊ་ཕཊ་ཕཊ་སྭཱ་ཧཱ། དེ་རྗེས་གཏོར་མས་,K,,,,✓,,,,,p=n d 76.92%,p (1), ཕཊ(2494), ཧཱུཾ(241), ཧཱུཾ་ཕཊ(65); d ཧཱུཾ(241), ཧཱུཾ་ཕཊ(65), ཧཱུཾ་ཧཱུཾ(40); n (1), ཕཊ(2494), ཧཱུཾ(241), ཧཱུཾ་ཕཊ(65); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,21
ལ་སོགས་བྱ། །དེ་རྗེས་ཚངས་པའི་གནས་བཞི་,བསྒོམས,,བསྒོམ,བསྒོམས, །།ཀུན་ཀྱང་སྟོང་ཉིད་རང་བཞིན་བསམ། །སྔགས་,K,,,,,⟶,,,,p=n d 76.92%,p བསྒོམས(121), བསྒོམས།_།(77); d བསྒོམ(1273), བསྒོམ།_།(1248), བཞི་བསྒོམ(67); n བསྒོམས(121), བསྒོམས།_།(77); ,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།,6
