Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གཤེགས་སུ་གསོལ་ལོ། །རིམ་པ་འདིས་ཐུན་མཚམས་བཞིར་བསྒོམས་,ནས་,,ན་,ནས་,མྱུར་བར་དངོས་གྲུབ་ཐོབ་པར་འགྱུར་རོ། །ད་ནི་བསྲུང་བའི་སྦྱོར་,K,g,,,,,,,,p=n d 81.82%,p ནས(35333), ནས་མྱུར(189), བསྒོམས་ནས(294); d ན(73509), ན་མྱུར(201), བསྒོམས་ན(247); n ནས(35333), ནས་མྱུར(189), བསྒོམས་ནས(294); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,24
 །།མེ་ཏོག་དྲི་ཞིམ་གཅལ་བཀྲམ་སྟེ །།སྤོས་,ཀྱི་,,ཀྱིས་,ཀྱི་,ཉམས་དགར་བྱས་ནས་ནི། །དེ་དབུས་སྟན་བཟང་,K,p,,,,,,,,p=n d 81.82%,p ཀྱི(5256), ཀྱི་ཉམས(41), སྤོས་ཀྱི(1129); d ཀྱིས(6156), སྤོས་ཀྱིས(190); n ཀྱི(5256), ཀྱི་ཉམས(41), སྤོས་ཀྱི(1129); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,5
པའི་བདེ་བ་ཡོངས་སྤངས་པའི། །རྣལ་འབྱོར་ཅན་,གྱི་,,གྱིས་,གྱི་,ཉེར་འདུག་ནས། །སྙིང་གའི་ས་བོན་ལས་བྱུང་,K,p,,,,,,,,p=n d 81.82%,p གྱི(3024), ཅན་གྱི(115); d གྱིས(7492), ཅན་གྱིས(91); n གྱི(3024), ཅན་གྱི(115); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,6
གའི་ས་བོན་ལས་བྱུང་བའི། །འོད་ཟེར་ཚོགས་,ཀྱི་,,ཀྱིས་,ཀྱི་,བླ་མ་དང་། །སངས་རྒྱས་བྱང་ཆུབ་སེམས་དཔའ་,K,p,,,,,,,,p=n d 81.82%,p ཀྱི(5256), ཚོགས་ཀྱི(2855); d ཀྱིས(6156), ཚོགས་ཀྱིས(179); n ཀྱི(5256), ཚོགས་ཀྱི(2855); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,7
ཅད་ལ་ཕོག་སླར་ཡང་འོད་ཟེར་སྤྲོས་པས་དེ་དག་,,,གི་,,སྙིང་གར་ཞུགས་པར་བལྟ་ཞིང་། དེ་ཉིད་ཀྱིས་,K,p,,,,,,,,p=n d 81.82%,p (1), སྙིང(1), དེ་དག(179), དེ་དག་སྙིང(44); d གི(1276), གི་སྙིང(881), དེ་དག་གི(105), དེ་དག་གི་སྙིང(98); n (1), སྙིང(1), དེ་དག(179), དེ་དག་སྙིང(44); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,17
ལས་བྱུང་བའི་འོད་ཟེར་བདུད་རྩིའི་རང་བཞིན་རྣམས་,ཀྱིས་,,ཀྱི་,ཀྱིས་,གཏོར་མའི་སྣོད་ཡོངས་སུ་བཀང་ལ། ཨོཾ་ཨ་,K,p,,,,,,,,p=n d 81.82%,p ཀྱིས(6156), ཀྱིས་གཏོར(64), རྣམས་ཀྱིས(952); d ཀྱི(5256), ཀྱི་གཏོར(54), རྣམས་ཀྱི(571); n ཀྱིས(6156), ཀྱིས་གཏོར(64), རྣམས་ཀྱིས(952); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,19
ཏཱ་རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་མུཿཞེས་པས་གཤེགས་སུ་,གསོལ་ ལོ །_།,,གསོལ་ ལོ །_།,གསོལ ་།_།,རིམ་པ་འདིས་ཐུན་མཚམས་བཞིར་བསྒོམས་ན་མྱུར་བར་,K,p,,,,,,,,p=d n 9.09%,p གསོལ་ལོ།_།(288), སུ་གསོལ་ལོ།_།(110); d གསོལ་ལོ།_།(288), སུ་གསོལ་ལོ།_།(110); n ; ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,23
གྱི་ཚོགས་འབར་བས་གདུག་པའི་ལུས་གཅེར་བུ་སྐྲ་,གྲོལ་བ ར་,,གྲོལ་བ་,གྲོལ་བ ར་,འདར་ཞིང་སྐྱབས་དང་བྲལ་བའི་སྙིང་གར་ཞུགས་པས་,K,p,,,,,,,,p=n d 81.82%,p གྲོལ་བར(1306); d གྲོལ་བ(495), སྐྲ་གྲོལ་བ(52); n གྲོལ་བར(1306); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,30
ཐབས་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས་ཀྱིས་མཛད་པ་,རྫོགས ་།།_།།,,རྫོགས་ སོ །།_།།,རྫོགས ་།།_།།,རྒྱ་གར་གྱི་མཁན་པོ་བུདྡྷ་ཀཱ་ར་བརྨ་དང་,K,p,,,,,,,,p=n d 81.82%,p ; d རྫོགས་སོ།།_།།(1081), རྫོགས་སོ།།_།།རྒྱ་གར(340); n ; ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,42
གནས་ནི་གང་ཡང་རུང །།མེ་ཏོག་དྲི་ཞིམ་གཅལ་བཀྲམ་,ཏེ,,སྟེ,ཏེ, །།སྤོས་ཀྱིས་ཉམས་དགར་བྱས་ནས་ནི། །དེ་,K,,✘,,,,,,,p=n d 81.82%,p ཏེ(80365); d སྟེ(27897), བཀྲམ་སྟེ(53); n ཏེ(80365); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,4
པར་མཆོད་དེ། མངོན་པར་འདོད་པའི་དངོས་གྲུབ་,གསོལ་,,གསོལ་བ་,གསོལ་,བཏབ་ལ། ཨོཾ་ཏཱ་རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་,K,,པ་བ་,,,,s,,,p=n d 81.82%,p གསོལ(5526), གསོལ་བཏབ(45); d གསོལ་བ(233), གསོལ་བ་བཏབ(652); n གསོལ(5526), གསོལ་བཏབ(45); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,21
གང་གི་ཚེ་དེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་གྱིས་,སྐྱོ་,,སྐྱོ་བ་,སྐྱོ་,ན་ས་བོན་གྱི་ཡི་གེ་ལ་དམིགས་པས་གསང་,K,,པ་བ་,,,,s,,,p=n d 81.82%,p སྐྱོ(24); d སྐྱོ་བ(720); n སྐྱོ(24); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,31
དོར་ནས་སྔགས་དྲན་པ་དྲན་པ་དང་ལྡན་པར་ཕྱིན་ན་,ཆོམ་རྐུན་པ་,,ཆོམ་རྐུན་,ཆོམ་རྐུན་པ་,དང་། སྟག་དང་། དོམ་དང་། དྲེད་དང,K,,པ་བ་,,,,s,,,p=n d 81.82%,p ཆོམ་རྐུན་པ(236); d ཆོམ་རྐུན(836), ན་ཆོམ་རྐུན(46), ཆོམ་རྐུན་དང(129); n ཆོམ་རྐུན་པ(236); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,39
མཁན་པོ་བུདྡྷ་ཀཱ་ར་བརྨ་དང་། བོད་ཀྱི་,ལོ་ ལོཙྪ་བ་,,ལོ་ཙཱ་བ་,ལོ་ ལོཙྪ་བ་,དགེ་སློང་ཆོས་ཀྱི་ཤེས་རབ་ཀྱིས་བསྒྱུར་ཅིང་ཞུས་,K,,,nw✘,,,,,,p=n d 81.82%,p ; d ལོ་ཙཱ་བ(58); n ; ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,43
གཟིགས་པའི་འཕགས་མ་སྒྲོལ་མ་ནུ་མའི་དཀྱིལ་འཁོར་,#མཁྲེང་བ་,,མཁྲེགས་པ་,#མཁྲེང་བ་,དང་ལྡན་པ་རྣམ་པར་བསམ་མོ། །དེ་ནས་,K,,,nw✓,,,,,,p=n d 81.82%,p ; d མཁྲེགས་པ(42); n ; ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,13
མདུད་པ་སླར་དགྲོལ་བར་བྱའོ། །དེ་ལྟར་ཡུན་,#རིངས་,,རིང་,#རིངས་,བླ་མ་བསྟེན་ལས་གང་ཐོབ་པའི། །སྒྲུབ་ཐབས་,K,,,nw✓,,,,,,p=n d 81.82%,p རིངས(3), ཡུན་རིངས(52); d རིང(1), ཡུན་རིང(2227); n རིངས(3), ཡུན་རིངས(52); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,41
,ར་,,#རཱ་,ར་,སཱ་དྷ་ནཾ། བོད་སྐད་དུ། འཕགས་མ་,K,,,,✓,,,,,p=n d 81.82%,p ར(2609), ཏཱ་ར(80); d རཱ(178), ཏཱ་རཱ(55); n ར(2609), ཏཱ་ར(80); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,1
ཡུམ་གྱུར་སྤྱན་ཡངས་མ། །སྒྲོལ་མའི་ཞབས་ཀྱི་,#•པདྨར་,,#•པདྨོར་,#•པདྨར་,རབ་བཏུད་ནས། །ཡུན་རིངས་བླ་མ་བསྟེན་ལས་,K,,,,✓,,,,,p=n d 81.82%,p ; d ; n ; ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,2
དཀོན་མཆོག་གསུམ་སོགས་རྗེས་དྲན་བྱ། །ཨོཾ་སྭ་,#ཤུདྡྷ་ སརྦ་ #དྷརྨ་ #སྭཱ་ #བྷཱ་ #ཤུདྡྷོ་ #ཧཾ,,#ཤུདྡྷཿསརྦ་ #དྷརྨཱཿསྭ་ #བྷཱ་བ་ #ཤུདྡྷོ྅ཧཾ,#ཤུདྡྷ་ སརྦ་ #དྷརྨ་ #སྭ་ #བྷ་བ་ #ཤུདྡྷོ་ #ཧཾ,། ཨོཾ་ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་སྭ་བྷཱ་,K,,,,✓,,,,,p d n 6.82%,p ; d ; n ; ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,9
ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་སྭ་བྷཱ་བ་ཨཱཏྨ་,#ཧཾ,,#ཀོ྅ཧཾ,#ཧཾ,ཧཾ། དེ་ནས་བརྟན་པ་དང་གཡོ་བ་ཐམས་,K,,,,✓,,,,,p=n d 81.82%,p ཧཾ(126), ཧཾ།_(119); d ཀོ྅ཧཾ(5); n ཧཾ(126), ཧཾ།_(119); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,10
། ཨོཾ་ཨ་ཀཱ་རོ་མུ་ཁཾ་སརྦ་དྷརྨཱ་ཎཱཾ་,ཨ་ #དྱ་,,#ཨཱདྱ་,ཨ་ #དྱ་,ནུཏྤནྣ་ཏྭཱཏ་ཨོཾ་ཨཱཿཧཱུཾ་ཕཊ་སྭཱ་ཧཱ། ཞེས་བྱ་,K,,,,✓,,,,,p=n d 81.82%,p ; d ཨཱདྱ(9); n ; ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,20
པར་འདོད་པའི་དངོས་གྲུབ་གསོལ་བ་བཏབ་ལ། ཨོཾ་,#ཏཱ་,,#ཏཱ་,ཏུ་,རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་མུཿཞེས་པས་གཤེགས་སུ་གསོལ་ལོ། །,K,,,,✓,,,,,p=d n 9.09%,p ཏཱ(128), ཏཱ་རེ(205), ཨོཾ་ཏཱ(67), ཨོཾ་ཏཱ་རེ(61); d ཏཱ(128), ཏཱ་རེ(205), ཨོཾ་ཏཱ(67), ཨོཾ་ཏཱ་རེ(61); n ཏུ(1863), ཏུ་རེ(403); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,22
དམིགས་པས་གསང་སྔགས་བཟླས་པ་བྱ་སྟེ། ན་,#ཨཱརྱཱ་བ་,,#མཿཨཱརྱཱ་བ་,#ཨཱརྱཱ་བ་,ཨཱརྱཱ་བ་ལོ་ཀི་ཏེ་ཤྭ་རཱ་ཡ། བོདྷི་,K,,,,✓,,,,,p=n d 81.82%,p ཨཱརྱཱ་བ(142), ཨཱརྱཱ་བ་ལོ(141); d ; n ཨཱརྱཱ་བ(142), ཨཱརྱཱ་བ་ལོ(141); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,32
ཏདྱ་ཐཱ། ཨོཾ་ཏཱ་རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་,#སྭཱ་ #ཧཱ་ སརྦ་ #དུཥྚན,,སརྦ་ #དུཥྚཱན,#སྭཱ་ #ཧཱ་ སརྦ་ #དུཥྚན,། པྲདུཥྚཱ་པྲདུཥྚཱ་ན། མ་མ་[ཀྲྀ་]ཏེ་ཛཾ་བྷ་,K,,,,✓,,,,,p=n d 81.82%,p ; d ; n ; ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,33
ཨོཾ་ཏཱ་རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་སརྦ་དུཥྚཱན། པྲདུཥྚཱ་,#པྲ་ #དུཥྚན,,#པྲདུཥྚཱ་ ན,#པྲ་ #དུཥྚན,། མ་མ་[ཀྲྀ་]ཏེ་ཛཾ་བྷ་ཡ། སྟྭཾ་,K,,,,✓,,,,,p=n d 81.82%,p ; d ; n ; ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,34
[ཀྲྀ་]ཏེ་ཛཾ་བྷ་ཡ། སྟྭཾ་བྷ་ཡ། ,མ་ #ཧཱ་,,མོ་ ཧ་,མ་ #ཧཱ་,ཡ། བནྡྷ་ཡ། ཧཱུཾ་ཧཱུཾ་ཧཱུཾ། ཕཊ་,K,,,,✓,,,,,p=n d 81.82%,p མ་ཧཱ(5192), །_མ་ཧཱ(2460); d མོ་ཧ(259), མོ་ཧ་ཡ(53), །_མོ་ཧ(113); n མ་ཧཱ(5192), །_མ་ཧཱ(2460); ,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,35
