Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སྐྱེ་བར་འགྱུར་རོ། །དགེ་འདུན་ལྷག་མ་བསྲུངས་,ནས་,ན་,ན་,ནས་,ལུས་ཞིག་པའི་འོག་ཏུ་འཕྲུལ་དགའི་ལྷ་རྣམས་དང་,K,g,,,,,,,,c=d p=n 73.24%,c ན(73509), ན་ལུས(482), བསྲུངས་ན(46); p ནས(35333), ནས་ལུས(519), བསྲུངས་ནས(57); d ན(73509), ན་ལུས(482), བསྲུངས་ན(46); n ནས(35333), ནས་ལུས(519), བསྲུངས་ནས(57); ,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,125
པ་དང་། ཁ་ཏོན་དང་། དགེ་བའི་ཕྱོགས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ཀུན་དུ་སྤྱད་པ་ལ་ཆོས་དང་མཐུན་པར་བགྱིད། གཎྜཱིའི་,K,p,,,,,,,,c=d p=n 73.24%,c ཀྱི(5256), ཀྱི་ཀུན(368), ཕྱོགས་ཀྱི(3358); p ཀྱིས(6156), ཀྱིས་ཀུན(772), ཕྱོགས་ཀྱིས(79); d ཀྱི(5256), ཀྱི་ཀུན(368), ཕྱོགས་ཀྱི(3358); n ཀྱིས(6156), ཀྱིས་ཀུན(772), ཕྱོགས་ཀྱིས(79); ,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,3
དང་། དབྱར་ཟླ་འབྲིང་པོ་དག་གོ། །དབྱར་,གྱིས་,གྱི་,གྱི་,གྱིས་,དུས་ཇི་ཙམ་ཞེ་ན། ཟླ་བ་གཅིག་སྟེ,K,p,,,,,,,,c=d p=n 73.24%,c གྱི(3024), གྱི་དུས(591), དབྱར་གྱི(381), དབྱར་གྱི་དུས(47); p གྱིས(7492), གྱིས་དུས(74); d གྱི(3024), གྱི་དུས(591), དབྱར་གྱི(381), དབྱར་གྱི་དུས(47); n གྱིས(7492), གྱིས་དུས(74); ,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,19
སྨྲ་བ་སྟེ། །ལྟ་བའི་བྱེ་བྲག་འབའ་ཞིག་,གིས,གི,གི,གིས,། །རྒྱུ་ཡིས་འདི་དག་ཐ་དད་བྱས། །སྟོན་,K,p,,,,,,,,c=d p=n 73.24%,c གི(1276), གི།_།(649), འབའ་ཞིག་གི(120); p གིས(2588), གིས།_།(1661), འབའ་ཞིག་གིས(145); d གི(1276), གི།_།(649), འབའ་ཞིག་གི(120); n གིས(2588), གིས།_།(1661), འབའ་ཞིག་གིས(145); ,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,29
། དུས་མ་ཡིན་པར་སྤྱོད་པ་ཞེས་བྱ་བའོ། །གྲོང་,,དུ་,དུ་,,རྒྱུ་བ་དང་། རྒྱལ་པོའི་ཁྱིམ་དུ་ནུབ་མོ་,K,p,,,,,,,,c=d p=n 73.24%,c དུ(11516), གྲོང་དུ(508), དུ་རྒྱུ་བ(242); p (1), གྲོང(3), རྒྱུ་བ(83); d དུ(11516), གྲོང་དུ(508), དུ་རྒྱུ་བ(242); n (1), གྲོང(3), རྒྱུ་བ(83); ,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,67
འཕྱས་ལ་སོགས་པ་རྣམ་པ་བཞི་ནི། གཞན་,གྱིས་,གྱི་,གྱི་,གྱིས་,སེམས་བསྲུང་བ་ལ་སོགས་པའི་བསླབ་པ་སྟེ། ,K,p,,,,,,,,c=d p=n 73.24%,c གྱི(3024), གཞན་གྱི(3364), གྱི་སེམས(948), གཞན་གྱི་སེམས(126); p གྱིས(7492), གཞན་གྱིས(1902), གྱིས་སེམས(384); d གྱི(3024), གཞན་གྱི(3364), གྱི་སེམས(948), གཞན་གྱི་སེམས(126); n གྱིས(7492), གཞན་གྱིས(1902), གྱིས་སེམས(384); ,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,102
། གད་ཁ་དང་། གཡང་ས་དང་། དཀན་,གཟར་པོ ར་,གཟར་པོ་,གཟར་པོ་,གཟར་པོ ར་,མ་ཡིན་པར་ལྷུང་བཟེད་གཞག་པར་བྱ། རྒྱུན་,K,p,,,,,,,,c=d p=n 73.24%,c ; p ; d ; n ; ,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,108
པ་རྣམ་པ་ལྔ་ཡང་། ཆོས་བཤད་པའི་དུས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,བསླབ་པ་སྟེ། མི་ན་བར་མགོ་གཡོགས་པ་,K,p,,,,,,,,c=d p=n 73.24%,c ཀྱི(5256), དུས་ཀྱི(2173), ཀྱི་བསླབ་པ(146); p ཀྱིས(6156), དུས་ཀྱིས(154), ཀྱིས་བསླབ་པ(103); d ཀྱི(5256), དུས་ཀྱི(2173), ཀྱི་བསླབ་པ(146); n ཀྱིས(6156), དུས་ཀྱིས(154), ཀྱིས་བསླབ་པ(103); ,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,113
ཡོད་ཅེ་ན། དེ་ལ་གང་བསྲུངས་པ་དེ་ནི་,ཚངས་པ་,ཚངས་པ ར་,ཚངས་པ་,ཚངས་པ་,མཚུངས་པར་སྤྱོད་པ་མཁས་པ་རྣམས་ཀྱིས་རབ་ཏུ་བསྔགས་,K,p,,,,,,,,c p=d=n 5.63%,c ཚངས་པར(2254), ནི་ཚངས་པར(97); p ཚངས་པ(3639), ནི་ཚངས་པ(106); d ཚངས་པ(3639), ནི་ཚངས་པ(106); n ཚངས་པ(3639), ནི་ཚངས་པ(106); ,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,121
ལག་ཁང་སོགས་ལོངས་སྤྱོད་ལ། །ཚུལ་འཆལ་རྣམས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,སྤྱོད་པ་བཀག །གསོ་སྦྱོང་དུ་ཡོད། ཉི་,K,p,,,,,,,,c=d p=n 73.24%,c ཀྱིས(6156), རྣམས་ཀྱིས(952); p ཀྱི(5256), རྣམས་ཀྱི(571), ཀྱི་སྤྱོད་པ(866), རྣམས་ཀྱི་སྤྱོད་པ(194); d ཀྱིས(6156), རྣམས་ཀྱིས(952); n ཀྱི(5256), རྣམས་ཀྱི(571), ཀྱི་སྤྱོད་པ(866), རྣམས་ཀྱི་སྤྱོད་པ(194); ,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།,138
