Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
མེད་སྣང་མཛོད། །ཀུན་རྟོག་མ་ལུས་དག་གྱུར་,ཅིག _།,ཅིང ་།_།,ཅིང ་།_།,ཅིག _།,རང་རིག་དགའ་བ་ཐུགས་ཆུད་ལ། །རང་གཞན་,K,g,≠,,,,,,,c=d p=n 66.15%,c ཅིང་།_།(4630), ཅིང་།_།རང(41), གྱུར་ཅིང་།_།(575); p ཅིག_།(11159), གྱུར་ཅིག_།(4504); d ཅིང་།_།(4630), ཅིང་།_།རང(41), གྱུར་ཅིང་།_།(575); n ཅིག_།(11159), གྱུར་ཅིག_།(4504); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,9
། །རྫོགས་པའི་འཁོར་ལོ་ལ་བལྟས་ནས། །ཀུན་,ན་,ནས་,ནས་,ན་,རང་གི་དངོས་པོ་ཡིས། །སྙིང་པོའི་ས་བོན་,K,g,,,,,,,,c=d p=n 66.15%,c ནས(35333), ནས་རང(804), ཀུན་ནས(7977); p ན(73509), ན་རང(600), ཀུན་ན(245); d ནས(35333), ནས་རང(804), ཀུན་ནས(7977); n ན(73509), ན་རང(600), ཀུན་ན(245); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,76
བྱུང་ཆུ་ནི་ཁ་དོག་དཀར། །བུམ་པས་མཚན་,ཅིག་,ཅིང་,ཅིང་,ཅིག་,ཡོངས་སུ་ཟླུམ། །ཡཾ་ལས་བྱུང་བའི་གཡོ་བའི་,K,g,≠,,,,,,,c=d p=n 66.15%,c ཅིང(291), ཅིང་ཡོངས་སུ(409); p ཅིག(11520), ཅིག་ཡོངས་སུ(44); d ཅིང(291), ཅིང་ཡོངས་སུ(409); n ཅིག(11520), ཅིག་ཡོངས་སུ(44); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,230
། །དེ་ནས་འདོད་ཆགས་ཆེས་འདུལ་བའི། །སྣོད་,ཀྱི་,ཀྱི་,ཀྱི་,ཀྱིས་,འཇིག་རྟེན་མཐོང་བ་དང་། །དགའ་བའི་སྒྲ་ཡིས་,K,p,,,,,,,,c=p=d n 25.16%,c ཀྱི(5256), སྣོད་ཀྱི(333), ཀྱི་འཇིག་རྟེན(2313); p ཀྱི(5256), སྣོད་ཀྱི(333), ཀྱི་འཇིག་རྟེན(2313); d ཀྱི(5256), སྣོད་ཀྱི(333), ཀྱི་འཇིག་རྟེན(2313); n ཀྱིས(6156), ཀྱིས་འཇིག་རྟེན(293); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,19
གནས་ཀྱི་དབང་ཕྱུག་ཁྱོད་ནི་རྡོ་རྗེའི་ཐུགས། །,དགའ་བ ས་,དགའ་བ་,དགའ་བ་,དགའ་བ ས་,ཡིད་འོང་དོན་ཆེན་འདོད་པས་བདག་ལ་བསྐྱབ་གསོལ,K,p,,,,,,,,c=d p=n 66.15%,c དགའ་བ(445), །_།དགའ་བ(468); p དགའ་བས(58), །_།དགའ་བས(59); d དགའ་བ(445), །_།དགའ་བ(468); n དགའ་བས(58), །_།དགའ་བས(59); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,33
ལ་ཕན་ཞིང་ཐུགས་བརྩེ་བ། །འཇིག་རྟེན་དག་,གི་,གི་,གི་,གིས་,དགོས་པའི་དོན་མཛད་པ་ལ་རྟག་ཏུ་བརྩོན། །,K,p,,,,,,,,c=p=d n 25.16%,c གི(1276), དག་གི(341); p གི(1276), དག་གི(341); d གི(1276), དག་གི(341); n གིས(2588), དག་གིས(850); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,37
བོར་ཟླ་བ་ཨོཾ་རླན་ཅན། །དམ་པའི་སེམས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ཆུ་འཛག་པས། །སྐུ་གསུང་ཐུགས་ནི་ཚིམ་བྱེད་,K,p,,,,,,,,c=d p=n 66.15%,c ཀྱི(5256), ཀྱི་ཆུ(277), སེམས་ཀྱི(4733); p ཀྱིས(6156), ཀྱིས་ཆུ(92), སེམས་ཀྱིས(199); d ཀྱི(5256), ཀྱི་ཆུ(277), སེམས་ཀྱི(4733); n ཀྱིས(6156), ཀྱིས་ཆུ(92), སེམས་ཀྱིས(199); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,91
བཤད། །འགྲོ་བ་མ་ལུས་བལྟས་ནས་ཀྱང་། །,སྙིང་རྗེ ས་,སྙིང་རྗེ ས་,སྙིང་རྗེ ས་,སྙིང་རྗེ་,དེ་ལ་ཕན་པའི་ཕྱིར། །སྨོན་ལམ་རྣམས་ནི་,K,p,,,,,,,,c=p=d n 25.16%,c སྙིང་རྗེས(247), །_།སྙིང་རྗེས(76); p སྙིང་རྗེས(247), །_།སྙིང་རྗེས(76); d སྙིང་རྗེས(247), །_།སྙིང་རྗེས(76); n སྙིང་རྗེ(6249), །_།སྙིང་རྗེ(958); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,94
བྱ། །འཇུག་པར་རྟོགས་ཚེ་རྫོགས་སངས་རྒྱས། །ཡུལ་,གྱིས་,གྱིས་,གྱིས་,གྱི་,ཡང་དག་མཆོད་པར་བྱ། །འཇམ་དཔལ་རྡོ་རྗེ་,K,p,,,,,,,,c=p=d n 25.16%,c གྱིས(7492), ཡུལ་གྱིས(150), གྱིས་ཡང་དག(404); p གྱིས(7492), ཡུལ་གྱིས(150), གྱིས་ཡང་དག(404); d གྱིས(7492), ཡུལ་གྱིས(150), གྱིས་ཡང་དག(404); n གྱི(3024), ཡུལ་གྱི(1167), གྱི་ཡང་དག(69); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,96
མཆོད་པར་བྱ། །ཕྱི་ཡི་སྦྱིན་སྲེག་དགེ་ཚུལ་,གྱི,གྱི,གྱི,གྱིས,། །སེམས་ཙམ་གྱིས་ནི་ཡིད་ཀྱིས་བྱ། །ཡེ་,K,p,,,,,,,,c=p=d n 25.16%,c གྱི(3024), གྱི།_།(1099), ཚུལ་གྱི(480); p གྱི(3024), གྱི།_།(1099), ཚུལ་གྱི(480); d གྱི(3024), གྱི།_།(1099), ཚུལ་གྱི(480); n གྱིས(7492), གྱིས།_།(3730), ཚུལ་གྱིས(2085), ཚུལ་གྱིས།_།(90); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,97
ཙམ་གྱིས་ནི་ཡིད་ཀྱིས་བྱ། །ཡེ་ཤེས་མེ་,ཡི་,ཡིས་,ཡིས་,ཡི་,ཕུང་པོའི་ཤིང་། །བསྲེགས་པས་འདི་ནི་བླ་མེད་ཡིན,K,p,,,,,,,,c=d p=n 66.15%,c ཡིས(7433), མེ་ཡིས(291); p ཡི(8322), མེ་ཡི(726), ཡི་ཕུང་པོ(47); d ཡིས(7433), མེ་ཡིས(291); n ཡི(8322), མེ་ཡི(726), ཡི་ཕུང་པོ(47); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,98
ལྡན་པས་ཉལ། །ལྡང་ཚེ་དཔལ་ལྡན་ལྷ་མོ་,ཡི,ཡིས,ཡིས,ཡི,། །གླུ་བླངས་པས་ནི་བསྐུལ་བར་བྱ། །ནང་,K,p,,,,,,,,c=d p=n 66.15%,c ཡིས(7433), མོ་ཡིས(73), ཡིས།_།(7321), མོ་ཡིས།_།(73); p ཡི(8322), མོ་ཡི(143), ཡི།_།(8252), མོ་ཡི།_།(75); d ཡིས(7433), མོ་ཡིས(73), ཡིས།_།(7321), མོ་ཡིས།_།(73); n ཡི(8322), མོ་ཡི(143), ཡི།_།(8252), མོ་ཡི།_།(75); ,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,105
