Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བསྐུར་སྤྱི་བོར་གཤིན་རྗེ་གཤེད། །སྒོ་བཞིའི་སྔགས་,ཀྱིས་,,ཀྱི་,ཀྱིས་,བྱིན་གྱིས་བརླབས། །རྣམ་འཕྲུལ་མཆོད་པ་བསམ་མི་,K,p,,,,,,,,p=n d 83.33%,p ཀྱིས(6156), ཀྱིས་བྱིན(703), སྔགས་ཀྱིས(97); d ཀྱི(5256), ཀྱི་བྱིན(854), སྔགས་ཀྱི(3757); n ཀྱིས(6156), ཀྱིས་བྱིན(703), སྔགས་ཀྱིས(97); ,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,10
སྟག་ལྤགས་བསྣམས། །རྟོག་མེད་གོ་ཆ་ཕྲེང་བར་,བཅངས །_། ཀླུ་,,དབྱངས །_། གླུ་,བཅངས །_། ཀླུ་,བརྒྱད་ཕུཊ་སྒྲ་མཆེ་བ་གཙིགས། །མེ་དཀྱིལ་ནང་,K,,,nw✘,,,,,,p=n d 83.33%,p ; d ; n ; ,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,9
,མ་,,#མཱ་,མ་,རི་སཱ་དྷ་ནཾ་ནཱ་མ། བོད་སྐད་དུ,K,,,,✓,,,,,p=n d 83.33%,p མ(4286), ཡ་མ(477), མ་རི(158); d མཱ(40), ཡ་མཱ(130); n མ(4286), ཡ་མ(477), མ་རི(158); ,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,1
ཅིང་། །ནན་ཏན་ཡེ་ཤེས་ཕྱིར་མི་ལྡོག །,#མརྒཏ་,,མ ར་ གད་,#མརྒཏ་,ལྗང་གུའི་མདོག་འདྲ་ལ། །རབ་ཏུ་དང་བས་,K,,,,✓,,,,,p=n d 83.33%,p ; d ; n ; ,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,2
བསྒོམ། །ཨོཾ་ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་སྭ་,#བྷ་,,#བྷཱ་,#བྷ་,ཝ་ཨཱཏྨ་ཀོ྅ཧཾཧཾ། ཉི་དཀྱིལ་འོད་ཟེར་ལྔ་,K,,,,✓,,,,,p=n d 83.33%,p བྷ(79); d བྷཱ(1), སྭ་བྷཱ(47); n བྷ(79); ,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,4
ཤཱུ་ནྱ་ཏཱ་ཛྙཱ་ན་བཛྲ་སྭ་བྷཱ་ཝ་ཨཱཏྨ་,ཀོ་ #ཧཾ,,#ཀོ྅ཧཾ,ཀོ་ #ཧཾ,ཧཾ། ཉི་དཀྱིལ་འོད་ཟེར་ལྔ་ལྡན་པའི། །,K,,,,✓,,,,,p=n d 83.33%,p ; d ཀོ྅ཧཾ(5); n ; ,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,5
། །གྱུར་པས་ཕྲག་དོག་གཤིན་རྗེ་གཤེད། །མར་,#གཏ་,,གང་,#གཏ་,ལྗང་གུ་ལྟ་བུར་མཛེས། །སྡོ་དང་དཀར་བ་,K,,,,✓,,,,,p=n d 83.33%,p ; d གང(44); n ; ,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,8
ཉི་དཀྱིལ་འོད་ཟེར་ལྔ་ལྡན་པའི། །ཧཱུཾ་ལས་,བསྲུང་བ འི་,,སྲུང་བ འི་,བསྲུང་བ འི་,འཁོར་ལོ་བསམ། །པདྨའི་སྟེང་དུ་ཉི་མ་སྟེ,K,,,,,⟶,,,,p=n d 83.33%,p བསྲུང་བའི(698); d སྲུང་བའི(328); n བསྲུང་བའི(698); ,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,6
སྟེང་དུ་ཉི་མ་སྟེ། །དྷཱིཿལས་ཨུཏྤལ་རལ་གྲིར་,འགྱུར,,གྱུར,འགྱུར, །།སྤྲོ་བསྡུས་སྐུ་གསུང་ཐུགས་བཅུག་སྟེ། །གྱུར་,K,,,,,⟶,,,,p=n d 83.33%,p འགྱུར(31151); d གྱུར(4361); n འགྱུར(31151); ,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,7
ནི་པདྨ་སྦྱངས། །ཡེ་ཤེས་ཞུ་བ་གསུམ་བྱིན་,བརླབ,,བརླབ,བརླབས,,K,,,,,⟶,,,,p=d n 8.33%,p བརླབ(104), བྱིན་བརླབ(57); d བརླབ(104), བྱིན་བརླབ(57); n བརླབས(156), བྱིན་བརླབས(707); ,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་ནག་པོའི་སྒྲུབ་ཐབས།,11
