Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཤེས་སེམས་དཔའ་ཡུན་རིང་དུ། །གནས་པའི་ཕྱིར་,ན་,ནི་,ནི་,ན་,རབ་ཏུ་གནས། །གང་དུ་སྐུ་གཟུགས་རྫོགས་པ་,K,g,,,,,,,,c=d p=n 76.03%,c ནི(44237), ཕྱིར་ནི(568), ནི་རབ་ཏུ(2041); p ན(73509), ཕྱིར་ན(696), ན་རབ་ཏུ(306); d ནི(44237), ཕྱིར་ནི(568), ནི་རབ་ཏུ(2041); n ན(73509), ཕྱིར་ན(696), ན་རབ་ཏུ(306); ,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།,16
ཡོན་བདག་དཀྱིལ་འཁོར་མཐོང་ན་ལྷ། །མ་མཐོང་,ན་,ནི་,ནི་,ན་,ནི་སྤྲུལ་སྐུས་བྱ། །བླ་མའི་སྐུ་འབག་ཐུགས་,K,g,,,,,,,,c=d p=n 76.03%,c ནི(44237); p ན(73509), ན་ནི(3673), མཐོང་ན(1635); d ནི(44237); n ན(73509), ན་ནི(3673), མཐོང་ན(1635); ,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།,113
མགོ་ཡིས་ཉེ་བར་ཞི་བར་བྱེད། །ཆུ་སྟོད་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,ནི་བུ་དག་གསོན། །ཁྲུམས་སྨད་རྟག་པར་དངོས་,K,p,,,,,,,,c=d p=n 76.03%,c ཀྱིས(6156), ཀྱིས་ནི(2449); p ཀྱི(5256), ཀྱི་ནི(1448); d ཀྱིས(6156), ཀྱིས་ནི(2449); n ཀྱི(5256), ཀྱི་ནི(1448); ,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།,5
ཀུན་གནས་ཤིང་། །གཟུགས་བརྙན་མཆོད་རྟེན་ལ་སོགས་,ཀྱིས,ཀྱི,ཀྱི,ཀྱིས,། །དངོས་གྲུབ་དག་ནི་སྟེར་བར་མཛད། །ཡིད་,K,p,,,,,,,,c=d p=n 76.03%,c ཀྱི(5256), ཀྱི།_།(2371); p ཀྱིས(6156), ཀྱིས།_།(3361); d ཀྱི(5256), ཀྱི།_།(2371); n ཀྱིས(6156), ཀྱིས།_།(3361); ,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།,9
། །ཞི་ཁྲོ་ལ་སོགས་རང་ཚུལ་མཐུན། །ཚད་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱིས་,ཚད་ལ་ཕབ་ཅིང་བཟང་། །དེ་འདྲ་རབ་ཏུ་,K,p,,,,,,,,c=d=n p 3.31%,c ཀྱིས(6156), ཚད་ཀྱིས(138), ཀྱིས་ཚད(46); p ཀྱི(5256), ཀྱི་ཚད(338), ཚད་ཀྱི(206); d ཀྱིས(6156), ཚད་ཀྱིས(138), ཀྱིས་ཚད(46); n ཀྱིས(6156), ཚད་ཀྱིས(138), ཀྱིས་ཚད(46); ,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།,11
དེ་ལ་བཀྲ་མི་ཤིས་འགྱུར་ཞིང་། །དེ་སྲིད་,མཆོད་པ ར་,མཆོད་པ་,མཆོད་པ ར་,མཆོད་པ ར་,དེ་མི་འོས། །དཔེར་ན་སྐྱེས་བུ་ལ་ལ་,K,p,,,,,,,,c p=d=n 0.83%,c མཆོད་པ(194), མཆོད་པ་དེ(78); p མཆོད་པར(2514); d མཆོད་པར(2514); n མཆོད་པར(2514); ,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།,17
རིག་པའི་མཚན་ཉིད་སྤངས་པ་ན། །འཇིག་རྟེན་ཀུན་,གྱི་,གྱིས་,གྱིས་,གྱི་,མཆོད་མི་བྱེད། །དེ་བཞིན་བྱིན་མ་བརླབས་སྐུ་,K,p,,,,,,,,c=d p=n 76.03%,c གྱིས(7492), ཀུན་གྱིས(73), གྱིས་མཆོད(41), ཀུན་གྱིས་མཆོད(55); p གྱི(3024), ཀུན་གྱི(88), གྱི་མཆོད(334); d གྱིས(7492), ཀུན་གྱིས(73), གྱིས་མཆོད(41), ཀུན་གྱིས་མཆོད(55); n གྱི(3024), ཀུན་གྱི(88), གྱི་མཆོད(334); ,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།,19
དེ་བཞིན་ནོ། །རྟེན་འདི་མཐོང་བའི་སྐྱེ་བོ་,ཡི,ཡིས,ཡིས,ཡི,བསོད་ནམས་ཐོབ་པ་དོན་ཡོད་པ། །བསྐལ་པ་,K,p,,,,,,,,c=d p=n 76.03%,c ཡིས(7433), ཡིས།_།(7321); p ཡི(8322), ཡི།_།(8252); d ཡིས(7433), ཡིས།_།(7321); n ཡི(8322), ཡི།_།(8252); ,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།,23
། །དཔངས་ཁྲུ་རྒྱ་ནི་རྟེན་དང་སྦྱར། །བ་,ཡིས་,ཡི་,ཡི་,ཡིས་,ལྔས་བྱུགས་པད་འཁོར་སེར། །ཉི་ནུབ་དཔོན་སློབ་,K,p,,,,,,,,c=d p=n 76.03%,c ཡི(8322), བ་ཡི(837); p ཡིས(7433), བ་ཡིས(192); d ཡི(8322), བ་ཡི(837); n ཡིས(7433), བ་ཡིས(192); ,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།,31
དབུལ་བར་བྱ། །རང་རང་སྔགས་དང་རྟེན་འབྲེལ་,གྱིས,གྱི,གྱི,གྱིས,། །སྙིང་པོ་བརྒྱ་དང་རྩ་བརྒྱད་བཟླས། །དེ་,K,p,,,,,,,,c=d p=n 76.03%,c གྱི(3024), གྱི།_།(1099); p གྱིས(7492), གྱིས།_།(3730); d གྱི(3024), གྱི།_།(1099); n གྱིས(7492), གྱིས།_།(3730); ,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།,52
