Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཟླ་དབུས་སུ། །བཅོམ་ལྡན་མི་འཁྲུགས་བསྐྱེད་པ་,ལ,,ལས,ལ,། །པད་འདབ་བརྒྱད་ལ་ལྷ་མོ་བརྒྱད། །པདྨ་,K,g,,,,,,,,p=n d 93.33%,p ལ(33965), ལ།_།(14361), བསྐྱེད་པ་ལ(123); d ལས(5885), ལས།_།(3638), བསྐྱེད་པ་ལས(74); n ལ(33965), ལ།_།(14361), བསྐྱེད་པ་ལ(123); ,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་ཆོག,15
ནི་ཉིད་དུ་བྲི། །ཡོ་ལོང་ཆུང་དུ་དག་,གི་,,གིས་,གི་,ཀྱང་། །བཟླས་བརྗོད་བྱས་པས་དཀྱིལ་འཁོར་བྲི། །,K,p,,,,,,,,p=n d 93.33%,p གི(1276), དག་གི(341); d གིས(2588), དག་གིས(850), གིས་ཀྱང(3418), དག་གིས་ཀྱང(1414); n གི(1276), དག་གི(341); ,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་ཆོག,8
དང་ཉ་བྲིའོ། །ཕུར་བ་ར་བ་དྲ་བ་,གཞན །_། བསྲུང་བ་,,གཞག _། སྲུང་བ་,གཞན །_། བསྲུང་བ་,རྩ་བའི་སྔགས་སམ་ནི། །ཡང་ན་དེ་ཡི་,K,,,nw✘,,,,,,p=n d 93.33%,p ; d ; n ; ,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་ཆོག,12
སྤྱི་ཡི་ཆོ་ག་བཤད་པར་བྱ། །ཡིད་དང་,#འཐུན་པ འི་,,མཐུན་པ འི་,#འཐུན་པ འི་,གནས་དག་ཏུ། །སྔགས་མཁན་གཞན་ལ་ཕན་བརྩོན་,K,,,nw✓,,,,,,p=n d 93.33%,p འཐུན་པའི(1214), དང་འཐུན་པའི(387); d མཐུན་པའི(1540), དང་མཐུན་པའི(936); n འཐུན་པའི(1214), དང་འཐུན་པའི(387); ,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་ཆོག,5
། །ཕྱི་ནས་གཅིག་ཉིད་ཀྱིས་ཀྱང་ནི། །ཚིག་,ཀྱང་,,#རྐྱང་,ཀྱང་,དུ་ནི་བྲི་བར་བྱ། །དཀྱིལ་འཁོར་ཀུན་དུ་,K,,,nw✓,,,,,,p=n d 93.33%,p ཀྱང(95), ཚིག་ཀྱང(220); d རྐྱང(119); n ཀྱང(95), ཚིག་ཀྱང(220); ,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་ཆོག,9
། །དཀར་དང་དམར་དང་སྔོ་དང་ལྗང་། །དཔལ་,#བེ་,,བེའུ་,#བེ་,པདྨ་གདུགས་དང་དུང་། །དབང་པོ་གཤིན་རྗེ་ཆུ་,K,,,nw✓,,,,,,p=n d 93.33%,p བེ(232); d བེའུ(3), དཔལ་བེའུ(79); n བེ(232); ,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་ཆོག,16
,#ཀརྨཱ་,,ཀརྨ་,#ཀརྨཱ་,ཨཱ་ཝ་ར་ཎ་བི་ཤོ་དྷ་ནི་མཎྜལ་བི་,K,,,,✓,,,,,p=n d 93.33%,p ཀརྨཱ(31); d ཀརྨ(20), སརྦ་ཀརྨ(76); n ཀརྨཱ(31); ,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་ཆོག,1
ཨཱ་ཝ་ར་ཎ་བི་ཤོ་དྷ་ནི་མཎྜལ་བི་,#དྷི,,#དྷིཿ,#དྷི, །བོད་སྐད་དུ། ལས་ཀྱི་སྒྲིབ་པ་ཐམས་,K,,,,✓,,,,,p=n d 93.33%,p དྷི(26); d ; n དྷི(26); ,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་ཆོག,2
། །ཤཾ་གིས་ཐམས་ཅད་སྟོང་པ་ལས། །བཾ་,ངམ་ #བྲུཾ་,,མམ་ #བྷྲཱུཾ་,ངམ་ བྲུ་,ལས་གཞལ་ཡས་ཁང་། །དེ་ནང་པདྨ་ཟླ་དབུས་,K,,,,✓,,,,,p d n 3.33%,p ; d ; n ; ,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་ཆོག,14
ཤིས་ལྷ་མོ་བརྒྱད་ཀྱི་སྔགས། །ཨོཾ་མཾ་ག་,#ཤྲཱི་,,ལ་ #ཤྲཱི་ #ཡཾ་,#ཤྲཱི་,ཛ་ད་མ་ཛ་སྭཱ་ཧཱ། ཨོཾ་མཾ་ག་,K,,,,✓,,,,,p=n d 93.33%,p ཤྲཱི(10); d ; n ཤྲཱི(10); ,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་ཆོག,19
