Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཡི་གེ་ཨ་ལས་བྱུང་བའི་ཟླ་བའི་དཀྱིལ་འཁོར་,,,,གྱི་,འོད་ཟེར་དང་བཅས་པ་དེའི་སྟེང་དུ་ཡི་གེ་,K,p,,,,,,,,c=p=d n 33.33%,c (1), འོད(510), དཀྱིལ་འཁོར(79), དཀྱིལ་འཁོར་འོད(76); p (1), འོད(510), དཀྱིལ་འཁོར(79), དཀྱིལ་འཁོར་འོད(76); d (1), འོད(510), དཀྱིལ་འཁོར(79), དཀྱིལ་འཁོར་འོད(76); n གྱི(3024), གྱི་འོད(527), དཀྱིལ་འཁོར་གྱི(45); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,4
བྷཱ་བ་ཤུདྡྷོ྅ཧཾཧཾ། དེའི་འོག་ཏུ་ཆོས་ཐམས་ཅད་བདག་,མེད་པ ར་,མེད་པ ར་,མེད་པ ར་,མེད་པ་,བསྒོམ་པར་བྱའོ། །ཚིག་གི་དོན་དང་བཅས་པར་,K,p,,,,,,,,c=p=d n 33.33%,c མེད་པར(15663), བདག་མེད་པར(289); p མེད་པར(15663), བདག་མེད་པར(289); d མེད་པར(15663), བདག་མེད་པར(289); n མེད་པ(5438), བདག་མེད་པ(84); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,9
བློ་གཏི་མུག་པས། །འདིར་ནི་ཉེས་པ་གང་,བྱས་པ,བྱས་པ,བྱས་པ,བྱས་པ ས,། །གང་ཡང་ལུས་ཅན་སྐྱབས་གྱུར་པས། །མགོན་,K,p,,,,,,,,c=p=d n 33.33%,c བྱས་པ(1536), བྱས་པ།_།(455), གང་བྱས་པ(43), གང་བྱས་པ།_།(43); p བྱས་པ(1536), བྱས་པ།_།(455), གང་བྱས་པ(43), གང་བྱས་པ།_།(43); d བྱས་པ(1536), བྱས་པ།_།(455), གང་བྱས་པ(43), གང་བྱས་པ།_།(43); n བྱས་པས(395), བྱས་པས།_།(271); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,16
གར་སྐད་དུ། ཨཱརྱཱ་བ་ལོ་ཀི་ཏེ་ཤྭ་,ཁ ར་ ས་པ་ ནི་,ར་ #ཁརྶ་པ་ #ཎ་,ར་ #ཁརྶ་པ་ #ཎ་,ར་ ཁ་ #སརྤ་ #ཎ་,སཱ་དྷ་ནཾ། བོད་སྐད་དུ། འཕགས་པ་,K,,,,✓,,,,,c=d p n 28.57%,c ; p ; d ; n ; ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,1
བོད་སྐད་དུ། འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་,ཁ ར་ ས་པ་ ནི་,#ཁརྶ་ #པཱ་ #ཎིའི་,#ཁརྶ་ #པཱ་ #ཎིའི་,ཁ་ #སརྤ་ #ཎ་,སྒྲུབ་ཐབས། མགོན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་,K,,,,✓,,,,,c=d p n 28.57%,c ; p ; d ; n ; ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,2
ཆོས་ཐམས་ཅད་དྲངས་ནས་འོད་ཟེར་གྱི་ཚོགས་རྣམས་,#ཧྲཱི་ དེ་ཉིད་,#ཧྲཱིཿདེ་ ཉིད་,#ཧྲཱིཿདེ་ ཉིད་,#ཧྲཱིཿདེ་ ཉིད་,དེ་ཉིད་ཀྱི་ནང་དུ་ཞུགས་པ་དང་། ཐལ་,K,,,,✓,,,,,c=d=n p 14.29%,c ; p ; d ; n ; ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,5
འདི་ལན་གསུམ་བརྗོད་དོ། །ཨོཾ་སྭ་བྷཱ་བ་,ཤུད་ #དྷ་ #སརྦྦ་,#ཤུདྡྷཱཿསརྦྦ་,#ཤུདྡྷཱཿསརྦྦ་,#ཤུདྡྷ་ #སརྦྦ་,སརྦྦ་དྷརྨཱཿསྭ་སྭ་བྷཱ་བ་བྷཱ་བ་ཤུདྡྷོ྅ཧཾཧཾ། དེའི་འོག་,K,,,,✓,,,,,c=d p n 28.57%,c ཤུདྡྷཱཿསརྦྦ(3); p ; d ཤུདྡྷཱཿསརྦྦ(3); n ; ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,6
གསུམ་བརྗོད་དོ། །ཨོཾ་སྭ་བྷཱ་བ་ཤུདྡྷཱཿསརྦྦ་སརྦྦ་,#དྷརྨཱ་ #སྭ་,#དྷརྨཱཿསྭ་,#དྷརྨཱཿསྭ་,#དྷརྨྨ་ #སྭ་,སྭ་བྷཱ་བ་བྷཱ་བ་ཤུདྡྷོ྅ཧཾཧཾ། དེའི་འོག་ཏུ་ཆོས་,K,,,,✓,,,,,c=d p n 28.57%,c དྷརྨཱཿསྭ(2); p ; d དྷརྨཱཿསྭ(2); n ; ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,7
ཨོཾ་སྭ་བྷཱ་བ་ཤུདྡྷཱཿསརྦྦ་སརྦྦ་དྷརྨཱཿསྭ་སྭ་བྷཱ་བ་,#བྷཱ་ #བཤུདྡྷོཧཾ,#བྷཱ་བ་ #ཤུདྡྷོ྅ཧཾ,#བྷཱ་བ་ #ཤུདྡྷོ྅ཧཾ,#བྷཱ་བ་ #ཤུདྡྷོ྅ཧཾ,ཧཾ། དེའི་འོག་ཏུ་ཆོས་ཐམས་ཅད་བདག་མེད་པར་,K,,,,✓,,,,,c=d=n p 14.29%,c ; p ; d ; n ; ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,8
སྒྲོལ་བར་ཤོག །འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་,ཁ ར་ ས་པ་ ནི འི་,#ཁརྶ་པ་ #ཎའི་,#ཁརྶ་པ་ #ཎའི་,ཁ་ #སརྤ་ #ཎ་,སྒྲུབ་ཐབས་རྫོགས་སོ།། །།རྒྱ་གར་གྱི་མཁན་པོ་དཱི་པཾ་,K,,,,✓,,,,,c=d p n 28.57%,c ; p ; d ; n ; ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,19
པོ་དཱི་པཾ་ཀ་ར་ཤྲཱི་ཛྙཱ་ན་དང་། ,ལོ་ ལོཙྪ་བ་,ལོ་ཙཱ་བ་,ལོ་ཙཱ་བ་,ལོ་ #ཙ་བ་,དགེ་སློང་ཤཱཀྱ་བློ་གྲོས་ཀྱིས་བསྒྱུར་བ་རྫོགས་སོ,K,,,,✓,,,,,c=d p n 28.57%,c ལོ་ཙཱ་བ(58); p ; d ལོ་ཙཱ་བ(58); n ; ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,21
རྗེས་ཡི་རང་། །སངས་རྒྱས་བྱང་ཆུབ་ཡིད་ཀྱིས་,གཟུང,གཟུང,གཟུང,བཟུང, །།ཞེས་བྱ་བའི་ཚིགས་སུ་བཅད་པ་འདིས་བྱའོ,K,,,,,⟶,,,,c=p=d n 33.33%,c གཟུང(5), ཀྱིས་གཟུང(60); p གཟུང(5), ཀྱིས་གཟུང(60); d གཟུང(5), ཀྱིས་གཟུང(60); n བཟུང(11), ཀྱིས་བཟུང(121); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,3
དུ་སྔགས་མུ་ཏིག་གི་ཕྲེང་བ་དང་འདྲ་བ་,བསམས་,བསམས་,བསམས་,བསམ་,ཏེ་བཟླས་པར་བྱའོ། །བཟླས་པའི་སྔགས་ནི་འདི་,K,,,,,⟶,,,,c=p=d n 33.33%,c བསམས(54), བསམས་ཏེ(398); p བསམས(54), བསམས་ཏེ(398); d བསམས(54), བསམས་ཏེ(398); n བསམ(706); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,13
བཅོམ་ལྡན་འདས་མ་སྒྲོལ་མ་རྒྱན་ཐམས་ཅད་ཀྱིས་,རྒྱན་པ་,བརྒྱན་པ་,བརྒྱན་པ་,བརྒྱན་པ་,ཨུཏྤ་ལའི་སྙིང་པོ་ཁ་འབྱེད་པར་བསམ་མོ། །,K,,,,,≠,,,,c=d=n p 14.29%,c བརྒྱན་པ(1313), ཀྱིས་བརྒྱན་པ(261); p ; d བརྒྱན་པ(1313), ཀྱིས་བརྒྱན་པ(261); n བརྒྱན་པ(1313), ཀྱིས་བརྒྱན་པ(261); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,12
སངས་རྒྱས་ཡུལ་དུ་གཤེགས་སུ་གསོལ། །སླར་ཡང་,བྱོན་པ ར་,འབྱོན་པ ར་,འབྱོན་པ ར་,བྱོན་པ ར་,མཛད་དུ་གསོལ། །ཚིགས་སུ་བཅད་པ་འདིས་གཤེགས་,K,,,,,≠,,,,c=d p=n 19.05%,c ; p བྱོན་པར(72); d ; n བྱོན་པར(72); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,15
དང་མ་རྙེད་པའི། །འདིར་ནི་བྱ་བ་གང་,བྱས་པ,བྱས་པ,བྱེས་པ,བྱས་པ,། །མགོན་ཁྱེད་དེ་ནི་བཟོད་པར་མཛོད། །བདག་,K,,,,,≠,,,,c=p=n d 4.76%,c བྱས་པ(1536), བྱས་པ།_།(455), གང་བྱས་པ(43), གང་བྱས་པ།_།(43); p བྱས་པ(1536), བྱས་པ།_།(455), གང་བྱས་པ(43), གང་བྱས་པ།_།(43); d ; n བྱས་པ(1536), བྱས་པ།_།(455), གང་བྱས་པ(43), གང་བྱས་པ།_།(43); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,18
དོན་ཀུན་མཛོད། །རྗེས་སུ་མཐུན་པའི་དངོས་གྲུབ་,གསོལ,སྩོལ,སྩོལ,གསོལ,། །སངས་རྒྱས་ཡུལ་དུ་གཤེགས་སུ་གསོལ། །སླར་,K,,,,,?,,,,c=d p=n 19.05%,c སྩོལ(267), སྩོལ།_།(248), གྲུབ་སྩོལ(41); p གསོལ(5526), གསོལ།_།(2154); d སྩོལ(267), སྩོལ།_།(248), གྲུབ་སྩོལ(41); n གསོལ(5526), གསོལ།_།(2154); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,14
པའི་རྒྱལ་བའི་སྐུ་འཛིན་པ། རིན་པོ་ཆེའི་,རི འི་,,,རི འི་,ཕུག་གི་ནང་ན་པདྨ་ཆེན་པོ་དང་ཟླ་བའི་,K,,,,,,≡,,,c=d p=n 19.05%,c (1), འི(44), ཕུག(18); p རིའི(8681), རིའི་ཕུག(41); d (1), འི(44), ཕུག(18); n རིའི(8681), རིའི་ཕུག(41); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,10
། ཞབས་གཡོན་པ་སེམས་དཔའི་སྐྱིལ་མོ་ཀྲུང་ལ་,གཡས་པ་,གཡས་པ་,གཡས་པ་,གནས་པ་,ཅུང་ཟད་བརྐྱང་བ། །ཕྱག་གཡོན་པ་ན་པདྨ་,K,,,,,,≡,,,c=p=d n 33.33%,c གཡས་པ(1191); p གཡས་པ(1191); d གཡས་པ(1191); n གནས་པ(1940), ལ་གནས་པ(695); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,11
སྐྱབས་གྱུར་པས། །མགོན་པོ་ཁྱོད་ནི་བཟོད་པ་,བཞེས,བཞེས,བཞེས,ཞེས,། །གཙོ་བོ་ནུས་པ་མ་མཆིས་པས། །མ་,K,,,,,,≡,,,c=p=d n 33.33%,c བཞེས(19); p བཞེས(19); d བཞེས(19); n ཞེས(1047), ཞེས།_།(870), བཟོད་པ་ཞེས(80); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,17
ཤོག །འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཁརྶ་པ་ཎའི་སྒྲུབ་,ཐབས,ཐབས་ རྫོགས་ སོ,ཐབས་ རྫོགས་ སོ,ཐབས,།། །།རྒྱ་གར་གྱི་མཁན་པོ་དཱི་པཾ་ཀ་ར་,K,,,,,,s,,,c=d p=n 19.05%,c ; p ཐབས(135), སྒྲུབ་ཐབས(284); d ; n ཐབས(135), སྒྲུབ་ཐབས(284); ,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྦ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,20
