Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གནས་ནས་བདུན་པོ་རྣམ་པར་དག་པར་བྱས། །,དེ ས་,,དེ་,དེ ས་,རྗེས་ཚད་མེད་བཞི་ཡིས་བདག་བློ་ལེགས་པར་སྦྱང,K,p,,,,,,,,p=n d 83.33%,p དེས(1023), །_།དེས(6698); d དེ(1), །_།དེ(137195), དེ་རྗེས(260), །_།དེ་རྗེས(63); n དེས(1023), །_།དེས(6698); ,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,1
རྡོ་རྗེའི་ལྟེ་བར་ཧཱུྃ་གིས་མཚན་པ་བསམ། །,,,དེ་,དེ་,ལས་འོད་འཕྲོས་ས་གཞིར་བ་གུར་དུ་གྱུར། །,K,,✘,,,,,,,p d=n 8.33%,p (1), ལས(5885), །_།(997103), །_།ལས(3585); d དེ(1), དེ་ལས(5447), །_།དེ(137195), །_།དེ་ལས(1218); n དེ(1), དེ་ལས(5447), །_།དེ(137195), །_།དེ་ལས(1218); ,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,4
རྡོ་རྗེ་ལས་བྱེད་མ། །ཞལ་གཅིག་ཕྱག་གཉིས་,སྔོན་ མོ ར་,,སྔོན་པོ ར་,སྔོན་ མོ ར་,བསྒོམ། །ལྷོ་རུ་གཤིན་རྗེ་ལས་བྱེད་མ། །,K,,≠,,,,,,,p=n d 83.33%,p ; d སྔོན་པོར(185); n ; ,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,7
བཞི་ཡིས་བདག་བློ་ལེགས་པར་སྦྱང །།ཤཱུ་ནྱ་,ཏ འི་,,#ཏཱའི་,ཏ འི་,སྔགས་ཀྱིས་སྟོང་པ་ཉིད་དུ་བསྒོམ། །བདག་ཉིད་,K,,,,✓,,,,,p=n d 83.33%,p ཏའི(426); d ཏཱའི(1); n ཏའི(426); ,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,3
འབྱུང་པོ་མཱ་ར་ཡ་སྙིང་ཁྲག་ཛཿཧཱུྃ་བཾ་ཧོཿབཛྲ་,#ཨཾ་,,ཨ་,#ཨཾ་,གུ་ཤ་ཛཿའབྱུང་པོའི་ཚེ་ལ་མ་ཤ་དོམ། ,K,,,,✓,,,,,p=n d 83.33%,p ཨཾ(12); d ཨ(188); n ཨཾ(12); ,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,10
གྲཱི་བ་ཧུ་ལུ་ཧུ་ལུ་ཧཱུཾ་ཕཊ། ཨོཾ་,#ཊ་,,#ཌ་,#ཊ་,ཀི་ཙ་ཏི་བི་ཙ་ཏི། ཧུ་ཡ་ཧུ་,K,,,,✓,,,,,p=n d 83.33%,p ཊ(463); d ཌ(52); n ཊ(463); ,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,11
དེ་རྗེས་ཚད་མེད་བཞི་ཡིས་བདག་བློ་ལེགས་པར་,སྦྱངས,,སྦྱང,སྦྱངས, །།ཤཱུ་ནྱ་ཏཱའི་སྔགས་ཀྱིས་སྟོང་པ་ཉིད་དུ་,K,,,,,⟶,,,,p=n d 83.33%,p སྦྱངས(155); d སྦྱང(2); n སྦྱངས(155); ,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,2
མནན།མེ་དཔུང་འབར་བའི་དཀྱིལ་ན་བཞུགས། །,,,དཀྱིལ་འཁོར་ གྱི་ ནི་ ཕྱོགས་ བཞི ར་ ནི །_།,,ཤར་དུ་རྡོ་རྗེ་ལས་བྱེད་མ། །ཞལ་གཅིག་,K,,,,,,l,,,p=n d 83.33%,p (1), ཤར(97), །_།(997103), །_།ཤར(1030), །_།ཤར་དུ(194); d ; n (1), ཤར(97), །_།(997103), །_།ཤར(1030), །_།ཤར་དུ(194); ,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,6
གསུམ་ཕྱག་ཞབས་བཞི། །དབུས་དམར་གཡས་སྔོ་གཡོན་,དམར་བ,,དཀ ར་བ,དམར་བ,། །དབུས་མའི་གཙུག་ནས་རྟ་མགོ་ལྗང་། །གྱེན་,K,,,,,,≡,,,p=n d 83.33%,p དམར་བ(70); d དཀར་བ(59); n དམར་བ(70); ,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,5
ལྷ་ཡི་འཁོར་ལོ་བསྒོམ་བྱས་ལ། །ལས་རྣམས་,འདོད་པ་,,འདོད་ ན་ བཟླས་པ་,འདོད་པ་,བྱ། །ཨོཾ་ཧ་ཧ་ཧི་ཧི་ཧྲིཾ་ཧྲིཾ་ཧྲི་,K,,,,,,s,,,p=n d 83.33%,p འདོད་པ(696); d ; n འདོད་པ(696); ,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,8
