Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཅད་ཀྱི་ཡེ་ཤེས་བསྐུལ་ཏ། ཡི་གེ་བཞི་,ལས་,ལ་,ལ་,ལས་,སོ་སོར་ཐིམ་པར་བསམ་ཞིང་། ཨོཾ་ཨཱཿཧཱུཾ་སརྦྦ་,K,g,,,,,,,,c=d p=n 83.33%,c ལ(33965), བཞི་ལ(126), ལ་སོ་སོ(87); p ལས(5885), བཞི་ལས(351); d ལ(33965), བཞི་ལ(126), ལ་སོ་སོ(87); n ལས(5885), བཞི་ལས(351); ,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།,16
ནས་རང་གི་སྙིང་གར་ཟླ་བའི་སྟེང་གི་ཧཱུཾ་,,གི་,གི་,,འོད་ཟེར་གྱིས་བླ་མ་ལ་སོགས་པ་སྤྱན་དྲངས་,K,p,,,,,,,,c=d p=n 83.33%,c གི(1276), གི་འོད(426); p (1), འོད(510), ཧཱུཾ(241); d གི(1276), གི་འོད(426); n (1), འོད(510), ཧཱུཾ(241); ,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།,7
གྱིས་མཆོད་ནས་གསོལ་བ་གདབ་སྟེ། བྱང་ཆུབ་,རྡོ་རྗེ་,རྡོ་རྗེ ས་,རྡོ་རྗེ ས་,རྡོ་རྗེ་,སངས་རྒྱས་ལ། །ཇི་ལྟར་མཆོག་གཉིས་སྩོལ་མཛད་,K,p,,,,,,,,c=d p=n 83.33%,c རྡོ་རྗེས(1965); p རྡོ་རྗེ(204), རྡོ་རྗེ་སངས་རྒྱས(92); d རྡོ་རྗེས(1965); n རྡོ་རྗེ(204), རྡོ་རྗེ་སངས་རྒྱས(92); ,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།,26
ཞེས་གསོལ་བ་གདབ་པར་བྱའོ། །དེ་ནས་མི་,བསྐྱོད་པ་,བསྐྱོད་,བསྐྱོད་,བསྐྱོད་པ་,རྡོ་རྗེ་གཙོ་བོར་གྱུར་པའི་ཐུགས་ཀ་ནས་མཁའ་,K,,པ་བ་,,,,s,,,c=d p=n 83.33%,c བསྐྱོད(75), མི་བསྐྱོད(523); p བསྐྱོད་པ(72), མི་བསྐྱོད་པ(59); d བསྐྱོད(75), མི་བསྐྱོད(523); n བསྐྱོད་པ(72), མི་བསྐྱོད་པ(59); ,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།,27
གྱི་མཁན་པོ་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས་ཀྱིས་,མཛད ་།_,མཛད་པ །_,མཛད་པ །_,མཛད ་།_,བོད་ཀྱི་ལོ་ཙཱ་བ་རིན་ཆེན་བཟང་པོས་བསྒྱུར་,K,,པ་བ་,,,,s,,,c=d p=n 83.33%,c མཛད་པ།_(368); p ; d མཛད་པ།_(368); n ; ,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།,35
བྱིན་གྱིས་བརླབ་པ་ནི། མགོ་བོ་དང་། ,མགྲིན་པ,མགྲིན་པ་ དང ་།_ ནུ་མ འི་ བར་ དང,མགྲིན་པ་ དང ་།_ ནུ་མ འི་ བར་ དང,མགྲིན་པ,། སྙིང་ག་རྣམས་སུ། ཨོཾ་དཀར་པོ་དང་,K,,,nw✘,,,,,,c=d p=n 83.33%,c ; p མགྲིན་པ(457), །_མགྲིན་པ(59); d ; n མགྲིན་པ(457), །_མགྲིན་པ(59); ,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།,14
ནཱི་ཡེ་ཧཱུཾ་ཧཱུཾ་ཕཊ་། ཡུམ་གྱི་སྙིང་པོའོ,།_།་  ཨོཾ,,,།_།་  ཨོཾ,བཛྲ་བཻ་རོ་ཙ་ནཱི་ཡེ་ཧཱུཾ་ཧཱུཾ་ཕཊ། ,K,,,nw✘,,,,,,c=d p=n 83.33%,c (1), འོ(431), །_།(997103), འོ།_།(419), སྙིང་པོའོ།_།(286); p ; d (1), འོ(431), །_།(997103), འོ།_།(419), སྙིང་པོའོ།_།(286); n ; ,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།,32
འཁྱིལ་པའི་ཕྱག་རྒྱས་བརྡུང་བར་བྱའོ། །ཨོཾ་གྷ་,#གྷཿགྷཿ་,#གྷ་,#གྷ་,#གྷཿགྷཿ་,གྷཱ་ཏ་ཡ་གྷཱ་ཏ་ཡ། སརྦྦ་དུ་ཥྚཱ་,K,,,,✓,,,,,c=d p=n 83.33%,c གྷ(37); p ; d གྷ(37); n ; ,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།,3
། ཧཱུཾ་ཧཱུཾ་ཧཱུཾ་བཛྲ་ཀཱི་ལ་བཛྲ་དྷ་ར་,#ཨཛྙཱ་པ་,#ཨཱཛྙཱ་པ་,#ཨཱཛྙཱ་པ་,#ཨཛྙཱ་པ་,ཡ་ཏི། སརྦ་བི་གྷྣཱཾ་ཀཱ་ཡ་ཝཱ་ཀ་,K,,,,✓,,,,,c=d p=n 83.33%,c ; p ; d ; n ; ,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།,4
ལ་བཛྲ་དྷ་ར་ཨཱཛྙཱ་པ་ཡ་ཏི། སརྦ་བི་,#བིགྷྣཾ་,#གྷྣཱཾ་,#གྷྣཱཾ་,#བིགྷྣཾ་,ཀཱ་ཡ་ཝཱ་ཀ་ཙི་ཏྟ་བཛྲ་ཀཱི་ལ་ཡ་,K,,,,✓,,,,,c=d p=n 83.33%,c གྷྣཱཾ(1); p བིགྷྣཾ(1); d གྷྣཱཾ(1); n བིགྷྣཾ(1); ,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།,5
