Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སུམ་ཚོགས་པར་ཟུག་པ། ལོ་མ་བཟང་བ་,དག _།,དང ་།_,དང ་།_,དག _།, །ཡལ་ག་བཟང་བརྒྱས་པ་དང་། མེ་ཏོག་,K,g,,,,,,,,c=d p=n 88.89%,c དང་།_(394717), དང་།_ཡལ་ག(76), བཟང་བ་དང་།_(123); p དག_།(5101); d དང་།_(394717), དང་།_ཡལ་ག(76), བཟང་བ་དང་།_(123); n དག_།(5101); ,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག་བཞུགས།,3
ཕྱག་རྒྱ་དང་། ཏིང་ངེ་འཛིན་དང་། བདག་,གིས་,གི་,གི་,གིས་,བསམ་པ་རྣམ་པར་དག་པའི་སྟོབས་ཀྱིས་སོ་སོའི་,K,p,,,,,,,,c=d p=n 88.89%,c གི(1276), བདག་གི(11456), གི་བསམ་པ(263), བདག་གི་བསམ་པ(80); p གིས(2588), བདག་གིས(13868); d གི(1276), བདག་གི(11456), གི་བསམ་པ(263), བདག་གི་བསམ་པ(80); n གིས(2588), བདག་གིས(13868); ,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག་བཞུགས།,10
འདི་ཡིས། །ཉོན་མོངས་འབར་བའི་མི་ཡིས་གདུངས་པ་,ཡིས,ཡི,ཡི,ཡི,། །འགྲོ་ཀུན་རྟག་ཏུ་སྡུག་བསྔལ་ཞི་བྱེད་ཤོག,K,p,,,,,,,,c=d=n p 5.56%,c ཡི(8322), ཡི།_།(8252); p ཡིས(7433), ཡིས།_།(7321); d ཡི(8322), ཡི།_།(8252); n ཡི(8322), ཡི།_།(8252); ,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག་བཞུགས།,12
ཚོགས་བསག་པའི་ཡན་ལག་ཏུ་ཞུས་ནས་མང་ཡུལ་གྱི་,ཀྱི་,,,ཀྱི་,གྲོང་དུ་གཞུང་བྲིས་སོ། །པཎྜི་ཏ་དེ་ཉིད་,K,p,,,,,,,,c=d p=n 88.89%,c (1), གྱི(3024), གྲོང(3), གྱི་གྲོང(307); p ཀྱི(5256), ཀྱི་གྲོང(722); d (1), གྱི(3024), གྲོང(3), གྱི་གྲོང(307); n ཀྱི(5256), ཀྱི་གྲོང(722); ,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག་བཞུགས།,16
བྲིས་སོ། །པཎྜི་ཏ་དེ་ཉིད་དང་ལོ་ཙཱ་,ལོ་ ཚ་བ་,ལོ་ཙཱ་བ་,ལོ་ཙཱ་བ་,ལོ་ ཚ་བ་,ཚུལ་ཁྲིམས་རྒྱལ་བས་བསྒྱུར་བའོ།། །།,K,,,nw✘,,,,,,c=d p=n 88.89%,c ལོ་ཙཱ་བ(58); p ; d ལོ་ཙཱ་བ(58); n ; ,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག་བཞུགས།,17
ནས་ཨོཾ་སྭ་བྷཱ་ཤུདྡྷཿསརྦ་དྷརྨཱཿ་སྭ་བྷཱ་བ་ཤུདྡྷོ་,#ཧཾ་,#྅ཧཾ་,#྅ཧཾ་,#ཧཾ་,ཧཾ་ཞེས་བརྗོད་དོ། །རང་མ་གཏོགས་པའི་སྣོད་,K,,,,✓,,,,,c=d p=n 88.89%,c ྅ཧཾ(1); p ཧཾ(126); d ྅ཧཾ(1); n ཧཾ(126); ,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག་བཞུགས།,1
ཨོཾ་རུ་རུ་སྤུ་རུ་ཛྭ་ལ་ཏིཥྛ་སིདྡྷ་ལོ་,#ཙ་,#ཙཱ་,#ཙཱ་,#ཙ་,ནེེ་སརྦ་ཨརྠ་སཱ་དྷ་ནེ་སྭཱ་ཧཱ། སྔགས་,K,,,,✓,,,,,c=d p=n 88.89%,c ཙཱ(1), ལོ་ཙཱ(65); p ཙ(240), ལོ་ཙ(106); d ཙཱ(1), ལོ་ཙཱ(65); n ཙ(240), ལོ་ཙ(106); ,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག་བཞུགས།,7
ཐོབ་ནས་དམ་ཚིག་ལ་གནས་ཤིང་རྣམ་པར་མི་,རྟོགས་པ འི་,རྟོག་པ འི་,རྟོག་པ འི་,རྟོགས་པ འི་,ཡེ་ཤེས་རྟོགས་ནས་བདག་ལ་ཕན་འདོགས་པའི་བསམ་,K,,,,,⟶,,,,c=d p=n 88.89%,c རྟོག་པའི(1556), མི་རྟོག་པའི(179), རྟོག་པའི་ཡེ་ཤེས(69); p རྟོགས་པའི(733), རྟོགས་པའི་ཡེ་ཤེས(41); d རྟོག་པའི(1556), མི་རྟོག་པའི(179), རྟོག་པའི་ཡེ་ཤེས(69); n རྟོགས་པའི(733), རྟོགས་པའི་ཡེ་ཤེས(41); ,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག་བཞུགས།,13
སོང་བར་བལྟའོ། །རྐྱེན་དང་བར་ཆད་ཐམས་ཅད་,བཟློག་པ ར་,ཟློག་པ ར་,ཟློག་པ ར་,བཟློག་པ ར་,བྱེད་པ་ཡོན་ཏན་ཐམས་ཅད་ཉེ་བར་སྡུད་པར་,K,,,,,⟶,,,,c=d p=n 88.89%,c ཟློག་པར(399), ཐམས་ཅད་ཟློག་པར(59), ཟློག་པར་བྱེད་པ(45); p བཟློག་པར(524), ཐམས་ཅད་བཟློག་པར(43); d ཟློག་པར(399), ཐམས་ཅད་ཟློག་པར(59), ཟློག་པར་བྱེད་པ(45); n བཟློག་པར(524), ཐམས་ཅད་བཟློག་པར(43); ,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག་བཞུགས།,14
བ་པོ་ཀན་སྟོན་ལེགས་པའི་ཤེས་རབ་ཀྱིས་ཚོགས་,བསོགས་པ འི་,བསག་པ འི་,བསག་པ འི་,བསོགས་པ འི་,ཡན་ལག་ཏུ་ཞུས་ནས་མང་ཡུལ་གྱི་གྲོང་,K,,,,,⟶,,,,c=d p=n 88.89%,c ; p ; d ; n ; ,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག་བཞུགས།,15
