Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །བྷྲཱུཾ་ལས་བདུད་རྩིའི་ཆར་བབ་པས། །གཏོར་,མ་,,མ ས་,མ་,ཡོངས་སུ་གང་བར་བསམ། །ཨོཾ་ཨཱཿཞེས་ལན་གསུམ་,K,p,,,,,,,,p=n d 90.48%,p མ(4286), གཏོར་མ(1300), མ་ཡོངས་སུ(189); d མས(76), གཏོར་མས(57), མས་ཡོངས་སུ(280); n མ(4286), གཏོར་མ(1300), མ་ཡོངས་སུ(189); ,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག,9
སེམས་ཀྱིས་ལྟོས། །གཞན་ཡང་ལས་ལས་སྐྱེས་པ་,ཡིས,,ཡི,ཡིས,། །བཀའ་དང་དམ་ལས་མ་ཐོགས་པའི། །གདུག་,K,p,,,,,,,,p=n d 90.48%,p ཡིས(7433), ཡིས།_།(7321); d ཡི(8322), ཡི།_།(8252), སྐྱེས་པ་ཡི(44), སྐྱེས་པ་ཡི།_།(44); n ཡིས(7433), ཡིས།_།(7321); ,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག,16
གཡས་པ་མཆོག་སྦྱིན་ཕྱག་རྒྱ་ལ། །ཧ་ཧོ་,#ཧི་,,#ཧྲི་,#ཧི་,པཾ་དག་ལས་ནི། །དཔག་བསམ་ཤིང་ནི་བསམ་,K,,,nw✓,,,,,,p=n d 90.48%,p ཧི(376); d ཧྲི(17); n ཧི(376); ,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག,7
ཁ་ཁཱ་ཧི་ཁཱ་ཧི། ཨོཾ་ཏཀྵཀ། ཨོཾ་,#ཨུ་,,#ཀུ་,#ཨུ་,ལི་ཀ །ཨོཾ་པཱ་སུ་ཀི།ཨོཾ་ཤཾ་,K,,,nw✓,,,,,,p=n d 90.48%,p ཨུ(15); d ཀུ(45), ཀུ་ལི(45); n ཨུ(15); ,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག,10
ཏཀྵཀ། ཨོཾ་ཀུ་ལི་ཀ །ཨོཾ་པཱ་སུ་,#ཏི,,#ཀི,#ཏི,།ཨོཾ་ཤཾ་ཁ་པཱ་ལ། ཨོཾ་མཧཱ་པདྨ,K,,,nw✓,,,,,,p=n d 90.48%,p ཏི(1484), ཏི།_(1423); d ཀི(56); n ཏི(1484), ཏི།_(1423); ,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག,11
སུ་འདི་གྱུར་ཅིག །མཆོད་སྦྱིན་གཏོར་མ་འདི་,#བསྣོམས་,,སྣོམས་,#བསྣོམས་,ལ། །བདག་ཅག་འཁོར་དང་བཅས་རྣམས་ལ། །,K,,,nw✓,,,,,,p=n d 90.48%,p བསྣོམས(1); d སྣོམས(1); n བསྣོམས(1); ,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག,14
གདུག་པ་ཅན་གྱི་ཀླུ་ཚོགས་ཀུན། །བཀའ་ཡི་,ཕམ་ #ཕབས་ འདི་ #བསྣོམས་,,ཕ་ འབབ་ འདི་ སྣོམས་,ཕམ་ #ཕབས་ འདི་ #བསྣོམས་,ལ། །སོ་སོ་རང་རང་གནས་སུ་དེངས། །,K,,,nw✓,,,,,,p=n d 90.48%,p ; d ; n ; ,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག,17
,ག་ #རཱ་ ཛ་བ་,,ག་བ་,ག་ #རཱ་ ཛ་བ་,ལིཾ་བི་དྷིཿབོད་བོད་སྐད་དུ། ཀླུ་གཏོར་གྱི་,K,,,,✓,,,,,p=n d 90.48%,p ; d ག་བ(480); n ; ,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག,2
རྒྱ་གར་སྐད་དུ།ནཱ་ག་བ་ལིཾ་བི་,#དྷི་ བོད་,,#དྷིཿབོད་,#དྷི་ བོད་,བོད་སྐད་དུ། ཀླུ་གཏོར་གྱི་ཆོ་ག །,K,,,,✓,,,,,p=n d 90.48%,p ; d ; n ; ,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག,3
ནི། །ཁ་དོག་དམར་པོ་འདབ་བརྒྱད་སྟེང་། །,#ཕུ་ བརྒྱད་,,#ཕུཿབརྒྱད་,#ཕུ་ བརྒྱད་,བརྒྱད་ལས་ནི་ཀླུ་བརྒྱད་བསྐྱེད། །དེ་ནས་སྙིང་,K,,,,✓,,,,,p=n d 90.48%,p ; d ཕུཿབརྒྱད(1); n ; ,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག,5
