Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པར་བྱ་བ་ཡིན་པར་བརྒྱད་སྟོང་པའི་བསྡུས་དོན་,ནས་,ན་,ན་,ནས་,བསྟན་ཏོ། །ལྷག་མ་ནི་མཐུན་ནོ། །འདིར་,K,g,,,,,,,,c=d p=n 78.18%,c ན(73509), ན་བསྟན(70); p ནས(35333), ནས་བསྟན(87); d ན(73509), ན་བསྟན(70); n ནས(35333), ནས་བསྟན(87); ,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,10
བར་འདོད་ན། རབ་འབྱོར་དང་ཞེས་བྱ་བ་,ལ་སོགས་པ་,ལ་སོགས་པ་,ལ་སོགས་པ་,ལས་ སོགས་པ་,དངོས་སུ་མིང་བསྟན་པས་དེ་ལྟར་དཔང་དུ་འགྱུར་བ་,K,g,,,,,,,,c=p=d n 20.00%,c ལ་སོགས་པ(403), ཞེས་བྱ་བ་ལ་སོགས་པ(466); p ལ་སོགས་པ(403), ཞེས་བྱ་བ་ལ་སོགས་པ(466); d ལ་སོགས་པ(403), ཞེས་བྱ་བ་ལ་སོགས་པ(466); n ; ,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,14
ལ་གནས་པའི་བྱང་ཆུབ་སེམས་དཔའོ། །དེའི་ལམ་,ནི་,ན་,ན་,ནི་,རྡོ་རྗེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ཡིན་པར་འགྲེལ་,K,g,,,,,,,,c=d p=n 78.18%,c ན(73509), ལམ་ན(804), ན་རྡོ་རྗེ(3133); p ནི(44237), ལམ་ནི(543), ནི་རྡོ་རྗེ(1401); d ན(73509), ལམ་ན(804), ན་རྡོ་རྗེ(3133); n ནི(44237), ལམ་ནི(543), ནི་རྡོ་རྗེ(1401); ,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,43
སྟོན་ཏོ། །ལམ་མངོན་པར་རྟོགས་པ་ཡེ་ཤེས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,དམིགས་པ་གཙོ་བོར་སྟོན་པའོ། །དེ་ལ་རྒྱས་,K,p,,,,,,,,c=d p=n 78.18%,c ཀྱི(5256), ཡེ་ཤེས་ཀྱི(3542), ཀྱི་དམིགས་པ(121); p ཀྱིས(6156), ཡེ་ཤེས་ཀྱིས(90); d ཀྱི(5256), ཡེ་ཤེས་ཀྱི(3542), ཀྱི་དམིགས་པ(121); n ཀྱིས(6156), ཡེ་ཤེས་ཀྱིས(90); ,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,1
པ་དང་། གནས་དང་འཁོར་རོ། །ཁྱད་པར་,གྱི་,གྱི་,གྱི་,,གླེང་གཞི་ལ་གཉིས་ཏེ། གཙོ་བོ་དང་འཁོར་,K,p,,,,,,,,c=p=d n 20.00%,c གྱི(3024), ཁྱད་པར་གྱི(151); p གྱི(3024), ཁྱད་པར་གྱི(151); d གྱི(3024), ཁྱད་པར་གྱི(151); n (1), གླེང(2), ཁྱད་པར(4944); ,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,7
རབ་འབྱོར་དང་ཞེས་བྱ་བ་ལ་སོགས་པ་དངོས་སུ་མིང་,བསྟན་པ་,བསྟན་པ ས་,བསྟན་པ ས་,བསྟན་པ་,དེ་ལྟར་དཔང་དུ་འགྱུར་བ་ལ་རག་ན། ,K,p,,,,,,,,c=d p=n 78.18%,c བསྟན་པས(161); p བསྟན་པ(590); d བསྟན་པས(161); n བསྟན་པ(590); ,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,15
བཞིན་གཤེགས་པ་རྣམས་ཀྱང་རྗེས་སུ་ཡི་རང་ངོ་,ཞེས་བྱ་བ ས་,ཞེས་བྱ་བ་,ཞེས་བྱ་བ་,ཞེས་བྱ་བ ས་,དེ་ཁོ་ན་ལྟར་ཟད་དོ་སྙམ་དུ་དགོངས་པའོ,K,p,,,,,,,,c=d p=n 78.18%,c ཞེས་བྱ་བ(535), ཞེས་བྱ་བ་དེ(1765), ངོ་ཞེས་བྱ་བ(196); p ཞེས་བྱ་བས(428); d ཞེས་བྱ་བ(535), ཞེས་བྱ་བ་དེ(1765), ངོ་ཞེས་བྱ་བ(196); n ཞེས་བྱ་བས(428); ,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,21
གསང་སྟེ་བསྟན་པ་བཞིན་དུ་འཇུག་པས་གསང་སྔགས་,ཀྱི་,ཀྱི་,ཀྱི་,ཀྱིས་,ངེས་ཚིག་དང་ལྡན་ནོ། །དེ་ལ་དང་པོ་,K,p,,,,,,,,c=p=d n 20.00%,c ཀྱི(5256), ཀྱི་ངེས(238), སྔགས་ཀྱི(3757); p ཀྱི(5256), ཀྱི་ངེས(238), སྔགས་ཀྱི(3757); d ཀྱི(5256), ཀྱི་ངེས(238), སྔགས་ཀྱི(3757); n ཀྱིས(6156), ཀྱིས་ངེས(138), སྔགས་ཀྱིས(97); ,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,24
། དགོས་པ་ཡོངས་སུ་གྲུབ་པའི་དམིགས་པའོ། །,འདི ས་,འདི་,འདི་,འདི ས་,བཞིས་ཚོགས་ལམ་དང་། སྦྱོར་ལམ་དང་། མཐོང་,K,p,,,,,,,,c=d p=n 78.18%,c འདི(1651), །_།འདི(15056), འདི་བཞི(134); p འདིས(285), །_།འདིས(327); d འདི(1651), །_།འདི(15056), འདི་བཞི(134); n འདིས(285), །_།འདིས(327); ,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,27
། དེ་གཉིས་ཀྱི་ཕན་ཡོན་དང་། སྔགས་ཉིད་,,ཀྱི་,ཀྱི་,,བཤད་པ་དང། དེ་ནི་ལན་བཅུ་གཅིག་པ་,K,p,,,,,,,,c=d p=n 78.18%,c ཀྱི(5256), ཉིད་ཀྱི(171); p (1), ཉིད(4415), བཤད་པ(487); d ཀྱི(5256), ཉིད་ཀྱི(171); n (1), ཉིད(4415), བཤད་པ(487); ,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།,50
