Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པས་སེམས་ཅན་ཞེས་བརྟགས་ཤིང་དེས་སྡུག་བསྔལ་བ་,ལས་,,ལ་,ལས་,སྙིང་རྗེ་བསྐྱེད་དོ། །དེས་ན་གོམས་ནས་ནི་སེམས་,K,g,,,,,,,,p=n d 90.00%,p ལས(5885); d ལ(33965), ལ་སྙིང་རྗེ(404), སྡུག་བསྔལ་བ་ལ(66); n ལས(5885); ,17-70_དྲན་པ་གཅིག་པའི་མན་ངག,2
བའི་ཕྱིར་རོ་ཞེས་གསུངས་སོ། །འོ་ན་དུས་,དེ་ནས་,,དེ་ ན་,དེ་ནས་,ཡེ་ཤེས་ཡོད་དམ་མེད་ཅེ་ན། འཕགས་པ་,K,g,,,,,,,,p=n d 90.00%,p དེ་ནས(48227), དེ་ནས་ཡེ་ཤེས(52); d དེ་ན(5593); n དེ་ནས(48227), དེ་ནས་ཡེ་ཤེས(52); ,17-70_དྲན་པ་གཅིག་པའི་མན་ངག,8
འདི་ན་ཅི་ཡང་མེད་དོ་སྙམ་དུ་རྟོགས་ན་,དེ་,,དེ ས་,དེ་,སྡུག་བསྔལ་བ་རྣམས་ལ་སྙིང་རྗེ་སྐྱེའོ། །གང་,K,p,,,,,,,,p=n d 90.00%,p དེ(1), ན་དེ(8710); d དེས(1023), ན་དེས(862); n དེ(1), ན་དེ(8710); ,17-70_དྲན་པ་གཅིག་པའི་མན་ངག,5
ལས་ཇི་སྐད་དུ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་,ཀྱིས་,,ཀྱི་,ཀྱིས་,ཡེ་ཤེས་ཀྱིས་ཅི་ཡང་མི་གཟིགས་ཏེ། དེ་,K,p,,,,,,,,p=n d 90.00%,p ཀྱིས(6156), ཀྱིས་ཡེ་ཤེས(73), བཅོམ་ལྡན་འདས་ཀྱིས(70); d ཀྱི(5256), ཀྱི་ཡེ་ཤེས(1579), བཅོམ་ལྡན་འདས་ཀྱི(6597); n ཀྱིས(6156), ཀྱིས་ཡེ་ཤེས(73), བཅོམ་ལྡན་འདས་ཀྱིས(70); ,17-70_དྲན་པ་གཅིག་པའི་མན་ངག,7
པ་ཀླུ་སྒྲུབ་ཕྱག་འཚལ་ནས། །ཨ་བ་དྷཱུ་,#ཏི་,,#ཏཱི་,#ཏི་,བདག་གིས་ནི། །ཅིག་ཅར་འཇུག་པའི་མན་ངག་,K,,,,✓,,,,,p=n d 90.00%,p ཏི(1484); d ཏཱི(63); n ཏི(1484); ,17-70_དྲན་པ་གཅིག་པའི་མན་ངག,1
ལས་གཞན་འདི་ན་ཅི་ཡང་མེད་དོ་སྙམ་དུ་,རྟོག་པ་,,རྟོགས་པ་,རྟོག་པ་,དང་། ཡང་འདི་དག་ནི་རང་གི་སེམས་འབའ་,K,,,,,⟶,,,,p=n d 90.00%,p རྟོག་པ(179), རྟོག་པ་དང(56), དུ་རྟོག་པ(102); d རྟོགས་པ(218), རྟོགས་པ་དང(403), དུ་རྟོགས་པ(78); n རྟོག་པ(179), རྟོག་པ་དང(56), དུ་རྟོག་པ(102); ,17-70_དྲན་པ་གཅིག་པའི་མན་ངག,4
བསྡུས་ནས་བསྟན་པ་ཡིན། །རྒྱས་པར་ཀླུ་སྒྲུབ་,གདམས་ངག་,,གདམས་ངག་,གདམ་ ངག་,དང་། །ཐེག་ཆེན་མདོ་སྡེ་ལྟ་བར་གྱིས། །,K,,,,,≠,,,,p=d n 10.00%,p གདམས་ངག(459), གདམས་ངག་དང(83); d གདམས་ངག(459), གདམས་ངག་དང(83); n ; ,17-70_དྲན་པ་གཅིག་པའི་མན་ངག,10
དེས་སྡུག་བསྔལ་བ་ལ་སྙིང་རྗེ་བསྐྱེད་དོ། །,དེ་ནས་,,དེ ས་ ན་,དེ་ནས་,གོམས་ནས་ནི་སེམས་ཅན་ཞེས་བྱ་བ་ནི་དང་,K,,,,,,≡,,,p=n d 90.00%,p དེ་ནས(48227), །_།དེ་ནས(35076); d དེས་ན(2469), །_།དེས་ན(901); n དེ་ནས(48227), །_།དེ་ནས(35076); ,17-70_དྲན་པ་གཅིག་པའི་མན་ངག,3
དང་། བརྒྱུད་པའི་མན་ངག་འདི་ཡིན་ནོ། །,དེ་ནས་,,དེ ས་ ན་,དེ་ནས་,གཞན་གྱི་དོན་ལས་མ་གཏོགས་པ་བྱ་བ་གཞན་,K,,,,,,≡,,,p=n d 90.00%,p དེ་ནས(48227), །_།དེ་ནས(35076), དེ་ནས་གཞན(681), །_།དེ་ནས་གཞན(358); d དེས་ན(2469), །_།དེས་ན(901); n དེ་ནས(48227), །_།དེ་ནས(35076), དེ་ནས་གཞན(681), །_།དེ་ནས་གཞན(358); ,17-70_དྲན་པ་གཅིག་པའི་མན་ངག,9
དེ། འཕགས་པ་རབ་ཀྱི་རྩལ་གྱིས་རྣམ་པར་,གནོན་པ་,,གནོན་པ ས་ ཞུས་པ་,གནོན་པ་,ལས་ཇི་སྐད་དུ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་,K,,,,,,s,,,p=n d 90.00%,p གནོན་པ(70), རྣམ་པར་གནོན་པ(694); d ; n གནོན་པ(70), རྣམ་པར་གནོན་པ(694); ,17-70_དྲན་པ་གཅིག་པའི་མན་ངག,6
