Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བྱོན། ད་ལྟ་གང་དུ་བཞུད་སྙམ་དུ་བརྟགས་,ནས་,ན་,ན་,ནས་,གང་ནས་ཀྱང་མ་བྱོན། གང་དུ་ཡང་མ་,K,g,,,,,,,,c=d p=n 76.05%,c ན(73509), ན་གང(1973), བརྟགས་ན(305); p ནས(35333), ནས་གང(799), བརྟགས་ནས(313); d ན(73509), ན་གང(1973), བརྟགས་ན(305); n ནས(35333), ནས་གང(799), བརྟགས་ནས(313); ,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།,17
ལྟུང་བ་དང་སྡིག་པ་ཉིད་མ་སྐྱེས་པར་ཤེས་,ནས་,ན་,ན་,ནས་,འདག་པར་མདོ་ལས་གསུངས། ཆོས་ཐམས་ཅད་མཉམ་,K,g,,,,,,,,c=d p=n 76.05%,c ན(73509), ཤེས་ན(1069); p ནས(35333), ཤེས་ནས(1122); d ན(73509), ཤེས་ན(1069); n ནས(35333), ཤེས་ནས(1122); ,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།,178
གསུངས། ཆོས་ཐམས་ཅད་མཉམ་པ་ཉིད་དུ་ཤེས་,ནས་,ན་,ན་,ནས་,འདག་པས་མཉམ་པར་ལྟ་དགོས་ཏེ། སེམས་ཅན་,K,g,,,,,,,,c=d p=n 76.05%,c ན(73509), ཤེས་ན(1069); p ནས(35333), ཤེས་ནས(1122); d ན(73509), ཤེས་ན(1069); n ནས(35333), ཤེས་ནས(1122); ,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།,179
ཞི་བར་བྱ་བའི་ཕྱིར་སྣོད་མ་བརྩིས་པར་བྱིན་,ན་,ན་,ན་,ནས་,ཆོས་མཉམ་པ་ཉིད་རྟོགས་པར་འགྱུར་ཏེ། ཇི་,K,g,,,,,,,,c=p=d n 13.92%,c ན(73509), ན་ཆོས(1542), བྱིན་ན(526); p ན(73509), ན་ཆོས(1542), བྱིན་ན(526); d ན(73509), ན་ཆོས(1542), བྱིན་ན(526); n ནས(35333), ནས་ཆོས(1259), བྱིན་ནས(678); ,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།,180
ཅེས་པ་དང་། དཔལ་ཡེ་ཤེས་རྡོ་རྗེ་ཀུན་,ལ་,ལས་,ལས་,ལ་,བཏུས་པའི་རྒྱུད་ལས་ཀྱང་། སངས་རྒྱས་རྣམས་ཀྱང་,K,g,,,,,,,,c=d p=n 76.05%,c ལས(5885), ཀུན་ལས(726); p ལ(33965), ཀུན་ལ(76); d ལས(5885), ཀུན་ལས(726); n ལ(33965), ཀུན་ལ(76); ,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།,215
དེའི་མིང་ལས་འདོགས་སོ། །དེ་རབ་ཏུ་བྱུང་,ན་,ནས་,ནས་,ན་,དེའི་འཁོར་རྣམས་ཀྱང་དམ་པའི་ཆོས་ཀྱི་ཕྱིར་སྲོག་,K,g,,,,,,,,c=d p=n 76.05%,c ནས(35333), ནས་དེ(8458), བྱུང་ནས(1815), བྱུང་ནས་དེ(134); p ན(73509), ན་དེ(8710), བྱུང་ན(568), བྱུང་ན་དེ(40); d ནས(35333), ནས་དེ(8458), བྱུང་ནས(1815), བྱུང་ནས་དེ(134); n ན(73509), ན་དེ(8710), བྱུང་ན(568), བྱུང་ན་དེ(40); ,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།,274
དེར་ཤེས་པ་ཅི་ཡང་མ་ཡིན་ལ། ཅིར་,ཡང་,ཡང་,ཡང་,,མི་གནས་པ། ཅིར་ཡང་མ་གྲུབ་པ། ,K,p,,,,,,,,c=p=d n 13.92%,c ཡང(82), ཡང་མི(8395); p ཡང(82), ཡང་མི(8395); d ཡང(82), ཡང་མི(8395); n (1), ར(2609), མི(406), ར་མི(193); ,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།,19
སེམས་ནི་སངས་རྒྱས་ཐམས་ཅད་ཀྱིས། །མ་གཟིགས་,གཟིགས་པ ར་,གཟིགས་པ་,གཟིགས་པ་,གཟིགས་པ ར་,མ་ཡིན་ཏེ། །རང་བཞིན་མེད་པའི་རང་བཞིན་,K,p,,,,,,,,c=d p=n 76.05%,c གཟིགས་པ(91); p གཟིགས་པར(183); d གཟིགས་པ(91); n གཟིགས་པར(183); ,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།,33
བཙུན་འཕགས་པ་ལྷའི་ཞལ་སྔ་ནས་ཀྱང་། སེམས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,སེམས་མེད་རྟོགས་བྱའི་ཕྱིར། །གང་ཚེ་གོམས་པར་,K,p,,,,,,,,c=d p=n 76.05%,c ཀྱིས(6156), ཀྱིས་སེམས(1074), སེམས་ཀྱིས(199), སེམས་ཀྱིས་སེམས(121); p ཀྱི(5256), སེམས་ཀྱི(4733), ཀྱི་སེམས(5145), སེམས་ཀྱི་སེམས(81); d ཀྱིས(6156), ཀྱིས་སེམས(1074), སེམས་ཀྱིས(199), སེམས་ཀྱིས་སེམས(121); n ཀྱི(5256), སེམས་ཀྱི(4733), ཀྱི་སེམས(5145), སེམས་ཀྱི་སེམས(81); ,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།,35
། དབང་པོ་རྣོན་པོས་ནི་ཀུན་རྫོབ་བྱང་ཆུབ་,ཀྱི་,ཀྱི་,ཀྱི་,ཀྱིས་,སེམས་དེ་ཉིད་དོན་དམ་བྱང་ཆུབ་ཀྱི་སེམས་བསྐྱེད་དུ་ཤེས་,K,p,,,,,,,,c=p=d n 13.92%,c ཀྱི(5256), ཀྱི་སེམས(5145), བྱང་ཆུབ་ཀྱི(10104), བྱང་ཆུབ་ཀྱི་སེམས(2607); p ཀྱི(5256), ཀྱི་སེམས(5145), བྱང་ཆུབ་ཀྱི(10104), བྱང་ཆུབ་ཀྱི་སེམས(2607); d ཀྱི(5256), ཀྱི་སེམས(5145), བྱང་ཆུབ་ཀྱི(10104), བྱང་ཆུབ་ཀྱི་སེམས(2607); n ཀྱིས(6156), ཀྱིས་སེམས(1074), བྱང་ཆུབ་ཀྱིས(85); ,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།,38
