Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སངས་རྒྱས་ལ་ལྟ་བ་དང་། ཆོས་ཉན་པ་,དང་,དག་,དག་,དང་,དགེ་འདུན་དང་འགྲོགས་པ་ཐོབ་པར་གྱུར་ཅིག་ཅེས་,K,g,,,,,,,,c=d p=n 78.47%,c དག(5192), དག་དགེ་འདུན(112); p དང(18517), ཉན་པ་དང(446), དང་དགེ་འདུན(454); d དག(5192), དག་དགེ་འདུན(112); n དང(18517), ཉན་པ་དང(446), དང་དགེ་འདུན(454); ,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,57
ངག་ཐོབ་པ་དག་ཡིན་པ་དང་། མདོ་ཉིད་,ན་,ན་,ན་,ནི་,ཡང་དེ་དག་ཇི་ལྟར་བཞེད་པ་བཞིན་དུ་བཅོམ་,K,g,,,,,,,,c=p=d n 10.04%,c ན(73509), ན་ཡང(7917), ཉིད་ན(514); p ན(73509), ན་ཡང(7917), ཉིད་ན(514); d ན(73509), ན་ཡང(7917), ཉིད་ན(514); n ནི(44237), ནི་ཡང(2555), ཉིད་ནི(4431); ,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,124
ཤིག །རྒྱལ་པོ་ཆེན་པོ་ཁྱོད་དེ་ལྟར་ཞུགས་,ན་,ནས་,ནས་,ན་,རྒྱལ་པོ་ཡང་བྱེད་ལ་རྒྱལ་པོའི་བྱ་བ་ཡང་,K,g,,,,,,,,c=d p=n 78.47%,c ནས(35333), ཞུགས་ནས(1255), ནས་རྒྱལ་པོ(1724); p ན(73509), ཞུགས་ན(311), ན་རྒྱལ་པོ(930); d ནས(35333), ཞུགས་ནས(1255), ནས་རྒྱལ་པོ(1724); n ན(73509), ཞུགས་ན(311), ན་རྒྱལ་པོ(930); ,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,207
གསུངས་སོ། །གོམས་པ་ཆུང་བའི་དབང་དུ་མཛད་,ནས་,ན་,ན་,ནས་,ཡང་དེ་ཉིད་ལས་དེ་བས་ན་བྱང་ཆུབ་སེམས་,K,g,,,,,,,,c=d p=n 78.47%,c ན(73509), ན་ཡང(7917), མཛད་ན(119); p ནས(35333), ནས་ཡང(2960), མཛད་ནས(580); d ན(73509), ན་ཡང(7917), མཛད་ན(119); n ནས(35333), ནས་ཡང(2960), མཛད་ནས(580); ,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,362
འཕགས་པ་ཆོས་བཞི་པའི་མདོའི་དོན་བཤད་པའི་སྐབས་,ནས་,ན་,ན་,ནས་,གསལ་བར་བཀོད་དོ། །ཚུལ་ཁྲིམས་ཀྱི་ཕན་ཡོན་,K,g,,,,,,,,c=d p=n 78.47%,c ན(73509), སྐབས་ན(43); p ནས(35333); d ན(73509), སྐབས་ན(43); n ནས(35333); ,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,371
། ལྡང་བ་དང་། ཐལ་མོ་སྦྱོར་བ་དང་,ཞེས་,ཞེ་,ཞེ་,ཞེས་,ས་དང་བཅས་པས་ཀུན་དུ་སྤྱོད་པ་དང་། ,K,g,,,,,,,,c=d p=n 78.47%,c ཞེ(2), ཞེ་ས(95), དང་ཞེ(219); p ཞེས(1047), དང་ཞེས(449); d ཞེ(2), ཞེ་ས(95), དང་ཞེ(219); n ཞེས(1047), དང་ཞེས(449); ,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,392
མ་ཡིན། །ཞེས་དབུ་མའི་རྩ་བ་ཤེས་རབ་,ལས་,ལས་,ལས་,ལ་,གསུངས་སོ། །དོན་འདི་རྒྱས་པར་དེ་ཉིད་དང་,K,g,,,,,,,,c=p=d n 10.04%,c ལས(5885), ལས་གསུངས(150), ཤེས་རབ་ལས(47); p ལས(5885), ལས་གསུངས(150), ཤེས་རབ་ལས(47); d ལས(5885), ལས་གསུངས(150), ཤེས་རབ་ལས(47); n ལ(33965), ལ་གསུངས(158), ཤེས་རབ་ལ(288); ,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,540
ཕྱིར་ན་གཟུགས་བརྙན་བཞིན། །ཞེས་གསུངས་སོ། །,འདི་དག་,དེ་དག་,དེ་དག་,འདི་དག་,གི་དོན་རྒྱས་པར་གཞུང་དེ་དག་ཉིད་དུ་བལྟ་,K,g,,,,,,,,c=d p=n 78.47%,c དེ་དག(179), དེ་དག་གི(105), །_།དེ་དག(10096), །_།དེ་དག་གི(496), སོ།_།དེ་དག་གི(48); p འདི་དག(113), འདི་དག་གི(502), །_།འདི་དག(1528), །_།འདི་དག་གི(51); d དེ་དག(179), དེ་དག་གི(105), །_།དེ་དག(10096), །_།དེ་དག་གི(496), སོ།_།དེ་དག་གི(48); n འདི་དག(113), འདི་དག་གི(502), །_།འདི་དག(1528), །_།འདི་དག་གི(51); ,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,543
ཀྱང་འདི་ཙམ་མི་ཤེས་པས། །ངང་པས་ཆུ་,ལ་,ལས་,ལས་,ལ་,འོ་མ་ལེན་པ་ལྟར། །འདོད་པའི་དངོས་པོ་,K,g,,,,,,,,c=d p=n 78.47%,c ལས(5885), ཆུ་ལས(169); p ལ(33965), ཆུ་ལ(740), ལ་འོ(96); d ལས(5885), ཆུ་ལས(169); n ལ(33965), ཆུ་ལ(740), ལ་འོ(96); ,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,555
མ་ལེན་པ་ལྟར། །འདོད་པའི་དངོས་པོ་དང་,ལ་,ལས་,ལས་,ལ་,བླང་བར་བྱ། །རྩ་བ་ཉིད་བཤད་པར་བྱ་,K,g,,,,,,,,c=d p=n 78.47%,c ལས(5885), དང་ལས(570); p ལ(33965), དང་ལ(79), ལ་བླང(60); d ལས(5885), དང་ལས(570); n ལ(33965), དང་ལ(79), ལ་བླང(60); ,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,556
