Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཤེས་པས་གར་ཡང་འགྲོ་མེད་པའི། །ཏིང་འཛིན་,རོལ་པ་,,རོལ་པ ས་,རོལ་པ་,བསམ་མི་ཁྱབ་པར་སྤྲོ། །གང་ལ་ཡིད་ཀྱི་,K,p,,,,,,,,p=n d 95.24%,p རོལ་པ(655); d རོལ་པས(109); n རོལ་པ(655); ,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,8
ཏོག་ལོ་མ་སྐྱེ་བ་མེད། །ངེས་པར་ཡིད་,ཀྱིས་,,ཀྱི་,ཀྱིས་,བྱ་རྒོད་བཅིངས་བསད་ན། །གཡོ་ཞིང་འགྱུར་བས་,K,p,,,,,,,,p=n d 95.24%,p ཀྱིས(6156), ཀྱིས་བྱ(148), ཡིད་ཀྱིས(133); d ཀྱི(5256), ཀྱི་བྱ(598), ཡིད་ཀྱི(6835); n ཀྱིས(6156), ཀྱིས་བྱ(148), ཡིད་ཀྱིས(133); ,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,9
ཡང་འབད་པ་བྱེད་པ་མེད། །སྟོང་ཉིད་བརྟན་,གྱི་,,གྱིས་,གྱི་,འཁྲུལ་པ་སྤང་དུ་མེད། །འཁྲུལ་པས་འཆིང་སྤང་,K,p,,,,,,,,p=n d 95.24%,p གྱི(3024), བརྟན་གྱི(141); d གྱིས(7492), བརྟན་གྱིས(215); n གྱི(3024), བརྟན་གྱི(141); ,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,10
རྣལ་འབྱོར་མ་མཐོང་བ། །ནམ་མཁའི་མེ་ཏོག་,བུང་བ་,,བུང་བ ས་,བུང་བ་,འཇིབ་པ་མཐོང་བ་འདྲ། །དེས་སྦྱངས་དམ་ཚིག་,K,p,,,,,,,,p=n d 95.24%,p བུང་བ(291); d ; n བུང་བ(291); ,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,13
དང་ནི་འགལ་བ་ཡིན། །ནམ་མཁའི་མེ་ཏོག་,བུང་བ་,,བུང་བ ས་,བུང་བ་,འཇིབ་པ་འདྲ་བ་ཡི། །བདག་དང་གཞན་དུ་,K,p,,,,,,,,p=n d 95.24%,p བུང་བ(291); d ; n བུང་བ(291); ,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,14
ཡོངས་སྤོངས་དང་། །དོན་དམ་ཤྲཱི་ཧེ་རུ་ཀར་,འགྱུར་,,འགྱུར་པ་,འགྱུར་,ཡིན། །རྒྱུ་མེད་སོགས་ལས་སྐྱེ་བ་རྨོངས་པ་,K,,པ་བ་,,,,s,,,p=n d 95.24%,p འགྱུར(31151); d ; n འགྱུར(31151); ,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,18
བྱེད་ཅིག །གང་གང་ལས་བྱུང་དེ་ནི་ངེས་,#བལྟོས་,,ལྟོས་,#བལྟོས་,ལ། །མི་རྟོག་ཏིང་ངེ་འཛིན་གྱིས་དེ་བསལ་,K,,,nw✓,,,,,,p=n d 95.24%,p བལྟོས(7); d ལྟོས(546); n བལྟོས(7); ,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,11
འཆང་གི་གནས་སུ་གཤེག་ས་པའི་ཚེ་སྐྱི་ཤོད་,#གཉེ་,,སྙེ་,#གཉེ་,ཐང་བཀྲ་ཤིས་དཔལ་གྱི་ན་མོ་ཆེར་རྡོ་རྗེའི་,K,,,nw✓,,,,,,p=n d 95.24%,p གཉེ(52); d སྙེ(4); n གཉེ(52); ,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,20
རྡོ་རྗེ་ཕབ་ནས་ནི། །འཇིག་འཛིན་ངོ་ཚ་,ཨ་བ་ #དྷུ་ #ཏཱི་,,ཨ་ ཝ་ #དྷཱུ་ #ཏཱིས་,ཨ་བ་ #དྷུ་ #ཏཱི་,སྤོངས། །བྱང་ཆུབ་སྨོན་པ་སྙིང་རྗེར་བཅས་གཉིས་,K,,,,✓,,,,,p=n d 95.24%,p ; d ; n ; ,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,17
མིག་འཕྲུལ་ཇི་བཞིན་ངེས་པར་ཡོངས་སུ་སྣང་། །,བརྟགས་པ འི་,,བརྟག་པ འི་,བརྟགས་པ འི་,སྤྲོས་པས་བསྐྱེད་ལ་མ་ཆགས་ཤིག །བྱང་ཆུབ་,K,,,,,⟶,,,,p=n d 95.24%,p བརྟགས་པའི(641); d བརྟག་པའི(168); n བརྟགས་པའི(641); ,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།,3
