Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ལ་ཕྱག་འཚལ་ལོ། །འདི་ན་གང་དག་རང་,གྱི་,,གྱིས་,གྱི་,གྱིས་སྙིང་རྗེ་དང་ཤེས་རབ་ཆེ་བ་ཐེག་པ་,K,p,,,,,,,,p=n d 87.50%,p གྱི(3024), རང་བཞིན་གྱི(818); d གྱིས(7492), རང་བཞིན་གྱིས(157); n གྱི(3024), རང་བཞིན་གྱི(818); ,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།,2
སྒྱུ་དང་བྲལ་བའི་བྱང་ཆུབ་སེམས་དཔའ་དེ་ཚོགས་,ཀྱིས་,,ཀྱི་,ཀྱི་,ལམ་པ་ཡིན་པས་ཉིན་དང་མཚན་དུ་ལུས་དང་,K,p,,,,,,,,p d=n 6.25%,p ཀྱིས(6156), ཚོགས་ཀྱིས(179); d ཀྱི(5256), ཚོགས་ཀྱི(2855); n ཀྱི(5256), ཚོགས་ཀྱི(2855); ,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།,7
། ཡུལ་དབུས་དང་ཡུལ་མཐའ་འཁོབ་ཀྱི་བྱེ་བྲག་,གི་,,གིས་,གི་,ཁྲུས་བྱས་ལ། འགྲོ་བ་མཐའ་དག་ལ་དམིགས་,K,p,,,,,,,,p=n d 87.50%,p གི(1276); d གིས(2588), བྱེ་བྲག་གིས(54); n གི(1276); ,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།,10
མེད་པ་ལས་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྟོབས་,ཀྱི་,,ཀྱིས་,ཀྱི་,སྣ་ཚོགས་སུ་སྣང་ཞིང་གནས་པ་འདི། ཨེ་མའོ་,K,p,,,,,,,,p=n d 87.50%,p ཀྱི(5256), སྟོབས་ཀྱི(863); d ཀྱིས(6156), སྟོབས་ཀྱིས(49); n ཀྱི(5256), སྟོབས་ཀྱི(863); ,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།,16
པར་བྱའོ། །དེ་ནས་སྙིང་རྗེ་ཆེན་པོའི་ཡིད་,ཀྱི་,,ཀྱིས་,ཀྱི་,མི་སྣང་བའི་སེམས་ཅན་ཐམས་ཅད་ལ་ཆོས་བཤད་,K,p,,,,,,,,p=n d 87.50%,p ཀྱི(5256), ཀྱི་མི(449), ཡིད་ཀྱི(6835); d ཀྱིས(6156), ཀྱིས་མི(1706), ཡིད་ཀྱིས(133); n ཀྱི(5256), ཀྱི་མི(449), ཡིད་ཀྱི(6835); ,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།,18
ཁ་ཏོན་དུ་གདོན་པར་བྱའོ། །དེ་ནས་ཟས་,ཀྱིས་,,ཀྱི་,ཀྱི་,བྱ་བའི་དུས་སུ་མི་གཙང་བའི་རྫས་སུམ་ཅུ་,K,p,,,,,,,,p d=n 6.25%,p ཀྱིས(6156), ཟས་ཀྱིས(230), ཀྱིས་བྱ་བ(75); d ཀྱི(5256), ཟས་ཀྱི(772), ཀྱི་བྱ་བ(512), ཟས་ཀྱི་བྱ་བ(154); n ཀྱི(5256), ཟས་ཀྱི(772), ཀྱི་བྱ་བ(512), ཟས་ཀྱི་བྱ་བ(154); ,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།,20
བའི་ཐབས་རྣམས་ཤེས་པར་བྱའོ། །དམ་པ་རྣམས་,ཀྱི་,,ཀྱིས་,ཀྱི་,བཤད་པའི་ལམ་བཟང་པོ། །བྱང་ཆུབ་འོད་སོགས་,K,p,,,,,,,,p=n d 87.50%,p ཀྱི(5256), རྣམས་ཀྱི(571); d ཀྱིས(6156), རྣམས་ཀྱིས(952), ཀྱིས་བཤད་པ(118); n ཀྱི(5256), རྣམས་ཀྱི(571); ,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།,32
བུ་ཆེན་པོའི་ཆོས་ལུགས་ཤིང་རྟ་ཆེན་པོའི་ལམ་,དེ་,,,དེ་,ལ་གནས་པར་དམ་བཅའ་བར་བྱའོ། །དེ་ནས་,K,,✘,,,,,,,p=n d 87.50%,p དེ(1), དེ་ལ(763), ལམ་དེ(533); d (1), ལ(33965), ལམ(1229), ལམ་ལ(1745), ལམ་ལ་གནས་པ(82); n དེ(1), དེ་ལ(763), ལམ་དེ(533); ,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།,15
བྱེད་དེ། དེ་ཡང་འདི་ལྟར་ཐུན་དྲུག་པོ་,དེ་དག་,,དག་,དེ་དག་,དུམ་བུ་བཅོ་བརྒྱད་དུ་བགོས་ནས་སྐད་ཅིག་མ་,K,,✘,,,,,,,p=n d 87.50%,p དེ་དག(179), དྲུག་པོ་དེ་དག(161); d དག(5192), དྲུག་པོ་དག(158); n དེ་དག(179), དྲུག་པོ་དེ་དག(161); ,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།,31
དེ་ནས་ཁྱི་དང་གདོལ་པ་དང་། བྲན་གྱི་,འདུ་ཤེས་པ་,,འདུ་ཤེས་,འདུ་ཤེས་པ་,དང་ལྡན་པ། གཡོ་སྒྱུ་དང་བྲལ་བའི་བྱང་,K,,པ་བ་,,,,s,,,p=n d 87.50%,p འདུ་ཤེས་པ(61), འདུ་ཤེས་པ་དང(790); d འདུ་ཤེས(180), འདུ་ཤེས་དང(334), གྱི་འདུ་ཤེས(301), གྱི་འདུ་ཤེས་དང(89); n འདུ་ཤེས་པ(61), འདུ་ཤེས་པ་དང(790); ,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།,6
