Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སྐྱབས་འགྲོ་ཞིང་། །མི་དགེ་ཀུན་ལས་ལྡོག་པ་,ཡི,,ཡིས,ཡི, །།ལྷག་པའི་ཚུལ་ཁྲིམས་དག་པར་བསྲུང་། །བྱང་,K,p,,,,,,,,p=n d 84.62%,p ཡི(8322), ཡི།_།(8252); d ཡིས(7433), ཡིས།_།(7321); n ཡི(8322), ཡི།_།(8252); ,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།,3
བཞོན་པ་ལ། །བརྟེན་ནས་འཆི་བ་རྗེས་དྲན་,གྱིས,,གྱི,གྱིས, །།ལྕག་ནི་ཡང་དང་ཡང་བརྡབ་ཅིང་། །སྲིད་,K,p,,,,,,,,p=n d 84.62%,p གྱིས(7492), གྱིས།_།(3730); d གྱི(3024), གྱི།_།(1099); n གྱིས(7492), གྱིས།_།(3730); ,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།,4
མེ་དོན་གཉེར་བས་གཙུབ་ཤིང་ལྟར། །ཆགས་པའི་,#རླན་,,ལྡན་,#རླན་,དང་བྲལ་བ་ཡིས། །རྟག་ཏུ་རྒྱུན་ལྡན་གུས་,K,,,nw✓,,,,,,p=n d 84.62%,p རླན(16); d ལྡན(3829), ལྡན་དང(638); n རླན(16); ,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།,11
རྒྱ་གར་སྐད་དུ། མ་ཧཱ་ཡཱ་ན་པ་,ཐ་,,#ཐཱ་,ཐ་,སཱ་དྷ་ན་སཾ་གྲ་ཧ། བོད་སྐད་དུ,K,,,,✓,,,,,p=n d 84.62%,p ཐ(213); d ཐཱ(1926); n ཐ(213); ,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།,1
བླ་མ་བྱང་ཆུབ་ཐོབ་འདོད་ན། །བྱང་ཆུབ་,སྒྲུབ་,,བསྒྲུབ་,སྒྲུབ་,ལ་རག་ལས་པས། །སྒྲུབ་པ་ལྷུར་བླང་སྙིང་,K,,,,,⟶,,,,p=n d 84.62%,p སྒྲུབ(176), སྒྲུབ་ལ(45), བྱང་ཆུབ་སྒྲུབ(52); d བསྒྲུབ(271); n སྒྲུབ(176), སྒྲུབ་ལ(45), བྱང་ཆུབ་སྒྲུབ(52); ,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།,2
གཞི་ལ་གནས་པ་ཡིས། །སེམས་དཔའི་སྡོམ་པ་རབ་,གཟུང་,,བཟུང་,གཟུང་,ཞིང་། །ཕ་རོལ་ཕྱིན་དྲུག་ལ་སོགས་པ། །,K,,,,,⟶,,,,p=n d 84.62%,p གཟུང(5), གཟུང་ཞིང(80); d བཟུང(11), བཟུང་ཞིང(309); n གཟུང(5), གཟུང་ཞིང(80); ,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།,7
བྲལ་བ་ཡིས། །རྟག་ཏུ་རྒྱུན་ལྡན་གུས་པར་,སྒོམ,,བསྒོམ,བསྒོམ,། །དེ་ཡིས་མྱུར་དུ་དེ་འཚང་རྒྱ། །ནོར་,K,,,,,⟶,,,,p d=n 7.69%,p སྒོམ(123), སྒོམ།_།(80); d བསྒོམ(1273), བསྒོམ།_།(1248); n བསྒོམ(1273), བསྒོམ།_།(1248); ,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།,13
དྲུག་ལ་སོགས་པ། །སེམས་དཔའི་སྤྱོད་པ་ཚུལ་བཞིན་,སྤྱོད,,སྤྱད,སྤྱོད,། །དེ་བསྡུས་ཐབས་དང་ཤེས་རབ་ལ། །མི་,K,,,,,≠,,,,p=n d 84.62%,p སྤྱོད(3216), སྤྱོད།_།(888), བཞིན་སྤྱོད(44); d སྤྱད(495), སྤྱད།_།(331); n སྤྱོད(3216), སྤྱོད།_།(888), བཞིན་སྤྱོད(44); ,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།,9
སྙིང་པོ་རྣམ་པ་གཉིས། །མེ་དོན་གཉེར་བས་,གཙུབས་,,གཙུབ་,གཙུབས་,ཤིང་ལྟར། །ཆགས་པའི་ལྡན་དང་བྲལ་བ་ཡིས,K,,,,,≠,,,,p=n d 84.62%,p གཙུབས(40); d གཙུབ(112), གཙུབ་ཤིང(65); n གཙུབས(40); ,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།,10
ལྕག་ནི་ཡང་དང་ཡང་བརྡབ་ཅིང་། །སྲིད་ལམ་,འཇིག་པ་,,འཇིགས་པ་,འཇིག་པ་,ཆེ་ས་ཡི། །ལམ་འདི་མྱུར་དུ་འདས་བྱས་,K,,,,,?,,,,p=n d 84.62%,p འཇིག་པ(54); d འཇིགས་པ(133); n འཇིག་པ(54); ,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།,5
