Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བའི་མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་རང་བཞིན་,གྱི་,,གྱིས་,གྱི་,ཁ་ན་མ་ཐོ་བ་དང་བཅས་པ་འདི་ལྟ་,K,p,,,,,,,,p=n d 70.00%,p གྱི(3024), རང་བཞིན་གྱི(818); d གྱིས(7492), རང་བཞིན་གྱིས(157); n གྱི(3024), རང་བཞིན་གྱི(818); ,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།,4
བཤད་པར་བྱ་སྟེ། དེ་ལ་རེ་ཞིག་ལུས་,ཀྱིས་,,ཀྱི་,ཀྱིས་,ནི་སྲོག་གཅོད་པ་དང་། མ་བྱིན་པར་ལེན་པ་,K,p,,,,,,,,p=n d 70.00%,p ཀྱིས(6156), ཀྱིས་ནི(2449), ལུས་ཀྱིས(1163); d ཀྱི(5256), ཀྱི་ནི(1448), ལུས་ཀྱི(8169); n ཀྱིས(6156), ཀྱིས་ནི(2449), ལུས་ཀྱིས(1163); ,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།,5
ཞིག་ལུས་ཀྱི་ནི་སྲོག་གཅོད་པ་དང་། མ་,བྱིན་པ་,,བྱིན་པ ར་,བྱིན་པ་,ལེན་པ་དང་། འདོད་པས་ལོག་པར་སྤྱོད་པའོ,K,p,,,,,,,,p=n d 70.00%,p བྱིན་པ(1850), མ་བྱིན་པ(108); d བྱིན་པར(966), མ་བྱིན་པར(828), བྱིན་པར་ལེན་པ(562), མ་བྱིན་པར་ལེན་པ(562), །_མ་བྱིན་པར་ལེན་པ(246), མ་བྱིན་པར་ལེན་པ་དང(219), །_མ་བྱིན་པར་ལེན་པ་དང(158), དང་།_མ་བྱིན་པར་ལེན་པ་དང(152), །_མ་བྱིན་པར་ལེན་པ་དང་།_(156), དང་།_མ་བྱིན་པར་ལེན་པ་དང་།_(150), པ་དང་།_མ་བྱིན་པར་ལེན་པ་དང་།_(140), དང་།_མ་བྱིན་པར་ལེན་པ་དང་།_འདོད(137), པ་དང་།_མ་བྱིན་པར་ལེན་པ་དང་།_འདོད(131); n བྱིན་པ(1850), མ་བྱིན་པ(108); ,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།,6
ཡིད་མི་བདེ་བས་ཉེ་བར་གདུངས་པ་དང་། ,བསྙེན་,,བསྙེན་,#བརྙེན་,གནས་ཡན་ལག་བརྒྱད་ལ་གནས་པའོ། །ཡན་ལག་,K,,,nw✓,,,,,,p=d n 20.00%,p བསྙེན(30), །_བསྙེན(1085), བསྙེན་གནས(101); d བསྙེན(30), །_བསྙེན(1085), བསྙེན་གནས(101); n བརྙེན(1); ,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།,13
རྒྱབ་ཀྱི་བུག་པ་དང་རང་གི་ལག་པའོ། །,བགྲོད་པ ར་,,འགྲོ་བ ར་,#འགྲོད་པ ར་,བྱ་བ་མ་ཡིན་པ་ནི། གཞན་གྱི་བུད་,K,,,nw✓,,,,,,p d n 5.00%,p བགྲོད་པར(222); d འགྲོ་བར(3772), འགྲོ་བར་བྱ་བ(56); n ; ,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།,14
,#ཀུ་ #ཤཱ་,,ཀུ་ཤ་,#ཀུ་ #ཤཱ་,ལ་ཀརྨ་པ་ཐཱ །བོད་སྐད་དུ། མི་,K,,,,✓,,,,,p=n d 70.00%,p ; d ཀུ་ཤ(308); n ; ,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།,1
གར་སྐད་དུ། ད་ཤཱ་ཀུ་ཤ་ལ་ཀརྨ་པ་,ཐ,,#ཐཱ,ཐ, །བོད་སྐད་དུ། མི་དགེ་བ་བཅུའི་ལས་,K,,,,✓,,,,,p=n d 70.00%,p ཐ(213), ཐ།_(202); d ཐཱ(1926), ཐཱ།_(1907); n ཐ(213), ཐ།_(202); ,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།,2
པོ་དང་། ཚིག་འཁྱལ་པའོ། །ཡིད་ཀྱི་ནི་,རྣབ་,,བརྣབ་,རྣབ་,སེམས་དང་། གནོད་སེམས་དང་། ལོག་པར་ལྟ་,K,,,,,⟶,,,,p=n d 70.00%,p རྣབ(2); d བརྣབ(272), བརྣབ་སེམས(263); n རྣབ(2); ,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།,8
དང་། དེའི་ཐབས་ཀྱང་བྱེད་པ་དང་། སྲོག་,འགག་པ ར་,,འགགས་པ ར་,འགག་པ ར་,གྱུར་པ་སྟེ། ཡན་ལག་ལྔ་པོ་དེ་དག་,K,,,,,⟶,,,,p=n d 70.00%,p འགག་པར(784); d འགགས་པར(98); n འགག་པར(784); ,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།,10
དང་། ཆོས་དང་། རྒྱལ་མཚན་དང་། རིགས་,བསྲུངས་པ་,,བསྲུངས་པ་,སྲུངས་པ་,བསྲུངས་པ་དང་། རྒྱལ་པོས་བསྲུངས་པ་དང་། ,K,,,,,⟶,,,,p=d n 20.00%,p བསྲུངས་པ(64), བསྲུངས་པ་དང(63); d བསྲུངས་པ(64), བསྲུངས་པ་དང(63); n ; ,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།,15
