Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རྒྱ་ཆེན་བཏང་། །རང་གིས་ཟོས་ཤིང་འཐུངས་པ་,ཡིས,,ཡི,ཡིས, །།ལྷག་མ་འབྱུང་པོ་ཀུན་ལ་སྦྱིན། །བར་,K,p,,,,,,,,p=n d 72.73%,p ཡིས(7433), ཡིས།_།(7321); d ཡི(8322), ཡི།_།(8252); n ཡིས(7433), ཡིས།_།(7321); ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,5
། །ནེ་པ་ལ་ཡི་ཡུལ་དུ་ནི། །རང་,གིས་,,གི་,གིས་,གྲོགས་པོས་བསྐུལ་ནས་བྱས། །གསང་སྔགས་ལུགས་ལ་,K,p,,,,,,,,p=n d 72.73%,p གིས(2588), རང་གིས(930); d གི(1276), རང་གི(12122); n གིས(2588), རང་གིས(930); ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,8
,#ཙརྱ་ སང་ #གྲ་ #ཧཱ་,,#ཙཱརྱ་ #སཾ་ #གྲ་ ཧ་,#ཙཱརྱ་ སང་ #གྲ་ #ཧཱ་,པྲ་དཱི་པ། བོད་སྐད་དུ། སྤྱོད་པ་,K,,,,✓,,,,,p d n 27.27%,p ; d ; n ; ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,1
ལུགས་ལ་མི་མོས་ན། །འདི་ལྟར་མཛོད་ཅིག་,#སྠ་བ འི་,,#སྠ་ #བི་,#སྠ་བ འི་,ར། །སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ་སློབ་དཔོན་,K,,,,✓,,,,,p=n d 72.73%,p ; d ; n ; ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,9
སོ།། །།རྒྱ་གར་གྱི་མཁན་པོ་པཎྜི་ཏ་དཱི་,#པྃ་,,#པཾ་,#པྃ་,ཀ་ར་ཤྲཱི་ཛྙཱ་ན་དེ་ཉིད་དང་། ལོ་,K,,,,✓,,,,,p=n d 72.73%,p པྃ(11); d པཾ(36); n པྃ(11); ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,10
བ་དགེ་སློང་ཚུལ་ཁྲིམས་རྒྱལ་བས་བསྒྱུར་ཅིང་ཞུས་,#མངྒ་ #ལཾ །།_།།,,,བཀྲིས །།_།།,,K,,,,✓,,,,,p d n 27.27%,p ; d (1), །།_།།(7586); n ; ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,11
ཕ་རོལ་ཕྱིན་པ་ལ། །བརྟེན་ནས་བྱང་ཆུབ་,སྒྲུབ་བོ་,,བསྒྲུབ་བོ་,སྒྲུབ་བོ་,ཞེས། །བླ་མ་སངས་རྒྱས་གསུངས་པས་ན། །,K,,,,,⟶,,,,p=n d 72.73%,p སྒྲུབ་བོ(305); d བསྒྲུབ་བོ(51); n སྒྲུབ་བོ(305); ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,2
བཤད་པའི་སྡོམ་པ་རྣམས། །མ་ཉམས་གཙང་མར་,སྲུངས་,,བསྲུང་,བསྲུངས་,བྱས་ལ། །ཚུལ་ཁྲིམས་རྣམ་པར་དག་པར་བྱ,K,,,,,⟶,,,,p d n 27.27%,p སྲུངས(44); d བསྲུང(3); n བསྲུངས(86); ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,4
ཇི་སྲིད་རྡུལ་ནི་མ་བྱུང་བར། །དེ་སྲིད་,སྐོར་བ་,,བསྐོར་བ་,སྐོར་བ་,མ་ཡེངས་པར། །བྱས་ལ་སྨོན་ལམ་རྒྱ་ཆེན་,K,,,,,≠,,,,p=n d 72.73%,p སྐོར་བ(159); d བསྐོར་བ(553); n སྐོར་བ(159); ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,7
པོ་ཀུན་ལ་སྦྱིན། །བར་སྐབས་དེར་ཡང་སྒྲུང་,བརྒྱུད་,,རྒྱུད་,བརྒྱུད་,དང། །ངོ་མཚར་ཅན་གྱི་གཏམ་ཡང་བྱ། །,K,,,,,?,,,,p=n d 72.73%,p བརྒྱུད(9); d རྒྱུད(232), རྒྱུད་དང(302); n བརྒྱུད(9); ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,6
བརྗོད་མི་བྱ། །ཕ་རོལ་ཕྱིན་ལུགས་སྤྱོད་པ་,ཡིན,,ཡི,ཡིན, །།བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་དག །མདོ་,K,,,,,,≡,,,p=n d 72.73%,p ཡིན(32960), ཡིན།_།(12284), སྤྱོད་པ་ཡིན(242), སྤྱོད་པ་ཡིན།_།(82); d ཡི(8322), ཡི།_།(8252), སྤྱོད་པ་ཡི(44), སྤྱོད་པ་ཡི།_།(44); n ཡིན(32960), ཡིན།_།(12284), སྤྱོད་པ་ཡིན(242), སྤྱོད་པ་ཡིན།_།(82); ,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,3
