Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སོ་སོའི་ཕྱག་རྒྱ་བཅིང་། །སྤྱན་དྲངས་ལ་སྔགས་,ཀྱི་,,ཀྱིས་,ཀྱི་,གཉིས་སུ་མེད་པར་བསྟིམས་ལ། དེ་ནས་ཡེ་,K,p,,,,,,,,p=n d 100.00%,p ཀྱི(5256), ཀྱི་གཉིས(59), སྔགས་ཀྱི(3757); d ཀྱིས(6156), སྔགས་ཀྱིས(97); n ཀྱི(5256), ཀྱི་གཉིས(59), སྔགས་ཀྱི(3757); ,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,2
ཀྱི་གཙོ་བོ་རྡོ་རྗེ་རྣམ་པར་འཇོམས་པ་ཤར་,,,དུ་,,མཐའ་ཡས། ཤར་ལྷོར་བདུད་རྩི་འཁྱིལ་བ། ,K,p,,,,,,,,p=n d 100.00%,p (1), ཤར(97), མཐའ(192); d དུ(11516), ཤར་དུ(485), དུ་མཐའ(96); n (1), ཤར(97), མཐའ(192); ,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,3
རྣམ་པར་འཇོམས་པ་ཤར་དུ་མཐའ་ཡས། ཤར་,ལྷོ་,,ལྷོ ར་,ལྷོ་,བདུད་རྩི་འཁྱིལ་བ། ལྷོར་གནོད་མཛེས། ལྷོ་,K,p,,,,,,,,p=n d 100.00%,p ལྷོ(9), ཤར་ལྷོ(158); d ལྷོར(11); n ལྷོ(9), ཤར་ལྷོ(158); ,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,4
། བརྒྱ་བརྒྱའི་བར་དུ་པཱུ་ཛ་ལྔ་ལྔ་དབུལ་,གྱི་,,གྱིས་,གྱི་,ལྷ་འོད་དུ་ཞུ་ཆུ་དང་གཉིས་སུ་མེད་པར་,K,p,,,,,,,,p=n d 100.00%,p གྱི(3024), གྱི་ལྷ(1446), ཏིང་ངེ་འཛིན་གྱི(1721); d གྱིས(7492), གྱིས་ལྷ(128), ཏིང་ངེ་འཛིན་གྱིས(361); n གྱི(3024), གྱི་ལྷ(1446), ཏིང་ངེ་འཛིན་གྱི(1721); ,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,12
རྩིབས་བརྒྱད་པ་སེར་པོ་བྲི། ལྟེ་བ་ལྗང་,#འཆན་,,མཆན་,#འཆན་,དམར་པོ་མུ་ཁྱུད་དཀར་པོ་ལ་རྡོ་རྗེ་ར་,K,,,nw✓,,,,,,p=n d 100.00%,p འཆན(2); d མཆན(218); n འཆན(2); ,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,1
སོ། །ན་མོ་རཏྣ་ཏྲ་ཡཱ་ཡ། ན་,#མཿཤྩཎྜ་,,#མཿཙཎྜ་,#མཿཤྩཎྜ་,བཛྲ་པཱ་ཎ་ཡེ། མ་ཧཱ་ཡཀྵ་སེ་ནཱ་པ་,K,,,,✓,,,,,p=n d 100.00%,p ; d མཿཙཎྜ(3); n ; ,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,6
མོ་རཏྣ་ཏྲ་ཡཱ་ཡ། ན་མཿཙཎྜ་བཛྲ་པཱ་,ན་,,#ཎ་,ན་,ཡེ། མ་ཧཱ་ཡཀྵ་སེ་ནཱ་པ་ཏ་ཡེ། ,K,,,,✓,,,,,p=n d 100.00%,p ན(73509), ན་ཡེ(141); d ཎ(386), པཱ་ཎ(94), ཎ་ཡེ(70), པཱ་ཎ་ཡེ(67), པཱ་ཎ་ཡེ།_(66), བཛྲ་པཱ་ཎ་ཡེ(62), བཛྲ་པཱ་ཎ་ཡེ།_(62), བཛྲ་པཱ་ཎ་ཡེ།_མ(48); n ན(73509), ན་ཡེ(141); ,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,7
མཿཙཎྜ་བཛྲ་པཱ་ཎ་ཡེ། མ་ཧཱ་ཡཀྵ་སེ་,ན་པ་,,#ནཱ་པ་,ན་པ་,ཏ་ཡེ། ཨོཾ་མ་ཐ་མ་ཐ་བཛྲ་ཧཱུཾ་,K,,,,✓,,,,,p=n d 100.00%,p ན་པ(122); d ནཱ་པ(105), ནཱ་པ་ཏ(63), སེ་ནཱ་པ(93), སེ་ནཱ་པ་ཏ(62), སེ་ནཱ་པ་ཏ་ཡེ(59), ཡཀྵ་སེ་ནཱ་པ་ཏ(57), ཡཀྵ་སེ་ནཱ་པ་ཏ་ཡེ(54), ཡཀྵ་སེ་ནཱ་པ་ཏ་ཡེ།_(53), ཧཱ་ཡཀྵ་སེ་ནཱ་པ་ཏ་ཡེ(52), ཧཱ་ཡཀྵ་སེ་ནཱ་པ་ཏ་ཡེ།_(51), མ་ཧཱ་ཡཀྵ་སེ་ནཱ་པ་ཏ་ཡེ།_(51); n ན་པ(122); ,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,8
ཙ་པ་ཙ་བཛྲ་ཧཱུཾ་ཕཊ། ཨོཾ་དྷ་ར་,#དྷཱ་ ར་ #དྷཱ་,,#དྷ་ ར་ #དྷ་,#དྷཱ་ ར་ #དྷཱ་,ར་བཛྲ་ཧཱུཾ་ཕཊ། ཨོཾ་དྷཱ་དྷཱ་ར་ཡ་དྷཱ་ར་ཡ་,K,,,,✓,,,,,p=n d 100.00%,p ; d ; n ; ,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,9
དྷ་ར་དྷ་ར་དྷ་ར་བཛྲ་ཧཱུཾ་ཕཊ། ཨོཾ་དྷཱ་,#དྷ་ ར་ ཡ་ #དྷ་,,#དྷཱ་ ར་ ཡ་ #དྷཱ་,#དྷ་ ར་ ཡ་ #དྷ་,ར་ཡ་བཛྲ་ཧཱུཾ་ཕཊ། ཨོཾ་དཱ་རུ་དཱ་རུ་ཎ་དཱ་རུ་ཎ་,K,,,,✓,,,,,p=n d 100.00%,p ; d ; n ; ,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,10
