Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཆོས་རྣམས་ནི། །བརྒྱད་ཁྲི་བཞི་སྟོང་གསུངས་པ་,ལ,ལས,ལས,ལ, །།མངོན་པར་བྱང་ཆུབ་མཚན་ཉིད་ནི། །སྙིང་,K,g,,,,,,,,c=d p=n 90.48%,c ལས(5885), ལས།_།(3638); p ལ(33965), ལ།_།(14361), གསུངས་པ་ལ(743); d ལས(5885), ལས།_།(3638); n ལ(33965), ལ།_།(14361), གསུངས་པ་ལ(743); ,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,2
ཆུབ་མེད་ཅིང་རྟོག་པ་མེད། །བྱང་ཆུབ་ཚུལ་,ནི་,འདི་,འདི་,ནི་,བརྟན་པའོ། །མངོན་པར་བྱང་ཆུབ་མངོན་སངས་རྒྱས,K,g,,,,,,,,c=d p=n 90.48%,c འདི(1651), ཚུལ་འདི(1320); p ནི(44237), ཚུལ་ནི(293), ནི་བརྟན་པ(53); d འདི(1651), ཚུལ་འདི(1320); n ནི(44237), ཚུལ་ནི(293), ནི་བརྟན་པ(53); ,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,21
དོན་བརླག་འགྱུར། །གླང་ཆེན་མྱོས་པ་རང་ཡན་,གྱིས,ནི,ནི,གྱིས,། །གླང་རྫི་ལྕགས་ཀྱུ་ལྡན་པ་ཡིས། །གླང་,K,g,,,,,,,,c=d p=n 90.48%,c ནི(44237), ནི།_།(28227); p གྱིས(7492), གྱིས།_།(3730); d ནི(44237), ནི།_།(28227); n གྱིས(7492), གྱིས།_།(3730); ,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,25
སྣང་མཛད་ཀྱིས། །འདོད་ཆགས་ཆེན་པོའི་ཚུལ་ཉིད་,ཀྱིས,ཀྱི,ཀྱི,ཀྱིས, །།ཏིང་ངེ་འཛིན་ལ་སྙོམས་ཞུགས་ཏེ། །ཉིད་,K,p,,,,,,,,c=d p=n 90.48%,c ཀྱི(5256), ཀྱི།_།(2371), ཉིད་ཀྱི(171), ཉིད་ཀྱི།_།(147); p ཀྱིས(6156), ཀྱིས།_།(3361), ཉིད་ཀྱིས(603), ཉིད་ཀྱིས།_།(377); d ཀྱི(5256), ཀྱི།_།(2371), ཉིད་ཀྱི(171), ཉིད་ཀྱི།_།(147); n ཀྱིས(6156), ཀྱིས།_།(3361), ཉིད་ཀྱིས(603), ཉིད་ཀྱིས།_།(377); ,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,4
། །བདག་བྱིན་བརླབ་པའི་གཞལ་ཡས་བསྐྱེད། །སྔགས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,བདག་པོར་བྱིན་བརླབས་ཏེ། །ཞལ་གསུམ་ལྟ་བུར་,K,p,,,,,,,,c=d p=n 90.48%,c ཀྱི(5256), སྔགས་ཀྱི(3757), ཀྱི་བདག་པོ(762); p ཀྱིས(6156), སྔགས་ཀྱིས(97); d ཀྱི(5256), སྔགས་ཀྱི(3757), ཀྱི་བདག་པོ(762); n ཀྱིས(6156), སྔགས་ཀྱིས(97); ,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,5
ན་ཁྱད་པར་སྣང་བ་གསུམ། །འབྱུང་བའི་རིམ་,གྱི་,གྱིས་,གྱིས་,གྱི་,སྒྱུ་མའི་སྐུ། །སྨིག་རྒྱུ་ལྟ་བུའི་ཡིད་ཀྱི་,K,p,,,,,,,,c=d p=n 90.48%,c གྱིས(7492), རིམ་གྱིས(1049); p གྱི(3024); d གྱིས(7492), རིམ་གྱིས(1049); n གྱི(3024); ,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,12
དང་གསུང་ཐུགས་སོགས། །སྐྱེ་བ་མེད་པའི་ཚུལ་,གྱི་,གྱིས་,གྱིས་,གྱི་,ནི། །སྐྱེ་བ་དག་ཏུ་རབ་ཏུ་བསྒྲགས། །,K,p,,,,,,,,c=d p=n 90.48%,c གྱིས(7492), གྱིས་ནི(1185), ཚུལ་གྱིས(2085), ཚུལ་གྱིས་ནི(230), ཚུལ་གྱིས་ནི།_།(227); p གྱི(3024), གྱི་ནི(762), ཚུལ་གྱི(480); d གྱིས(7492), གྱིས་ནི(1185), ཚུལ་གྱིས(2085), ཚུལ་གྱིས་ནི(230), ཚུལ་གྱིས་ནི།_།(227); n གྱི(3024), གྱི་ནི(762), ཚུལ་གྱི(480); ,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,19
པ་མཉམ་ཉིད་པས། །རང་སེམས་གདོད་ནས་མ་,སྐྱེས་པ ས,སྐྱེས་པ,སྐྱེས་པ,སྐྱེས་པ ས,། །སྟོང་པ་ཉིད་ཀྱི་རང་བཞིན་ནོ། །དངོས་,K,p,,,,,,,,c=d p=n 90.48%,c སྐྱེས་པ(644), མ་སྐྱེས་པ(262), སྐྱེས་པ།_།(190), མ་སྐྱེས་པ།_།(61); p སྐྱེས་པས(49); d སྐྱེས་པ(644), མ་སྐྱེས་པ(262), སྐྱེས་པ།_།(190), མ་སྐྱེས་པ།_།(61); n སྐྱེས་པས(49); ,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,20
ལུང་ཟབ་མན་ངག་མི་བསྟེན་པར། །འཐད་སྒྲུབ་,རིགས་པ ས་,རིགས་པ་,རིགས་པ་,རིགས་པ ས་,གཙོར་བྱེད་པས། །རང་རང་གྲུབ་མཐའ་དམ་པར་,K,p,,,,,,,,c=d p=n 90.48%,c རིགས་པ(683); p རིགས་པས(112); d རིགས་པ(683); n རིགས་པས(112); ,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,24
རང་ཡན་ནི། །གླང་རྫི་ལྕགས་ཀྱུ་ལྡན་པ་,ཡི,ཡིས,ཡིས,ཡི,། །གླང་ཆེན་གཞན་ཡང་སུན་འབྱིན་རླག།གླང་,K,p,,,,,,,,c=d p=n 90.48%,c ཡིས(7433), ཡིས།_།(7321), ལྡན་པ་ཡིས(212), ལྡན་པ་ཡིས།_།(212); p ཡི(8322), ཡི།_།(8252), ལྡན་པ་ཡི(318), ལྡན་པ་ཡི།_།(318); d ཡིས(7433), ཡིས།_།(7321), ལྡན་པ་ཡིས(212), ལྡན་པ་ཡིས།_།(212); n ཡི(8322), ཡི།_།(8252), ལྡན་པ་ཡི(318), ལྡན་པ་ཡི།_།(318); ,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,26
