Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །དེ་ཉིད་མཆོག་དེའང་གསུངས་པ་ནི། །བདག་,གི་,,ནི་,གི་,དངོས་ལ་རྗེས་རྨོངས་པ། །གལ་ཏེ་ཡེ་ཤེས་,K,g,,,,,,,,p=n d 93.33%,p གི(1276), བདག་གི(11456), གི་དངོས(681), བདག་གི་དངོས(55); d ནི(44237), བདག་ནི(4809), ནི་དངོས(1411); n གི(1276), བདག་གི(11456), གི་དངོས(681), བདག་གི་དངོས(55); ,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།,6
མི་འགྱུར་རོ། །སེམས་ནི་ཡོངས་སུ་ཤེས་པ་,ལ,,ལས,ལ,། །འགྲོ་བ་ཤེས་པར་འགྱུར་བའང་ཡིན། །དེ་,K,g,,,,,,,,p=n d 93.33%,p ལ(33965), ལ།_།(14361), ཤེས་པ་ལ(2074); d ལས(5885), ལས།_།(3638), ཤེས་པ་ལས(315); n ལ(33965), ལ།_།(14361), ཤེས་པ་ལ(2074); ,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།,13
དངོས་དང་དངོས་མེད་རབ་ལྡན་པ། །འགྱུར་བ་,མེད་པ་,,མེད་པ ར་,མེད་པ་,གྲོལ་བའི་མཆོག །ཡིད་ཀྱི་རང་བཞིན་གྲོལ་བའི་,K,p,,,,,,,,p=n d 93.33%,p མེད་པ(5438), འགྱུར་བ་མེད་པ(113); d མེད་པར(15663), འགྱུར་བ་མེད་པར(46); n མེད་པ(5438), འགྱུར་བ་མེད་པ(113); ,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།,1
ནི་གུས་གཞོལ་བ། །སྙིང་གའི་པད་མའི་རླུང་,གིས་,,གི་,གིས་,ནི། །རྣལ་འབྱོར་ལྡན་པའང་སྒོམ་པར་བྱེད། །,K,p,,,,,,,,p=n d 93.33%,p གིས(2588), གིས་ནི(3142), རླུང་གིས(898); d གི(1276), གི་ནི(657), རླུང་གི(3031); n གིས(2588), གིས་ནི(3142), རླུང་གིས(898); ,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།,5
སུ་བརྟགས་ལ་ང་ཡི་བཀའ། །བླང་བར་བྱ་,ཡིས་,,ཡི་,ཡིས་,གུས་ཕྱིར་མིན། །དེས་ན་འབད་པས་བླ་མ་,K,p,,,,,,,,p=n d 93.33%,p ཡིས(7433), བྱ་ཡིས(70); d ཡི(8322), བྱ་ཡི(87); n ཡིས(7433), བྱ་ཡིས(70); ,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།,11
ནུས་ཅན་མཉམ་སྦྱོར་བར། །བྱེད་ཅིང་མིག་ནི་,འཛུམ་,,#འཛུམས་,འཛུམ་,ལྟ་བའོ། །ཟླ་བའི་གྲུབ་མཐའ་པ་རྟག་ཏུ,K,,,nw✓,,,,,,p=n d 93.33%,p འཛུམ(12); d འཛུམས(2); n འཛུམ(12); ,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།,4
ཀྱིས་མཛད་པ་རྫོགས་སོ།། །།རྒྱ་གར་གྱི་མཁན་,#ཀྲིཥྞ་ ར་བ་,,#ཀྲཥྞ་བ་,#ཀྲིཥྞ་ ར་བ་,པ་དང། ལོ་ཙཱ་བ་དགེ་སློང་ཆོས་ཀྱི་,K,,,,✓,,,,,p=n d 93.33%,p ; d ; n ; ,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།,14
སྨྲ་ལ་སོགས་པའི་ལམ། །བཤད་པས་དེ་ཉིད་,བསྒྲུབ་པ འོ,,སྒྲུབ་པ འོ,བསྒྲུབ་པ འོ,། །ནམ་མཁའ་འགོག་པ་གཉིས་དག་སྟེ། །འདུས་མ་,K,,,,,⟶,,,,p=n d 93.33%,p བསྒྲུབ་པའོ(66), བསྒྲུབ་པའོ།_།(64); d སྒྲུབ་པའོ(231), སྒྲུབ་པའོ།_།(225); n བསྒྲུབ་པའོ(66), བསྒྲུབ་པའོ།_།(64); ,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།,7
རྣམ་ཤེས་དམ་པའི་དོན་ལྡན་པ། །དེ་ཡང་,བརྟན་,,བརྟེན་,བརྟན་,རྣམས་མི་འདོད་དེ། །གཅིག་དང་དུ་མའི་རང་,K,,,,,≠,,,,p=n d 93.33%,p བརྟན(208), བརྟན་རྣམས(141); d བརྟེན(256); n བརྟན(208), བརྟན་རྣམས(141); ,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།,10
ཡང་འབྲས་བུ་མེད། །དེས་ན་གཉིས་ཀྱི་དབུས་,ན་,,མི་,ན་,གནས། །རབ་ཕྲ་མཁས་པ་གང་གིས་རྟོགས། །,K,,,,,,≡,,,p=n d 93.33%,p ན(73509), ན་གནས(199), དབུས་ན(362); d མི(406), མི་གནས(506), དབུས་མི(81); n ན(73509), ན་གནས(199), དབུས་ན(362); ,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།,2
