Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ལྷ་རྣམས་དགོངས་པར་མི་འགྱུར་ནའང་། །གསང་སྔགས་,འདི་ དང་,འདི་དག་,འདི་དག་,འདི་ དང་,བདུག་པ་ཡིས། །དེ་ཡི་མོད་ལ་འབེབས་པར་,K,g,,,,,,,,c=d p=n 93.17%,c འདི་དག(113), སྔགས་འདི་དག(114); p འདི་དང(40); d འདི་དག(113), སྔགས་འདི་དག(114); n འདི་དང(40); ,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་ཆོག,37
མར་དུ་བསྲེ། །བཟའ་བ་ཞིམ་པོར་བཅས་པ་,དང ་།_,དག །།,དག །།,དང ་།_,།བློ་དང་ལྡན་པས་མེ་མཚམས་སུ། །ཁྱད་,K,g,,,,,,,,c=d p=n 93.17%,c ; p དང་།_(394717), དང་།_བློ(451), བཅས་པ་དང་།_(988); d ; n དང་།_(394717), དང་།_བློ(451), བཅས་པ་དང་།_(988); ,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་ཆོག,296
པར་རླུང་དང་རླུང་གིས་ནི། །སྙིང་གའི་རླུང་,གིས་,ནི་,ནི་,གིས་,སྦ་བར་བྱ། །ཡེ་ཤེས་མཁའ་འགྲོ་བདག་བྱས་,K,g,,,,,,,,c=d p=n 93.17%,c ནི(44237), རླུང་ནི(287); p གིས(2588), རླུང་གིས(898); d ནི(44237), རླུང་ནི(287); n གིས(2588), རླུང་གིས(898); ,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་ཆོག,448
པས་རྟག་ཏུ་སྦྱིན། །རྣལ་འབྱོར་རྩ་བའི་ཆོས་,ལས་,ལ་,ལ་,ལས་,ནི། །ཞིང་བཟང་པོ་ལ་ས་བོན་གདབ། །,K,g,,,,,,,,c=d p=n 93.17%,c ལ(33965), ལ་ནི(13387), ཆོས་ལ(5130); p ལས(5885), ལས་ནི(2987), ཆོས་ལས(391); d ལ(33965), ལ་ནི(13387), ཆོས་ལ(5130); n ལས(5885), ལས་ནི(2987), ཆོས་ལས(391); ,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་ཆོག,549
ལིའི་ཡེ་ཤེས་འདམ་སྐྱེས་སུ། །རྡོ་རྗེ་སེམས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,གདམས་པ་ལས། །སྦྲང་རྩི་བདུད་རྩིའི་རོ་མྱོང་,K,p,,,,,,,,c=d p=n 93.17%,c ཀྱི(5256), སེམས་ཀྱི(4733); p ཀྱིས(6156), སེམས་ཀྱིས(199); d ཀྱི(5256), སེམས་ཀྱི(4733); n ཀྱིས(6156), སེམས་ཀྱིས(199); ,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་ཆོག,5
ལི་ཞེས་བྱའི་ཕྱག་རྒྱ་དང་། །ས་བོན་བརྒྱད་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,བསྐུལ་བྱ་སྟེ། །རྡོ་རྗེ་མཆོག་ཏུ་འབར་བའི་,K,p,,,,,,,,c=d p=n 93.17%,c ཀྱིས(6156), བརྒྱད་ཀྱིས(531), ཀྱིས་བསྐུལ(109); p ཀྱི(5256), བརྒྱད་ཀྱི(1099); d ཀྱིས(6156), བརྒྱད་ཀྱིས(531), ཀྱིས་བསྐུལ(109); n ཀྱི(5256), བརྒྱད་ཀྱི(1099); ,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་ཆོག,16
དེ་ནས་བརྟན་དང་གཡོ་ལ་སོགས། །སྔགས་བསྙེན་པ་ལ་འབད་པ་,ཡི,ཡིས,ཡིས,ཡི,། །དེ་མ་ཐག་ཏུ་འབེབས་གྱུར་པ། །སྔགས་,K,p,,,,,,,,c=d p=n 93.17%,c ཡིས(7433), ཡིས།_།(7321), འབད་པ་ཡིས(47); p ཡི(8322), ཡི།_།(8252); d ཡིས(7433), ཡིས།_།(7321), འབད་པ་ཡིས(47); n ཡི(8322), ཡི།_།(8252); ,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་ཆོག,28
རྣལ་འབྱོར་སྔགས་དང་དབང་བསྐུར་ལ། །གལ་ཏེ་,འབེབས་པ་,འབེབས་པ ར་,འབེབས་པ ར་,འབེབས་པ་,གདོན་ཟ་ན། །སྔགས་ཀྱི་སྦྱོར་བ་འདི་ཡིས་,K,p,,,,,,,,c=d p=n 93.17%,c འབེབས་པར(338); p འབེབས་པ(51); d འབེབས་པར(338); n འབེབས་པ(51); ,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་ཆོག,36
གནས་སུ་བརྒྱན་པར་བྱ། །རྒྱལ་བ་ལ་སོགས་མཆོག་,གི་,གིས་,གིས་,གི་,ནི། །ས་ནི་ཡོངས་སུ་འཛིན་ལ་བརྩོན། །,K,p,,,,,,,,c=d p=n 93.17%,c གིས(2588), གིས་ནི(3142), མཆོག་གིས(106); p གི(1276), གི་ནི(657), མཆོག་གི(3134), མཆོག་གི་ནི(44); d གིས(2588), གིས་ནི(3142), མཆོག་གིས(106); n གི(1276), གི་ནི(657), མཆོག་གི(3134), མཆོག་གི་ནི(44); ,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་ཆོག,42
ཐམས་ཅད་ཀུན་དུ་ཤེས་པར་བྱ། །ཨོཾ་གང་,,,སུ་,,ཡང་རུང་བ་གནས་ཀྱི་བདག་པོར་གྱུར་པ་རྣམས་,K,p,,,,,,,,c=p=n d 0.54%,c (1), གང(44), ཡང(82), གང་ཡང(5913), གང་ཡང་རུང་བ(554); p (1), གང(44), ཡང(82), གང་ཡང(5913), གང་ཡང་རུང་བ(554); d སུ(4121), གང་སུ(355), སུ་ཡང(1997), གང་སུ་ཡང(63); n (1), གང(44), ཡང(82), གང་ཡང(5913), གང་ཡང་རུང་བ(554); ,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་ཆོག,50
