Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པ་བྱེ་བ་རྣམས་སུ་ཡང། །དེ་ཉིད་བྲལ་,ནས་,ན་,ན་,ནས་,འགྲུབ་མི་འགྱུར། །ཞེས་གསུངས་ཏེ། ཇི་སྐད་,K,g,,,,,,,,c=d p=n 88.05%,c ན(73509), བྲལ་ན(124), ན་འགྲུབ(166); p ནས(35333), བྲལ་ནས(395), ནས་འགྲུབ(52); d ན(73509), བྲལ་ན(124), ན་འགྲུབ(166); n ནས(35333), བྲལ་ནས(395), ནས་འགྲུབ(52); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,10
གནས་ངན་ལེན་གྱི་བག་ཆགས་དང་བྲལ་བ་རྣམས་,ལ་,ལས་,ལས་,ལ་,རྒྱལ་བའི་ཡེ་ཤེས་བསམ་གྱིས་མི་ཁྱབ་པའི་ཡུལ་,K,g,,,,,,,,c=d p=n 88.05%,c ལས(5885), རྣམས་ལས(2222), ལས་རྒྱལ་བ(119); p ལ(33965), རྣམས་ལ(895), ལ་རྒྱལ་བ(62); d ལས(5885), རྣམས་ལས(2222), ལས་རྒྱལ་བ(119); n ལ(33965), རྣམས་ལ(895), ལ་རྒྱལ་བ(62); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,48
སློབ་དཔོན་གྱིས་སྨྲས་པ། ཁམས་བཞི་པོ་དག་,ལ་,ལས་,ལས་,ལ་,ལུས་ཀྱི་ཕུང་པོ་མངོན་པར་འགྲུབ་པར་འགྱུར་ཏེ,K,g,,,,,,,,c=d p=n 88.05%,c ལས(5885), དག་ལས(2911), ལས་ལུས(96); p ལ(33965), དག་ལ(672), ལ་ལུས(979); d ལས(5885), དག་ལས(2911), ལས་ལུས(96); n ལ(33965), དག་ལ(672), ལ་ལུས(979); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,113
བཤྩ། ཀོ་ལ་ཏ་ཐཱ། མིང་བཅུ་པོ་,འདི་དག་,དེ་དག་,དེ་དག་,འདི་དག་,ནི་རྡོ་རྗེའི་སྒོ་ཞེས་བྱ་བའི་རྣལ་འབྱོར་ཆེན་,K,g,,,,,,,,c=d p=n 88.05%,c དེ་དག(179), དེ་དག་ནི(569), བཅུ་པོ་དེ་དག(698), བཅུ་པོ་དེ་དག་ནི(304); p འདི་དག(113), འདི་དག་ནི(204), བཅུ་པོ་འདི་དག(411), བཅུ་པོ་འདི་དག་ནི(272); d དེ་དག(179), དེ་དག་ནི(569), བཅུ་པོ་དེ་དག(698), བཅུ་པོ་དེ་དག་ནི(304); n འདི་དག(113), འདི་དག་ནི(204), བཅུ་པོ་འདི་དག(411), བཅུ་པོ་འདི་དག་ནི(272); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,142
བར་འགྱུར་རོ། །རྣམ་པར་ཤེས་པ་དེ་རླུང་,ལས་,ལ་,ལ་,ལས་,ཞོན་ཏེ་བྱུང། རླུང་ལས་ནི་མེའོ། །,K,g,,,,,,,,c=d p=n 88.05%,c ལ(33965), ལ་ཞོན(53), རླུང་ལ(203); p ལས(5885), རླུང་ལས(115); d ལ(33965), ལ་ཞོན(53), རླུང་ལ(203); n ལས(5885), རླུང་ལས(115); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,224
ན། ཇི་ལྟར་ན་ཉིན་དང་མཚན་དུ་ལུས་,ལས་,ལས་,ལས་,ལ་,སྤྲོ་ཞིང་སྡུད་པར་བྱེད། གང་ཞིག་འདིར་མེལ་,K,g,,,,,,,,c=p=d n 4.88%,c ལས(5885), ལུས་ལས(614); p ལས(5885), ལུས་ལས(614); d ལས(5885), ལུས་ལས(614); n ལ(33965), ལུས་ལ(49), ལ་སྤྲོ(186); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,248
རྡོ་རྗེ་གཙུག་ཏོར་གྱི་རྒྱུད་ལས་གསུངས་པས་དེ་,ལ་,ལས་,ལ་,ལ་,འཇུག་པར་བྱ་སྟེ། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་,K,g,,,,,,,,c p=d=n 2.36%,c ལས(5885), དེ་ལས(5447); p ལ(33965), དེ་ལ(763), ལ་འཇུག་པ(92), དེ་ལ་འཇུག་པ(47); d ལ(33965), དེ་ལ(763), ལ་འཇུག་པ(92), དེ་ལ་འཇུག་པ(47); n ལ(33965), དེ་ལ(763), ལ་འཇུག་པ(92), དེ་ལ་འཇུག་པ(47); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,274
སྣང་བ་གསུམ་གྱི་རྒྱུ་ཅན་ཏེ། །མ་ལུས་ཡུལ་,ལས་,ལ་,ལ་,ལས་,ཞུགས་ནས་ནི། །འོད་གསལ་བར་ནི་འཇུག་པར་,K,g,,,,,,,,c=d p=n 88.05%,c ལ(33965), ཡུལ་ལ(1105), ལ་ཞུགས(80); p ལས(5885), ཡུལ་ལས(297); d ལ(33965), ཡུལ་ལ(1105), ལ་ཞུགས(80); n ལས(5885), ཡུལ་ལས(297); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,288
རྣམ་རྟོག་སྤངས་ནས་ཀྱང། །གུག་སྐྱེད་ཐིག་ལེ་,ལ་,ལས་,ལས་,ལ་,འདས་པ། །འདི་ནི་དཀྱིལ་འཁོར་མཆོག་ཡིན་ནོ,K,g,,,,,,,,c=d p=n 88.05%,c ལས(5885), ལས་འདས་པ(90), ཐིག་ལེ་ལས(63); p ལ(33965), ལ་འདས་པ(58); d ལས(5885), ལས་འདས་པ(90), ཐིག་ལེ་ལས(63); n ལ(33965), ལ་འདས་པ(58); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,348
ཞིག་སྤྱོད་པ་སྤྱད་པར་འགྱུར་ཞེས་རྣམ་པར་བརྟགས་,ན་,ནས་,ནས་,ན་,སློབ་པར་བྱེད་པ་དང། ཡོངས་སུ་རྫོགས་པ་,K,g,,,,,,,,c=d p=n 88.05%,c ནས(35333), བརྟགས་ནས(313); p ན(73509), བརྟགས་ན(305); d ནས(35333), བརྟགས་ནས(313); n ན(73509), བརྟགས་ན(305); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,389
སུ་མེད་པར་འགྱུར་ལ། དེ་གཉིས་སུ་མེད་,ནས་,ན་,ན་,ནས་,སུ་ཞིག་སྤྱོད་པ་རྣམས་སྤྱོད་དེ། ཇི་ལྟར་,K,g,,,,,,,,c=d p=n 88.05%,c ན(73509), མེད་ན(990), ན་སུ་ཞིག(44); p ནས(35333), མེད་ནས(129); d ན(73509), མེད་ན(990), ན་སུ་ཞིག(44); n ནས(35333), མེད་ནས(129); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,396
གྲུབ་པ་ལས་ཀྱང། རྐང་བརྒྱད་བྱ་བ་སྤངས་,ནས་,ན་,ན་,ནས་,ནི། །འཁོར་བའི་ཚོགས་ནི་དོར་ནས་སུ། །,K,g,,,,,,,,c=d p=n 88.05%,c ན(73509), ན་ནི(3673), སྤངས་ན(123); p ནས(35333), ནས་ནི(1022), སྤངས་ནས(927), སྤངས་ནས་ནི(84), སྤངས་ནས་ནི།_།(83); d ན(73509), ན་ནི(3673), སྤངས་ན(123); n ནས(35333), ནས་ནི(1022), སྤངས་ནས(927), སྤངས་ནས་ནི(84), སྤངས་ནས་ནི།_།(83); ,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,398
