Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
བྱས་ལ། །བྱིན་གྱིས་རླབས་བུམ་གང་མོས་,ཀྱི་,,ཀྱིས་,,ཆོ་ག་ལ། འདོད་ཆགས་ཞེ་སྡང་གཏི་མུག་,K,p,,,,,,,,p d 100.00%,p ཀྱི(5256), ཀྱི་ཆོ་ག(564); d ཀྱིས(6156); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,8
ལ་དབང་བསྐུར་བར་བསམ། ཐོབ་ནས་དཀྱིལ་འཁོར་,ལས་,,,,འཇུག་པ་རྫོགས་པར་བྱའོ། །སྙིང་ཀའི་ས་བོན་,K,,✘,,,,,,,p d 100.00%,p ལས(5885), དཀྱིལ་འཁོར་ལས(77); d (1), འཇུག་པ(417), དཀྱིལ་འཁོར(79); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,10
དང་། དྲུག་པ་སྟེ་དབང་བསྐུར་བ་དང་།,དང་ #་ བདུན་པ་ སྟེ །,,དང ་།,,ལམ་སྟན་པའོ། །དང་པོར་གཤེད་བཤེད་དང་དབྲལ་,K,,,nw✓,,,,,,p d 100.00%,p ; d དང་།(6355); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,2
ཀུན་ནས་འབར་བར་་་བསྐྱེད། ཀ་ལ་,#བསྟོན་པ ར་,,བསྟན་པ ར་,,བྱེད་པའི་སྔགས་རུ་པ་ཡ། ཨ་ར་བཛྲ་,K,,,nw✓,,,,,,p d 100.00%,p ; d བསྟན་པར(3125), ལ་བསྟན་པར(172); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,4
ཐུགས་ཀ་ནས་ཕྱག་ན་རྡོ་རྗེའི་ཐུགས་ཀ་ནས་,སྟོན་,,#བསྟོན་,,ལ། བདུད་རྩིའི་བུམ་པ་ཐོགས་པའི་ལྷ་མོ་,K,,,nw✓,,,,,,p d 100.00%,p སྟོན(1845), སྟོན་ལ(127), ནས་སྟོན(201); d བསྟོན(1); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,11
། །གང་སོང་ན་འོག་མིན་གནས་ལས་བསམ་ཡང་,བསམས་,,བསམ་,,ལ་འགྲོ་བ་དག་པར་འགྱུར་གསུང་ངོ་། །གཞན་,K,,,,,⟶,,,,p d 100.00%,p བསམས(54), བསམས་ལ(73), ཡང་བསམས(95); d བསམ(706), ཡང་བསམ(448); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,13
འཁོར་བའི་རོ་བགེགས་དང་བྲལ་བར་བྱས་གཤིན་དེ་,བསད་,,བསང་,,ནས། །དུར་ཁྲོད་ཀྱི་གནས་སུ་དུ་བྱ། ,K,,,,,≠,,,,p d 100.00%,p བསད(64), བསད་ནས(120), དེ་བསད(54); d བསང(223); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,6
་གསོལ་བ་གདབ་ལ་དབང་བསྐུར་བར་བསམ། ,ཐོས་,,ཐོབ་,,ནས་དཀྱིལ་འཁོར་འཇུག་པ་རྫོགས་པར་བྱའོ། །,K,,,,,?,,,,p d 100.00%,p ཐོས(300), ཐོས་ནས(4139); d ཐོབ(930), ཐོབ་ནས(851); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,9
དང་། །སྙིང་པོ་ལྔ་ལ་སོགས་པ་ཁྲུས་བྱས་,བྱེད་ དུ་ བཅུག་པ་,,,,ལ། །བྱིན་གྱིས་རླབས་བུམ་གང་མོས་ཀྱིས་ཆོ་,K,,,,,,l,,,p d 100.00%,p བྱེད་དུ་བཅུག་པ(60); d (1), ལ(33965), བྱས(3666), བྱས་ལ(1394); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,7
གཉིས་པས་སྟེ་གཤེད་དང་དབྲལ་བ་དང་པོར་གཤེད་,གཤེད་,,བཤེད་,,དང་དབྲལ་བ་དང་། གསུམ་པ་སྟེ་རྣམ་ཤེས་,K,,,,,,≡,,,p d 100.00%,p གཤེད(64); d ; ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,1
དང་།དང་།ལམ་སྟན་པའོ། །དང་པོར་གཤེད་,གཤེད་,,བཤེད་,,དང་དབྲལ་བ་ནི། སློབ་དཔོན་བདག་ཉིད་ཡང་,K,,,,,,≡,,,p d 100.00%,p གཤེད(64); d ; ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,3
དེ་ནས་བཀྲ་བདེ་ལེགས་དང་དཀོན་མཆོག་གཉིས་དང་,རིགས་,,རིག་,,ལྔའི་དང་བཀྲ་་་་ཤིས་ཀྱི་ཚིག་གིས་,K,,,,,,≡,,,p d 100.00%,p རིགས(336), རིགས་ལྔ(151), དང་རིགས(802); d རིག(265), དང་རིག(277); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,12
བའི་ཡེ་ཤེས་སེམས་དཔའ་བཀུག་ལ་འོག་མིན་ནས་,,,མདུན་ ན་,,བསྟིམས་ཏེ། །བྱིན་གྱིས་རླབ་ཡི་གེ་འབྲུ་གསུམ་,K,,,,,,s,,,p d 100.00%,p (1), ནས(35333), བསྟིམས(3); d མདུན་ན(800); ,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག,5
