Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སྣང་ཡང་དོན་བྱེད་མི་ནུས་པ། །ལོག་པ་,ཡིས་,ཡི་,ཡི་,ཡིས་,ནི་ཀུན་རྫོབ་པོ། །དེ་ཡང་གཉིས་སུ་ཤེས་,K,p,,,,,,,,c=d p=n 61.54%,c ཡི(8322), ཡི་ནི(1724); p ཡིས(7433), ཡིས་ནི(893); d ཡི(8322), ཡི་ནི(1724); n ཡིས(7433), ཡིས་ནི(893); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,6
དེ་ཡང་གཉིས་ཡིན་ཏེ། །རིགས་པ་རྣམ་གྲངས་དོན་,དམ་,དམ་,དམ་,,དང་། །སྐྱེ་བ་བཀག་པའི་དོན་དམ་མོ། །,K,,✘,,,,,,,c=p=d n 15.38%,c དམ(5187), དོན་དམ(3541); p དམ(5187), དོན་དམ(3541); d དམ(5187), དོན་དམ(3541); n (1), དང(18517), དོན(504), དོན་དང(1552); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,5
མོ། །དང་པོ་དེ་ཡང་གཉིས་ཡིན་ཏེ། །,རིགས་པ་,རིགས་པ་,རིགས་པ་,རིགས་,རྣམ་གྲངས་དོན་དམ་དང་། །སྐྱེ་བ་བཀག་པའི་,K,,པ་བ་,,,,s,,,c=p=d n 15.38%,c རིགས་པ(683), །_།རིགས་པ(50); p རིགས་པ(683), །_།རིགས་པ(50); d རིགས་པ(683), །_།རིགས་པ(50); n རིགས(336), །_།རིགས(8498), རིགས་རྣམ(43); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,4
པ། །དེ་ལྟར་བདག་གིས་བཤད་པ་ཡི། །,,བདག་ གིས་ བསགས་པ་ ཡི །_། དགེ་བ་,བདག་ གིས་ བསགས་པ་ ཡི །_། དགེ་བ་,,གང་དེས་སེམས་ཅན་གྱི། །བསམ་པ་མྱུར་དུ་,K,,,nw✘,,,,,,c=d p=n 61.54%,c ; p (1), གང(44), དགེ་བ(298), དགེ་བ་གང(69); d ; n (1), གང(44), དགེ་བ(298), དགེ་བ་གང(69); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,8
དཔོན་ལེགས་ལྡན་བྱེད་ཀྱིས་མཛད་པ་རྫོགས་སོ།། །།,ལོཙྪ་བ་,ལོ་ཙཱ་བ་,ལོ་ཙཱ་བ་,ལོཙྪ་བ་,ཚུལ་ཁྲིམས་རྒྱལ་བས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་,K,,,nw✘,,,,,,c=d p=n 61.54%,c ལོ་ཙཱ་བ(58); p ལོཙྪ་བ(236); d ལོ་ཙཱ་བ(58); n ལོཙྪ་བ(236); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,12
,#སཾ་,#སྃ་,#སཾ་,#སཾ་,གྲ་ཧད།བོད་སྐད་དུ།དབུ་མའི་དོན་,K,,,,✓,,,,,c p=d=n 7.69%,c སྃ(9); p སཾ(11); d སཾ(11); n སཾ(11); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,1
བླངས་ནས་ནི། །ཕུན་སུམ་ཚོགས་པ་ཐམས་ཅད་,ཐོབ,འཐོབ,འཐོབ,ཐོབ, །།དབུ་མ་ཡི་ནི་དོན་བསྡུས་པ། །དེ་,K,,,,,⟶,,,,c=d p=n 61.54%,c འཐོབ(899), འཐོབ།_།(832), ཐམས་ཅད་འཐོབ(59); p ཐོབ(930), ཐོབ།_།(788), ཐམས་ཅད་ཐོབ(239); d འཐོབ(899), འཐོབ།_།(832), ཐམས་ཅད་འཐོབ(59); n ཐོབ(930), ཐོབ།_།(788), ཐམས་ཅད་ཐོབ(239); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,7
།དབུ་མ་དོན་བསྡུས་པ་སློབ་དཔོན་ལེགས་ལྡན་,འབྱེད་,བྱེད་,བྱེད་,འབྱེད་,ཀྱིས་མཛད་པ་རྫོགས་སོ།། །།ལོ་ཙཱ་བ་ཚུལ་ཁྲིམས་རྒྱལ་,K,,,,,≠,,,,c=d p=n 61.54%,c བྱེད(19318), བྱེད་ཀྱིས(80); p འབྱེད(91); d བྱེད(19318), བྱེད་ཀྱིས(80); n འབྱེད(91); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,11
འཇིག་རྟེན་བདེ་བར་བསྐྱབ་པའི་ཕྱིར། །འདི་རུ་,ཞུགས་,བཞུགས་,བཞུགས་,ཞུགས་,ཀྱང་དྲི་མེད་བློ་དང་ལྡན། །དེ་དག་རྣམས་,K,,,,,?,,,,c=d p=n 61.54%,c བཞུགས(1247), བཞུགས་ཀྱང(64); p ཞུགས(471), ཞུགས་ཀྱང(89); d བཞུགས(1247), བཞུགས་ཀྱང(64); n ཞུགས(471), ཞུགས་ཀྱང(89); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,3
། །ཐ་སྙད་དོ་གང་སྙིང་རྗེས་འཁོར་བ་མ་,སྟོང་ བར,སྟོངས་པ ར,སྟོངས་པ ར,སྟོང་ བར, །།རྒྱལ་བ་རྣམས་ནི་འཇིག་རྟེན་བདེ་བར་བསྐྱབ་,K,,,,,,≡,,,c=d p=n 61.54%,c སྟོངས་པར(120); p སྟོང་བར(176); d སྟོངས་པར(120); n སྟོང་བར(176); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,2
། །བསམ་པ་མྱུར་དུ་འགྲུབ་གྱུར་ཅིག།དབུ་,མ འི་,མ་,མ་,མ འི་,དོན་བསྡུས་པ་སློབ་དཔོན་ལེགས་ལྡན་བྱེད་ཀྱིས་མཛད་,K,,,,,,≡,,,c=d p=n 61.54%,c མ(4286), དབུ་མ(405); p མའི(69), དབུ་མའི(277), མའི་དོན(80); d མ(4286), དབུ་མ(405); n མའི(69), དབུ་མའི(277), མའི་དོན(80); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,10
ཅན་གྱི། །བསམ་པ་མྱུར་དུ་འགྲུབ་གྱུར་ཅིག,།།_།།,།།,།,།།_།།,དབུ་མ་དོན་བསྡུས་པ་སློབ་དཔོན་ལེགས་ལྡན་བྱེད་,K,,,,,,,[ ],,c p=n d 7.69%,c །།(216); p །།_།།(7586); d །(46); n །།_།།(7586); ,4-6_དབུ་མའི་དོན་བསྡུས་པ།,9
