Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སུ་སྡུད་པ་དང་སེམས་ལས་བྱུང་བའོ། །དེ་,ལས་,ལ་,ལ་,ལས་,ལུང་གིས་ཇི་ལྟར་འགྱུར་ཞེ་ན། ཐེག་པ་,K,g,,,,,,,,c=d p=n 80.17%,c ལ(33965), དེ་ལ(763), ལ་ལུང(300), དེ་ལ་ལུང(61); p ལས(5885), དེ་ལས(5447), ལས་ལུང(111); d ལ(33965), དེ་ལ(763), ལ་ལུང(300), དེ་ལ་ལུང(61); n ལས(5885), དེ་ལས(5447), ལས་ལུང(111); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,15
མིན་རང་དབང་ཡོད་མིན་དང་། གཞན་སྐྱོན་གཞན་,ལས་,ལ་,ལ་,ལས་,ལྡན་གྱུར་དང་། །རང་གིས་རང་གི་ཡོན་ཏན་,K,g,,,,,,,,c=d p=n 80.17%,c ལ(33965), གཞན་ལ(773); p ལས(5885), གཞན་ལས(268); d ལ(33965), གཞན་ལ(773); n ལས(5885), གཞན་ལས(268); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,23
ངེ་འཛིན་གྱི་ཡུལ་དུ་བྱེད་པའི་དུས་སུ་སེམས་,ལ་,ལས་,ལས་,ལས་,བྱུང་བ་དྲན་པ་ལ་སོགས་པས་སེམས་ལེགས་པར་,K,g,,,,,,,,c=d=n p 3.31%,c ལས(5885), སེམས་ལས(750), ལས་བྱུང་བ(441), སེམས་ལས་བྱུང་བ(145); p ལ(33965), སེམས་ལ(101); d ལས(5885), སེམས་ལས(750), ལས་བྱུང་བ(441), སེམས་ལས་བྱུང་བ(145); n ལས(5885), སེམས་ལས(750), ལས་བྱུང་བ(441), སེམས་ལས་བྱུང་བ(145); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,58
། །དེ་བཞིན་རྟགས་ནི་རྣམ་པ་ལྔ། །དེ་,ལས་,ལ་,ལ་,ལས་,མྱུར་ཞེས་བྱ་བ་ནི་ཤེས་པ་ཆུ་འབབ་པ་,K,g,,,,,,,,c=d p=n 80.17%,c ལ(33965), དེ་ལ(763), ལ་མྱུར(188); p ལས(5885), དེ་ལས(5447), ལས་མྱུར(45); d ལ(33965), དེ་ལ(763), ལ་མྱུར(188); n ལས(5885), དེ་ལས(5447), ལས་མྱུར(45); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,92
ནི་མཚོ་གཏིང་ལྟ་བུའོ། །རྟགས་རྣམ་པ་ལྔ་,ནི,ན,ན,ནི,། སྨིག་རྒྱུ་དུ་བ་ལྟ་བུའོ། །སྲིན་བུ་,K,g,,,,,,,,c=d p=n 80.17%,c ན(73509), ན།_(60485); p ནི(44237), ནི།_(15867), ལྔ་ནི(492); d ན(73509), ན།_(60485); n ནི(44237), ནི།_(15867), ལྔ་ནི(492); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,95
དང་། །དམིགས་པ་པོའི་བྱེ་བྲག་དང་། དེ་,ལ་,ལས་,ལས་,ལ་,གཞན་པའི་བྱེ་བྲག་གིས་གཞག་གོ། །དེ་ལ་,K,g,,,,,,,,c=d p=n 80.17%,c ལས(5885), དེ་ལས(5447), ལས་གཞན་པ(271), དེ་ལས་གཞན་པ(131), །_དེ་ལས་གཞན་པ(49), དེ་ལས་གཞན་པའི(215), །_དེ་ལས་གཞན་པའི(68); p ལ(33965), དེ་ལ(763); d ལས(5885), དེ་ལས(5447), ལས་གཞན་པ(271), དེ་ལས་གཞན་པ(131), །_དེ་ལས་གཞན་པ(49), དེ་ལས་གཞན་པའི(215), །_དེ་ལས་གཞན་པའི(68); n ལ(33965), དེ་ལ(763); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,96
ཞེ་ན། མ་ཡེངས་པར་གཏོང་བའོ། །དེ་,ལ་,ལས་,ལས་,ལ་,བཟློག་པ་ནི་རྩོལ་བ་མེད་པའོ། །རང་ལས་,K,g,,,,,,,,c=d p=n 80.17%,c ལས(5885), དེ་ལས(5447), ལས་བཟློག་པ(67); p ལ(33965), དེ་ལ(763); d ལས(5885), དེ་ལས(5447), ལས་བཟློག་པ(67); n ལ(33965), དེ་ལ(763); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,97
ཤིང་བརྗེད་པ་མེད། །བསྒོ་བའི་ཚིག་ལ་ཉན་ཅིང་,སྙན་པ་,སྙན་པ ར་,སྙན་པ ར་,སྙན་པ་,སྨྲ། །མཁས་པ་ཞི་གནས་དོན་དང་ལྡན་པར་,K,p,,,,,,,,c=d p=n 80.17%,c སྙན་པར(592), སྙན་པར་སྨྲ(199); p སྙན་པ(986); d སྙན་པར(592), སྙན་པར་སྨྲ(199); n སྙན་པ(986); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,6
གཞན་མཐོང་བ་དང་། ཐོས་པ་དང་། རང་,གི་,གིས་,གིས་,གི་,ཉམས་སུ་མྱོང་བ་དང་། གནས་དང་། ཡུལ་,K,p,,,,,,,,c=d p=n 80.17%,c གིས(2588), རང་གིས(930), གིས་ཉམས(102); p གི(1276), རང་གི(12122); d གིས(2588), རང་གིས(930), གིས་ཉམས(102); n གི(1276), རང་གི(12122); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,13
པར་འགྱུར་རོ། །རྡུལ་བ་དང་ཞུ་བའི་སྟོབས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,ཐིག་ལེའི་བསམ་གཏན་ཕུན་སུམ་ཚོགས་པར་འགྱུར་རོ,K,p,,,,,,,,c=d p=n 80.17%,c ཀྱིས(6156), སྟོབས་ཀྱིས(49); p ཀྱི(5256), སྟོབས་ཀྱི(863), ཀྱི་ཐིག་ལེ(56); d ཀྱིས(6156), སྟོབས་ཀྱིས(49); n ཀྱི(5256), སྟོབས་ཀྱི(863), ཀྱི་ཐིག་ལེ(56); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,20
། གཞན་སྐྱོན་གཞན་ལ་ལྡན་གྱུར་དང་། །རང་,གི་,གིས་,གིས་,གི་,རང་གི་ཡོན་ཏན་ཉིད། །འབྱོར་པ་ཕུན་སུམ་,K,p,,,,,,,,c=d p=n 80.17%,c གིས(2588), རང་གིས(930), གིས་རང(310); p གི(1276), གི་རང(520), རང་གི(12122), རང་གི་རང(47); d གིས(2588), རང་གིས(930), གིས་རང(310); n གི(1276), གི་རང(520), རང་གི(12122), རང་གི་རང(47); ,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག,24
