Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
སྔ་མ་བཞིན་དུ་བཟླས་ནས་དུར་ཁྲོད་དུ་སྦས་,ན་,ན་,ན་,ནས་,ངེས་པར་འཆི་བར་འགྱུར་རོ། །དེ་ལྟར་བསྐྲད་,K,g,,,,,,,,c=p=d n 2.78%,c ན(73509), སྦས་ན(93), ན་ངེས་པར(226); p ན(73509), སྦས་ན(93), ན་ངེས་པར(226); d ན(73509), སྦས་ན(93), ན་ངེས་པར(226); n ནས(35333), སྦས་ནས(67), ནས་ངེས་པར(255); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,24
བུ་དགྲ་སྟ་གཡོན་ན་བསྣམས། །གཡོན་བརྐྱང་པ་,ཡིས་,ཡི་,ཡི་,ཡིས་,གནས་པ་ཡིས། །པདྨ་ཉི་མ་ལ་གནས་པའོ,K,p,,,,,,,,c=d p=n 91.67%,c ཡི(8322); p ཡིས(7433); d ཡི(8322); n ཡིས(7433); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,3
གྲོ་ག་ལ་སོགས་པ་ལ་སྣ་ཚོགས་རྡོ་རྗེ་,ལྟེ་བ་,ལྟེ་བ ར་,ལྟེ་བ ར་,ལྟེ་བ་,རྒྱ་ཆེར་བྲི་བར་བྱའོ། །འཁོར་ལོའི་དབུས་སུ་,K,p,,,,,,,,c=d p=n 91.67%,c ལྟེ་བར(382); p ལྟེ་བ(644); d ལྟེ་བར(382); n ལྟེ་བ(644); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,10
། །དེ་ནས་རང་གི་མདུན་དུ་ཟ་མ་ཏོག་,ལ་སོགས་པ ར་,ལ་སོགས་པ་,ལ་སོགས་པ་,ལ་སོགས་པ ར་,ལེགས་པར་བཞག་ལ་མཆོད་པ་བྱའོ། །དེ་ནས་,K,p,,,,,,,,c=d p=n 91.67%,c ལ་སོགས་པ(403); p ལ་སོགས་པར(192); d ལ་སོགས་པ(403); n ལ་སོགས་པར(192); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,12
ན། ཡི་གེ་ཧཱུཾ་གི་གཟུགས་གནས་པ་ལ་,ལྟེ་བ་,ལྟེ་བ ར་,ལྟེ་བ ར་,ལྟེ་བ་,་རླུང་གི་དཀྱིལ་འཁོར་གྱིས་བཏེག་པར་བསམ་མོ,K,p,,,,,,,,c=d p=n 91.67%,c ལྟེ་བར(382); p ལྟེ་བ(644); d ལྟེ་བར(382); n ལྟེ་བ(644); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,33
གཟུགས་གནས་པ་ལ་ལྟེ་བར་་རླུང་གི་དཀྱིལ་འཁོར་,,གྱིས་,གྱིས་,,བཏེག་པར་བསམ་མོ། །དེ་རང་གི་ཏིང་ངེ་,K,p,,,,,,,,c=d p=n 91.67%,c གྱིས(7492), དཀྱིལ་འཁོར་གྱིས(132); p (1), བཏེག་པ(52), དཀྱིལ་འཁོར(79); d གྱིས(7492), དཀྱིལ་འཁོར་གྱིས(132); n (1), བཏེག་པ(52), དཀྱིལ་འཁོར(79); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,34
སྐད་དུ། ཨ་[མྲྀ]་ཏ་ཀུཎྜ་ལི་སཱ་དྷ་,#ནཾ,ན,ན,#ནཾ, །བོད་སྐད་དུ། བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་,K,,,,✓,,,,,c=d p=n 91.67%,c ན(73509), ན།_(60485); p ནཾ(88), ནཾ།_(85); d ན(73509), ན།_(60485); n ནཾ(88), ནཾ།_(85); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,1
ཉི་མ་ལ་གནས་པའོ། །དེ་ནས་སྙིང་གར་,ཨ་,#ཨཱ་,ཨ་,ཨ་,ལས་པདྨ་འདབ་མ་བརྒྱད་པ་བསྒོམ་པར་བྱ། ,K,,,,✓,,,,,c p=d=n 2.78%,c ཨཱ(89), ར་ཨཱ(54); p ཨ(188), ར་ཨ(82), ཨ་ལས(57); d ཨ(188), ར་ཨ(82), ཨ་ལས(57); n ཨ(188), ར་ཨ(82), ཨ་ལས(57); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,4
ཧུ་ལུ་ཧུ་ལུ། ཏིཥྛ་ཏིཥྛ། བྷ་ནྡྷ་,#བནྡྷ་ #བནྡྷ,#བྷནྡྷ་ #བྷནྡྷ,#བྷནྡྷ་ #བྷནྡྷ,#བནྡྷ་ #བནྡྷ,། ཧ་ན་ཧ་ན། ད་ཧ་ད་ཧ,K,,,,✓,,,,,c=d p=n 91.67%,c ; p བནྡྷ་བནྡྷ(87), །_བནྡྷ་བནྡྷ(66), བནྡྷ་བནྡྷ།_(86), །_བནྡྷ་བནྡྷ།_(66); d ; n བནྡྷ་བནྡྷ(87), །_བནྡྷ་བནྡྷ(66), བནྡྷ་བནྡྷ།_(86), །_བནྡྷ་བནྡྷ།_(66); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,8
ཨ་[མྲྀ་]ཏེ་ཧཱུཾ་ཕཊ། འབྱུང་བོ་ཆེ་གེ་,ལས་ #རཀྵ་ #རཀྵ་ #ཧཱུཾ,#མཱ་ ར་ ཡ,#མཱ་ ར་ ཡ,ལས་ #རཀྵ་ #རཀྵ་ #ཧཱུཾ,། དེའི་འཁོར་ལོ་ནི་གྲོ་ག་ལ་སོགས་པ་,K,,,,✓,,,,,c=d p=n 91.67%,c མཱ་ར་ཡ(70), མཱ་ར་ཡ།_(69); p ; d མཱ་ར་ཡ(70), མཱ་ར་ཡ།_(69); n ; ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,9
། གསུམ་པ་ལ་ཏིཥྛ་ཏིཥྛ། བཞི་པ་ལ་,#བནྡྷ་ #བནྡྷ,#བྷནྡྷ་ #བྷནྡྷ,#བྷནྡྷ་ #བྷནྡྷ,#བནྡྷ་ #བནྡྷ,། ལྔ་པ་ལ་ཏན་ཏན། དྲུག་པ་ལ་,K,,,,✓,,,,,c=d p=n 91.67%,c ; p བནྡྷ་བནྡྷ(87), བནྡྷ་བནྡྷ།_(86); d ; n བནྡྷ་བནྡྷ(87), བནྡྷ་བནྡྷ།_(86); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,11
བྱའོ། །དེའི་སྔགས་ནི་འདི་ཡིན་ནོ། །ན་,མ་ ཨ་,#མཿཨ་,#མཿཨ་,མ་ ཨ་,ཨ་མནྟ་ཀཱ་ཡ་བཱ་ཀ་བཱཀ་ཙིཏྟ་བཛྲ་ཎཱཾ། ཨོཾ་[མྲྀ་,K,,,,✓,,,,,c=d p=n 91.67%,c མཿཨ(4); p མ་ཨ(92); d མཿཨ(4); n མ་ཨ(92); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,15
ནོ། །ན་མཿཨ་ཨ་མནྟ་ཀཱ་ཡ་བཱ་ཀ་,#བཀྩིཏྟ་ བཛྲ་ #ནཾ,#བཱཀ་ #ཙིཏྟ་ བཛྲ་ #ཎཱཾ,#བཱཀ་ #ཙིཏྟ་ བཛྲ་ #ཎཱཾ,#བཀྩིཏྟ་ བཛྲ་ #ཎཾ,། ཨོཾ་[མྲྀ་]ཏ་ཀུཎྜ་ལི། ཁ་ཁ་ཁཱ་,K,,,,✓,,,,,c=d p n 2.78%,c ; p ; d ; n ; ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,16
། བི་ན་ཡ་ཀཾ། མ་ཧཱ་བཛྲ་ཀྲོ་,ཏ,#དྷ,#དྷ,ཏ,། མ་ཧཱ་དོཾ་ཥྚྲོ་དྐ་ཊ་བྷཻ་ར་བ་ཡ། ,K,,,,✓,,,,,c=d p=n 91.67%,c དྷ(33); p ཏ(1094), ཏ།_(1014); d དྷ(33); n ཏ(1094), ཏ།_(1014); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,17
ཀཾ། མ་ཧཱ་བཛྲ་ཀྲོ་དྷ། མ་ཧཱ་,#དཾཥྚོད་ ཀ་,#དོཾ་ #ཥྚྲོ་ #དྐ་,#དོཾ་ #ཥྚྲོ་ #དྐ་,#དཾཥྚོད་ ཀ་,ཊ་བྷཻ་ར་བ་ཡ། ཨ་སི་མུ་ས་,K,,,,✓,,,,,c=d p=n 91.67%,c ; p ; d ; n ; ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,18
ཨ་སི་མུ་ས་ལ་བ་ར་ཤུ་པཱ་ཤ་,ཧ་ ཏ་,#ཧསྟ་,#ཧསྟ་,ཧ་ ཏ་,ཡ། མ་ཧཱ་ག་ཎ་བ་ཏི་ཛྲཱི་བི་,K,,,,✓,,,,,c=d p=n 91.67%,c ཧསྟ(12); p ཧ་ཏ(224); d ཧསྟ(12); n ཧ་ཏ(224); ,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,19
