Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རི་བོས་ངན་འགྲོར་མནན། །ཕྲག་དོག་རླུང་དམར་,འཚུབས་པ ས་,,འཚུབ་ མ ས་,#ཚུབ་ མ ས་,འཁོར་བར་གཡེངས། །བདག་ཏུ་འཛིན་པའི་མདུད་པ་,K,,,nw✓,,,,,,p d n 38.46%,p ; d ; n ; ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,3
ནས། །ལམ་ལོག་ལམ་སྟོར་སྲིད་པའི་འཁོར་བར་,འཁྱམས,,འཁྱམ,འཁྱམས, །།སྔོན་ཚེ་ལས་ལོག་སྡིག་པ་སྤྱད་པས་ནོངས,K,,,,,⟶,,,,p=n d 30.77%,p འཁྱམས(23); d འཁྱམ(50), འཁྱམ།_།(46); n འཁྱམས(23); ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,1
གདུངས་པའི་སྨྲེ་སྔགས་འདི་འདོན་ཅིང་། །ཉམ་ཐག་,ཕོངས་པ འི་,,ཕོངས་པ འི་,འཕོངས་པ འི་,ད་རོས་འོ་དོད་འབོད། །བྱམས་མགོན་ཐུགས་རྗེ་,K,,,,,⟶,,,,p=d n 23.08%,p ཕོངས་པའི(81); d ཕོངས་པའི(81); n ; ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,8
གསུམ་བཟོད་དཀའི་ནད་ཀྱིས་གདུངས་ལགས་ན། །ཐུགས་,རྗེ་,,རྗེ་,རྗེས་,ཐབས་མཁས་སྨན་གྱིས་མི་གསོ་འམ། །ཕྱིན་ཅི་,K,,,,,⟶,,,,p=d n 23.08%,p རྗེ(272), ཐུགས་རྗེ(1735); d རྗེ(272), ཐུགས་རྗེ(1735); n རྗེས(47), ཐུགས་རྗེས(259); ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,12
གཞིག་ཏུ་ག་ལ་རུང་། །སྡུག་བསྔལ་ཀུན་དང་,སྔོས་,,བསྡོས་,བསྡོམས་,ནས་སྡོམ་བསྲུང་ཞིང་། །མོས་པའི་དད་པས་འཕགས་,K,,,,,≠,,,,p d n 38.46%,p སྔོས(1); d བསྡོས(66); n བསྡོམས(74); ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,5
ཆུ་བོའི་རྒྱུན་དང་འདྲ། །ལས་དབང་ཆུ་རྒྱུན་,བཟློག་པ ར་,,འབོག་པ ར་,ཟློག་པ ར་,ཤིན་ཏུ་དཀའ། །བཀའ་ལ་ཞུགས་ཀྱང་བཀའ་བཞིན་,K,,,,,≠,,,,p d n 38.46%,p བཟློག་པར(524); d འབོག་པར(52); n ཟློག་པར(399); ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,7
ཉེས་བྱས་ཐམས་ཅད་རང་གི་ལས་ལས་བྱུང་། །,,,བྱམས་ མགོན་ ཐུགས་ རྗེ་ ཅན་ གྱིས་ བཟོད་ ལགས་ སམ །_།,བྱམས་ མགོན་ ཐུགས་ རྗེ་ ཅན་ གྱིས་ བཟོད་ ལགས་ སམ །_།,ཐུགས་རྗེ་ཆེན་པོས་ངན་སོང་རྒྱུན་གཅད་དེ། །,K,,,,,,l,,,p d=n 7.69%,p (1), །_།(997103), ཐུགས(273), །_།ཐུགས(1153), །_།ཐུགས་རྗེ(427); d ; n ; ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,11
སྤྱད་པས་ནོངས། །སྡིག་པའི་ལས་རྣམས་ཅི་བྱས་,རང་,,རབ་,རང་,གནོང་འགྱོད། །དར་ཞིང་དྲག་པའི་ལས་དེ་དབང་,K,,,,,,≡,,,p=n d 30.77%,p རང(1); d རབ(57); n རང(1); ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,2
འདམ་རྫབ་ཆར་ལྟར་བབ། །མེ་ཁམས་ཉི་མའི་,དུག་,,དུགས་,གདུགས་,ནི་སྟེང་ནས་ཚ། །ཆུ་ཁམས་ས་ཡི་རླན་,K,,,,,,≡,,,p d n 38.46%,p དུག(45), དུག་ནི(79); d དུགས(83); n གདུགས(24), གདུགས་ནི(57); ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,4
སྐྱེས་པས་འགྱོད་དེ་ལས་ལ་ཡི་རེ་ཆད། །,ཡིད་,,ཡི་,ཡིད་,ཆད་འགྱོད་ཀྱང་ལས་དབང་བཅོས་སུ་མེད། །ལས་,K,,,,,,≡,,,p=n d 30.77%,p ཡིད(168), །_།ཡིད(3645); d ཡི(8322), །_།ཡི(1972), ཡི་ཆད(106); n ཡིད(168), །_།ཡིད(3645); ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,6
མེད་ཇི་སྙེད་དེ་ཙམ་ལ། །སྐྱེ་བ་གཅིག་,གཅིག་,,གིས་,ཅིག་,ཁོ་ན་ཙམ་གྱི་ལས། །བླ་མེད་བྱང་ཆུབ་,K,,,,,,≡,,,p d n 38.46%,p གཅིག(620), གཅིག་ཁོ་ན(48); d གིས(2588), གཅིག་གིས(53); n ཅིག(11520), གཅིག་ཅིག(323); ,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན།,9
