Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པ་འདེབས་པར་བྱེད་དོ། །དབུ་མ་པ་ནི་,དེ་ལྟར་,འདི་ལྟར་,འདི་ལྟར་,དེ་ལྟར་,མི་འདོད་དེ། འཕགས་པ་ལྷའི་ཞལ་ནས,K,g,,,,,,,,c=d p=n 89.68%,c འདི་ལྟར(49), ནི་འདི་ལྟར(3303), འདི་ལྟར་མི(102); p དེ་ལྟར(32495), དེ་ལྟར་མི(779), ནི་དེ་ལྟར(490); d འདི་ལྟར(49), ནི་འདི་ལྟར(3303), འདི་ལྟར་མི(102); n དེ་ལྟར(32495), དེ་ལྟར་མི(779), ནི་དེ་ལྟར(490); ,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།,42
ཕྱིར་ཞེས་པ་དེ་ཡང་སེམས་ཕྱི་རོལ་ན་ཡོད་,ནས་,ན་,ན་,ནས་,ཡུལ་ཡིན་ནམ། འོན་ཏེ་ཚོར་བ་ལ་སོགས་,K,g,,,,,,,,c=d p=n 89.68%,c ན(73509), ཡོད་ན(1479), ན་ཡུལ(302); p ནས(35333), ནས་ཡུལ(287), ཡོད་ནས(93); d ན(73509), ཡོད་ན(1479), ན་ཡུལ(302); n ནས(35333), ནས་ཡུལ(287), ཡོད་ནས(93); ,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།,176
ཞེས་གསུངས་པས་སོ། །དེ་བས་ན། གནས་,ནི་,འདི་,འདི་,ནི་,ཡོངས་སུ་གྱུར་པ་ཡིས། །འཇིག་རྟེན་འདས་པའི་,K,g,,,,,,,,c=d p=n 89.68%,c འདི(1651), གནས་འདི(530), འདི་ཡོངས་སུ(328); p ནི(44237), གནས་ནི(668), ནི་ཡོངས་སུ(1435); d འདི(1651), གནས་འདི(530), འདི་ཡོངས་སུ(328); n ནི(44237), གནས་ནི(668), ནི་ཡོངས་སུ(1435); ,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།,191
མ་ཐར་པ། ཟབ་མོའི་ཚུལ་སྟོན་པ་དག་,ལས་,ལ་,ལ་,ལས་,དགྲར་འདུ་ཤེས་ཤིང་རྣ་བ་འགེབས་པར་བྱེད་པ,K,g,,,,,,,,c=d p=n 89.68%,c ལ(33965), དག་ལ(672), ལ་དགྲ(133); p ལས(5885), དག་ལས(2911); d ལ(33965), དག་ལ(672), ལ་དགྲ(133); n ལས(5885), དག་ལས(2911); ,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།,240
མེད་པའི་དོན་དེ་ལ་ཇི་ལྟ་བུ་ཞིག་ཡོད་,ན་,ནས་,ནས་,ན་,ཇི་ལྟར་ཁས་བླང་བར་བྱ་བ། སློབ་དཔོན་ཉིད་,K,g,,,,,,,,c=d p=n 89.68%,c ནས(35333), ཡོད་ནས(93), ནས་ཇི་ལྟར(253); p ན(73509), ཡོད་ན(1479), ན་ཇི་ལྟར(431); d ནས(35333), ཡོད་ནས(93), ནས་ཇི་ལྟར(253); n ན(73509), ཡོད་ན(1479), ན་ཇི་ལྟར(431); ,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།,242
དང། འབུམ་ལ་དགེ་བའི་རྩ་བ་བསྐྱེད་པས་,ནི་,ན་,ན་,ནི་,ཏིང་ངེ་འཛིན་འདི་ཐོབ་པ་དང། མོས་པ་དང,K,g,,,,,,,,c=d p=n 89.68%,c ན(73509), ས་ན(194), ན་ཏིང་ངེ་འཛིན(230); p ནི(44237), ས་ནི(617), ནི་ཏིང་ངེ་འཛིན(430); d ན(73509), ས་ན(194), ན་ཏིང་ངེ་འཛིན(230); n ནི(44237), ས་ནི(617), ནི་ཏིང་ངེ་འཛིན(430); ,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།,286
ཡིས་བསྲེག་བྱས་ནས། །འདི་ནི་ཞི་བ་ལ་གནས་,ན,ནས,ནས,ན,། །དེ་བཞིན་ཉིད་ཀྱི་མེ་ཡང་འགག །ཅེས་,K,g,,,,,,,,c=d p=n 89.68%,c ནས(35333), ནས།_།(9174), གནས་ནས(2265), གནས་ནས།_།(135); p ན(73509), ན།_།(11932), གནས་ན(1271), གནས་ན།_།(72); d ནས(35333), ནས།_།(9174), གནས་ནས(2265), གནས་ནས།_།(135); n ན(73509), ན།_།(11932), གནས་ན(1271), གནས་ན།_།(72); ,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།,328
ཞེས་པ་ནས། ཡང་དེ་ལ་བསྙེན་བཀུར་བྱས་,ནས་,ན་,ན་,ནས་,དུས་གསུམ་གྱི་སངས་རྒྱས་ཐམས་ཅད་ལ་བསྙེན་བཀུར་བྱས་,K,g,,,,,,,,c=d p=n 89.68%,c ན(73509), ན་དུས(224), བྱས་ན(3388); p ནས(35333), བྱས་ནས(6811), ནས་དུས(441); d ན(73509), ན་དུས(224), བྱས་ན(3388); n ནས(35333), བྱས་ནས(6811), ནས་དུས(441); ,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།,474
ལ་སོགས་པའི་དངོས་པོ་ནི། །སྣང་བ་ཙམ་,གྱི་,གྱིས་,གྱིས་,གྱི་,ཀུན་རྫོབ་ཡིན། །ཆུ་ཤིང་གི་ནི་ཕུང་པོ་,K,p,,,,,,,,c=d p=n 89.68%,c གྱིས(7492), ཙམ་གྱིས(255); p གྱི(3024), ཙམ་གྱི(1256); d གྱིས(7492), ཙམ་གྱིས(255); n གྱི(3024), ཙམ་གྱི(1256); ,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།,7
སྒྲུབ་ཉིད་ཉིད་ཞལ་སྔ་ནས། དབང་པོ་རྣམས་,ཀྱི་,ཀྱིས་,ཀྱིས་,ཀྱི་,གང་དམིགས་དེ། །གལ་ཏེ་ཡང་དག་ཡོད་གྱུར་,K,p,,,,,,,,c=d p=n 89.68%,c ཀྱིས(6156), ཀྱིས་གང(822), རྣམས་ཀྱིས(952), རྣམས་ཀྱིས་གང(184); p ཀྱི(5256), ཀྱི་གང(114), རྣམས་ཀྱི(571); d ཀྱིས(6156), ཀྱིས་གང(822), རྣམས་ཀྱིས(952), རྣམས་ཀྱིས་གང(184); n ཀྱི(5256), ཀྱི་གང(114), རྣམས་ཀྱི(571); ,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།,11
