Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ནི་རེ་ཞིག་ཙམ་དུ་རིགས་མེད་པའི་ཕྱོགས་གཅིག་,ལས་,ལས་,ལས་,ལ་,བརྩམས་ནས་དེ་སྐད་བསྟན་པ་ཡིན་ནོ། །ཡང་,K,g,,,,,,,,c=p=d n 3.94%,c ལས(5885), གཅིག་ལས(364), ལས་བརྩམས(334); p ལས(5885), གཅིག་ལས(364), ལས་བརྩམས(334); d ལས(5885), གཅིག་ལས(364), ལས་བརྩམས(334); n ལ(33965), གཅིག་ལ(79), ལ་བརྩམས(92); ,542_དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,122
གི་བདག་མེད་དེ། བདག་མེད་པའི་ཕྱིར་འདི་,ན་,ནི་,ནི་,ན་,ཉན་ཐོས་སོ། །འདི་ནི་བྱང་ཆུབ་སེམས་དཔའོ་,K,g,,,,,,,,c=d p=n 88.14%,c ནི(44237), འདི་ནི(23970), ནི་ཉན་ཐོས(931), འདི་ནི་ཉན་ཐོས(98); p ན(73509), འདི་ན(1776), ན་ཉན་ཐོས(242); d ནི(44237), འདི་ནི(23970), ནི་ཉན་ཐོས(931), འདི་ནི་ཉན་ཐོས(98); n ན(73509), འདི་ན(1776), ན་ཉན་ཐོས(242); ,542_དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,165
རྣམས་འདུལ་བའི་ཕྱིར་སྤྲུལ་པ་གང་ཡིན་པའོ། །དེ་,ལ་,ལས་,ལས་,ལ་,མངོན་པའི་ང་རྒྱལ་ཅན་གྱི་ཉན་ཐོས་ནི་གང་,K,g,,,,,,,,c=d p=n 88.14%,c ལས(5885), དེ་ལས(5447); p ལ(33965), དེ་ལ(763); d ལས(5885), དེ་ལས(5447); n ལ(33965), དེ་ལ(763); ,542_དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,200
པའི་ཕྱིར་ཆོས་ཀྱི་སྐུའི་བྱང་ཆུབ་སེམས་དཔའ་དེ་,ལ་,ལས་,ལས་,ལ་,ཆོས་ཀྱི་སྒྲ་སྐད་རྣམ་པ་སྣ་ཚོགས་མོས་པ་,K,g,,,,,,,,c=d p=n 88.14%,c ལས(5885), དེ་ལས(5447), ལས་ཆོས(586), དེ་ལས་ཆོས(49); p ལ(33965), དེ་ལ(763), ལ་ཆོས(5043), དེ་ལ་ཆོས(524), དེ་ལ་ཆོས་ཀྱི(63); d ལས(5885), དེ་ལས(5447), ལས་ཆོས(586), དེ་ལས་ཆོས(49); n ལ(33965), དེ་ལ(763), ལ་ཆོས(5043), དེ་ལ་ཆོས(524), དེ་ལ་ཆོས་ཀྱི(63); ,542_དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,222
ནི་བཅོམ་ལྡན་འདས་ཀྱི་མཁྱེན་པ་དང་གཟིགས་པ་,ལས་,ལ་,ལ་,ལས་,ལྟོས་ན། དཔེར་ན་བ་ལང་གི་རྨིག་རྗེས་,K,g,,,,,,,,c=d p=n 88.14%,c ལ(33965), ལ་ལྟོས(367); p ལས(5885); d ལ(33965), ལ་ལྟོས(367); n ལས(5885); ,542_དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,273
འབྱུང་ངོ་། །དེ་དག་གིས་ནི་ཆོས་དེ་ཐོས་,ན་,ནས་,ནས་,ན་,ཡང་ངའི་དགོངས་ཏེ་བཤད་པ་ཟབ་མོ་ཡང་དག་,K,g,,,,,,,,c=d p=n 88.14%,c ནས(35333), ནས་ཡང(2960), ཐོས་ནས(4139); p ན(73509), ན་ཡང(7917), ཐོས་ན(696), ཐོས་ན་ཡང(66); d ནས(35333), ནས་ཡང(2960), ཐོས་ནས(4139); n ན(73509), ན་ཡང(7917), ཐོས་ན(696), ཐོས་ན་ཡང(66); ,542_དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,305
ཆུད་པས་སྒྲའི་དོན་གྱི་རྗེས་སུ་མོས་པ་བསྐྱེད་,ན་,ནས་,ནས་,ན་,འདི་ལྟར་བཅོམ་ལྡན་འདས་ཀྱིས་ཆོས་ཐམས་ཅད་ནི་,K,g,,,,,,,,c=d p=n 88.14%,c ནས(35333), བསྐྱེད་ནས(736), ནས་འདི་ལྟར(134); p ན(73509), བསྐྱེད་ན(141), ན་འདི་ལྟར(373); d ནས(35333), བསྐྱེད་ནས(736), ནས་འདི་ལྟར(134); n ན(73509), བསྐྱེད་ན(141), ན་འདི་ལྟར(373); ,542_དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,324
ལྟ་སྟེ། སྟོང་པ་ཉིད་ལ་མངོན་པར་ཞེན་,ན་,ནས་,ནས་,ན་,སྟོང་པ་འདི་ནི་ཡོད་པའོ་ཞེས་ཟེར་བ་གང་ཡིན་པའོ,K,g,,,,,,,,c=d p=n 88.14%,c ནས(35333), ཞེན་ནས(123), ནས་སྟོང་པ(51); p ན(73509), ན་སྟོང་པ(112); d ནས(35333), ཞེན་ནས(123), ནས་སྟོང་པ(51); n ན(73509), ན་སྟོང་པ(112); ,542_དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,333
དང་བདག་མེད་ལྟ་བ་དེ་ལྟ་མིན། །དེ་,ནི་,ན་,ན་,ནི་,ངན་འགྲོ་དག་ལ་གཞོལ་བའང་ཡིན། །དང་པོ་,K,g,,,,,,,,c=d p=n 88.14%,c ན(73509), དེ་ན(5593); p ནི(44237), དེ་ནི(35963); d ན(73509), དེ་ན(5593); n ནི(44237), དེ་ནི(35963); ,542_དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,381
དོན་ལ་མངོན་པར་ཡིད་ཆེས་ཤིང། བསྟན་པ་,ལ་,ལས་,ལས་,ལ་,རབ་ཏུ་ཉམས་པའོ། །གང་ཟག་བཞི་པ་ནི་,K,g,,,,,,,,c=d p=n 88.14%,c ལས(5885), ལས་རབ་ཏུ(761), བསྟན་པ་ལས(88); p ལ(33965), ལ་རབ་ཏུ(4593), བསྟན་པ་ལ(108), བསྟན་པ་ལ་རབ་ཏུ(544); d ལས(5885), ལས་རབ་ཏུ(761), བསྟན་པ་ལས(88); n ལ(33965), ལ་རབ་ཏུ(4593), བསྟན་པ་ལ(108), བསྟན་པ་ལ་རབ་ཏུ(544); ,542_དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,451
