Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཞེས་པ་འདི་རྣམས་ནི་བཞི་པའོ། །འབྱུང་ཁུངས་,ལས་,ལ་,ལ་,ལས་,ལྔ་པའོ་ཞེས་པ་ལྔ་པའི་རྣམ་དབྱེ་ཡིན་ནོ,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965); p ལས(5885); d ལ(33965); n ལས(5885); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,12
སྟེ། ཊཱ་ཡིག་ནི་ཊཱ་ངས྄་དག་གི་ཨི་,ནི་,ན་,ན་,ནི་,སྱ་དག་གོ་ཞེས་པའི་རྟགས་ཀྱི་དོན་ཏོ། །,K,g,,,,,,,,c=d p=n 85.20%,c ན(73509); p ནི(44237); d ན(73509); n ནི(44237); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,32
ཀྱང་། སུའིའོ་ཞེས་པ་སུ་དབྱིའོ། །རྫོགས་པ་,ལས་,ལ་,ལ་,ལས་,ཡང་ནའོ་ཞེས་པའི་ཕྱོགས་ལ་ད་ཡིག་གི་ཏ་ཡིག་,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965), རྫོགས་པ་ལ(264); p ལས(5885); d ལ(33965), རྫོགས་པ་ལ(264); n ལས(5885); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,43
ལས་ཤས྄ཀྱི་ན་སྐྱེས་པ་ལའོ་ཞེས་པས་ཡིག་གི་,ནི་,ན་,ན་,ནི་,ཡིག་གོ། །ཨ་ཙ་མ་ཡིན་པ་ལ་ཞེས་,K,g,,,,,,,,c=d p=n 85.20%,c ན(73509); p ནི(44237), གི་ནི(657); d ན(73509); n ནི(44237), གི་ནི(657); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,61
ནུ་ནུཏའོ་ཞེས་པ་སྔོན་དུ་རུཊའོ། །ཨུ་ཡིག་,ན་,ནི་,ནི་,ན་,བརྗོད་པའི་དོན་ཏོ། །ཊ་ཡིག་ནི་ཊ་ཀིཏ་དག་,K,g,,,,,,,,c=d p=n 85.20%,c ནི(44237), ནི་བརྗོད་པ(108); p ན(73509); d ནི(44237), ནི་བརྗོད་པ(108); n ན(73509); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,79
ལའོ་ཞེས་པ་ཨནང་རུ་བསྒྱུར་རོ། །ང་ཡིག་,ན་,ནི་,ནི་,ན་,དིདའི་དོན་ཏོ། །ན་ཡིག་ལ་ཨ་ཡིག་ནི་,K,g,,,,,,,,c=d p=n 85.20%,c ནི(44237); p ན(73509); d ནི(44237); n ན(73509); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,122
སུའིའོ་སུ་དབྱིའོ། །སུཔའི་རང་བཞིན་གྱི་ཞེས་པ་,ན་,ནི་,ནི་,ན་,དབྱིའོ། །ཤི་མ་ཡིན་པ་ལས་ཁིའི་ཨེཏའོ་ཞེས་པ་,K,g,,,,,,,,c=d p=n 85.20%,c ནི(44237), ཞེས་པ་ནི(1316); p ན(73509); d ནི(44237), ཞེས་པ་ནི(1316); n ན(73509); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,125
དྷཱུ། ཧེ་བ་དྷཽ། ཧེ་བ་དྷྭཿ། ,འདི་ལྟར,དེ་ལྟར,དེ་ལྟར,འདི་ལྟར,། ཀ་དྲྭུ། ཀ་དྲྭཿ། ཤྲཱི་ཞེས་པ་འདིའི་,K,g,,,,,,,,c=d p=n 85.20%,c དེ་ལྟར(32495), །_དེ་ལྟར(10367); p འདི་ལྟར(49), འདི་ལྟར།_(48), །_འདི་ལྟར(4557); d དེ་ལྟར(32495), །_དེ་ལྟར(10367); n འདི་ལྟར(49), འདི་ལྟར།_(48), །_འདི་ལྟར(4557); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,558
ཤཿ། ཤནི་ཤཱ། ནི་ཤ་བྷྱཱཾ། ནི་ཤ་བྷིཿ། ,ན་,ནི་,ནི་,ན་,ཤེ། ནི་ཤ་བྷྱཱཾ། ནི་ཤ་བྷྱཿ། ,K,g,,,,,,,,c=d p=n 85.20%,c ནི(44237), །_ནི(385); p ན(73509), །_ན(3762); d ནི(44237), །_ནི(385); n ན(73509), །_ན(3762); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,674
། །ཨ་ལས་ཨེཏ་ཨེངའོ། །སུཔ་ལའོ། །ཨཏ་,ལ་,ལས་,ལས་,ལ་,བྷི་སའི་ཨཻས། ཨེཙ་ལའོ། །ངེ་ངསི་དག་,K,g,,,,,,,,c=d p=n 85.20%,c ལས(5885); p ལ(33965); d ལས(5885); n ལ(33965); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,689
ཨམ་དག་གི་མ་ནིང་ལས་སོ། ཨིཀའི་སུཔ་,ལ་,ལས་,ལས་,ལ་,ཨཙ་ལའོ། །མ་ནིང་ལས་སོ། །ཛས་ཤེས་,K,g,,,,,,,,c=d p=n 85.20%,c ལས(5885); p ལ(33965); d ལས(5885); n ལ(33965); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,724
