Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
གང་ཞེ་ན་ཞེས་འདྲི། སྨྲས་པ། གཟུགས་,ལ་,ལས་,ལས་,ལ་,མ་གཏོགས་པར་ཕུང་པོ་ལོགས་ཤིག་ན་མེད་དེ,K,g,,,,,,,,c=d p=n 86.12%,c ལས(5885), ལས་མ(1189), གཟུགས་ལས(209); p ལ(33965), ལ་མ(3490), གཟུགས་ལ(1592); d ལས(5885), ལས་མ(1189), གཟུགས་ལས(209); n ལ(33965), ལ་མ(3490), གཟུགས་ལ(1592); ,558_ཕུང་པོ་ལྔའི་བཤད་པ།,28
ནམ་སེམས་ཅན་རྣམས་འདོད་ཆགས་ཀྱི་ཤས་ཆེ་བ་,ནི,ན,ན,ནི,། ཆུའི་བསྐལ་པ་བྱུང་བས་བསམ་གཏན་དང་པོ་པ་,K,g,,,,,,,,c=d p=n 86.12%,c ན(73509), ན།_(60485); p ནི(44237), ནི།_(15867), ཆེ་བ་ནི(55); d ན(73509), ན།_(60485); n ནི(44237), ནི།_(15867), ཆེ་བ་ནི(55); ,558_ཕུང་པོ་ལྔའི་བཤད་པ།,36
། ནམ་སེམས་ཅན་ཞེ་སྡང་གི་ཤས་ཆེ་བ་,ནི,ན,ན,ནི,། མེའི་བསྐལ་པས་བསམ་གཉིས་པ་མན་ཆད་སྲེག་པར་,K,g,,,,,,,,c=d p=n 86.12%,c ན(73509), ན།_(60485); p ནི(44237), ནི།_(15867), ཆེ་བ་ནི(55); d ན(73509), ན།_(60485); n ནི(44237), ནི།_(15867), ཆེ་བ་ནི(55); ,558_ཕུང་པོ་ལྔའི་བཤད་པ།,38
བཞི་མེད་ན་རྒྱུར་བྱས་པའི་གཟུགས་མི་སྐྱེ་བས་,ནི་,ན་,ན་,ནི་,སྐྱེད་པའི་རྒྱུ་བྱེད་དོ། །འབྱུང་བ་ཆེན་པོ་,K,g,,,,,,,,c=d p=n 86.12%,c ན(73509), ས་ན(194); p ནི(44237), ས་ནི(617); d ན(73509), ས་ན(194); n ནི(44237), ས་ནི(617); ,558_ཕུང་པོ་ལྔའི་བཤད་པ།,48
པའི་རྒྱུ་བྱེད་དོ། །འབྱུང་བ་ཆེན་པོ་བཞི་,ལས་,ལ་,ལ་,ལས་,མ་བརྟེན་པར་རྒྱུར་བྱས་པའི་གཟུགས་དག་ལོགས་ཤིག་,K,g,,,,,,,,c=d p=n 86.12%,c ལ(33965), ལ་མ(3490), བཞི་ལ(126); p ལས(5885), ལས་མ(1189), བཞི་ལས(351); d ལ(33965), ལ་མ(3490), བཞི་ལ(126); n ལས(5885), ལས་མ(1189), བཞི་ལས(351); ,558_ཕུང་པོ་ལྔའི་བཤད་པ།,49
བ་ཆེན་པོ་བཞི་དག་གང་ཞེ་ན་ཞེས་དྲིས་,ན,ནས,ནས,ན,། སའི་ཁམས་དང་། ཆུའི་ཁམས་དང་། མེའི་,K,g,,,,,,,,c=d p=n 86.12%,c ནས(35333), ནས།_(25825), དྲིས་ནས(67); p ན(73509), ན།_(60485), དྲིས་ན(103), དྲིས་ན།_(91), ཞེས་དྲིས་ན།_(55); d ནས(35333), ནས།_(25825), དྲིས་ནས(67); n ན(73509), ན།_(60485), དྲིས་ན(103), དྲིས་ན།_(91), ཞེས་དྲིས་ན།_(55); ,558_ཕུང་པོ་ལྔའི་བཤད་པ།,58
ན་འབྱུང་བ་ཆེན་པོ་བཞི་གཅིག་ཡོད་པ་དེ་,ན་,ནི་,ནི་,ན་,གཅིག་གི་ནང་ན་ཡང་བཞི་ཆར་ཡང་ཡོད་དོ,K,g,,,,,,,,c=d p=n 86.12%,c ནི(44237), དེ་ནི(35963), ནི་གཅིག(878), དེ་ནི་གཅིག(53); p ན(73509), དེ་ན(5593), ན་གཅིག(156); d ནི(44237), དེ་ནི(35963), ནི་གཅིག(878), དེ་ནི་གཅིག(53); n ན(73509), དེ་ན(5593), ན་གཅིག(156); ,558_ཕུང་པོ་ལྔའི་བཤད་པ།,71
ཞེས་ཐུན་མོང་མ་ཡིན་པར་སྟོན་ཏོ། །དྲི་,ནི་,ལ་,ལ་,ནི་,ཕྱེ་ན་དུ་ཡོད་པ་བསྟན་པའི་ཕྱིར། དྲི་,K,g,,,,,,,,c=d p=n 86.12%,c ལ(33965), དྲི་ལ(249), ལ་ཕྱེ(41); p ནི(44237), ནི་ཕྱེ(55), དྲི་ནི(157); d ལ(33965), དྲི་ལ(249), ལ་ཕྱེ(41); n ནི(44237), ནི་ཕྱེ(55), དྲི་ནི(157); ,558_ཕུང་པོ་ལྔའི་བཤད་པ།,155
བཞིན་དུ་འབྱུང་བ་ཆེན་པོ་བཞི་ཉམས་པར་བྱས་,ནས་,ན་,ན་,ནས་,རྣམ་པར་རིག་བྱེད་མ་ཡིན་པའི་གཟུགས་ཀྱང་ཉམས་,K,g,,,,,,,,c=d p=n 86.12%,c ན(73509), བྱས་ན(3388), ན་རྣམ་པར(1044); p ནས(35333), བྱས་ནས(6811), ནས་རྣམ་པར(645); d ན(73509), བྱས་ན(3388), ན་རྣམ་པར(1044); n ནས(35333), བྱས་ནས(6811), ནས་རྣམ་པར(645); ,558_ཕུང་པོ་ལྔའི་བཤད་པ།,217
བ་སྨོས་ཏེ། བྱུང་བ་ལས་ཞེས་བྱ་བ་,ནི་,འདི་,འདི་,ནི་,དངོས་པོ་གང་དང་ཕྲད་པར་གྱུར་བ་ལས་དེ་,K,g,,,,,,,,c=d p=n 86.12%,c འདི(1651), ཞེས་བྱ་བ་འདི(771); p ནི(44237), ནི་དངོས་པོ(1114), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་དངོས་པོ(45); d འདི(1651), ཞེས་བྱ་བ་འདི(771); n ནི(44237), ནི་དངོས་པོ(1114), ཞེས་བྱ་བ་ནི(365), ཞེས་བྱ་བ་ནི་དངོས་པོ(45); ,558_ཕུང་པོ་ལྔའི་བཤད་པ།,237
