Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
པའོ། །དེ་ཡང་བསྡུས་པའི་ཚུལ་གྱིས་མིང་བཏགས་,ནས,ན,ན,ནས,། །རྡོ་རྗེ་སེམས་དཔའ་ནི་གསང་བའི་དོན་ཏེ་,K,g,,,,,,,,c=d p=n 92.93%,c ན(73509), ན།_།(11932), བཏགས་ན(162); p ནས(35333), ནས།_།(9174), བཏགས་ནས(233); d ན(73509), ན།_།(11932), བཏགས་ན(162); n ནས(35333), ནས།_།(9174), བཏགས་ནས(233); ,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,120
ཧེ་ནི་ཕྱི་སེམས་ཅན་གྱི་དོན་སྡུག་བསྔལ་དམིགས་,ན་,ནས་,ནས་,ན་,སྐྱེ་བའོ། །ཆེན་པོ་ནི་ནང་གི་ལྷན་ཅིག་,K,g,,,,,,,,c=d p=n 92.93%,c ནས(35333), དམིགས་ནས(193), ནས་སྐྱེ་བ(101); p ན(73509), དམིགས་ན(108), ན་སྐྱེ་བ(120); d ནས(35333), དམིགས་ནས(193), ནས་སྐྱེ་བ(101); n ན(73509), དམིགས་ན(108), ན་སྐྱེ་བ(120); ,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,129
མི་མོ་བསྐྱོད་པ་འབབ་པ་སྟེ། སྐྱེས་པ་,ལས་,ལ་,ལ་,ལས་,གཡོན་ན་གནས་ཏེ། མགྲིན་པར་གནས་ནས་བཤང་,K,g,,,,,,,,c=d p=n 92.93%,c ལ(33965), ལ་གཡོན(54), སྐྱེས་པ་ལ(177); p ལས(5885); d ལ(33965), ལ་གཡོན(54), སྐྱེས་པ་ལ(177); n ལས(5885); ,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,169
བའོ། །དེ་ལ་སྒྲའི་དབྱེ་བ་གང་དུ་འཛག་,ན་,ནི་,ནི་,ན་,ལྟེ་བ་སྟེ་གཉིས་པའི་དོན་ཏོ། །གང་འཛག་,K,g,,,,,,,,c=d p=n 92.93%,c ནི(44237); p ན(73509); d ནི(44237); n ན(73509); ,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,192
ཀ་ཏ་རྣམ་པ་དང་བྲལ་བ། མ་མ་,ན་,ནི་,ནི་,ན་,སེམས་ཙམ་སྟེ་རྣམ་པས་སྟོང་པའི་སེམས་ཙམ་མོ,K,g,,,,,,,,c=d p=n 92.93%,c ནི(44237), མ་ནི(1924), ནི་སེམས(4540); p ན(73509), མ་ན(317), ན་སེམས(2592); d ནི(44237), མ་ནི(1924), ནི་སེམས(4540); n ན(73509), མ་ན(317), ན་སེམས(2592); ,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,226
སུ་རྫིང་བུ་བྱས། །ཞེས་པར་སྦྱར་ཏེ་དང་,ལས་,ལ་,ལ་,ལས་,སྟ་གོན་བྱས་ཏེ་དེ་ནས་རྡུལ་ཚོན་བྲིས་ལ་ཙ་,K,g,,,,,,,,c=d p=n 92.93%,c ལ(33965), དང་ལ(79); p ལས(5885), དང་ལས(570); d ལ(33965), དང་ལ(79); n ལས(5885), དང་ལས(570); ,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,253
བདེ་བར་སྦྱོར་བའོ། །ཤེས་རབ་ཀྱི་ཆོ་ག་ནི་,འདི་,དེ་,དེ་,འདི་,རྣམས་བསྡུས་ཏེ་རང་བཞིན་མེད་པར་བྱ་སྟེ། ,K,g,,,,,,,,c=d p=n 92.93%,c དེ(1), ནི་དེ(8942), དེ་རྣམས(5650), ནི་དེ་རྣམས(58); p འདི(1651), ནི་འདི(8407), འདི་རྣམས(1824), ནི་འདི་རྣམས(137); d དེ(1), ནི་དེ(8942), དེ་རྣམས(5650), ནི་དེ་རྣམས(58); n འདི(1651), ནི་འདི(8407), འདི་རྣམས(1824), ནི་འདི་རྣམས(137); ,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,377
པའི་ཚིགས་བཅད་གཅིག་གིས་ནི་བསམ་པའི་ཁྱད་པར་,ནི་,ཏེ་,ཏེ་,ནི་,གོ་སླའོ། །སྤྱིར་སྤྱོད་པ་མ་བྱས་པས་སངས་,K,g,,,,,,,,c=d p=n 92.93%,c ཏེ(80365); p ནི(44237), ནི་གོ(190), ཁྱད་པར་ནི(46); d ཏེ(80365); n ནི(44237), ནི་གོ(190), ཁྱད་པར་ནི(46); ,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,499
པའི་བརྡ་སྟེ། འཇིག་རྟེན་པ་ལས་བཟློག་པས་,ན་,ནི་,ནི་,ན་,དྲི་བ་ཡང་གཡོན་པས་བྱས་ལ། ལན་ཀྱང་,K,g,,,,,,,,c=d p=n 92.93%,c ནི(44237), ས་ནི(617); p ན(73509), ས་ན(194); d ནི(44237), ས་ནི(617); n ན(73509), ས་ན(194); ,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,557
ནི་བགྲོད་པའི་སའོ། །མགོན་པོ་ཉིད་ཅེས་པ་,ནི,ན,ན,ནི,། བུདྡྷའི་ས་གསུམ་སྟེ། བཅུ་གཅིག་ཀུན་དུ་,K,g,,,,,,,,c=d p=n 92.93%,c ན(73509), ན།_(60485); p ནི(44237), ནི།_(15867), ཅེས་པ་ནི(116); d ན(73509), ན།_(60485); n ནི(44237), ནི།_(15867), ཅེས་པ་ནི(116); ,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,582
